true_value,predict
9.115,9.282155
8.618,8.782173
8.762,8.741139
8.755,8.79447
9.097,9.151282
9.842,9.845444
10.434,10.377138
10.531,10.550094
10.531,10.647132
10.586,10.661121
10.653,10.578747
10.699,10.729078
10.733,10.890727
10.724,10.881304
10.69,10.770667
10.623,10.588759
10.571,10.542134
10.537,10.437108
10.565,10.491171
10.617,10.571972
10.721,10.654832
10.797,10.733708
10.898,10.785643
11.001,11.088788
11.081,11.096108
10.983,10.957007
10.635,10.516885
10.104,10.094375
9.771,9.775575
9.878,9.879
10.238,10.141569
10.54,10.484498
10.659,10.585788
10.672,10.590764
10.65,10.599404
10.656,10.623717
10.726,10.835271
10.9,10.987627
11.059,11.106673
11.245,11.215197
11.334,11.325515
11.3,11.284415
11.111,11.1377125
10.855,10.913881
10.717,10.738147
10.635,10.5769615
10.824,10.641569
10.943,10.718413
10.977,10.850124
11.138,11.061519
11.224,11.144057
11.251,11.277443
11.514,11.553542
11.929,12.008375
12.252,12.3189
12.454,12.367663
12.668,12.434819
12.906,12.717036
13.058,12.9459
13.129,12.902589
13.138,13.034049
13.095,13.009088
13.058,12.989
13.064,12.90473
13.162,13.053035
13.235,13.250223
13.37,13.323129
13.345,13.254893
13.309,13.211915
13.254,13.251006
13.257,13.304696
13.275,13.299981
13.306,13.223339
13.303,13.258309
13.275,13.247787
13.312,13.295064
13.333,13.216073
13.373,13.357811
13.443,13.363502
13.443,13.325769
13.434,13.437111
13.486,13.534351
13.473,13.503741
13.495,13.413265
13.605,13.54429
13.635,13.60446
13.623,13.635921
13.623,13.609878
13.611,13.590732
13.614,13.646157
13.599,13.696608
13.605,13.655046
13.596,13.612006
13.638,13.62402
13.644,13.694027
13.614,13.700641
13.605,13.547353
13.599,13.430341
13.623,13.522732
13.635,13.681304
13.65,13.702113
13.595,13.621184
13.541,13.4564905
13.525,13.375922
13.47,13.507735
13.428,13.613965
13.321,13.472515
13.251,13.319764
13.177,13.262412
13.101,13.230934
13.025,13.275627
12.955,13.16811
12.927,13.007125
12.973,13.0367365
12.97,12.949593
12.909,12.895416
12.89,12.9355135
12.894,12.999815
12.89,13.022768
12.851,13.002791
12.839,13.042565
12.814,12.912332
12.829,12.820114
12.802,12.8626995
12.686,12.767536
12.604,12.595993
12.524,12.476325
12.39,12.476305
12.195,12.390923
12.005,12.234501
11.862,11.898439
11.773,11.743754
11.731,11.690594
11.719,11.760032
11.767,11.86596
11.789,11.831276
11.731,11.6276045
11.673,11.580454
11.657,11.6794405
11.63,11.727968
11.682,11.797885
11.691,11.735879
11.636,11.673438
11.596,11.602354
11.554,11.477131
11.401,11.341464
11.172,11.130043
11.044,11.029551
10.937,10.786113
10.769,10.614532
10.657,10.65794
10.635,10.747728
10.617,10.710496
10.531,10.714828
10.327,10.557228
10.132,10.208661
9.897,9.971471
9.744,9.675348
9.561,9.486592
9.366,9.372628
9.174,9.173526
8.945,9.01933
8.743,8.749923
8.597,8.601085
8.456,8.463602
8.395,8.439761
8.353,8.343597
8.292,8.201313
8.264,8.267734
8.237,8.2804365
8.285,8.297483
8.359,8.407658
8.285,8.373082
8.252,8.338298
8.194,8.2657795
8.313,8.297117
8.389,8.361851
8.401,8.365217
8.337,8.397578
8.313,8.279853
8.353,8.250769
8.435,8.267508
8.411,8.251728
8.319,8.223318
8.16,8.094548
8.096,8.143677
8.087,8.182786
8.011,8.13226
7.919,8.018969
7.837,7.956829
7.761,7.7368197
7.632,7.471371
7.501,7.341181
7.391,7.27917
7.33,7.328414
7.4,7.306941
7.538,7.517815
7.632,7.654772
7.748,7.7629895
7.846,7.8057737
7.879,7.774128
7.901,7.930878
8.072,8.110678
8.346,8.207879
8.493,8.326247
8.493,8.423786
8.407,8.406422
8.316,8.354616
8.23,8.249573
8.169,8.241558
8.172,8.159502
8.221,8.047626
8.243,8.011788
8.16,8.086448
8.148,8.11208
8.191,8.115276
8.279,8.21437
8.316,8.363319
8.362,8.330467
8.41,8.362981
8.557,8.536277
8.661,8.5975895
8.731,8.626693
8.74,8.732566
8.746,8.683041
8.801,8.825228
8.914,8.89339
8.981,9.0168085
8.996,9.04944
9.076,9.010464
9.18,9.077577
9.262,9.157492
9.488,9.383547
9.796,9.731639
10.074,10.032257
10.184,10.265444
10.199,10.261631
10.184,10.349585
10.208,10.41602
10.177,10.365838
10.202,10.231631
10.135,10.007507
9.857,9.678723
9.607,9.4830675
9.57,9.408519
9.537,9.425016
9.399,9.344953
9.351,9.321918
9.396,9.427679
9.491,9.579514
9.567,9.569566
9.546,9.565736
9.5,9.483958
9.506,9.490964
9.503,9.493363
9.36,9.40381
9.052,9.119496
8.783,8.831408
8.533,8.614497
8.322,8.370393
8.185,8.264939
7.919,7.924083
7.623,7.601484
7.443,7.3068104
7.361,7.2671537
7.532,7.5849395
7.995,8.06543
8.481,8.442757
8.49,8.548516
8.505,8.562298
8.853,8.845926
9.143,9.193648
9.271,9.310234
9.366,9.246484
9.109,9.120238
8.844,8.939618
8.966,8.955046
9.213,9.24012
9.069,9.167483
8.914,9.015793
8.697,8.807262
8.218,8.367598
7.946,8.043656
8.044,8.088163
8.12,7.9497437
7.766,7.7074575
7.528,7.624735
7.605,7.631937
