true_value,predict
5.981,6.0915
6.155,6.122185
5.908,6.0130634
5.7,5.7646637
5.557,5.561987
5.349,5.3938293
5.301,5.3521876
5.276,5.298805
5.234,5.2625217
5.221,5.3306265
5.197,5.2507353
5.166,5.144967
5.087,5.040129
5.115,5.029251
5.047,5.028593
5.008,4.97853
5.057,4.938979
5.081,5.0241
5.014,5.0660677
4.995,4.997516
4.95,4.8754125
4.947,4.827309
4.87,4.8918695
4.901,4.937428
4.941,4.871404
4.699,4.791046
4.596,4.696443
4.657,4.6735764
4.605,4.6579885
4.611,4.6650476
4.678,4.5731997
4.712,4.6306486
4.767,4.737346
4.745,4.762091
4.825,4.801076
4.983,4.9345913
5.041,5.038515
5.053,5.0595303
4.931,4.9519863
4.669,4.726723
4.458,4.508528
4.458,4.4434485
4.596,4.5701485
4.791,4.770501
4.837,4.758482
4.794,4.7135577
4.864,4.7898793
4.968,5.0646467
5.06,5.12441
5.188,5.221942
5.209,5.1481433
5.249,5.176733
5.349,5.384891
5.475,5.563576
5.563,5.6449194
5.713,5.713039
5.862,5.748161
5.917,5.964797
5.92,6.008497
5.884,5.8905716
5.938,5.9556155
6.106,6.1621656
6.225,6.3082824
6.35,6.48593
6.347,6.5467567
6.296,6.476054
6.296,6.253727
6.18,6.1689634
6.128,6.0352235
6.128,6.058087
6.131,6.227538
6.265,6.173765
6.207,6.186039
6.115,6.282347
6.097,6.22625
5.996,6.0984864
5.862,5.917494
5.758,5.750253
5.606,5.5993633
5.432,5.515117
5.426,5.38505
5.301,5.166738
5.185,5.093191
5.081,5.1211224
5.041,5.0780087
5.008,4.979613
4.995,4.954463
4.998,5.036708
5.038,5.1278033
4.992,5.120386
4.956,4.969453
5.041,4.9687147
4.956,5.007706
4.995,5.003451
5.087,5.103639
5.13,5.1065207
5.194,5.1581335
5.24,5.232187
5.191,5.147579
5.246,5.1993937
5.42,5.34783
5.404,5.4085693
5.24,5.250759
5.313,5.3183146
5.374,5.4779916
5.365,5.429424
5.481,5.4273973
5.371,5.478652
5.517,5.6527195
5.737,5.7881613
5.92,5.90337
6.1,6.050068
6.237,6.280903
6.347,6.4992843
6.561,6.494243
6.329,6.1942186
6.167,5.980987
5.923,5.946698
5.59,5.639873
5.474,5.474362
5.172,5.137128
4.891,4.861838
4.629,4.6231947
4.278,4.3496747
4.119,4.1639786
3.851,3.961637
3.872,3.917378
3.899,3.921315
3.753,3.7972262
3.277,3.4448633
2.859,2.9416513
2.45,2.5155768
1.971,2.0437222
1.293,1.437685
1.226,1.2343156
1.254,1.3075384
1.479,1.4066952
1.324,1.1618555
0.436,0.73326916
1.294,1.2219208
1.736,1.6870881
1.892,1.828899
1.861,1.8304074
1.99,1.9239485
2.307,2.1751232
2.682,2.6184187
3.549,3.351927
4.339,4.225757
4.815,4.8797092
5.008,5.1785097
5.066,5.1695437
4.946,5.2355356
4.916,5.245198
4.925,5.114014
4.824,4.9534717
4.831,4.8487244
4.531,4.6478653
4.416,4.5394144
4.449,4.578103
4.589,4.6303363
4.431,4.4231634
4.217,4.2281637
4.205,4.2252145
4.281,4.231844
4.379,4.386673
4.489,4.6776643
4.861,4.932294
4.809,4.6499677
4.571,4.6582646
5.111,4.9410815
4.864,4.9316673
4.934,4.966243
5.163,5.104038
5.017,4.9646845
4.971,5.040435
5.389,5.3080654
5.499,5.5611515
5.624,5.769288
6.146,6.0982685
6.302,6.2180376
6.421,6.3471594
6.555,6.455919
6.567,6.5567794
6.674,6.791045
6.872,6.8908253
6.826,6.857649
6.897,6.8346405
6.665,6.8837867
6.979,7.154691
7.507,7.5692945
7.626,7.55468
7.534,7.3731523
7.342,7.272953
7.287,7.2124376
7.196,7.023957
7.431,7.302366
8.786,8.970774
10.482,10.433943
11.877,11.652489
12.332,11.817969
12.216,11.854167
12.335,12.082059
12.378,12.355423
12.936,12.866855
13.644,13.642839
14.157,14.110204
14.841,14.41534
14.905,14.664095
15.036,14.90716
15.47,15.373072
15.808,15.706007
15.738,15.72308
15.619,15.641883
15.54,15.500777
15.18,15.125332
14.731,14.650172
14.639,14.607453
14.902,14.97597
15.473,15.382129
15.799,15.613573
15.451,15.392235
14.734,14.786083
14.017,13.983743
12.887,12.987536
11.777,12.382838
13.653,13.621495
13.184,12.789922
12.231,12.200485
11.81,12.168844
11.935,12.180268
11.944,12.227046
11.444,11.165515
9.115,9.170131
9.011,7.951928
8.328,8.15277
8.642,8.430287
8.99,8.737167
8.676,8.56333
8.697,8.940525
9.9,9.593541
10.498,10.322134
10.537,10.555133
10.721,10.854431
11.102,11.373708
11.633,11.555355
11.608,11.259569
10.287,10.191051
10.125,9.652697
10.293,9.693933
8.789,8.808846
8.011,7.98202
8.264,8.303293
9.027,8.687392
9.112,9.062319
9.405,9.0093
8.889,8.045888
7.361,8.076012
8.914,8.744653
10.119,10.201117
9.341,8.8467
8.139,8.397188
8.773,8.233466
8.554,8.475952
9.008,9.1691675
10.421,10.187662
10.888,10.897834
11.233,11.642303
10.806,10.768611
10.473,10.449488
10.174,10.452606
10.68,10.919549
11.66,11.733836
12.063,12.184782
12.038,12.028523
11.12,10.919926
11.08,10.509139
10.555,11.10971
11.541,11.526099
10.781,10.879794
10.433,10.5368595
10.189,10.143618
10.003,10.154501
10.348,10.482388
10.61,10.599742
10.504,10.64197
10.861,10.848219
11.221,11.111156
11.318,11.090729
