true_value,predict
10.602,10.57809
10.849,10.783115
11.145,11.2502
11.987,11.693286
12.188,11.776612
11.09,11.388304
10.287,10.904857
10.327,10.733775
10.84,10.84333
11.118,10.9322195
10.617,10.748623
10.462,10.488725
10.315,10.320215
10.382,10.27705
10.672,10.407403
10.882,10.725495
11.191,11.083277
11.752,11.502902
12.005,11.805362
11.767,11.958241
12.216,12.024713
12.106,11.990517
11.532,11.769204
11.758,11.757033
11.767,11.744926
11.676,11.764692
11.862,11.975497
12.124,12.050343
11.734,12.051168
11.725,11.902236
11.401,11.57513
10.8,11.163315
10.498,10.880604
10.498,10.648819
10.3,10.408232
9.671,9.993656
9.531,9.657005
9.558,9.570189
9.424,9.44869
9.39,9.460808
9.43,9.497397
9.393,9.449866
9.363,9.359953
9.213,9.303674
9.106,9.197901
8.917,9.061622
8.78,8.921194
8.844,8.878427
8.823,8.863241
8.713,8.79091
8.585,8.632789
8.45,8.492631
8.499,8.441097
8.554,8.495718
8.505,8.518514
8.334,8.383239
8.179,8.298378
8.148,8.307114
8.264,8.37171
8.289,8.326084
8.228,8.310128
8.273,8.215292
8.337,8.229239
8.398,8.383278
8.74,8.572785
8.942,8.767184
8.99,8.948573
9.07,9.143265
9.277,9.292519
9.381,9.315908
9.323,9.278807
9.1,9.178885
9.094,9.168481
9.195,9.248868
9.405,9.38828
9.604,9.504223
9.653,9.602449
9.732,9.732658
9.79,9.8087015
9.805,9.833579
9.872,9.855469
9.979,9.90491
10.068,10.0331545
10.141,10.150178
10.281,10.250569
10.41,10.390956
10.532,10.502446
10.666,10.60183
10.745,10.650351
10.843,10.707421
10.934,10.81363
11.005,10.927848
11.173,11.075903
11.285,11.258171
11.404,11.362745
11.551,11.485748
11.581,11.615446
11.661,11.668175
11.731,11.762404
11.725,11.733024
11.746,11.733937
11.832,11.8354845
11.884,11.819654
11.978,11.888023
12.027,12.026939
12.094,12.188136
12.128,12.224694
12.122,12.195324
12.076,12.145031
12.006,12.084791
11.984,12.055826
11.963,12.100844
12.027,12.069582
12.054,12.069839
11.987,11.978857
11.945,11.986999
11.893,11.983023
11.905,11.932446
11.996,11.978495
11.981,11.976842
11.923,12.049178
11.975,12.050831
12.051,12.070716
12.021,12.068156
11.838,12.001123
11.871,11.903072
11.908,11.88102
11.954,11.966223
12.0,12.035677
12.103,12.14249
12.173,12.178585
12.241,12.185414
12.079,12.158277
11.969,12.067396
11.96,12.059269
12.082,12.11832
12.219,12.152602
12.363,12.2814
12.454,12.408707
12.393,12.484164
12.393,12.481483
12.317,12.417193
12.247,12.299922
12.06,12.10286
11.868,12.046872
11.829,12.00154
12.109,12.078725
12.091,12.106672
11.838,11.950384
11.465,11.7099495
11.258,11.468936
11.209,11.389788
11.063,11.269126
11.169,11.212329
11.038,11.109366
10.904,11.004043
10.73,10.916479
10.684,10.777329
10.412,10.6375885
10.15,10.435092
10.08,10.250526
10.175,10.169527
10.101,10.126953
9.903,10.009852
9.796,9.93063
9.946,9.976138
10.257,10.145626
10.461,10.334265
10.525,10.428768
10.534,10.531168
10.751,10.705542
10.76,10.71186
10.434,10.605762
10.263,10.378919
10.107,10.284502
10.174,10.301418
10.226,10.422942
10.293,10.333975
9.771,9.979037
9.051,9.384303
8.694,8.922987
8.588,8.739762
8.728,8.82041
8.737,8.818552
8.45,8.574055
8.099,8.296593
7.999,8.100799
7.962,8.00033
7.925,7.980883
7.989,7.9894905
7.947,8.039634
8.108,8.050828
8.032,8.043905
7.907,8.004412
8.047,8.025201
7.95,8.055645
7.962,8.096115
8.136,8.194955
8.221,8.253557
8.008,8.162268
7.907,7.981719
7.947,7.931783
8.172,8.008576
8.438,8.262481
8.929,8.657578
9.201,8.954449
9.314,9.209541
9.628,9.474083
9.79,9.681776
9.839,9.90243
9.906,9.94787
9.863,9.876881
9.866,9.93683
9.888,9.960971
9.854,9.945473
9.811,9.857673
9.875,9.811934
9.924,9.865796
10.144,10.020921
10.242,10.226066
10.251,10.233745
10.33,10.234344
10.312,10.270511
10.431,10.391461
10.608,10.517534
10.745,10.5716095
10.699,10.641275
10.705,10.635528
10.739,10.630678
10.849,10.756951
10.995,10.928383
11.05,11.038609
11.163,11.100458
11.307,11.220521
11.429,11.368018
11.563,11.532801
11.587,11.580736
11.572,11.586738
11.624,11.590835
11.682,11.625305
11.767,11.727878
11.877,11.909002
11.899,11.883932
11.862,11.824755
11.795,11.827939
11.771,11.867843
11.746,11.821789
11.615,11.71829
11.56,11.58269
11.517,11.591974
11.505,11.528766
11.484,11.564549
11.435,11.534489
11.502,11.516197
11.401,11.470083
11.307,11.344103
11.264,11.335758
11.392,11.432133
11.432,11.42181
11.346,11.325488
11.224,11.289209
11.374,11.354376
11.352,11.429593
11.368,11.426439
11.42,11.3567
11.264,11.284167
11.191,11.349923
11.319,11.357719
11.157,11.254802
11.078,11.156788
10.95,11.041575
10.837,10.959577
10.745,10.829742
10.751,10.771147
10.742,10.830831
10.931,10.870338
10.989,10.907275
10.947,10.949112
10.953,11.040394
10.901,11.003003
10.76,10.9191475
10.715,10.85575
10.69,10.7768345
10.812,10.82698
10.825,10.88561
10.739,10.845365
10.727,10.746405
10.666,10.708425
