true_value,predict
1.129,1.0670426
0.43,0.54563236
0.485,0.44697934
0.878,0.93820244
1.263,1.0330241
1.476,1.2862275
1.62,1.6341815
1.721,1.8260026
1.815,1.884472
2.004,2.104184
2.203,2.3476865
2.407,2.4639614
2.551,2.55495
2.557,2.5197606
2.389,2.4356108
2.377,2.4190943
2.511,2.5104818
2.648,2.5794601
2.856,2.830488
3.07,2.998497
3.271,3.189879
3.353,3.3134255
3.414,3.4480536
3.491,3.4964888
3.585,3.6289313
3.732,3.7303119
3.976,3.8890772
4.208,4.11221
4.367,4.3342204
4.464,4.4713173
4.495,4.5833898
4.577,4.7089996
4.614,4.797365
4.574,4.6405506
4.431,4.4984784
4.26,4.3492856
4.098,4.164737
3.973,3.9987144
3.897,3.8425233
3.842,3.8114805
3.842,3.78229
3.866,3.8164032
3.903,3.906001
3.906,3.9135756
3.857,3.8518353
3.701,3.7518756
3.625,3.6036537
3.549,3.5607028
3.622,3.5552032
3.701,3.5557983
3.674,3.5339909
3.665,3.507912
3.744,3.6212342
3.82,3.734258
3.9,3.8758576
3.961,3.9705641
3.912,3.902769
3.817,3.8521714
3.765,3.8171527
3.708,3.7649436
3.704,3.698593
3.765,3.799051
3.982,3.9445348
4.238,4.038307
4.449,4.252148
4.605,4.6165814
4.791,4.904037
4.913,5.0265427
5.044,5.100679
5.133,5.121645
5.233,5.2538567
5.352,5.4162636
5.468,5.559387
5.45,5.512797
5.471,5.530779
5.499,5.6195774
5.48,5.537007
5.505,5.5055346
5.612,5.648788
5.746,5.770926
5.883,5.8367887
5.99,5.953743
5.978,5.9649467
5.978,5.985281
6.161,6.0962334
6.42,6.3294225
6.515,6.5105004
6.515,6.5639415
6.674,6.6556168
6.732,6.717246
6.781,6.726816
6.948,6.8637524
6.985,6.9666376
7.028,7.033797
7.095,7.0534625
7.129,7.0629125
7.122,7.1041403
7.156,7.105636
7.18,7.1059613
7.183,7.14942
7.211,7.2199445
7.309,7.2500315
7.385,7.2634273
7.376,7.3278203
7.379,7.396023
7.455,7.390787
7.516,7.4349213
7.562,7.478698
7.66,7.6421623
7.986,7.956053
8.276,8.249818
8.41,8.44364
8.416,8.570777
8.282,8.438032
8.123,8.237903
7.992,8.134613
7.928,8.056195
7.876,7.9583206
7.834,7.802433
7.58,7.660982
7.254,7.347801
7.003,7.0927653
6.869,6.88505
6.784,6.7989445
6.805,6.756243
6.842,6.7933927
6.848,6.861082
6.823,6.8011317
6.762,6.7353983
6.787,6.744129
6.884,6.851231
6.988,6.872167
7.009,6.929677
7.019,7.0188046
7.037,7.061521
7.003,6.961253
7.031,6.996926
7.125,7.137839
7.098,7.116957
7.116,7.128955
7.18,7.092324
7.205,7.151992
7.29,7.269435
7.373,7.395312
7.394,7.460782
7.483,7.514221
7.476,7.5026445
7.458,7.5636616
7.476,7.537038
7.568,7.5881524
7.599,7.634743
7.504,7.540218
7.388,7.414244
7.4,7.3728547
7.4,7.283285
7.397,7.3497324
7.437,7.400796
7.501,7.34129
7.461,7.305719
7.458,7.4382253
7.702,7.717428
7.934,7.9287834
7.943,8.016504
8.008,8.110167
8.011,8.128881
7.983,8.0315695
7.904,7.8668594
7.751,7.829122
7.864,8.0343485
8.001,7.9779935
7.937,7.909913
7.815,7.783932
7.705,7.756328
7.708,7.7903695
7.818,7.987733
7.882,7.991408
7.84,7.9395714
7.785,7.853812
7.733,7.661946
7.525,7.4352827
7.367,7.3448067
7.388,7.39296
7.486,7.5137715
7.626,7.6304455
7.733,7.647908
7.724,7.6571183
7.623,7.6114955
7.547,7.5697346
7.455,7.5374093
7.36,7.4060054
7.296,7.3238854
7.229,7.3210936
7.199,7.1776714
7.064,7.0749116
6.896,6.9314637
6.698,6.784096
6.442,6.4519296
6.234,6.2384176
6.21,6.2483783
6.234,6.3213463
6.234,6.263011
6.133,6.1456575
5.999,6.062055
5.853,5.863085
5.712,5.7551274
5.697,5.7023115
5.676,5.643595
5.575,5.5516677
5.416,5.3853006
5.236,5.1728997
5.029,5.026737
4.815,4.898038
4.611,4.726873
4.394,4.532924
4.248,4.285408
4.068,4.0689197
3.857,3.8320885
3.714,3.8012838
3.686,3.6882308
3.637,3.632758
3.555,3.5209026
3.463,3.3935914
3.433,3.3679802
3.476,3.427645
3.567,3.5567715
3.604,3.6603484
3.509,3.5483558
3.427,3.48066
3.39,3.4977813
3.375,3.4792795
3.305,3.3567796
3.244,3.2212665
3.18,3.1169698
3.07,2.9788182
2.981,2.8953965
2.96,2.8184874
3.027,2.8776727
3.161,3.0169783
3.296,3.161169
3.387,3.348472
3.424,3.475168
3.531,3.5772455
3.665,3.6908405
3.738,3.7334876
3.671,3.7199922
3.744,3.7002225
3.735,3.6695402
3.613,3.5914927
3.644,3.6535625
3.802,3.7541785
3.833,3.7666554
3.711,3.6266437
3.378,3.412726
3.155,3.2123108
3.177,3.2539694
3.122,3.1668937
3.085,3.08545
3.1,3.0540874
2.957,2.955171
2.737,2.6750607
2.585,2.4595242
2.548,2.3389034
2.475,2.4824696
3.021,3.0266535
3.741,3.7804146
3.973,3.9305096
3.796,3.899279
3.665,3.760406
3.607,3.899694
3.567,3.6735494
3.457,3.4697633
3.363,3.385583
3.225,3.2278657
3.045,2.9652948
2.887,2.732723
3.009,2.952263
3.473,3.4683228
3.613,3.5864658
3.384,3.3909466
3.085,3.1411397
2.878,2.9910688
2.673,2.786264
2.523,2.6562812
2.523,2.533354
2.511,2.4859796
2.453,2.463008
2.423,2.4430661
2.572,2.5008445
