true_value,predict
9.463,9.527017
9.155,9.27323
8.801,8.871271
8.389,8.454577
7.992,8.018771
7.58,7.6239657
7.116,7.189609
6.665,6.8131285
6.341,6.438915
6.128,6.168695
5.926,5.943589
5.658,5.710035
5.319,5.403437
4.986,5.063394
4.614,4.722228
4.245,4.326243
4.058,3.9914718
3.888,3.7748196
3.805,3.6101077
3.738,3.5020292
3.613,3.4236932
3.555,3.4421291
3.689,3.6696453
4.458,4.1259074
4.968,4.566777
4.568,4.6166196
4.47,4.520592
4.528,4.562951
4.483,4.629113
4.974,4.7718754
5.069,4.899186
4.785,4.88175
4.779,4.8270717
4.861,4.7931085
4.937,4.834948
5.203,4.9672666
5.597,5.293635
5.789,5.5507164
6.024,5.776422
6.448,6.233578
7.138,6.9397182
7.983,7.741469
8.23,8.43259
8.624,8.865597
9.024,9.18255
9.378,9.367799
9.463,9.48868
9.649,9.611826
9.808,9.68291
9.939,9.758229
10.007,9.803033
10.177,10.006197
10.516,10.377905
10.788,10.727891
11.004,10.939755
11.151,11.081571
11.194,11.207893
11.206,11.220292
11.114,11.035762
11.044,10.932482
11.154,10.993173
11.301,11.188952
11.496,11.433313
11.63,11.590543
11.7,11.630508
11.844,11.80882
12.097,12.038005
12.262,12.234852
12.411,12.355326
12.46,12.421729
12.463,12.408746
12.466,12.359745
12.402,12.262916
12.305,12.196016
12.14,12.169906
12.427,12.277975
12.564,12.427564
12.585,12.556592
12.512,12.562619
12.408,12.507644
12.36,12.401163
12.299,12.36067
12.408,12.339195
12.567,12.439253
12.686,12.451012
12.57,12.392929
12.268,12.321033
12.378,12.318304
12.616,12.470468
12.744,12.582609
12.729,12.632443
12.753,12.640605
12.808,12.692445
12.781,12.714132
12.762,12.697321
12.735,12.674397
12.631,12.588558
12.579,12.554092
12.43,12.481848
12.323,12.360476
12.253,12.237546
12.124,12.172609
12.152,12.123885
12.198,12.153064
12.25,12.242444
12.387,12.329063
12.503,12.434514
12.591,12.588278
12.768,12.770218
12.915,12.908067
12.97,12.9597025
12.961,12.944457
13.028,13.013814
13.202,13.179463
13.293,13.260492
13.159,13.167039
12.833,12.996832
12.485,12.664728
12.231,12.243038
11.862,11.901409
11.52,11.593416
11.358,11.338623
11.127,11.065701
10.818,10.803356
10.644,10.602994
10.544,10.519026
10.467,10.458552
10.428,10.467513
10.498,10.550237
10.464,10.530397
10.461,10.477078
10.376,10.368318
10.22,10.231024
10.071,10.017038
9.964,9.923627
9.915,9.881197
9.921,9.816548
9.878,9.796318
9.765,9.703892
9.64,9.599695
9.521,9.544128
9.381,9.494707
9.497,9.557562
9.888,9.811703
10.3,10.231896
10.531,10.481986
10.592,10.592875
10.577,10.548261
10.449,10.525521
10.48,10.408755
10.504,10.399101
10.589,10.5176
10.663,10.656869
10.724,10.664133
10.638,10.60701
10.617,10.605022
10.599,10.703346
10.629,10.741518
10.592,10.716109
10.519,10.622339
10.516,10.555832
10.431,10.444643
10.361,10.360657
10.211,10.222686
10.086,10.15332
9.945,10.059882
9.833,9.905433
9.762,9.774172
9.625,9.612576
9.482,9.445814
9.421,9.403606
9.405,9.3890705
9.323,9.30443
9.118,9.049958
8.893,8.808183
8.716,8.691115
8.685,8.576918
8.697,8.5842705
8.752,8.711785
8.825,8.860719
8.957,8.937618
9.118,9.01893
9.179,9.084697
9.241,9.1175
9.231,9.13701
9.179,9.078607
9.115,9.027011
9.17,9.077231
9.231,9.120909
9.253,9.153315
9.234,9.150047
9.17,9.124805
9.146,9.104123
9.189,9.126466
9.247,9.153389
9.375,9.288883
9.561,9.484715
9.72,9.576161
9.738,9.561739
9.585,9.525763
9.378,9.424594
9.195,9.198152
9.002,8.907599
8.825,8.6852045
8.584,8.484014
8.368,8.387442
8.346,8.364619
8.392,8.311412
8.529,8.402857
8.682,8.6454
8.838,8.831314
8.951,8.949027
9.018,9.04146
9.073,9.090001
9.189,9.066653
9.344,9.152906
9.497,9.384515
9.628,9.579444
9.75,9.683707
9.823,9.834205
9.909,9.935321
9.988,10.025262
10.037,10.043756
10.058,10.013471
10.016,9.919361
9.955,9.811378
9.897,9.684692
9.829,9.722268
9.744,9.72459
9.662,9.581093
9.503,9.437445
9.301,9.262289
9.244,9.185208
9.277,9.233981
9.439,9.348884
9.628,9.472913
9.836,9.697447
10.04,9.983764
10.272,10.335813
10.586,10.575385
10.843,10.797375
11.026,10.957786
11.084,11.015596
11.029,11.005269
10.989,10.988434
11.056,11.006326
11.16,11.043645
11.264,11.135246
11.484,11.402704
11.67,11.648914
11.966,11.933479
12.25,12.188625
12.427,12.373571
12.573,12.526801
12.689,12.685101
12.759,12.614106
12.494,12.367616
12.317,12.246872
12.463,12.343589
12.628,12.445755
12.5,12.421123
12.234,12.296877
12.186,12.278985
12.366,12.286149
12.366,12.281605
12.237,12.205013
12.094,12.080916
11.88,11.811315
11.386,11.377133
10.904,10.883021
10.66,10.61178
10.614,10.650729
10.904,10.795817
11.075,10.987856
11.029,11.028589
10.788,10.940158
10.708,10.829701
10.605,10.696997
10.449,10.40546
10.168,10.117154
9.79,9.742636
9.475,9.482897
9.463,9.383184
9.598,9.513798
9.915,9.817422
10.019,10.133399
10.577,10.477226
11.334,10.852657
