true_value,predict
10.736,10.678369
10.593,10.386944
10.361,10.219513
9.894,9.841937
9.524,9.513291
9.079,9.152706
9.222,9.200598
9.46,9.373076
9.338,9.185714
9.32,9.183859
9.366,9.355225
9.21,9.236935
8.951,8.897074
8.774,8.708794
8.584,8.579695
8.392,8.306219
8.298,8.190964
8.087,8.009528
8.087,8.019431
8.05,8.027348
7.971,7.937717
7.867,8.004313
8.023,8.027989
8.008,7.9703145
7.849,7.722742
7.498,7.5225735
7.501,7.5182333
7.58,7.679126
7.501,7.5078464
7.318,7.263678
7.281,7.2909193
7.107,7.2841125
7.181,7.096086
6.976,6.9420924
6.979,6.8453875
7.208,6.945363
7.107,7.010621
7.074,6.9770966
7.199,7.1386333
7.193,7.158991
7.132,7.0616555
6.97,6.961627
6.82,6.7699237
6.582,6.524213
6.347,6.309066
6.146,6.17686
6.134,6.0488067
5.865,5.756282
5.49,5.5092306
5.304,5.3556643
5.063,5.1559076
4.907,4.9420886
4.73,4.7576838
4.657,4.6345835
4.577,4.5086904
4.391,4.453158
4.342,4.3968477
4.416,4.41509
4.312,4.34258
4.098,4.1042547
3.97,3.912146
3.872,3.7749078
3.531,3.430212
2.963,2.9763036
2.618,2.5240653
2.172,2.161231
1.879,1.7718283
1.529,1.4239426
1.284,1.2863694
1.452,1.4127268
1.586,1.6008362
1.898,2.0148485
2.322,2.5196388
2.755,2.8906102
3.237,3.3929548
3.891,3.873753
4.22,4.257336
4.235,4.3819976
4.48,4.4273305
4.458,4.353851
4.266,4.2268214
4.205,4.232714
4.489,4.5005565
4.788,4.7103724
5.139,5.0842395
5.401,5.301735
5.404,5.35291
5.279,5.3206596
5.2,5.2248387
5.203,5.1864915
5.282,5.3501134
5.069,5.0246105
4.492,4.403957
3.882,3.716769
3.497,3.3868024
3.909,3.9439347
5.398,5.382093
6.915,6.9658146
7.455,7.4759693
7.275,7.1311398
6.869,6.6477094
6.711,6.267639
6.964,7.012317
8.389,8.496614
9.491,9.489874
9.488,9.719135
9.549,9.56924
9.842,9.605011
9.884,9.545541
10.19,9.861334
10.522,10.325708
10.919,10.753426
11.224,11.112575
11.374,11.29333
11.651,11.437701
11.798,11.691786
12.091,11.997211
12.216,12.159828
12.167,12.274294
12.158,12.43762
12.042,12.002902
10.632,10.893084
9.402,9.625687
8.465,8.51714
6.976,7.0640764
5.542,5.7134423
4.763,4.8764
4.565,4.7511163
4.602,4.8641872
4.769,4.916876
4.959,4.7908573
4.998,4.784182
4.754,4.7053285
4.678,4.4487133
4.995,4.693659
5.511,6.076492
9.219,8.725474
10.827,10.963511
11.181,11.357649
11.499,11.327668
11.508,11.373849
11.407,11.079043
11.041,11.000805
10.66,10.73991
10.287,10.270136
10.107,10.205928
10.165,9.996783
10.174,10.032233
10.303,10.342355
10.62,10.613442
10.843,10.814131
10.708,10.772779
10.675,10.764825
11.026,11.086049
11.069,11.059146
10.904,10.946581
10.849,10.851555
11.065,11.023517
10.977,10.866363
10.696,10.683045
10.486,10.501793
10.385,10.393419
10.507,10.367926
10.373,10.228631
10.132,10.104417
10.046,10.127357
10.321,10.217366
10.373,10.160628
10.119,10.203327
10.733,10.398224
10.29,10.330559
10.22,10.083724
10.156,10.117259
10.269,10.221192
10.296,10.310461
10.284,10.313196
10.419,10.414636
10.562,10.501649
10.617,10.701581
10.657,10.572013
10.336,10.308091
10.089,10.032259
10.028,9.911167
10.007,9.995787
10.019,9.983821
9.964,9.9100685
9.732,9.72785
9.57,9.575173
9.427,9.450027
9.32,9.352007
9.28,9.388637
9.051,8.9976635
8.841,8.728898
8.618,8.634818
8.282,8.197498
7.962,7.8807964
7.776,7.715391
7.525,7.5022364
7.452,7.463816
7.361,7.3844795
7.284,7.2480087
7.071,7.140232
7.022,7.0263767
6.793,6.764532
6.619,6.6530895
6.381,6.5914726
6.192,6.2744565
5.978,5.9762006
5.755,5.6405597
5.673,5.4568434
5.38,5.2782574
5.2,5.147108
5.606,5.509819
6.298,6.161712
6.68,6.613317
7.104,7.078957
7.278,7.230322
7.058,7.1994658
7.058,7.141036
7.092,7.127456
7.211,7.231342
7.397,7.4298244
7.577,7.827548
8.313,8.229142
8.383,8.271131
8.343,8.333357
8.539,8.539355
8.825,8.768502
9.024,8.95558
9.048,9.044853
9.143,9.061151
9.317,9.167863
9.375,9.422508
9.302,9.421645
9.289,9.334635
9.237,9.223787
8.923,8.915103
8.633,8.520977
8.343,8.235263
8.175,8.080823
7.986,7.928316
7.953,7.870488
7.925,7.9184375
7.934,7.906397
7.901,7.901735
7.977,7.9893727
7.861,8.0339
8.139,8.243561
8.706,8.736791
8.999,9.047239
8.682,8.734018
8.74,8.010705
6.512,5.9890714
3.445,3.9521587
4.653,2.674902
5.166,5.0762935
4.965,4.607317
5.136,5.0580606
5.368,4.682524
5.987,5.964186
6.112,6.1344376
6.231,6.273155
6.274,6.18311
6.079,6.2864027
5.957,6.1047516
6.006,6.060029
5.633,5.749398
5.703,5.5842943
5.569,5.430319
5.053,5.141814
5.175,5.0771365
5.096,5.099453
4.629,4.6928644
4.596,4.646943
4.742,4.667141
4.586,4.5745974
4.251,4.170099
3.842,3.74026
3.506,3.4788113
3.308,3.2214553
3.07,3.0103722
2.703,2.5827968
2.374,2.252306
2.285,2.2663863
2.371,2.415604
2.258,2.2384188
2.16,2.079202
1.602,1.9553967
