true_value,predict
4.617,4.614418
4.306,4.490827
4.406,4.417027
4.138,4.0151825
3.61,3.633676
3.296,3.4033859
3.32,3.4213712
3.753,3.6604204
3.848,3.6912332
3.506,3.6053865
3.399,3.4312122
3.228,3.2774482
3.216,3.1785505
3.125,3.1964304
3.152,3.3134432
3.326,3.3581412
3.424,3.3744683
3.363,3.4204457
3.421,3.4396708
3.524,3.4285626
3.097,3.2343757
2.984,3.0650718
2.899,3.0315895
2.877,2.9977343
2.853,2.956786
2.966,3.0135276
3.17,3.2639732
3.295,3.4810872
3.781,3.6548383
3.186,3.4109423
3.271,3.2958457
3.491,3.4920316
3.814,3.705222
3.933,4.0273957
4.071,4.0713253
4.119,3.9969327
3.604,3.7497299
3.485,3.5589616
3.518,3.5232365
3.598,3.6020055
3.726,3.721726
4.004,3.8766305
3.573,3.821428
3.738,3.757918
3.823,3.8383453
3.79,3.8365767
3.665,3.7476788
3.54,3.6456056
3.283,3.5208707
2.945,3.107146
2.383,2.7003262
2.31,2.3690708
1.876,2.2750788
1.727,2.1263993
1.44,1.9641626
1.208,1.7391593
0.564,1.395166
0.39,1.2289616
0.604,1.3781794
1.184,1.6922104
1.507,2.0603762
2.142,2.3571732
2.313,2.5866354
2.468,2.5960236
2.661,2.7803488
2.893,2.9588606
3.097,3.069507
3.192,3.2025099
3.289,3.2611341
3.555,3.5561373
3.726,3.8158996
4.184,4.12783
4.492,4.4195805
4.516,4.51173
4.458,4.441269
4.525,4.5713673
5.011,4.913226
5.539,5.472942
5.926,5.8985186
6.262,6.2150655
6.68,6.5731606
6.759,6.800582
6.866,6.97
7.177,7.079874
7.446,7.5204287
8.194,8.063414
8.804,8.735896
9.128,9.230871
9.259,9.488717
9.54,9.601309
9.729,9.73462
9.778,9.724062
9.845,9.819598
9.881,9.906766
10.122,9.985607
10.238,10.22189
10.428,10.45975
10.696,10.669732
10.742,10.764334
10.611,10.735657
10.766,10.857723
11.127,11.077796
11.279,11.388329
11.441,11.484873
11.444,11.435556
11.444,11.429859
11.398,11.378799
11.371,11.376123
11.374,11.37583
11.511,11.436166
11.383,11.448111
11.42,11.475185
11.478,11.546187
11.478,11.5713215
11.673,11.733356
11.624,11.660346
11.328,11.338423
11.008,11.036658
10.632,10.759659
10.87,10.810741
11.255,11.194603
11.349,11.416319
11.343,11.546253
11.197,11.323868
11.212,11.106895
10.809,10.78233
10.559,10.620428
10.614,10.641325
10.745,10.863813
10.986,11.020119
11.035,11.111528
10.818,10.857174
10.455,10.602495
10.321,10.409105
10.324,10.369024
10.483,10.522015
10.769,10.765873
10.84,11.001864
11.041,11.114473
11.004,11.2611065
11.27,11.215343
11.136,11.183331
10.657,10.813175
10.586,10.55464
10.592,10.5157795
10.721,10.695443
10.763,10.81782
10.928,10.850926
10.87,10.876221
10.675,10.751086
10.361,10.53333
10.37,10.493763
10.373,10.431223
10.373,10.327744
10.339,10.318526
10.373,10.353673
10.275,10.2051935
10.147,10.227895
10.153,10.190956
10.0,9.991949
9.903,9.937164
9.894,9.87275
9.848,9.929508
10.013,9.950935
9.817,10.058904
9.93,10.066858
9.933,9.996943
9.698,9.8670635
9.796,9.806892
9.729,9.900242
10.077,10.072131
10.254,10.282306
10.321,10.362212
10.345,10.226819
10.013,10.140601
10.126,10.091668
10.11,10.258945
10.388,10.32182
10.449,10.446581
10.574,10.600251
10.724,10.622393
10.504,10.500033
10.238,10.370753
10.223,10.326965
10.205,10.23111
9.811,9.94773
9.546,9.529902
8.905,8.878626
8.178,8.257227
7.855,7.9284334
7.754,7.856337
7.651,7.7624083
7.321,7.465307
7.059,7.06945
6.686,6.6490936
6.503,6.479557
6.46,6.452145
6.695,6.7195687
6.82,6.8722925
6.952,6.9554696
7.174,7.1567683
7.187,7.205644
7.394,7.386549
7.718,7.7346125
8.102,7.9965506
8.117,8.181213
8.212,8.305355
8.304,8.37044
8.255,8.366209
8.331,8.308604
8.297,8.342045
8.215,8.325771
8.288,8.333144
8.41,8.485164
8.471,8.441248
8.325,8.337273
8.069,8.286025
8.188,8.20908
8.352,8.242988
8.05,8.220132
7.867,7.961281
7.892,7.955743
8.038,8.064094
8.081,8.143341
8.273,8.292753
8.554,8.4883995
8.755,8.822702
9.323,9.333543
9.778,9.958723
10.538,10.479566
10.678,10.797431
10.803,10.870812
11.139,11.073162
11.133,11.17363
11.426,11.297153
11.316,11.436028
11.85,11.840658
12.488,12.444586
12.945,12.856861
13.119,13.197986
13.51,13.619589
14.139,13.980358
14.243,14.017931
13.892,13.89987
13.766,13.828075
13.965,13.838802
13.748,13.795949
13.541,13.545616
13.321,13.392488
13.107,13.185235
13.202,13.064234
13.122,12.954045
12.665,12.706625
12.408,12.663197
13.138,13.056528
13.489,13.328097
13.26,13.102084
12.933,12.878126
12.482,12.518008
11.819,12.257354
12.244,12.752627
13.382,13.289061
13.516,13.190865
12.552,12.112797
9.314,10.314996
10.043,9.321666
8.697,8.744298
7.727,7.5843463
6.534,6.655084
5.31,5.718972
5.252,4.9124584
4.351,4.815735
5.023,5.3423314
6.936,6.576062
6.878,7.483477
7.968,7.7173233
6.778,7.307618
7.01,6.6273174
5.987,6.312723
5.774,6.6990204
7.577,7.4347258
9.689,8.466569
10.724,8.798445
7.467,8.351983
6.894,7.350525
4.028,7.2506714
9.463,9.715356
12.857,9.150009
