true_value,predict
7.721,7.774691
8.008,7.9933715
8.197,8.072697
8.142,7.925769
8.16,7.965071
8.124,8.084724
8.188,8.119783
8.194,8.121815
8.206,8.071152
8.014,7.9304285
7.922,7.7731485
7.864,7.7229095
7.925,7.7563586
7.989,7.822002
7.849,7.70025
7.821,7.649356
7.931,7.798823
8.041,8.049934
8.148,8.173041
8.246,8.264932
8.34,8.390231
8.56,8.541823
8.74,8.611723
8.777,8.685197
8.81,8.537077
8.804,8.481865
9.06,8.847243
9.35,9.208981
9.311,9.13874
9.097,9.004342
9.063,8.975146
9.076,9.056361
9.146,9.029196
9.097,8.971195
9.082,9.094009
9.234,9.118639
9.36,9.257538
9.115,9.176902
9.353,9.227553
9.326,9.314303
9.149,9.156818
8.996,8.982319
8.926,8.859229
8.783,8.717515
8.929,8.796533
9.073,8.996647
9.405,9.150658
9.497,9.196438
9.533,9.269298
9.689,9.415311
9.881,9.669554
10.132,9.857318
10.202,9.980219
10.324,10.185268
10.461,10.296182
10.437,10.312373
10.3,10.11834
10.272,10.138886
10.47,10.259217
10.62,10.490582
10.931,10.854941
11.337,11.201373
11.438,11.319681
11.423,11.268977
11.404,11.367144
11.566,11.529918
11.554,11.531765
11.481,11.44117
11.404,11.396899
11.334,11.351796
11.169,11.20812
11.066,11.09324
11.072,11.178581
11.16,11.231276
11.31,11.369921
11.523,11.61888
11.78,11.879712
11.822,11.922693
11.88,11.859182
11.938,11.961718
12.048,11.987493
12.03,12.018862
12.118,12.129491
12.109,12.200844
12.314,12.262483
12.182,12.090093
12.057,12.050508
12.179,12.212039
12.533,12.519556
12.756,12.697711
12.909,12.707584
12.631,12.470675
12.451,12.317715
12.598,12.633763
13.046,13.073356
13.437,13.295152
13.006,12.796737
12.646,12.6375475
12.964,12.861911
13.217,13.373134
13.232,13.312551
13.159,13.169977
13.177,13.200864
13.241,13.158567
13.287,13.204512
13.373,13.336324
13.354,13.406812
13.29,13.304872
13.077,13.172547
12.906,12.948422
12.781,12.861318
12.71,12.870286
12.442,12.602195
11.523,11.675079
10.101,10.608757
10.342,10.329711
9.772,9.875986
8.826,9.157483
8.899,8.515827
8.365,8.739863
8.383,8.020311
9.616,8.884506
10.333,9.81052
10.123,9.971263
10.333,9.735004
10.437,10.336638
10.788,10.594196
10.821,10.873813
11.139,11.114777
11.374,11.288321
11.075,11.054748
10.574,10.654197
10.855,10.477088
10.266,10.241011
10.745,10.551727
11.072,11.0901985
11.868,11.757041
12.366,12.217058
12.527,12.3537
12.378,12.382197
12.234,12.37029
12.369,12.428065
12.286,12.365231
11.926,11.965347
11.697,11.794296
11.853,11.827863
11.941,12.021654
12.213,12.345551
12.216,12.179281
11.758,11.830613
11.358,11.422921
11.093,11.10431
10.663,10.696674
10.431,10.434702
10.605,10.647827
10.94,11.072355
11.236,11.415114
11.3,11.480168
11.34,11.421799
11.041,11.082066
10.724,10.766924
10.611,10.63722
10.559,10.639953
10.449,10.558994
10.077,10.263002
9.881,9.900353
9.619,9.558599
9.488,9.40792
9.186,9.158263
8.862,8.886423
8.478,8.506297
8.542,8.472448
8.539,8.586824
8.484,8.483204
8.392,8.296662
8.151,8.00594
7.95,7.8643546
7.672,7.769341
7.635,7.7029185
7.507,7.5222526
7.361,7.2544627
6.949,6.8644547
6.619,6.5541153
6.35,6.3630433
6.088,6.1605363
5.801,5.7761073
5.481,5.570374
5.291,5.3335366
5.121,5.091017
4.837,4.7999587
4.44,4.564638
4.422,4.5114717
4.779,4.554758
4.583,4.679876
4.995,4.8510456
4.828,4.7636843
4.589,4.51675
4.431,4.387756
4.257,4.384316
4.33,4.415894
4.477,4.4983463
4.388,4.4858346
4.324,4.3336763
4.074,4.170614
3.933,3.963956
3.817,3.8345118
3.717,3.7700956
3.61,3.6187537
3.399,3.306095
2.853,2.8947268
2.655,2.647613
2.395,2.400915
2.06,2.1431894
2.078,2.1001854
1.858,1.8366345
1.464,1.509728
1.394,1.3157653
1.181,1.0108736
0.823,0.8020372
0.692,0.89444625
0.869,1.0033916
0.817,0.9587325
0.936,0.91765046
0.967,0.9819958
0.885,0.80862284
0.573,0.5638005
0.524,0.42907268
0.527,0.3356863
0.286,0.35677177
0.643,0.59471285
0.973,0.77378595
0.833,1.0329489
2.069,1.8628078
2.429,2.6687315
3.512,3.0924814
2.902,2.979355
3.173,2.405014
1.986,2.030295
1.565,1.5839837
1.91,1.8028891
2.227,2.1220865
2.649,2.8961937
3.296,3.0929651
3.241,3.1686523
2.966,3.103753
3.485,3.3839805
3.204,3.464758
3.329,3.2736635
3.271,3.2284365
3.045,3.0054724
2.581,2.5135598
2.578,2.5024436
2.349,2.1572754
1.403,1.559371
1.693,1.4981169
1.77,2.0163622
2.166,2.1915886
2.471,2.144802
3.167,2.7140026
3.271,3.0590796
3.65,3.3164837
3.451,3.2604334
3.47,3.2002373
3.247,3.2258668
3.256,3.6363378
3.466,4.130876
4.489,4.6889553
6.066,6.5457983
7.415,7.3814907
7.364,6.2819524
5.996,5.9726267
4.922,4.4689765
3.326,3.7594416
2.801,3.6935468
2.469,3.6869597
3.512,4.8077497
4.757,4.540067
3.906,3.8257413
4.159,4.194717
5.2,6.385476
8.422,10.343796
8.334,7.3245792
6.943,7.220608
7.129,6.7151694
6.494,7.125776
6.915,7.2003984
6.53,6.2499633
6.695,6.5209813
