true_value,predict
9.115,9.677499
8.618,8.972685
8.762,8.451961
8.755,8.968676
9.097,8.500879
9.842,9.234055
10.434,10.363122
10.531,10.886616
10.531,10.412517
10.586,10.567545
10.653,10.592663
10.699,10.801561
10.733,10.727192
10.724,10.69821
10.69,10.862426
10.623,10.842306
10.571,10.760324
10.537,10.725361
10.565,10.706412
10.617,10.780767
10.721,10.849966
10.797,11.001884
10.898,11.057614
11.001,11.209524
11.081,11.324962
10.983,11.388989
10.635,11.168862
10.104,10.550291
9.771,10.187146
9.878,9.886023
10.238,10.336437
10.54,10.741756
10.659,11.02273
10.672,10.98798
10.65,10.999668
10.656,11.048009
10.726,11.037579
10.9,11.193601
11.059,11.488421
11.245,11.559604
11.334,11.733064
11.3,11.726193
11.111,11.637294
10.855,11.39752
10.717,11.1449795
10.635,11.132563
10.824,11.024967
10.943,11.407835
10.977,11.431637
11.138,11.411161
11.224,11.685268
11.251,11.68977
11.514,11.699891
11.929,12.135831
12.252,12.698494
12.454,12.8898945
12.668,13.008608
12.906,13.31232
13.058,13.54283
13.129,13.617245
13.138,13.600546
13.095,13.570547
13.058,13.530335
13.064,13.486252
13.162,13.509035
13.235,13.644326
13.37,13.684347
13.345,13.875275
13.309,13.664333
13.254,13.796007
13.257,13.66004
13.275,13.7087965
13.306,13.758915
13.303,13.779501
13.275,13.752643
13.312,13.713436
13.333,13.81916
13.373,13.79616
13.443,13.851087
13.443,13.955266
13.434,13.864158
13.486,13.856265
13.473,13.983004
13.495,13.869642
13.605,13.939018
13.635,14.150857
13.623,14.053559
13.623,14.037661
13.611,14.076231
13.614,14.024118
13.599,14.043341
13.605,14.019513
13.596,14.033958
13.638,14.01045
13.644,14.103507
13.614,14.075662
13.605,14.007159
13.599,14.036471
13.623,14.027361
13.635,14.081808
13.65,14.096938
13.595,14.105222
13.541,13.997077
13.525,13.955411
13.47,13.983415
13.428,13.876657
13.321,13.853291
13.251,13.68429
13.177,13.628948
13.101,13.550116
13.025,13.451339
12.955,13.392865
12.927,13.3275795
12.973,13.325564
12.97,13.445833
12.909,13.401822
12.89,13.297775
12.894,13.353152
12.89,13.3851185
12.851,13.345177
12.839,13.287771
12.814,13.285727
12.829,13.224832
12.802,13.26515
12.686,13.179902
12.604,13.003089
12.524,13.035806
12.39,12.897659
12.195,12.738803
12.005,12.561466
11.862,12.381047
11.773,12.239202
11.731,12.1866255
11.719,12.184043
11.767,12.181488
11.789,12.203165
11.731,12.14197
11.673,11.994812
11.657,12.004472
11.63,12.080212
11.682,12.005259
11.691,12.093271
11.636,12.025205
11.596,11.9245
11.554,11.919748
11.401,11.83101
11.172,11.590038
11.044,11.326824
10.937,11.264769
10.769,11.091754
10.657,10.869979
10.635,10.839987
10.617,10.835993
10.531,10.770792
10.327,10.630117
10.132,10.382302
9.897,10.206219
9.744,9.847868
9.561,9.867805
9.366,9.595976
9.174,9.353494
8.945,9.120431
8.743,8.8275175
8.597,8.666104
8.456,8.543651
8.395,8.372379
8.353,8.339272
8.292,8.27579
8.264,8.17313
8.237,8.163399
8.285,8.112899
8.359,8.192567
8.285,8.252609
8.252,8.10086
8.194,8.0618105
8.313,7.99199
8.389,8.267242
8.401,8.277503
8.337,8.205583
8.313,8.125827
8.353,8.129166
8.435,8.187135
8.411,8.252796
8.319,8.124816
8.16,8.012051
8.096,7.8563867
8.087,7.872782
8.011,7.904568
7.919,7.731517
7.837,7.617086
7.761,7.5326324
7.632,7.449283
7.501,7.3050413
7.391,7.2055125
7.33,7.1256
7.4,7.0775666
7.538,7.2325754
7.632,7.370392
7.748,7.411968
7.846,7.546149
7.879,7.6430984
7.901,7.6485906
8.072,7.6950574
8.346,8.06621
8.493,8.345692
8.493,8.370096
8.407,8.234341
8.316,8.126832
8.23,8.107832
8.169,8.077275
8.172,8.03959
8.221,8.103619
8.243,8.203886
8.16,8.187218
8.148,8.011007
8.191,8.080715
8.279,8.171694
8.316,8.295597
8.362,8.317321
8.41,8.383736
8.557,8.460363
8.661,8.6914835
8.731,8.721712
8.74,8.761941
8.746,8.754862
8.801,8.776536
8.914,8.889217
8.981,9.023082
8.996,9.02411
9.076,9.015767
9.18,9.240325
9.262,9.32248
9.488,9.378791
9.796,9.722735
10.074,10.04919
10.184,10.277326
10.199,10.270742
10.184,10.235565
10.208,10.23304
10.177,10.295399
10.202,10.174056
10.135,10.233214
9.857,10.051688
9.607,9.672285
9.57,9.5524
9.537,9.58533
9.399,9.382594
9.351,9.168769
9.396,9.257769
9.491,9.350683
9.567,9.373342
9.546,9.428767
9.5,9.337849
9.506,9.313544
9.503,9.3159895
9.36,9.2532625
9.052,9.009564
8.783,8.568331
8.533,8.290903
8.322,8.054403
8.185,7.9033704
7.919,7.818961
7.623,7.324402
7.443,7.0392756
7.361,6.924423
7.532,6.8124504
7.995,7.121228
8.481,7.692699
8.49,8.144268
8.505,8.06161
8.853,7.956812
9.143,8.702252
9.271,8.665393
9.366,8.595873
9.109,8.746884
8.844,8.180174
8.966,8.02798
9.213,8.531126
9.069,8.644062
8.914,8.239548
8.697,8.381764
8.218,7.8595138
7.946,7.395899
8.044,7.23596
8.12,7.4763794
7.766,7.420686
7.528,6.8151593
7.605,6.7343116
