true_value,predict
5.981,6.3619165
6.155,6.4172454
5.908,6.565342
5.7,6.4769354
5.557,6.171973
5.349,5.9232445
5.301,5.732338
5.276,5.693851
5.234,5.7209377
5.221,5.7233276
5.197,5.6152163
5.166,5.587762
5.087,5.516015
5.115,5.393343
5.047,5.3890486
5.008,5.333502
5.057,5.266572
5.081,5.3034563
5.014,5.3547564
4.995,5.2968674
4.95,5.2150793
4.947,5.139654
4.87,5.1044064
4.901,5.0380707
4.941,5.0342026
4.699,5.0410557
4.596,4.873087
4.657,4.618495
4.605,4.6464605
4.611,4.661438
4.678,4.650818
4.712,4.6992207
4.767,4.7118387
4.745,4.694479
4.825,4.681928
4.983,4.696658
5.041,4.7803564
5.053,4.872813
4.931,4.887088
4.669,4.7481956
4.458,4.4545536
4.458,4.1949124
4.596,4.175746
4.791,4.3137503
4.837,4.4214153
4.794,4.544015
4.864,4.5237923
4.968,4.453409
5.06,4.526082
5.188,4.6700373
5.209,4.8151627
5.249,4.839718
5.349,4.808795
5.475,4.9088664
5.563,5.1220646
5.713,5.2037506
5.862,5.3289323
5.917,5.4434147
5.92,5.4487123
5.884,5.3917804
5.938,5.310086
6.106,5.3904614
6.225,5.6351504
6.35,5.7087917
6.347,5.748481
6.296,5.710189
6.296,5.610107
6.18,5.5476494
6.128,5.435934
6.128,5.359311
6.131,5.402008
6.265,5.411057
6.207,5.525067
6.115,5.4929976
6.097,5.392747
5.996,5.348487
5.862,5.224271
5.758,5.072064
5.606,4.937468
5.432,4.7759256
5.426,4.603837
5.301,4.60298
5.185,4.4761686
5.081,4.3492484
5.041,4.242734
5.008,4.1675878
4.995,4.114059
4.998,4.0627093
5.038,4.0567436
4.992,4.105322
4.956,3.9869518
5.041,3.9089165
4.956,4.033381
4.995,3.862589
5.087,3.9226613
5.13,4.0441375
5.194,4.0498085
5.24,4.107254
5.191,4.1334214
5.246,4.040221
5.42,4.103324
5.404,4.282878
5.24,4.281901
5.313,4.0730534
5.374,4.190857
5.365,4.234295
5.481,4.2085094
5.371,4.3344812
5.517,4.303058
5.737,4.402064
5.92,4.5646963
6.1,4.7767167
6.237,4.90624
6.347,5.0423656
6.561,5.1355057
6.329,5.3719025
6.167,5.1293197
5.923,4.8407006
5.59,4.6841555
5.474,4.3140507
5.172,4.2368135
4.891,3.7887833
4.629,3.406026
4.278,2.8948727
4.119,2.426606
3.851,2.300068
3.872,2.2288597
3.899,2.2157528
3.753,2.3907757
3.277,2.4670908
2.859,2.068504
2.45,1.6172206
1.971,1.1333301
1.293,0.5807607
1.226,-0.16206193
1.254,-0.30333495
1.479,-0.23509097
1.324,0.07158303
0.436,0.0033500195
1.294,-0.7198782
1.736,-0.1054678
1.892,0.47568393
1.861,0.8923662
1.99,0.85234904
2.307,0.8429353
2.682,1.1494954
3.549,1.6863043
4.339,2.6488802
4.815,2.755397
5.008,3.103255
5.066,3.6786082
4.946,4.192834
4.916,4.0032682
4.925,3.6619115
4.824,3.810187
4.831,4.033458
4.531,4.1027317
4.416,3.8391416
4.449,3.657667
4.589,3.6262624
4.431,3.878832
4.217,3.8489587
4.205,3.5392067
4.281,3.369733
4.379,3.4732854
4.489,3.7101085
4.861,3.9167955
4.809,4.352543
4.571,4.4178123
5.111,4.0515957
4.864,4.4445453
4.934,4.428398
5.163,4.418408
5.017,4.6501713
4.971,4.619155
5.389,4.456607
5.499,4.9149895
5.624,5.2714367
6.146,5.450611
6.302,5.816061
6.421,6.0834894
6.555,6.2656126
6.567,6.351142
6.674,6.349697
6.872,6.372157
6.826,6.581497
6.897,6.737442
6.665,6.7547684
6.979,6.6171875
7.507,6.830497
7.626,7.155704
7.534,7.50543
7.342,7.713403
7.287,7.365387
7.196,7.20967
7.431,7.206648
8.786,7.5225086
10.482,8.363805
11.877,10.473587
12.332,10.6249485
12.216,11.307952
12.335,11.9686
12.378,12.145325
12.936,12.151365
13.644,12.766307
14.157,13.400028
14.841,13.839877
14.905,14.08385
15.036,14.41644
15.47,14.614433
15.808,14.844665
15.738,15.055887
15.619,15.187789
15.54,15.218279
15.18,15.241647
14.731,15.179649
14.639,14.9332695
14.902,14.763049
15.473,14.976446
15.799,14.963492
15.451,15.381479
14.734,15.411964
14.017,15.234673
12.887,14.601581
11.777,13.321071
13.653,12.595761
13.184,13.890098
12.231,14.757612
11.81,11.048993
11.935,12.626802
11.944,12.222785
11.444,12.171341
9.115,11.507703
9.011,9.4512415
8.328,10.282867
8.642,8.40596
8.99,9.198753
8.676,8.648582
8.697,9.74212
9.9,9.498164
10.498,12.609705
10.537,10.231738
10.721,10.695696
11.102,11.220997
11.633,11.446406
11.608,11.583427
10.287,12.23092
10.125,10.696695
10.293,12.264128
8.789,10.223449
8.011,9.68284
8.264,8.030779
9.027,8.282226
9.112,10.841767
9.405,9.476424
8.889,11.2024555
7.361,9.652378
8.914,7.513583
10.119,9.103347
9.341,9.882006
8.139,9.601565
8.773,9.015144
8.554,8.4474745
9.008,8.486496
10.421,10.129974
10.888,10.13323
11.233,9.990294
10.806,10.618451
10.473,10.957905
10.174,10.681672
10.68,9.931746
11.66,10.653243
12.063,10.90689
12.038,11.641959
11.12,12.032078
11.08,11.323595
10.555,11.953758
11.541,10.048834
10.781,13.389251
10.433,10.867221
10.189,12.49968
10.003,10.357895
10.348,10.830519
10.61,10.761311
10.504,10.788351
10.861,11.221004
11.221,10.963568
11.318,11.251258
