true_value,predict
10.602,11.120137
10.849,10.696766
11.145,11.378116
11.987,11.560125
12.188,12.367103
11.09,12.705392
10.287,10.273482
10.327,10.557217
10.84,10.945035
11.118,11.929582
10.617,11.922795
10.462,9.948624
10.315,11.190657
10.382,11.198137
10.672,10.75335
10.882,11.092481
11.191,11.0984745
11.752,11.58868
12.005,12.190444
11.767,12.128109
12.216,11.925406
12.106,12.647489
11.532,12.739844
11.758,11.2885685
11.767,12.305624
11.676,12.403298
11.862,11.689182
12.124,11.763238
11.734,12.288832
11.725,11.481472
11.401,11.401156
10.8,11.142911
10.498,10.328657
10.498,10.444315
10.3,10.564717
9.671,9.960243
9.531,9.463605
9.558,9.619481
9.424,9.698233
9.39,9.365201
9.43,9.405289
9.393,9.485993
9.363,9.392672
9.213,9.40273
9.106,9.15531
8.917,9.097027
8.78,8.826305
8.844,8.756415
8.823,8.919065
8.713,8.811921
8.585,8.631288
8.45,8.479363
8.499,8.359783
8.554,8.555827
8.505,8.589757
8.334,8.414941
8.179,8.136883
8.148,8.012679
8.264,8.109699
8.289,8.371886
8.228,8.252902
8.273,8.0904875
8.337,8.269273
8.398,8.3746395
8.74,8.412125
8.942,8.959115
8.99,8.927722
9.07,8.910826
9.277,9.052287
9.381,9.367268
9.323,9.403429
9.1,9.207903
9.094,8.932616
9.195,9.07577
9.405,9.197685
9.604,9.456481
9.653,9.573193
9.732,9.583065
9.79,9.772013
9.805,9.799921
9.872,9.777891
9.979,9.882747
10.068,10.013319
10.141,10.077228
10.281,10.18704
10.41,10.359786
10.532,10.487453
10.666,10.656131
10.745,10.763492
10.843,10.853291
10.934,10.98433
11.005,11.022216
11.173,11.118734
11.285,11.388804
11.404,11.43055
11.551,11.559355
11.581,11.803625
11.661,11.651079
11.731,11.875641
11.725,11.970617
11.746,11.845473
11.832,11.979347
11.884,12.084983
11.978,12.114641
12.027,12.290335
12.094,12.300518
12.128,12.373136
12.122,12.396425
12.076,12.326569
12.006,12.320011
11.984,12.259831
11.963,12.215011
12.027,12.182174
12.054,12.307613
11.987,12.309101
11.945,12.221723
11.893,12.226847
11.905,12.147001
11.996,12.202814
11.981,12.327568
11.923,12.237926
11.975,12.20583
12.051,12.307606
12.021,12.38762
11.838,12.272557
11.871,12.043411
11.908,12.214521
11.954,12.2317505
12.0,12.267196
12.103,12.316737
12.173,12.435474
12.241,12.4649315
12.079,12.530695
11.969,12.249695
11.96,12.224764
12.082,12.214439
12.219,12.392912
12.363,12.44556
12.454,12.623914
12.393,12.640562
12.393,12.496418
12.317,12.540473
12.247,12.381157
12.06,12.257983
11.868,12.082733
11.829,11.918241
12.109,12.046316
12.091,12.384173
11.838,12.174736
11.465,11.829892
11.258,11.527723
11.209,11.357676
11.063,11.19275
11.169,11.014517
11.038,11.361959
10.904,10.925838
10.73,10.872494
10.684,10.721984
10.412,10.685877
10.15,10.267878
10.08,10.071083
10.175,10.0879345
10.101,10.244765
9.903,9.993081
9.796,9.817316
9.946,9.7345915
10.257,10.034888
10.461,10.34406
10.525,10.333801
10.534,10.402606
10.751,10.373599
10.76,10.5609455
10.434,10.679651
10.263,9.917887
10.107,10.071485
10.174,9.927173
10.226,10.047637
10.293,10.221088
9.771,10.148462
9.051,9.524091
8.694,8.710675
8.588,8.3401165
8.728,8.411495
8.737,8.693275
8.45,8.305942
8.099,7.777687
7.999,7.8105025
7.962,7.8278265
7.925,7.8187103
7.989,7.7446904
7.947,7.849478
8.108,7.6818447
8.032,8.1609
7.907,7.7444515
8.047,7.652316
7.95,7.980171
7.962,7.765155
8.136,7.813324
8.221,8.165796
8.008,8.200968
7.907,7.575386
7.947,7.6772323
8.172,7.9472675
8.438,8.450231
8.929,8.748187
9.201,9.253024
9.314,9.20383
9.628,9.414455
9.79,9.8968935
9.839,9.929339
9.906,9.884279
9.863,9.91156
9.866,9.762533
9.888,9.833418
9.854,9.900513
9.811,9.861221
9.875,9.883931
9.924,10.026315
10.144,10.0661
10.242,10.480528
10.251,10.469217
10.33,10.536741
10.312,10.571966
10.431,10.518572
10.608,10.786324
10.745,10.95854
10.699,11.028953
10.705,11.038657
10.739,11.024232
10.849,11.038722
10.995,11.262719
11.05,11.455881
11.163,11.398922
11.307,11.582463
11.429,11.770288
11.563,11.808622
11.587,12.023682
11.572,11.954657
11.624,11.919063
11.682,12.101537
11.767,12.13451
11.877,12.223984
11.899,12.355431
11.862,12.310152
11.795,12.216609
11.771,12.127762
11.746,12.146523
11.615,12.13785
11.56,11.864754
11.517,11.904005
11.505,11.852181
11.484,11.795765
11.435,11.677633
11.502,11.583965
11.401,11.796028
11.307,11.487264
11.264,11.427184
11.392,11.374009
11.432,11.522963
11.346,11.494057
11.224,11.330716
11.374,11.225142
11.352,11.458549
11.368,11.275844
11.42,11.314703
11.264,11.34201
11.191,11.019801
11.319,11.0834675
11.157,11.236857
11.078,10.821619
10.95,10.879125
10.837,10.642536
10.745,10.545767
10.751,10.4278555
10.742,10.492414
10.931,10.436946
10.989,10.739548
10.947,10.63533
10.953,10.5691395
10.901,10.596762
10.76,10.47883
10.715,10.288965
10.69,10.2939825
10.812,10.290556
10.825,10.487973
10.739,10.374696
10.727,10.258387
10.666,10.301454
