true_value,predict
1.129,0.40483445
0.43,0.04874608
0.485,-0.63261163
0.878,-0.30882514
1.263,0.09463301
1.476,0.61426175
1.62,0.8022166
1.721,0.83471143
1.815,0.93150675
2.004,1.0529993
2.203,1.2523291
2.407,1.4914995
2.551,1.7567577
2.557,1.8245146
2.389,1.8504837
2.377,1.7781646
2.511,1.8588248
2.648,1.9931207
2.856,2.1681805
3.07,2.4808493
3.271,2.7110138
3.353,2.9340212
3.414,2.9812727
3.491,3.0514395
3.585,3.1515644
3.732,3.2808917
3.976,3.4784164
4.208,3.7931094
4.367,3.9786365
4.464,4.0176888
4.495,4.113727
4.577,4.1021004
4.614,4.2339764
4.574,4.186861
4.431,4.080499
4.26,3.8878047
4.098,3.7868671
3.973,3.6297276
3.897,3.466555
3.842,3.4089046
3.842,3.3285677
3.866,3.3804111
3.903,3.4755077
3.906,3.5248842
3.857,3.4816146
3.701,3.3744245
3.625,3.20454
3.549,3.2357533
3.622,3.1020224
3.701,3.3649225
3.674,3.342048
3.665,3.2780347
3.744,3.353111
3.82,3.4775965
3.9,3.5462472
3.961,3.653555
3.912,3.6886785
3.817,3.6305063
3.765,3.6063824
3.708,3.645627
3.704,3.6111436
3.765,3.656801
3.982,3.8047476
4.238,4.226791
4.449,4.426608
4.605,4.6230884
4.791,4.802677
4.913,5.0371904
5.044,5.0958285
5.133,5.3151193
5.233,5.3485303
5.352,5.473672
5.468,5.6304107
5.45,5.7528563
5.471,5.699394
5.499,5.7982874
5.48,5.8424916
5.505,5.842237
5.612,5.895643
5.746,6.0395465
5.883,6.190369
5.99,6.345359
5.978,6.4007006
5.978,6.3114796
6.161,6.384869
6.42,6.676359
6.515,6.915441
6.515,6.908131
6.674,6.9598494
6.732,7.025871
6.781,7.056316
6.948,7.2121906
6.985,7.334659
7.028,7.340068
7.095,7.446679
7.129,7.5458674
7.122,7.5938563
7.156,7.608626
7.18,7.727902
7.183,7.7506285
7.211,7.7771516
7.309,7.891291
7.385,8.076066
7.376,8.082169
7.379,8.082888
7.455,8.198266
7.516,8.315715
7.562,8.325741
7.66,8.420681
7.986,8.543184
8.276,9.078918
8.41,9.107917
8.416,9.238197
8.282,9.158311
8.123,8.939071
7.992,8.816894
7.928,8.621302
7.876,8.506026
7.834,8.506174
7.58,8.478767
7.254,8.094246
7.003,7.826528
6.869,7.6799655
6.784,7.67926
6.805,7.540048
6.842,7.4972663
6.848,7.5443187
6.823,7.568135
6.762,7.513039
6.787,7.4429417
6.884,7.540655
6.988,7.6742663
7.009,7.7541723
7.019,7.717586
7.037,7.7676406
7.003,7.7827153
7.031,7.7525673
7.125,7.865602
7.098,7.899255
7.116,7.8699574
7.18,7.948289
7.205,7.972575
7.29,8.040951
7.373,8.19179
7.394,8.248882
7.483,8.25084
7.476,8.410981
7.458,8.291784
7.476,8.316295
7.568,8.357019
7.599,8.471902
7.504,8.449685
7.388,8.307449
7.4,8.193543
7.4,8.297212
7.397,8.220653
7.437,8.222293
7.501,8.287152
7.461,8.357064
7.458,8.17731
7.702,8.281457
7.934,8.633736
7.943,8.757076
8.008,8.605704
8.011,8.745856
7.983,8.581832
7.904,8.57393
7.751,8.526475
7.864,8.296387
8.001,8.658966
7.937,8.6542225
7.815,8.471478
7.705,8.280517
7.708,8.188233
7.818,8.323628
7.882,8.437479
7.84,8.458551
7.785,8.333883
7.733,8.270505
7.525,8.202057
7.367,7.9400706
7.388,7.849262
7.486,7.956476
7.626,8.02216
7.733,8.158015
7.724,8.261775
7.623,8.078383
7.547,7.941729
7.455,7.920002
7.36,7.779545
7.296,7.6572633
7.229,7.525463
7.199,7.5198355
7.064,7.488302
6.896,7.283772
6.698,7.099361
6.442,6.9011574
6.234,6.6246033
6.21,6.457502
6.234,6.522991
6.234,6.49626
6.133,6.444835
5.999,6.245865
5.853,6.08094
5.712,5.9112244
5.697,5.801779
5.676,5.7812324
5.575,5.6416855
5.416,5.510913
5.236,5.3009896
5.029,5.0697885
4.815,4.8671646
4.611,4.6726065
4.394,4.431468
4.248,4.196171
4.068,4.0573177
3.857,3.7722812
3.714,3.561657
3.686,3.4487572
3.637,3.517949
3.555,3.3136933
3.463,3.2582858
3.433,3.212774
3.476,3.1723294
3.567,3.2159894
3.604,3.30797
3.509,3.2877443
3.427,3.12676
3.39,3.0568411
3.375,3.0261872
3.305,3.0472298
3.244,2.9097605
3.18,2.8896575
3.07,2.8312292
2.981,2.7214928
2.96,2.677194
3.027,2.708235
3.161,2.8202996
3.296,2.9640834
3.387,3.069378
3.424,3.1125968
3.531,3.1135547
3.665,3.2836082
3.738,3.3954806
3.671,3.3422503
3.744,3.1947722
3.735,3.357001
3.613,3.1716876
3.644,3.0633183
3.802,3.1920245
3.833,3.345849
3.711,3.2301931
3.378,2.9822848
3.155,2.6787198
3.177,2.615484
3.122,2.6204362
3.085,2.3915327
3.1,2.4357722
2.957,2.4293978
2.737,2.2696204
2.585,1.9594324
2.548,1.9995352
2.475,1.9900656
3.021,1.8669503
3.741,2.907292
3.973,2.815675
3.796,3.1718042
3.665,2.8528419
3.607,2.6837964
3.567,3.1158643
3.457,2.8656685
3.363,2.64892
3.225,2.47795
3.045,2.3563118
2.887,2.285117
3.009,2.0416305
3.473,2.41428
3.613,3.0048506
3.384,2.9661045
3.085,2.1742735
2.878,2.1342847
2.673,2.1791487
2.523,1.9871895
2.523,1.7848301
2.511,1.6981763
2.453,1.5744346
2.423,1.612989
2.572,1.6105416
