true_value,predict
9.463,9.582706
9.155,9.308875
8.801,9.170097
8.389,8.771785
7.992,7.9362435
7.58,7.4465113
7.116,7.0278196
6.665,6.578953
6.341,6.2148414
6.128,6.0185404
5.926,5.8402476
5.658,5.663234
5.319,5.2209353
4.986,4.759055
4.614,4.6080494
4.245,4.306457
4.058,3.8936393
3.888,3.7401657
3.805,3.2927723
3.738,3.555347
3.613,3.5628023
3.555,3.1701076
3.689,3.0527096
4.458,3.526393
4.968,4.257575
4.568,4.439279
4.47,3.9736302
4.528,4.24611
4.483,4.06143
4.974,4.1096377
5.069,4.565748
4.785,4.978793
4.779,4.839408
4.861,4.6953354
4.937,4.1410575
5.203,4.5937643
5.597,5.5491314
5.789,5.1912055
6.024,6.1323767
6.448,6.353638
7.138,7.000591
7.983,7.570586
8.23,8.134497
8.624,8.43594
9.024,8.989634
9.378,9.626223
9.463,10.009418
9.649,10.390441
9.808,10.2094345
9.939,10.285463
10.007,10.326361
10.177,10.453177
10.516,10.696138
10.788,11.04687
11.004,11.244303
11.151,11.47249
11.194,11.532927
11.206,11.531256
11.114,11.585611
11.044,11.482398
11.154,11.551091
11.301,11.707358
11.496,11.789212
11.63,11.812478
11.7,11.891407
11.844,11.864332
12.097,12.11274
12.262,12.351227
12.411,12.471696
12.46,12.519107
12.463,12.528424
12.466,12.441961
12.402,12.43862
12.305,12.358015
12.14,12.185931
12.427,11.974048
12.564,12.484699
12.585,11.705331
12.512,12.518211
12.408,12.506418
12.36,12.0502615
12.299,12.089196
12.408,11.9264
12.567,12.299435
12.686,12.472744
12.57,12.547676
12.268,12.273757
12.378,11.843017
12.616,12.612312
12.744,12.6981
12.729,12.579158
12.753,12.825471
12.808,12.807475
12.781,12.690386
12.762,12.7957945
12.735,12.728187
12.631,12.803987
12.579,12.697027
12.43,12.701489
12.323,12.556224
12.253,12.50182
12.124,12.491437
12.152,12.321066
12.198,12.539253
12.25,12.607167
12.387,12.621125
12.503,12.809836
12.591,12.807555
12.768,12.871434
12.915,12.966344
12.97,13.043903
12.961,13.135411
13.028,13.0606785
13.202,13.208141
13.293,13.47521
13.159,13.40848
12.833,13.171403
12.485,12.745991
12.231,12.255268
11.862,12.016039
11.52,11.652808
11.358,11.472835
11.127,11.382396
10.818,11.036633
10.644,10.71703
10.544,10.729514
10.467,10.666035
10.428,10.214552
10.498,10.260793
10.464,10.533248
10.461,10.292368
10.376,10.255982
10.22,10.125839
10.071,10.007249
9.964,9.996913
9.915,9.915889
9.921,9.852614
9.878,9.903698
9.765,9.836869
9.64,9.64648
9.521,9.59424
9.381,9.47091
9.497,9.358143
9.888,9.735852
10.3,10.185648
10.531,10.344106
10.592,10.561207
10.577,10.535854
10.449,10.664308
10.48,10.544792
10.504,10.4041395
10.589,10.617371
10.663,10.74704
10.724,10.861402
10.638,10.898595
10.617,10.7266245
10.599,10.773198
10.629,10.699544
10.592,10.732478
10.519,10.633608
10.516,10.612573
10.431,10.631754
10.361,10.420314
10.211,10.438306
10.086,10.219263
9.945,10.15427
9.833,9.988768
9.762,9.912779
9.625,9.84341
9.482,9.582284
9.421,9.334248
9.405,9.429734
9.323,9.419806
9.118,9.278012
8.893,9.001806
8.716,8.942503
8.685,8.753466
8.697,8.557124
8.752,8.555667
8.825,8.815782
8.957,8.939429
9.118,8.977112
9.179,9.047443
9.241,9.098056
9.231,9.143923
9.179,9.098539
9.115,9.058003
9.17,8.946184
9.231,9.006075
9.253,9.191939
9.234,9.155129
9.17,9.154386
9.146,9.080963
9.189,9.090547
9.247,9.183648
9.375,9.270524
9.561,9.453593
9.72,9.640568
9.738,9.718667
9.585,9.670153
9.378,9.489864
9.195,9.302898
9.002,9.157815
8.825,9.055804
8.584,8.9052
8.368,8.551139
8.346,8.582567
8.392,8.7406435
8.529,8.384601
8.682,8.846608
8.838,8.713035
8.951,9.093303
9.018,9.08824
9.073,9.0488205
9.189,9.151486
9.344,9.206859
9.497,9.287438
9.628,9.416695
9.75,9.482547
9.823,9.606609
9.909,9.598723
9.988,9.667798
10.037,9.711149
10.058,9.742581
10.016,9.768052
9.955,9.683013
9.897,9.6307535
9.829,9.576913
9.744,9.530278
9.662,9.368223
9.503,9.269539
9.301,9.196743
9.244,9.156968
9.277,9.075711
9.439,8.852867
9.628,9.2629595
9.836,9.620091
10.04,9.80172
10.272,9.864151
10.586,10.310105
10.843,10.560467
11.026,10.79666
11.084,11.012501
11.029,11.024118
10.989,10.94974
11.056,10.94541
11.16,11.071838
11.264,11.113474
11.484,11.285278
11.67,11.6576185
11.966,11.804989
12.25,12.093177
12.427,12.293259
12.573,12.407112
12.689,12.716042
12.759,12.790213
12.494,12.834558
12.317,12.374871
12.463,12.459652
12.628,12.614141
12.5,12.6770115
12.234,12.372755
12.186,12.151051
12.366,12.1869955
12.366,12.417868
12.237,12.202523
12.094,12.1266575
11.88,11.990724
11.386,11.58723
10.904,11.014139
10.66,10.8130045
10.614,10.586616
10.904,10.588212
11.075,10.8972435
11.029,10.712326
10.788,10.58146
10.708,10.934731
10.605,10.325393
10.449,10.165422
10.168,9.679341
9.79,9.582342
9.475,9.329453
9.463,8.988245
9.598,8.896611
9.915,8.983504
10.019,9.417133
10.577,9.669765
11.334,10.032971
