true_value,predict
10.736,9.400132
10.593,9.607905
10.361,9.954183
9.894,9.710461
9.524,9.018314
9.079,8.678269
9.222,8.031361
9.46,8.636187
9.338,8.867471
9.32,8.644556
9.366,8.664348
9.21,9.064979
8.951,8.783208
8.774,8.459081
8.584,8.480765
8.392,8.379403
8.298,8.201157
8.087,8.158124
8.087,7.9142065
8.05,8.105023
7.971,8.024904
7.867,7.986381
8.023,7.9075212
8.008,8.179022
7.849,8.05945
7.498,7.921576
7.501,7.4435034
7.58,7.8472505
7.501,7.7384505
7.318,7.6917243
7.281,7.490586
7.107,7.508038
7.181,7.226356
6.976,7.4760246
6.979,7.1073112
7.208,7.241851
7.107,7.47772
7.074,7.2469044
7.199,7.243864
7.193,7.3974643
7.132,7.2788906
6.97,7.234133
6.82,6.9898176
6.582,6.832962
6.347,6.566651
6.146,6.321687
6.134,6.0923834
5.865,6.18992
5.49,5.6640873
5.304,5.234594
5.063,5.140543
4.907,4.7339883
4.73,4.6027713
4.657,4.310547
4.577,4.3600793
4.391,4.2855253
4.342,3.947628
4.416,4.0361595
4.312,4.1167684
4.098,3.9277532
3.97,3.6499412
3.872,3.5360203
3.531,3.463231
2.963,3.1161177
2.618,2.3380795
2.172,2.0273695
1.879,1.4876995
1.529,1.5118132
1.284,1.1036541
1.452,1.1588335
1.586,1.6389699
1.898,1.6188736
2.322,2.1709561
2.755,2.5248256
3.237,3.1343558
3.891,3.5939636
4.22,4.084222
4.235,4.1995506
4.48,4.2270317
4.458,4.705007
4.266,4.608797
4.205,4.272135
4.489,4.347964
4.788,5.066713
5.139,5.194567
5.401,5.6425247
5.404,5.9354253
5.279,5.840217
5.2,5.7118526
5.203,5.763667
5.282,5.8686485
5.069,5.956119
4.492,5.5280423
3.882,4.788247
3.497,4.188533
3.909,4.0835457
5.398,5.9703617
6.915,7.1189494
7.455,7.6081276
7.275,8.440329
6.869,7.701583
6.711,7.641304
6.964,8.0001955
8.389,8.009902
9.491,9.055946
9.488,10.52924
9.549,10.016479
9.842,9.83945
9.884,10.609928
10.19,10.537477
10.522,10.747991
10.919,11.4252205
11.224,11.408509
11.374,11.697835
11.651,11.628561
11.798,11.803052
12.091,11.777656
12.216,11.903898
12.167,11.970015
12.158,11.879004
12.042,11.878385
10.632,11.734812
9.402,10.329068
8.465,8.946204
6.976,8.664916
5.542,6.892068
4.763,5.0856047
4.565,5.210139
4.602,5.468517
4.769,6.6150064
4.959,5.072186
4.998,5.978256
4.754,6.1461477
4.678,4.507777
4.995,5.4145336
5.511,6.0980616
9.219,8.082897
10.827,12.710008
11.181,10.27383
11.499,11.638691
11.508,11.269142
11.407,11.505226
11.041,11.328975
10.66,10.584078
10.287,10.412652
10.107,10.624632
10.165,10.238072
10.174,10.199954
10.303,9.8790045
10.62,10.611318
10.843,11.110864
10.708,11.265165
10.675,11.017272
11.026,11.060538
11.069,11.571735
10.904,11.490763
10.849,11.282038
11.065,11.373428
10.977,11.697872
10.696,11.412634
10.486,11.176707
10.385,11.02808
10.507,10.95279
10.373,11.251159
10.132,10.835881
10.046,10.807653
10.321,10.787712
10.373,11.261907
10.119,11.178941
10.733,10.932897
10.29,11.846109
10.22,11.070896
10.156,11.047074
10.269,11.004611
10.296,11.129969
10.284,11.099348
10.419,11.001582
10.562,11.22371
10.617,11.266046
10.657,11.313887
10.336,11.353231
10.089,10.854461
10.028,10.82568
10.007,10.722968
10.019,10.52177
9.964,10.471507
9.732,10.336241
9.57,10.095001
9.427,9.999469
9.32,9.758278
9.28,9.536847
9.051,9.418022
8.841,9.061428
8.618,8.872634
8.282,8.527743
7.962,8.02314
7.776,7.6674795
7.525,7.4525685
7.452,7.2276163
7.361,7.4181943
7.284,7.25561
7.071,7.151414
7.022,6.846943
6.793,7.0444603
6.619,6.434557
6.381,6.6465735
6.192,5.993824
5.978,6.1002283
5.755,5.6366377
5.673,5.5447016
5.38,5.517968
5.2,4.931289
5.606,5.111573
6.298,5.958745
6.68,6.7913985
7.104,6.4207478
7.278,7.1807513
7.058,7.4744153
7.058,7.2926846
7.092,7.5927725
7.211,7.350088
7.397,7.394474
7.577,7.7560873
8.313,7.782809
8.383,8.627699
8.343,8.588746
8.539,8.645944
8.825,9.022594
9.024,9.484768
9.048,9.439368
9.143,9.268964
9.317,9.806175
9.375,9.876343
9.302,9.8806505
9.289,9.807336
9.237,9.984094
8.923,10.00186
8.633,9.709626
8.343,9.575794
8.175,9.357985
7.986,9.242897
7.953,8.895529
7.925,8.923488
7.934,8.891517
7.901,8.881791
7.977,8.840989
7.861,8.931322
8.139,8.726801
8.706,9.24118
8.999,9.695595
8.682,9.645784
8.74,9.349595
6.512,9.352449
3.445,5.8220167
4.653,5.3645144
5.166,6.0542154
4.965,6.407796
5.136,5.6080146
5.368,4.9256444
5.987,7.1737943
6.112,5.185046
6.231,6.390404
6.274,6.539585
6.079,6.560237
5.957,6.428368
6.006,6.229413
5.633,6.0405455
5.703,5.5392838
5.569,6.011222
5.053,5.391603
5.175,4.7567706
5.096,5.3589516
4.629,4.7766404
4.596,4.2294207
4.742,4.54442
4.586,4.501163
4.251,4.357452
3.842,3.8337362
3.506,3.5165117
3.308,3.0347543
3.07,2.7929206
2.703,2.56633
2.374,2.0779114
2.285,1.7172143
2.371,2.012907
2.258,2.1542354
2.16,1.9551407
1.602,1.7841828
