true_value,predict
4.617,4.143112
4.306,4.192658
4.406,3.819442
4.138,3.9163103
3.61,3.5776618
3.296,2.998689
3.32,2.8220198
3.753,2.975245
3.848,3.4471636
3.506,3.396765
3.399,2.968848
3.228,2.8944466
3.216,2.7952027
3.125,2.8692558
3.152,2.7728553
3.326,2.8165817
3.424,3.0115292
3.363,3.0308263
3.421,2.905319
3.524,2.9534054
3.097,3.0208714
2.984,2.542534
2.899,2.554186
2.877,2.4546947
2.853,2.4527419
2.966,2.41473
3.17,2.5853276
3.295,2.8169036
3.781,2.949191
3.186,3.3874195
3.271,2.558151
3.491,2.8398464
3.814,3.0827513
3.933,3.348111
4.071,3.3353171
4.119,3.4667344
3.604,3.4701264
3.485,2.861814
3.518,2.88386
3.598,3.0464785
3.726,3.1655066
4.004,3.315746
3.573,3.539721
3.738,3.0525067
3.823,3.3370025
3.79,3.4625888
3.665,3.4247255
3.54,3.3561285
3.283,3.207747
2.945,2.9390762
2.383,2.5323126
2.31,1.9796879
1.876,2.0731938
1.727,1.6088016
1.44,1.6482203
1.208,1.3653953
0.564,1.269665
0.39,0.70151234
0.604,0.8651135
1.184,1.0990345
1.507,1.7171762
2.142,1.8776677
2.313,2.6760347
2.468,2.5390236
2.661,2.8534472
2.893,2.9939911
3.097,3.266215
3.192,3.437256
3.289,3.468282
3.555,3.6083086
3.726,3.9111016
4.184,4.0322914
4.492,4.640065
4.516,4.8203764
4.458,4.766679
4.525,4.716881
5.011,4.848901
5.539,5.513074
5.926,6.0753536
6.262,6.521737
6.68,6.822357
6.759,7.1229424
6.866,7.0017605
7.177,7.0932746
7.446,7.4839296
8.194,7.8069096
8.804,8.858358
9.128,9.519363
9.259,9.795255
9.54,9.89605
9.729,10.471487
9.778,10.588951
9.845,10.624327
9.881,10.607776
10.122,10.620218
10.238,10.962658
10.428,10.930094
10.696,11.505112
10.742,11.437555
10.611,11.8870945
10.766,11.625159
11.127,11.922719
11.279,11.999109
11.441,12.321379
11.444,12.406887
11.444,12.360418
11.398,12.572992
11.371,12.502717
11.374,12.42244
11.511,12.427883
11.383,12.793195
11.42,12.486623
11.478,12.886659
11.478,12.469801
11.673,12.72031
11.624,12.8968
11.328,12.571055
11.008,12.325846
10.632,11.8305645
10.87,11.307487
11.255,11.7347145
11.349,12.121942
11.343,12.194936
11.197,12.209124
11.212,12.061425
10.809,12.113539
10.559,11.654442
10.614,11.304822
10.745,11.321265
10.986,11.527489
11.035,11.877708
10.818,11.955891
10.455,11.6691475
10.321,11.137409
10.324,10.917758
10.483,10.898481
10.769,11.136836
10.84,11.529748
11.041,11.599607
11.004,11.820795
11.27,11.717961
11.136,12.031771
10.657,11.8017235
10.586,11.175084
10.592,11.018967
10.721,11.011128
10.763,11.191753
10.928,11.2605
10.87,11.449031
10.675,11.330636
10.361,11.025365
10.37,10.601088
10.373,10.621961
10.373,10.649972
10.339,10.646029
10.373,10.597833
10.275,10.602632
10.147,10.477421
10.153,10.353399
10.0,10.397694
9.903,10.240192
9.894,10.19046
9.848,10.191875
10.013,10.123512
9.817,10.30419
9.93,10.013047
9.933,10.157796
9.698,10.105042
9.796,9.788923
9.729,9.9366665
10.077,9.784907
10.254,10.235245
10.321,10.28278
10.345,10.210797
10.013,10.103692
10.126,9.725511
10.11,9.9214525
10.388,9.863514
10.449,10.110372
10.574,10.054418
10.724,10.170685
10.504,10.318591
10.238,9.961298
10.223,9.603125
10.205,9.623111
9.811,9.616154
9.546,9.237425
8.905,9.087334
8.178,8.3944025
7.855,7.586585
7.754,7.383896
7.651,7.3474007
7.321,7.256798
7.059,6.8881865
6.686,6.69866
6.503,6.3318777
6.46,6.2868958
6.695,6.245943
6.82,6.5532637
6.952,6.5417337
7.174,6.7190933
7.187,6.9060936
7.394,6.8199778
7.718,7.1388016
8.102,7.4216137
8.117,7.8050566
8.212,7.562167
8.304,7.7518454
8.255,7.7499247
8.331,7.64649
8.297,7.777486
8.215,7.6466713
8.288,7.5681562
8.41,7.690674
8.471,7.811734
8.325,7.847416
8.069,7.6300497
8.188,7.361823
8.352,7.6341
8.05,7.7667303
7.867,7.318453
7.892,7.253722
8.038,7.320777
8.081,7.519211
8.273,7.522814
8.554,7.8070593
8.755,8.097112
9.323,8.336072
9.778,9.151664
10.538,9.42684
10.678,10.378779
10.803,10.334801
11.139,10.435181
11.133,10.755091
11.426,10.631934
11.316,11.118471
11.85,10.782744
12.488,11.835442
12.945,11.844713
13.119,12.309776
13.51,12.172379
14.139,12.332646
14.243,12.344927
13.892,12.357719
13.766,12.370991
13.965,12.384697
13.748,12.3988
13.541,12.413261
13.321,12.428039
13.107,12.443094
13.202,12.4583845
13.122,12.47387
12.665,12.489512
12.408,12.505269
13.138,12.034779
13.489,12.5369625
13.26,12.552821
12.933,12.568633
12.482,12.584361
11.819,11.886357
12.244,11.0171
13.382,12.357199
13.516,12.645665
12.552,12.660403
9.314,12.674838
10.043,8.873481
8.697,11.772005
7.727,7.4401884
6.534,7.7340174
5.31,5.8122444
5.252,5.346657
4.351,5.845045
5.023,4.7666855
6.936,6.280998
6.878,7.9102497
7.968,7.1855145
6.778,9.110483
7.01,6.4731197
5.987,8.177555
5.774,5.827285
7.577,6.9434557
9.689,8.635631
10.724,12.349301
7.467,11.965754
6.894,7.103793
4.028,6.9558687
9.463,4.1971855
12.857,12.860189
