true_value,predict
7.721,7.373462
8.008,7.4641976
8.197,7.790408
8.142,7.9132423
8.16,7.5683537
8.124,8.0804205
8.188,7.934678
8.194,8.018058
8.206,7.949457
8.014,8.003506
7.922,7.6253505
7.864,7.6997194
7.925,7.6435494
7.989,7.733246
7.849,7.7582674
7.821,7.3910193
7.931,7.5549994
8.041,7.832805
8.148,7.8591905
8.246,7.926149
8.34,7.9629216
8.56,8.000279
8.74,8.3053255
8.777,8.420144
8.81,8.362921
8.804,8.472737
9.06,8.4153
9.35,8.646309
9.311,9.011332
9.097,8.853266
9.063,8.622457
9.076,8.529054
9.146,8.45393
9.097,8.761292
9.082,8.570915
9.234,8.46006
9.36,9.008559
9.115,8.962483
9.353,8.602097
9.326,9.025103
9.149,9.121819
8.996,8.851904
8.926,8.866285
8.783,8.855504
8.929,8.820223
9.073,8.882549
9.405,9.043863
9.497,9.700672
9.533,9.4495
9.689,9.624936
9.881,10.110425
10.132,10.073684
10.202,10.342873
10.324,10.261627
10.461,10.335369
10.437,10.503646
10.3,10.494037
10.272,10.314069
10.47,10.267888
10.62,10.514632
10.931,10.580172
11.337,10.891533
11.438,11.221612
11.423,11.195319
11.404,11.018983
11.566,11.393368
11.554,11.504858
11.481,11.287055
11.404,11.38533
11.334,11.333754
11.169,11.262647
11.066,10.956354
11.072,10.927476
11.16,10.718908
11.31,10.927171
11.523,11.175258
11.78,11.522382
11.822,11.735016
11.88,11.788227
11.938,11.911943
12.048,12.21385
12.03,11.916105
12.118,11.7584305
12.109,11.93649
12.314,12.391459
12.182,12.386316
12.057,12.318869
12.179,12.138538
12.533,12.344367
12.756,13.022967
12.909,13.096304
12.631,13.308848
12.451,12.9206505
12.598,12.748096
13.046,13.385155
13.437,12.957701
13.006,13.737819
12.646,12.974439
12.964,13.046814
13.217,13.119068
13.232,13.172739
13.159,13.508674
13.177,13.394573
13.241,13.354281
13.287,13.415961
13.373,13.246872
13.354,13.431031
13.29,13.3276615
13.077,12.99079
12.906,12.807518
12.781,12.635331
12.71,12.418312
12.442,12.312212
11.523,12.036257
10.101,11.07185
10.342,9.932605
9.772,10.611766
8.826,10.284961
8.899,9.743149
8.365,9.675102
8.383,9.668512
9.616,9.4904175
10.333,9.771851
10.123,9.483603
10.333,11.0404215
10.437,10.908907
10.788,10.538427
10.821,10.7048025
11.139,11.2983055
11.374,11.300861
11.075,11.23698
10.574,11.306748
10.855,10.564686
10.266,11.134875
10.745,9.952411
11.072,11.327621
11.868,11.407544
12.366,11.486557
12.527,12.499366
12.378,12.700472
12.234,12.341296
12.369,12.745013
12.286,13.130401
11.926,12.674226
11.697,12.1531315
11.853,12.005605
11.941,12.149564
12.213,12.428675
12.216,12.662236
11.758,12.678476
11.358,12.013566
11.093,11.622866
10.663,11.501392
10.431,11.159861
10.605,11.319342
10.94,10.87374
11.236,11.190723
11.3,11.807814
11.34,11.597093
11.041,11.705688
10.724,11.289453
10.611,11.003937
10.559,10.570374
10.449,10.439669
10.077,10.431961
9.881,9.849677
9.619,9.796568
9.488,9.511508
9.186,9.334558
8.862,8.937877
8.478,8.709593
8.542,8.420697
8.539,8.30529
8.484,8.646367
8.392,8.443722
8.151,8.542729
7.95,8.033703
7.672,7.7148848
7.635,7.7515903
7.507,7.6433268
7.361,7.590473
6.949,7.23607
6.619,6.842201
6.35,6.5748744
6.088,6.355792
5.801,6.1253495
5.481,5.8359
5.291,5.5497193
5.121,5.4709797
4.837,5.263051
4.44,5.0786815
4.422,4.810879
4.779,4.698807
4.583,5.056202
4.995,4.922128
4.828,5.657832
4.589,4.792912
4.431,4.8191442
4.257,4.9452276
4.33,3.5807343
4.477,4.3637753
4.388,4.494442
4.324,4.3005824
4.074,3.8502688
3.933,3.6460824
3.817,3.755115
3.717,3.5839963
3.61,3.4096584
3.399,3.251096
2.853,3.0462353
2.655,2.5460572
2.395,2.283258
2.06,1.9349743
2.078,1.4895775
1.858,1.627273
1.464,1.85982
1.394,0.873521
1.181,0.9454608
0.823,0.95832664
0.692,0.6477958
0.869,0.86834794
0.817,0.6037986
0.936,0.7814141
0.967,1.0777545
0.885,1.0909302
0.573,1.0332987
0.524,0.502558
0.527,0.40521502
0.286,0.38986742
0.643,0.20412588
0.973,0.67499185
0.833,1.2793205
2.069,0.9258963
2.429,2.2040086
3.512,2.823656
2.902,3.1255026
3.173,2.7076256
1.986,2.5812805
1.565,1.9926848
1.91,1.3470359
2.227,1.9618132
2.649,2.0256171
3.296,2.6573365
3.241,2.926574
2.966,3.2177925
3.485,2.4935455
3.204,3.5760598
3.329,2.8222976
3.271,3.3801076
3.045,3.759912
2.581,3.3097448
2.578,2.3649654
2.349,2.3948884
1.403,2.088787
1.693,1.676187
1.77,2.486849
2.166,1.9241734
2.471,2.3578846
3.167,2.5671406
3.271,3.6547518
3.65,3.5268433
3.451,3.3883429
3.47,3.2057745
3.247,3.278638
3.256,3.0932841
3.466,2.7732136
4.489,3.002511
6.066,4.569317
7.415,4.501561
7.364,4.7933426
5.996,5.340878
4.922,5.378482
3.326,4.2328463
2.801,3.6821408
2.469,3.810113
3.512,3.8998182
4.757,4.370508
3.906,4.700488
4.159,4.215296
5.2,4.5016584
8.422,4.728339
8.334,6.1645107
6.943,6.3581944
7.129,6.1805396
6.494,6.037659
6.915,5.8503547
6.53,6.2726126
6.695,6.231637
