true_value,predict
9.726,9.780474
9.115,9.764013
8.618,9.604309
8.762,9.219342
8.755,9.076091
9.097,9.114063
9.842,9.446236
10.434,10.032757
10.531,10.332567
10.531,10.458554
10.586,10.073966
10.653,10.193456
10.699,10.786715
10.733,11.364634
10.724,11.449478
10.69,11.002579
10.623,10.783615
10.571,10.757402
10.537,10.736838
10.565,10.697071
10.617,10.684835
10.721,10.730974
10.797,10.807415
10.898,10.871101
11.001,10.918274
11.081,11.001937
10.983,11.11919
10.635,11.134338
10.104,10.976622
9.771,10.554761
9.878,10.160586
10.238,10.085815
10.54,10.5102215
10.659,10.899141
10.672,10.828236
10.65,10.373509
10.656,10.175617
10.726,10.430173
10.9,10.920531
11.059,11.28965
11.245,11.331102
11.334,11.37104
11.3,11.394531
11.111,11.341713
10.855,11.284796
10.717,11.143453
10.635,11.0426855
10.824,10.9532
10.943,11.056331
10.977,11.191679
11.138,11.091474
11.224,11.049889
11.251,11.054142
11.514,11.203196
11.929,11.577888
12.252,12.041515
12.454,12.460352
12.668,12.674169
12.906,12.680726
13.058,12.86742
13.129,13.235344
13.138,13.491995
13.095,13.459295
13.058,13.306006
13.064,13.292553
13.162,13.337477
13.235,13.399227
13.37,13.437121
13.345,13.496459
13.309,13.453082
13.254,13.345335
13.257,13.303885
13.275,13.349084
13.306,13.455383
13.303,13.508369
13.275,13.45653
13.312,13.348908
13.333,13.336975
13.373,13.38516
13.443,13.45509
13.443,13.552249
13.434,13.549568
13.486,13.505372
13.473,13.540488
13.495,13.573615
13.605,13.614965
13.635,13.724619
13.623,13.757507
13.623,13.737499
13.611,13.703053
13.614,13.661245
13.599,13.714774
13.605,13.772327
13.596,13.739721
13.638,13.690811
13.644,13.709063
13.614,13.73853
13.605,13.71651
13.599,13.684032
13.623,13.663717
13.635,13.703416
13.65,13.759464
13.595,13.75481
13.541,13.70544
13.525,13.634842
13.47,13.603824
13.428,13.590947
13.321,13.578238
13.251,13.511002
13.177,13.376793
13.101,13.294834
13.025,13.210401
12.955,13.1564865
12.927,13.076244
12.973,12.995153
12.97,13.000399
12.909,13.019597
12.89,12.989602
12.894,12.915723
12.89,12.884209
12.851,12.928452
12.839,12.982358
12.814,12.952729
12.829,12.889697
12.802,12.88371
12.686,12.894543
12.604,12.849484
12.524,12.738389
12.39,12.6319685
12.195,12.546108
12.005,12.445593
11.862,12.24057
11.773,12.025617
11.731,11.892999
11.719,11.831197
11.767,11.791429
11.789,11.764327
11.731,11.751164
11.673,11.700345
11.657,11.650469
11.63,11.640118
11.682,11.681539
11.691,11.792925
11.636,11.843531
11.596,11.751663
11.554,11.670941
11.401,11.592811
11.172,11.559147
11.044,11.444864
10.937,11.261982
10.769,11.084981
10.657,10.99098
10.635,10.8733635
10.617,10.718333
10.531,10.6202755
10.327,10.574059
10.132,10.436264
9.897,10.220092
9.744,10.018555
9.561,9.865695
9.366,9.791638
9.174,9.619253
8.945,9.368614
8.743,9.073154
8.597,8.81902
8.456,8.659986
8.395,8.50839
8.353,8.44294
8.292,8.34815
8.264,8.266551
8.237,8.221842
8.285,8.162656
8.359,8.217342
8.285,8.3463125
8.252,8.360797
8.194,8.316199
8.313,8.224312
8.389,8.315116
8.401,8.541508
8.337,8.585616
8.313,8.463242
8.353,8.3189335
8.435,8.35975
8.411,8.561268
8.319,8.633484
8.16,8.502725
8.096,8.288967
8.087,8.182846
8.011,8.197472
7.919,8.242283
7.837,8.151712
7.761,7.958799
7.632,7.812391
7.501,7.727501
7.391,7.635185
7.33,7.528539
7.4,7.4251328
7.538,7.42896
7.632,7.58475
7.748,7.6903906
7.846,7.7432017
7.879,7.7646194
7.901,7.830955
8.072,7.931244
8.346,8.168892
8.493,8.492229
8.493,8.739214
8.407,8.707757
8.316,8.470629
8.23,8.370907
8.169,8.44935
8.172,8.529657
8.221,8.476435
8.243,8.380061
8.16,8.340568
8.148,8.2661705
8.191,8.154096
8.279,8.159966
8.316,8.314562
8.362,8.473309
8.41,8.482406
8.557,8.44408
8.661,8.566331
8.731,8.751603
8.74,8.8857155
8.746,8.85392
8.801,8.789848
8.914,8.887299
8.981,9.07394
8.996,9.204951
9.076,9.168527
9.18,9.129064
9.262,9.21998
9.488,9.386348
9.796,9.631227
10.074,9.909169
10.184,10.194013
10.199,10.340682
10.184,10.263124
10.208,10.214566
10.177,10.338975
10.202,10.517137
10.135,10.55447
9.857,10.408141
9.607,10.15598
9.57,9.863805
9.537,9.712072
9.399,9.652972
9.351,9.702883
9.396,9.576659
9.491,9.361443
9.567,9.409517
9.546,9.528292
9.5,9.585222
9.506,9.512127
9.503,9.469273
9.36,9.536435
9.052,9.615913
8.783,9.432113
8.533,9.0541935
8.322,8.759296
8.185,8.577337
7.919,8.484243
7.623,8.233019
7.443,7.845926
7.361,7.509172
7.532,7.2778273
7.995,7.4438524
8.481,7.9766116
8.49,8.478487
8.505,8.593616
8.853,8.18654
9.143,8.440537
9.271,9.171484
9.366,9.809942
9.109,9.858721
8.844,9.3177
8.966,9.043781
9.213,9.18024
9.069,9.534784
8.914,9.566113
8.697,9.306609
8.218,8.72544
7.946,8.364813
8.044,8.231623
8.12,8.275955
7.766,8.335455
7.528,8.194258
7.605,7.719437
