true_value,predict
5.926,5.855132
5.981,5.886948
6.155,5.970021
5.908,6.132149
5.7,6.0542912
5.557,5.8323817
5.349,5.7578244
5.301,5.61427
5.276,5.662551
5.234,5.618937
5.221,5.4590697
5.197,5.4353824
5.166,5.335997
5.087,5.3062
5.115,5.2651577
5.047,5.256578
5.008,5.240832
5.057,5.1805997
5.081,5.2177567
5.014,5.208272
4.995,5.179838
4.95,5.1535497
4.947,5.0896792
4.87,5.1052027
4.901,5.0785246
4.941,5.0625978
4.699,5.0914
4.596,4.9254503
4.657,4.8366923
4.605,4.8425894
4.611,4.8048296
4.678,4.834154
4.712,4.816615
4.767,4.793162
4.745,4.8457913
4.825,4.8331285
4.983,4.865838
5.041,4.9911785
5.053,5.066236
4.931,5.1002326
4.669,5.0341725
4.458,4.8547993
4.458,4.7201886
4.596,4.764942
4.791,4.828131
4.837,4.915557
4.794,4.9331684
4.864,4.8033576
4.968,4.833217
5.06,4.917986
5.188,5.036566
5.209,5.2027893
5.249,5.235689
5.349,5.252018
5.475,5.337164
5.563,5.4373293
5.713,5.5539827
5.862,5.6710324
5.917,5.765183
5.92,5.861595
5.884,5.904195
5.938,5.9104714
6.106,5.9754786
6.225,6.119523
6.35,6.23266
6.347,6.316737
6.296,6.34681
6.296,6.3007245
6.18,6.3398657
6.128,6.313157
6.128,6.3007145
6.131,6.338129
6.265,6.297549
6.207,6.3710666
6.115,6.3519764
6.097,6.219432
5.996,6.216911
5.862,6.145427
5.758,6.081995
5.606,6.0285044
5.432,5.870645
5.426,5.73738
5.301,5.7188344
5.185,5.5843024
5.081,5.4367943
5.041,5.349367
5.008,5.248308
4.995,5.240811
4.998,5.202431
5.038,5.1572475
4.992,5.1643825
4.956,5.1360354
5.041,5.087795
4.956,5.136539
4.995,5.116011
5.087,5.12424
5.13,5.1805644
5.194,5.183192
5.24,5.2648935
5.191,5.2853994
5.246,5.262539
5.42,5.3132157
5.404,5.4188094
5.24,5.481019
5.313,5.382686
5.374,5.392617
5.365,5.438891
5.481,5.471163
5.371,5.5888424
5.517,5.4874988
5.737,5.534078
5.92,5.693107
6.1,5.774926
6.237,5.98781
6.347,6.067059
6.561,6.157535
6.329,6.3578787
6.167,6.3304105
5.923,6.2265077
5.59,6.115902
5.474,5.8946137
5.172,5.9159636
4.891,5.6753936
4.629,5.3303795
4.278,5.1076355
4.119,4.719459
3.851,4.603638
3.872,4.341419
3.899,4.2158146
3.753,4.209532
3.277,3.9656146
2.859,3.6691122
2.45,3.2180674
1.971,2.9256268
1.293,2.612891
1.226,2.5042546
1.254,2.2575612
1.479,1.8915825
1.324,1.7258835
0.436,1.6568911
1.294,0.8305512
1.736,1.1903164
1.892,1.5861901
1.861,1.5691944
1.99,1.939265
2.307,1.6239157
2.682,1.9789909
3.549,2.4116032
4.339,2.886442
4.815,3.5640526
5.008,3.9539766
5.066,4.2453966
4.946,4.391823
4.916,4.580916
4.925,4.8073206
4.824,5.012815
4.831,5.053832
4.531,5.0773864
4.416,4.854492
4.449,4.6898804
4.589,4.721872
4.431,4.7250876
4.217,4.7109165
4.205,4.454209
4.281,4.3744216
4.379,4.419089
4.489,4.4900856
4.861,4.5962005
4.809,4.7216353
4.571,4.801871
5.111,4.581496
4.864,4.8617773
4.934,4.9374986
5.163,4.923285
5.017,5.161477
4.971,4.9703875
5.389,5.0970263
5.499,5.310503
5.624,5.394675
6.146,5.513887
6.302,5.816547
6.421,6.015695
6.555,6.117072
6.567,6.325799
6.674,6.3589377
6.872,6.5798407
6.826,6.8065257
6.897,6.823821
6.665,6.8935275
6.979,6.784414
7.507,6.9154396
7.626,7.304709
7.534,7.4636235
7.342,7.4530845
7.287,7.2368846
7.196,7.2310667
7.431,7.341845
8.786,7.5295496
10.482,8.278046
11.877,9.215741
12.332,10.077573
12.216,10.764916
12.335,10.691655
12.378,11.08238
12.936,11.621685
13.644,12.375267
14.157,13.259275
14.841,13.515152
14.905,13.953926
15.036,14.169651
15.47,14.266319
15.808,14.753667
15.738,15.159652
15.619,15.462933
15.54,15.467115
15.18,15.352805
14.731,15.257473
14.639,15.025955
14.902,15.012186
15.473,15.052414
15.799,15.324869
15.451,15.543832
14.734,15.236811
14.017,14.670618
12.887,14.115626
11.777,13.53432
13.653,12.832751
13.184,13.842678
12.231,13.840039
11.81,12.384651
11.935,11.953691
11.944,11.524624
11.444,12.117567
9.115,12.061168
9.011,10.061557
8.328,9.802745
8.642,9.324481
8.99,9.093761
8.676,9.773527
8.697,8.787688
9.9,8.795524
10.498,9.087839
10.537,9.473037
10.721,10.025203
11.102,10.033237
11.633,10.280399
11.608,10.911482
10.287,11.34929
10.125,10.5358715
10.293,10.344005
8.789,10.472358
8.011,9.6165495
8.264,9.198858
9.027,8.904345
9.112,9.014267
9.405,9.414336
8.889,9.1003895
7.361,8.619866
8.914,7.6247563
10.119,8.459425
9.341,9.433747
8.139,9.164063
8.773,8.499262
8.554,8.091272
9.008,8.493148
10.421,8.855975
10.888,9.767424
11.233,10.024967
10.806,10.236816
10.473,10.178036
10.174,9.722353
10.68,10.122193
11.66,10.671583
12.063,11.3448305
12.038,11.726177
11.12,11.5964365
11.08,10.879255
10.555,10.83524
11.541,10.833224
10.781,11.364096
10.433,11.490092
10.189,10.538349
10.003,10.410524
10.348,10.017574
10.61,10.479324
10.504,10.737443
10.861,10.396277
11.221,10.581863
11.318,10.674907
