true_value,predict
10.724,10.561441
10.602,10.644567
10.849,10.626338
11.145,10.765452
11.987,10.971293
12.188,11.609458
11.09,12.123935
10.287,11.54282
10.327,10.721383
10.84,10.861192
11.118,11.2336235
10.617,11.348914
10.462,10.853703
10.315,10.348218
10.382,10.467933
10.672,10.639415
10.882,10.7885275
11.191,10.805422
11.752,10.953078
12.005,11.441206
11.767,11.821855
12.216,11.890465
12.106,12.197411
11.532,12.265479
11.758,11.818325
11.767,12.020159
11.676,11.99318
11.862,11.804787
12.124,11.933059
11.734,11.888317
11.725,11.842369
11.401,11.866906
10.8,11.604102
10.498,11.068296
10.498,10.864836
10.3,10.817021
9.671,10.538563
9.531,9.965178
9.558,9.633814
9.424,9.7289095
9.39,9.644282
9.43,9.47386
9.393,9.362597
9.363,9.359054
9.213,9.425721
9.106,9.290922
8.917,9.15014
8.78,9.065341
8.844,8.911883
8.823,8.942921
8.713,8.896152
8.585,8.746511
8.45,8.627365
8.499,8.508987
8.554,8.597911
8.505,8.626665
8.334,8.541517
8.179,8.38863
8.148,8.239097
8.264,8.275165
8.289,8.36394
8.228,8.34578
8.273,8.250384
8.337,8.254967
8.398,8.329433
8.74,8.414607
8.942,8.6629925
8.99,8.851917
9.07,8.961374
9.277,9.06544
9.381,9.208029
9.323,9.397493
9.1,9.445597
9.094,9.269259
9.195,9.198047
9.405,9.30877
9.604,9.413222
9.653,9.530384
9.732,9.598677
9.79,9.660989
9.805,9.793621
9.872,9.831235
9.979,9.908514
10.068,9.985572
10.141,10.0420685
10.281,10.118376
10.41,10.220541
10.532,10.336984
10.666,10.468394
10.745,10.6039
10.843,10.70921
10.934,10.8003235
11.005,10.9043455
11.173,10.983186
11.285,11.117524
11.404,11.238326
11.551,11.333015
11.581,11.47319
11.661,11.5562935
11.731,11.627467
11.725,11.7097
11.746,11.726334
11.832,11.749329
11.884,11.804877
11.978,11.838552
12.027,11.9149475
12.094,11.975498
12.128,12.0147705
12.122,12.083054
12.076,12.093946
12.006,12.074748
11.984,12.013705
11.963,11.996202
12.027,11.977735
12.054,11.997439
11.987,12.003405
11.945,11.948694
11.893,11.91474
11.905,11.880243
11.996,11.898853
11.981,11.962378
11.923,11.950323
11.975,11.88336
12.051,11.923745
12.021,11.980398
11.838,12.009303
11.871,11.882473
11.908,11.85841
11.954,11.911132
12.0,11.925291
12.103,11.949405
12.173,11.986589
12.241,12.06939
12.079,12.173635
11.969,12.120191
11.96,11.984043
12.082,12.011377
12.219,12.085097
12.363,12.152554
12.454,12.232961
12.393,12.318717
12.393,12.3548155
12.317,12.376934
12.247,12.34844
12.06,12.274466
11.868,12.164791
11.829,11.945196
12.109,11.913979
12.091,12.077522
11.838,12.083195
11.465,11.850244
11.258,11.533783
11.209,11.396212
11.063,11.46139
11.169,11.272296
11.038,11.1840315
10.904,11.052661
10.73,10.862203
10.684,10.816719
10.412,10.746922
10.15,10.587897
10.08,10.297355
10.175,10.20566
10.101,10.232723
9.903,10.179035
9.796,9.948929
9.946,9.795417
10.257,9.975613
10.461,10.203763
10.525,10.351991
10.534,10.43918
10.751,10.470695
10.76,10.6890745
10.434,10.814244
10.263,10.626445
10.107,10.442427
10.174,10.285428
10.226,10.323038
10.293,10.324402
9.771,10.23877
9.051,9.942223
8.694,9.276923
8.588,9.087464
8.728,9.039829
8.737,8.985016
8.45,8.83755
8.099,8.405928
7.999,8.154469
7.962,8.210865
7.925,8.213945
7.989,8.098914
7.947,8.026314
8.108,7.9177513
8.032,8.060877
7.907,8.123376
8.047,7.9544873
7.95,8.104334
7.962,8.075233
8.136,8.030671
8.221,8.168
8.008,8.178925
7.907,8.148774
7.947,8.027945
8.172,8.029231
8.438,8.213522
8.929,8.380789
9.201,8.720991
9.314,9.033932
9.628,9.249233
9.79,9.553732
9.839,9.766207
9.906,9.923607
9.863,10.033014
9.866,9.985696
9.888,9.95822
9.854,9.985791
9.811,9.931191
9.875,9.855859
9.924,9.883924
10.144,9.907408
10.242,10.053238
10.251,10.184185
10.33,10.208332
10.312,10.304026
10.431,10.322281
10.608,10.421283
10.745,10.574117
10.699,10.672919
10.705,10.725978
10.739,10.69908
10.849,10.740271
10.995,10.824841
11.05,10.952374
11.163,11.026969
11.307,11.085783
11.429,11.21287
11.563,11.341061
11.587,11.488681
11.572,11.580506
11.624,11.570902
11.682,11.62285
11.767,11.660378
11.877,11.729115
11.899,11.819726
11.862,11.856895
11.795,11.844308
11.771,11.795307
11.746,11.774659
11.615,11.77406
11.56,11.677798
11.517,11.582952
11.505,11.53439
11.484,11.50389
11.435,11.479356
11.502,11.409196
11.401,11.444497
11.307,11.42955
11.264,11.29927
11.392,11.287752
11.432,11.361485
11.346,11.419073
11.224,11.35164
11.374,11.21405
11.352,11.329634
11.368,11.410701
11.42,11.360727
11.264,11.392455
11.191,11.266636
11.319,11.2226925
11.157,11.350503
11.078,11.246376
10.95,11.108207
10.837,11.018111
10.745,10.86568
10.751,10.851087
10.742,10.8147545
10.931,10.743719
10.989,10.844845
10.947,10.911605
10.953,10.902169
10.901,10.941494
10.76,10.905497
10.715,10.825326
10.69,10.79557
10.812,10.753526
10.825,10.799288
10.739,10.817148
10.727,10.71511
10.666,10.714145
