true_value,predict
1.51,1.7021111
1.129,1.6225717
0.43,1.4132593
0.485,1.1027466
0.878,0.9318782
1.263,0.7052032
1.476,0.59935904
1.62,0.6993511
1.721,1.1177802
1.815,1.6230595
2.004,1.9824114
2.203,2.2092898
2.407,2.3802469
2.551,2.4838932
2.557,2.6204298
2.389,2.7620919
2.377,2.828156
2.511,2.836828
2.648,2.7820876
2.856,2.7022297
3.07,2.6739066
3.271,2.839523
3.353,3.0727704
3.414,3.3355982
3.491,3.5846903
3.585,3.7559474
3.732,3.8301017
3.976,3.863177
4.208,3.9317734
4.367,4.079527
4.464,4.272716
4.495,4.5161014
4.577,4.720931
4.614,4.8404465
4.574,4.891481
4.431,4.856597
4.26,4.765909
4.098,4.633415
3.973,4.4595356
3.897,4.2484417
3.842,4.030075
3.842,3.8477283
3.866,3.7313392
3.903,3.6962526
3.906,3.7182841
3.857,3.786731
3.701,3.850999
3.625,3.850988
3.549,3.8296416
3.622,3.7501254
3.701,3.6402814
3.674,3.5890245
3.665,3.5553071
3.744,3.6246645
3.82,3.7000473
3.9,3.7866871
3.961,3.8508599
3.912,3.955119
3.817,4.0108595
3.765,4.032787
3.708,4.017326
3.704,3.9511526
3.765,3.8414395
3.982,3.7575114
4.238,3.7429793
4.449,3.8663533
4.605,4.088065
4.791,4.40331
4.913,4.728999
5.044,5.006119
5.133,5.1995316
5.233,5.349139
5.352,5.428513
5.468,5.4949083
5.45,5.560422
5.471,5.6041784
5.499,5.656838
5.48,5.682503
5.505,5.6542835
5.612,5.6229095
5.746,5.6111727
5.883,5.6365004
5.99,5.7161503
5.978,5.8659077
5.978,6.006375
6.161,6.1297693
6.42,6.194412
6.515,6.2888227
6.515,6.3755436
6.674,6.5216603
6.732,6.690342
6.781,6.8258123
6.948,6.88426
6.985,6.965971
7.028,7.0374174
7.095,7.0702515
7.129,7.151087
7.122,7.213522
7.156,7.22316
7.18,7.239951
7.183,7.2470856
7.211,7.2272587
7.309,7.2285595
7.385,7.2461305
7.376,7.2925324
7.379,7.3333254
7.455,7.4117785
7.516,7.458354
7.562,7.5018635
7.66,7.5286803
7.986,7.589923
8.276,7.6850133
8.41,7.9003077
8.416,8.131879
8.282,8.429592
8.123,8.600683
7.992,8.611304
7.928,8.479402
7.876,8.260806
7.834,7.99857
7.58,7.7843714
7.254,7.582737
7.003,7.4174986
6.869,7.2342587
6.784,7.0114756
6.805,6.7463226
6.842,6.533601
6.848,6.46352
6.823,6.4740763
6.762,6.5637307
6.787,6.6653347
6.884,6.7423077
6.988,6.7887154
7.009,6.8318806
7.019,6.8870955
7.037,6.9845085
7.003,7.0667496
7.031,7.095525
7.125,7.1017313
7.098,7.103182
7.116,7.0851116
7.18,7.0962515
7.205,7.142781
7.29,7.1827826
7.373,7.2132354
7.394,7.2977505
7.483,7.3576217
7.476,7.4323053
7.458,7.5052066
7.476,7.5415316
7.568,7.5594006
7.599,7.564523
7.504,7.5648527
7.388,7.538969
7.4,7.534299
7.4,7.4976807
7.397,7.453407
7.437,7.363944
7.501,7.3343344
7.461,7.356943
7.458,7.3758774
7.702,7.4285355
7.934,7.496873
7.943,7.6401863
8.008,7.732205
8.011,7.95127
7.983,8.115219
7.904,8.167551
7.751,8.137456
7.864,8.034616
8.001,7.909866
7.937,7.8596582
7.815,7.770153
7.705,7.79457
7.708,7.823024
7.818,7.7934647
7.882,7.7338867
7.84,7.7064705
7.785,7.695586
7.733,7.7561693
7.525,7.785019
7.367,7.70638
7.388,7.6018925
7.486,7.462662
7.626,7.348179
7.733,7.2642
7.724,7.3498573
7.623,7.5073023
7.547,7.643154
7.455,7.714732
7.36,7.693473
7.296,7.572603
7.229,7.409355
7.199,7.260131
7.064,7.148544
6.896,7.0343294
6.698,6.9413195
6.442,6.8219304
6.234,6.63811
6.21,6.412194
6.234,6.194779
6.234,6.0377054
6.133,5.9146233
5.999,5.881729
5.853,5.919818
5.712,5.9166355
5.697,5.8461485
5.676,5.741338
5.575,5.6367693
5.416,5.4945297
5.236,5.406707
5.029,5.3321047
4.815,5.2035093
4.611,5.010292
4.394,4.780616
4.248,4.521378
4.068,4.2775283
3.857,4.049181
3.714,3.8439264
3.686,3.6801784
3.637,3.5668097
3.555,3.4746892
3.463,3.3889687
3.433,3.3753362
3.476,3.3829386
3.567,3.3838162
3.604,3.4016545
3.509,3.4587333
3.427,3.5074818
3.39,3.5672686
3.375,3.5674841
3.305,3.532668
3.244,3.4292324
3.18,3.3453496
3.07,3.2718341
2.981,3.1833146
2.96,3.0990202
3.027,3.0289085
3.161,2.975367
3.296,2.9583766
3.387,3.0373724
3.424,3.1969955
3.531,3.3845625
3.665,3.5531971
3.738,3.705271
3.671,3.809583
3.744,3.8596041
3.735,3.917145
3.613,3.9315815
3.644,3.8511086
3.802,3.8141148
3.833,3.796123
3.711,3.770981
3.378,3.7486122
3.155,3.7034566
3.177,3.6146264
3.122,3.4362667
3.085,3.2312944
3.1,2.9976628
2.957,2.9325993
2.737,2.9021542
2.585,2.8394284
2.548,2.791054
2.475,2.7149374
3.021,2.5502236
3.741,2.4410827
3.973,2.7243974
3.796,3.0986562
3.665,3.6388977
3.607,4.1811686
3.567,4.3641415
3.457,4.265687
3.363,3.9685864
3.225,3.6757524
3.045,3.4038436
2.887,3.2060785
3.009,3.0436554
3.473,2.933069
3.613,2.9245908
3.384,3.039038
3.085,3.190014
2.878,3.4378016
2.673,3.461921
2.523,3.274885
2.523,2.9385579
2.511,2.6066592
2.453,2.3841321
2.423,2.2380197
2.572,2.2546966
