true_value,predict
9.759,10.0719795
9.463,9.4581585
9.155,8.939439
8.801,9.023257
8.389,9.105975
7.992,8.898623
7.58,8.350771
7.116,7.725306
6.665,7.223843
6.341,6.7621326
6.128,6.396502
5.926,6.178395
5.658,6.0102057
5.319,5.731213
4.986,5.3070855
4.614,4.9124064
4.245,4.637887
4.058,4.369727
3.888,4.183515
3.805,4.0516286
3.738,3.911067
3.613,3.7984455
3.555,3.61816
3.689,3.4862144
4.458,3.6146574
4.968,4.2444544
4.568,4.944329
4.47,5.039234
4.528,4.432535
4.483,4.1470294
4.974,4.5382032
5.069,5.259999
4.785,5.62049
4.779,5.19563
4.861,4.7178416
4.937,4.6599946
5.203,5.003067
5.597,5.398425
5.789,5.7084074
6.024,5.82819
6.448,5.961761
7.138,6.2787127
7.983,6.89774
8.23,7.870625
8.624,8.473091
9.024,8.687588
9.378,8.8435335
9.463,9.214701
9.649,9.745739
9.808,9.944502
9.939,9.979408
10.007,10.027857
10.177,10.136621
10.516,10.250179
10.788,10.445915
11.004,10.703776
11.151,10.94933
11.194,11.072309
11.206,11.042826
11.114,11.05977
11.044,11.060753
11.154,11.019633
11.301,11.125756
11.496,11.271412
11.63,11.418993
11.7,11.51751
11.844,11.476505
12.097,11.552398
12.262,11.793499
12.411,12.07607
12.46,12.306204
12.463,12.353813
12.466,12.291058
12.402,12.282239
12.305,12.280379
12.14,12.232599
12.427,12.098718
12.564,12.221443
12.585,12.436631
12.512,12.491304
12.408,12.383245
12.36,12.060401
12.299,12.027057
12.408,12.155459
12.567,12.309961
12.686,12.463441
12.57,12.487359
12.268,12.429208
12.378,12.077029
12.616,11.974385
12.744,12.353868
12.729,12.700788
12.753,12.795138
12.808,12.526502
12.781,12.377331
12.762,12.512347
12.735,12.620112
12.631,12.622464
12.579,12.501354
12.43,12.380932
12.323,12.28688
12.253,12.150147
12.124,12.077873
12.152,11.992885
12.198,11.9484415
12.25,11.996868
12.387,12.019806
12.503,12.1183605
12.591,12.214154
12.768,12.307748
12.915,12.483016
12.97,12.6374
12.961,12.766306
13.028,12.798427
13.202,12.796441
13.293,12.947326
13.159,13.131648
12.833,13.142928
12.485,12.768015
12.231,12.251704
11.862,12.048191
11.52,11.946804
11.358,11.664903
11.127,11.356158
10.818,11.065759
10.644,10.743487
10.544,10.474157
10.467,10.3209505
10.428,10.295728
10.498,10.303443
10.464,10.291338
10.461,10.242505
10.376,10.216042
10.22,10.18113
10.071,10.036156
9.964,9.918098
9.915,9.858676
9.921,9.845296
9.878,9.87052
9.765,9.808681
9.64,9.633526
9.521,9.448465
9.381,9.3402815
9.497,9.28626
9.888,9.391134
10.3,9.715958
10.531,10.103719
10.592,10.413653
10.577,10.43153
10.449,10.287253
10.48,10.21384
10.504,10.329584
10.589,10.578638
10.663,10.713294
10.724,10.698019
10.638,10.606458
10.617,10.50003
10.599,10.403823
10.629,10.404895
10.592,10.492506
10.519,10.536098
10.516,10.448556
10.431,10.341118
10.361,10.284329
10.211,10.225222
10.086,10.127627
9.945,9.957014
9.833,9.838462
9.762,9.749551
9.625,9.677341
9.482,9.572175
9.421,9.378339
9.405,9.265332
9.323,9.264961
9.118,9.249655
8.893,9.072615
8.716,8.764022
8.685,8.563259
8.697,8.601826
8.752,8.71105
8.825,8.729743
8.957,8.681992
9.118,8.715419
9.179,8.877828
9.241,9.028421
9.231,9.107688
9.179,9.107253
9.115,9.071797
9.17,9.048638
9.231,9.10743
9.253,9.208272
9.234,9.236668
9.17,9.1863165
9.146,9.040381
9.189,8.966796
9.247,9.05508
9.375,9.163554
9.561,9.285876
9.72,9.4199
9.738,9.540516
9.585,9.625298
9.378,9.512149
9.195,9.244493
9.002,9.081229
8.825,9.0470085
8.584,8.970731
8.368,8.747481
8.346,8.386261
8.392,8.236804
8.529,8.32203
8.682,8.438522
8.838,8.535473
8.951,8.6123085
9.018,8.724949
9.073,8.837854
9.189,8.922528
9.344,9.048357
9.497,9.2502165
9.628,9.453076
9.75,9.590696
9.823,9.662702
9.909,9.708678
9.988,9.783664
10.037,9.883613
10.058,9.970098
10.016,10.013175
9.955,9.9746275
9.897,9.877637
9.829,9.801114
9.744,9.762625
9.662,9.704311
9.503,9.607372
9.301,9.450004
9.244,9.225323
9.277,9.114762
9.439,9.184247
9.628,9.340066
9.836,9.498286
10.04,9.635303
10.272,9.784805
10.586,10.007353
10.843,10.332992
11.026,10.656324
11.084,10.926829
11.029,11.036831
10.989,10.976854
11.056,10.899907
11.16,10.975924
11.264,11.163827
11.484,11.285006
11.67,11.399784
11.966,11.469491
12.25,11.687805
12.427,11.996267
12.573,12.214066
12.689,12.393994
12.759,12.48497
12.494,12.594602
12.317,12.541493
12.463,12.249765
12.628,12.317542
12.5,12.579739
12.234,12.6310835
12.186,12.269291
12.366,11.797923
12.366,11.995622
12.237,12.317203
12.094,12.284895
11.88,11.943364
11.386,11.557731
10.904,11.306566
10.66,10.884358
10.614,10.618064
10.904,10.641611
11.075,10.900996
11.029,11.0295725
10.788,10.835824
10.708,10.483689
10.605,10.222753
10.449,10.36128
10.168,10.473487
9.79,10.320359
9.475,9.860664
9.463,9.365428
9.598,9.349104
9.915,9.59824
10.019,9.850263
10.577,9.903781
11.334,10.13936
