true_value,predict
11.056,11.109607
10.736,11.107602
10.593,10.815148
10.361,10.604667
9.894,10.421232
9.524,9.985637
9.079,9.53362
9.222,9.173395
9.46,9.141138
9.338,9.468806
9.32,9.352369
9.366,9.156328
9.21,9.325893
8.951,9.315285
8.774,8.97426
8.584,8.813378
8.392,8.672581
8.298,8.454348
8.087,8.320998
8.087,8.149614
8.05,8.055428
7.971,8.087417
7.867,7.99779
8.023,7.8815646
8.008,8.000716
7.849,8.093676
7.498,7.878432
7.501,7.553721
7.58,7.488853
7.501,7.660935
7.318,7.574392
7.281,7.333616
7.107,7.269571
7.181,7.205464
6.976,7.1779304
6.979,7.1028314
7.208,6.956575
7.107,7.186216
7.074,7.2304454
7.199,7.0359006
7.193,7.188001
7.132,7.3023067
6.97,7.153875
6.82,7.0281854
6.582,6.8988643
6.347,6.678552
6.146,6.4300647
6.134,6.227695
5.865,6.1711593
5.49,5.979839
5.304,5.541837
5.063,5.3091507
4.907,5.180986
4.73,4.973335
4.657,4.803055
4.577,4.6941085
4.391,4.6310143
4.342,4.4724326
4.416,4.371085
4.312,4.46652
4.098,4.4290924
3.97,4.158583
3.872,4.020174
3.531,3.9775782
2.963,3.6902947
2.618,3.104528
2.172,2.6832187
1.879,2.3534598
1.529,2.0207303
1.284,1.8698405
1.452,1.6399177
1.586,1.5559675
1.898,1.6779083
2.322,1.8587452
2.755,2.289144
3.237,2.8345423
3.891,3.5107827
4.22,4.182184
4.235,4.6457314
4.48,4.526009
4.458,4.4779167
4.266,4.6121874
4.205,4.349818
4.489,4.224323
4.788,4.5598536
5.139,4.889237
5.401,5.1027575
5.404,5.3854356
5.279,5.436148
5.2,5.31852
5.203,5.2488966
5.282,5.293664
5.069,5.346351
4.492,5.206212
3.882,4.6241126
3.497,3.9754734
3.909,3.6175127
5.398,3.9050512
6.915,5.208227
7.455,6.745456
7.275,7.3181043
6.869,7.165891
6.711,6.8652377
6.964,6.8047757
8.389,6.965202
9.491,8.171244
9.488,9.532232
9.549,9.368604
9.842,9.17363
9.884,9.819983
10.19,10.054819
10.522,9.996468
10.919,10.535104
11.224,10.914424
11.374,11.152373
11.651,11.312268
11.798,11.559222
12.091,11.785081
12.216,11.996127
12.167,12.193097
12.158,12.152398
12.042,12.112689
10.632,12.079062
9.402,10.945447
8.465,9.4107275
6.976,8.609212
5.542,7.3779035
4.763,5.747395
4.565,5.375343
4.602,5.000547
4.769,4.7545905
4.959,4.6448402
4.998,4.829474
4.754,4.9582105
4.678,4.8026185
4.995,4.725805
5.511,5.03518
9.219,5.5421805
10.827,8.680373
11.181,12.528972
11.499,11.592437
11.508,11.8429365
11.407,12.595073
11.041,11.495513
10.66,10.972613
10.287,10.866151
10.107,10.444489
10.165,10.1661415
10.174,10.173745
10.303,10.190731
10.62,10.195438
10.843,10.504879
10.708,10.813973
10.675,10.711743
11.026,10.603866
11.069,10.968871
10.904,11.171041
10.849,10.853368
11.065,10.797568
10.977,11.063153
10.696,11.07224
10.486,10.672868
10.385,10.475189
10.507,10.428784
10.373,10.508284
10.132,10.444273
10.046,10.117706
10.321,9.986551
10.373,10.285273
10.119,10.454351
10.733,10.1221485
10.29,10.479362
10.22,10.569842
10.156,10.023916
10.269,10.109558
10.296,10.3475685
10.284,10.314495
10.419,10.277639
10.562,10.388485
10.617,10.567153
10.657,10.632228
10.336,10.622666
10.089,10.427617
10.028,10.093733
10.007,10.034289
10.019,10.076963
9.964,10.022557
9.732,9.972603
9.57,9.7484865
9.427,9.563908
9.32,9.48169
9.28,9.374623
9.051,9.296208
8.841,9.113828
8.618,8.844197
8.282,8.651014
7.962,8.366842
7.776,8.016682
7.525,7.8103547
7.452,7.5967755
7.361,7.4411044
7.284,7.3934293
7.071,7.2932363
7.022,7.111071
6.793,7.0223536
6.619,6.892902
6.381,6.6623445
6.192,6.45307
5.978,6.2595563
5.755,6.0498347
5.673,5.829641
5.38,5.7009273
5.2,5.49054
5.606,5.2210903
6.298,5.5279527
6.68,6.2822766
7.104,6.6521344
7.278,6.899363
7.058,7.241222
7.058,7.1432385
7.092,6.999964
7.211,7.171787
7.397,7.2754083
7.577,7.3989444
8.313,7.6118684
8.383,8.156678
8.343,8.511234
8.539,8.234469
8.825,8.431566
9.024,8.893659
9.048,9.030425
9.143,9.014149
9.317,9.140308
9.375,9.335189
9.302,9.408938
9.289,9.306272
9.237,9.290411
8.923,9.300701
8.633,9.018452
8.343,8.663709
8.175,8.42873
7.986,8.236832
7.953,8.050647
7.925,7.9547324
7.934,7.9316707
7.901,7.9249196
7.977,7.9145694
7.861,7.968595
8.139,7.9395537
8.706,8.067564
8.999,8.662639
8.682,9.02229
8.74,8.6793165
6.512,8.591857
3.445,7.136251
4.653,3.9379263
5.166,4.1084127
4.965,5.9408803
5.136,4.6675825
5.368,4.477061
5.987,5.473761
6.112,5.969645
6.231,6.1536345
6.274,6.263572
6.079,6.3167806
5.957,6.209019
6.006,5.9946017
5.633,6.048429
5.703,5.8505683
5.569,5.6415563
5.053,5.7048297
5.175,5.1869435
5.096,5.061014
4.629,5.276638
4.596,4.754855
4.742,4.5099516
4.586,4.826278
4.251,4.7336574
3.842,4.284446
3.506,3.9266152
3.308,3.6212745
3.07,3.423427
2.703,3.2187023
2.374,2.813778
2.285,2.4340096
2.371,2.32499
2.258,2.4431949
2.16,2.3727734
1.602,2.1802094
