true_value,predict
4.583,4.513322
4.617,4.7057104
4.306,4.775321
4.406,4.5142245
4.138,4.4302115
3.61,4.352179
3.296,3.6997902
3.32,3.2741709
3.753,3.3376951
3.848,3.8060806
3.506,4.1045794
3.399,3.8031187
3.228,3.5190463
3.216,3.3728607
3.125,3.3284044
3.152,3.2882872
3.326,3.2633195
3.424,3.4398413
3.363,3.620658
3.421,3.5745804
3.524,3.557217
3.097,3.652363
2.984,3.3541727
2.899,2.9990668
2.877,2.9839942
2.853,2.9972818
2.966,3.0063763
3.17,3.104985
3.295,3.3195033
3.781,3.50053
3.186,3.8531814
3.271,3.6248653
3.491,3.2013316
3.814,3.5508506
3.933,3.8974652
4.071,4.1524687
4.119,4.233313
3.604,4.310155
3.485,3.8582263
3.518,3.4631627
3.598,3.5658782
3.726,3.7093723
4.004,3.8377912
3.573,4.1147323
3.738,3.9318871
3.823,3.7253008
3.79,3.9611795
3.665,3.9526825
3.54,3.8196933
3.283,3.6478148
2.945,3.4099624
2.383,3.028292
2.31,2.4501758
1.876,2.26751
1.727,2.0579932
1.44,1.6638927
1.208,1.4952252
0.564,1.2442062
0.39,0.6627985
0.604,0.3862515
1.184,0.73240125
1.507,1.3212668
2.142,1.7880495
2.313,2.148829
2.468,2.3364892
2.661,2.4612703
2.893,2.620314
3.097,2.8856957
3.192,3.2312326
3.289,3.3863785
3.555,3.4341593
3.726,3.648094
4.184,3.906661
4.492,4.2422805
4.516,4.6847105
4.458,4.7326202
4.525,4.632864
5.011,4.61035
5.539,5.005326
5.926,5.5914454
6.262,6.074425
6.68,6.3949976
6.759,6.7517376
6.866,6.979638
7.177,6.967922
7.446,7.182744
8.194,7.496368
8.804,8.100666
9.128,8.88725
9.259,9.270553
9.54,9.403395
9.729,9.539115
9.778,9.786512
9.845,9.833307
9.881,9.838092
10.122,9.861379
10.238,10.047192
10.428,10.265812
10.696,10.384664
10.742,10.645251
10.611,10.792381
10.766,10.654068
11.127,10.67137
11.279,11.018321
11.441,11.306403
11.444,11.409222
11.444,11.461872
11.398,11.422531
11.371,11.375507
11.374,11.317035
11.511,11.309757
11.383,11.424314
11.42,11.400763
11.478,11.32643
11.478,11.420076
11.673,11.452343
11.624,11.588871
11.328,11.649139
11.008,11.31095
10.632,10.873449
10.87,10.484477
11.255,10.661752
11.349,11.168858
11.343,11.405436
11.197,11.391284
11.212,11.230009
10.809,11.152918
10.559,10.854585
10.614,10.419054
10.745,10.44443
10.986,10.6974945
11.035,10.925455
10.818,11.095626
10.455,10.888829
10.321,10.411615
10.324,10.183064
10.483,10.255095
10.769,10.422561
10.84,10.702335
11.041,10.901059
11.004,11.027214
11.27,11.071528
11.136,11.183
10.657,11.210654
10.586,10.631618
10.592,10.370172
10.721,10.513112
10.763,10.663743
10.928,10.769983
10.87,10.890777
10.675,10.9342375
10.361,10.680316
10.37,10.297442
10.373,10.22099
10.373,10.353077
10.339,10.352716
10.373,10.334575
10.275,10.357139
10.147,10.312028
10.153,10.117267
10.0,10.086667
9.903,10.012821
9.894,9.852919
9.848,9.846992
10.013,9.853413
9.817,9.962957
9.93,9.914044
9.933,9.842588
9.698,9.952652
9.796,9.730909
9.729,9.695447
10.077,9.762315
10.254,9.9709425
10.321,10.301848
10.345,10.355764
10.013,10.37883
10.126,10.075523
10.11,9.982892
10.388,10.115024
10.449,10.287306
10.574,10.483981
10.724,10.549691
10.504,10.711784
10.238,10.595096
10.223,10.176361
10.205,10.088934
9.811,10.179891
9.546,9.840584
8.905,9.439079
8.178,8.865588
7.855,8.01438
7.754,7.6574516
7.651,7.7137547
7.321,7.6960497
7.059,7.4261775
6.686,7.1288624
6.503,6.7673283
6.46,6.518813
6.695,6.49536
6.82,6.724526
6.952,6.956373
7.174,7.0536237
7.187,7.2554526
7.394,7.345489
7.718,7.4351335
8.102,7.728891
8.117,8.105506
8.212,8.281795
8.304,8.260008
8.255,8.332452
8.331,8.327166
8.297,8.342
8.215,8.343533
8.288,8.225331
8.41,8.268305
8.471,8.416947
8.325,8.517844
8.069,8.4123955
8.188,8.076238
8.352,8.094005
8.05,8.3629265
7.867,8.193328
7.892,7.838194
8.038,7.8407536
8.081,8.0636015
8.273,8.162795
8.554,8.285228
8.755,8.56469
9.323,8.833723
9.778,9.271811
10.538,9.842023
10.678,10.444988
10.803,10.893766
11.139,10.839005
11.133,11.068186
11.426,11.2023945
11.316,11.326674
11.85,11.366229
12.488,11.62031
12.945,12.34758
13.119,12.94351
13.51,13.197521
14.139,13.41416
14.243,13.984793
13.892,14.326244
13.766,13.934933
13.965,13.5434
13.748,13.733099
13.541,13.754224
13.321,13.371705
13.107,13.138429
13.202,12.961703
13.122,13.044805
12.665,13.106231
12.408,12.62622
13.138,12.223773
13.489,12.821773
13.26,13.55892
12.933,13.343051
12.482,12.861025
11.819,12.321545
12.244,11.67449
13.382,11.878431
13.516,13.089016
12.552,13.708614
9.314,12.7704735
10.043,9.354071
8.697,8.64168
7.727,9.117532
6.534,7.346752
5.31,6.1861796
5.252,4.6874213
4.351,4.826231
5.023,4.517678
6.936,4.6060824
6.878,6.4672766
7.968,7.789527
6.778,8.067134
7.01,7.5899267
5.987,6.6799755
5.774,6.2880354
7.577,5.489342
9.689,7.0312843
10.724,9.518471
7.467,11.163257
6.894,8.700555
4.028,6.023016
9.463,4.0636854
12.857,7.486717
