true_value,predict
7.721,7.6640244
8.008,7.7359776
8.197,8.033565
8.142,8.312667
8.16,8.289761
8.124,8.252183
8.188,8.243001
8.194,8.251829
8.206,8.310922
8.014,8.311732
7.922,8.098315
7.864,7.9531484
7.925,7.9264097
7.989,7.961011
7.849,8.077239
7.821,7.9408536
7.931,7.854975
8.041,7.9530306
8.148,8.129618
8.246,8.247249
8.34,8.351642
8.56,8.447075
8.74,8.5988865
8.777,8.860623
8.81,8.919633
8.804,8.936534
9.06,8.931287
9.35,9.039843
9.311,9.431911
9.097,9.471434
9.063,9.195433
9.076,9.086963
9.146,9.158048
9.097,9.222453
9.082,9.2123995
9.234,9.165725
9.36,9.243512
9.115,9.459458
9.353,9.221511
9.326,9.241281
9.149,9.459843
8.996,9.233698
8.926,9.055861
8.783,8.967155
8.929,8.845816
9.073,8.887619
9.405,9.157857
9.497,9.389991
9.533,9.631521
9.689,9.660783
9.881,9.746933
10.132,9.977279
10.202,10.214798
10.324,10.358832
10.461,10.42781
10.437,10.57614
10.3,10.584488
10.272,10.4086275
10.47,10.333371
10.62,10.463551
10.931,10.731233
11.337,10.949036
11.438,11.3857565
11.423,11.6086035
11.404,11.58063
11.566,11.545936
11.554,11.608668
11.481,11.700779
11.404,11.597502
11.334,11.505402
11.169,11.420662
11.066,11.240535
11.072,11.115572
11.16,11.114105
11.31,11.208045
11.523,11.366825
11.78,11.580071
11.822,11.85312
11.88,11.971589
11.938,12.001637
12.048,12.067728
12.03,12.144439
12.118,12.170821
12.109,12.189965
12.314,12.241313
12.182,12.318677
12.057,12.329158
12.179,12.141927
12.533,12.178291
12.756,12.507115
12.909,12.888021
12.631,13.046105
12.451,12.767322
12.598,12.495896
13.046,12.569524
13.437,12.9892645
13.006,13.558746
12.646,13.170496
12.964,12.668378
13.217,12.765917
13.232,13.324438
13.159,13.390812
13.177,13.280984
13.241,13.257049
13.287,13.31947
13.373,13.410509
13.354,13.470636
13.29,13.485359
13.077,13.396577
12.906,13.15654
12.781,12.955583
12.71,12.831555
12.442,12.764423
11.523,12.493263
10.101,11.460242
10.342,9.847729
9.772,9.581187
8.826,9.76102
8.899,8.725953
8.365,8.46324
8.383,8.328988
9.616,8.171609
10.333,9.036452
10.123,10.4824915
10.333,10.344608
10.437,10.3070545
10.788,10.61286
10.821,10.792619
11.139,11.024075
11.374,11.151465
11.075,11.523915
10.574,11.226883
10.855,10.605657
10.266,10.627602
10.745,10.349313
11.072,10.365496
11.868,11.169103
12.366,11.702023
12.527,12.513748
12.378,12.73833
12.234,12.576163
12.369,12.374395
12.286,12.396086
11.926,12.441331
11.697,12.004353
11.853,11.694072
11.941,11.766225
12.213,12.032742
12.216,12.214246
11.758,12.353822
11.358,11.816394
11.093,11.344619
10.663,11.064001
10.431,10.652396
10.605,10.363137
10.94,10.48758
11.236,10.900453
11.3,11.309972
11.34,11.429248
11.041,11.458892
10.724,11.138868
10.611,10.768765
10.559,10.597686
10.449,10.614159
10.077,10.5193405
9.881,10.1026945
9.619,9.833232
9.488,9.619203
9.186,9.467808
8.862,9.201975
8.478,8.848587
8.542,8.442252
8.539,8.3846445
8.484,8.601295
8.392,8.549389
8.151,8.444238
7.95,8.181102
7.672,7.959377
7.635,7.6865997
7.507,7.587964
7.361,7.558344
6.949,7.3985624
6.619,6.9465423
6.35,6.570198
6.088,6.3141837
5.801,6.0751505
5.481,5.789307
5.291,5.4586654
5.121,5.240136
4.837,5.124108
4.44,4.838055
4.422,4.4109097
4.779,4.282726
4.583,4.637405
4.995,4.722867
4.828,4.792406
4.589,4.974215
4.431,4.6228595
4.257,4.4548755
4.33,4.2995706
4.477,4.3050027
4.388,4.516741
4.324,4.4972076
4.074,4.3776784
3.933,4.118053
3.817,3.9287324
3.717,3.857247
3.61,3.763162
3.399,3.6592672
2.853,3.4264333
2.655,2.836162
2.395,2.528634
2.06,2.4082525
2.078,2.1111455
1.858,2.0201058
1.464,1.9386308
1.394,1.5713385
1.181,1.3988522
0.823,1.3054887
0.692,0.98211676
0.869,0.7717227
0.817,0.8907565
0.936,1.0035195
0.967,1.1819341
0.885,1.3422089
0.573,1.1503992
0.524,0.7391654
0.527,0.5677414
0.286,0.643273
0.643,0.48103684
0.973,0.7623961
0.833,1.2244512
2.069,1.3347033
2.429,1.2952888
3.512,1.5927385
2.902,1.9946792
3.173,2.416817
1.986,2.752859
1.565,2.089831
1.91,1.3009057
2.227,1.6501247
2.649,2.3215704
3.296,2.7520504
3.241,3.298357
2.966,3.4681132
3.485,3.0673432
3.204,3.246591
3.329,3.4028018
3.271,3.2774968
3.045,3.4015865
2.581,3.1085634
2.578,2.5712664
2.349,2.4315424
1.403,2.3912756
1.693,1.5294042
1.77,1.3853995
2.166,1.8745133
2.471,2.1323137
3.167,2.6262043
3.271,3.086053
3.65,3.46446
3.451,3.501786
3.47,3.6758533
3.247,3.512433
3.256,3.355411
3.466,3.2524853
4.489,3.458831
6.066,4.1400046
7.415,5.442126
7.364,6.0698037
5.996,6.668521
4.922,6.081285
3.326,4.7564936
2.801,3.17293
2.469,2.5763798
3.512,2.669376
4.757,3.1053066
3.906,4.738099
4.159,4.2350683
5.2,3.786827
8.422,4.8744636
8.334,5.959106
6.943,6.823384
7.129,7.0711412
6.494,6.640701
6.915,6.6020064
6.53,6.6044497
6.695,6.703922
