true_value,predict
9.115,9.551502
8.618,8.649742
8.762,8.24876
8.755,8.8605
9.097,8.719236
9.842,9.2459
10.434,10.266369
10.531,10.659435
10.531,10.429877
10.586,10.434286
10.653,10.532288
10.699,10.597755
10.733,10.632602
10.724,10.666845
10.69,10.636177
10.623,10.593881
10.571,10.510426
10.537,10.472563
10.565,10.449189
10.617,10.51421
10.721,10.57382
10.797,10.705921
10.898,10.756603
11.001,10.874817
11.081,10.974333
10.983,11.038292
10.635,10.834299
10.104,10.357369
9.771,9.740105
9.878,9.547446
10.238,9.927149
10.54,10.403739
10.659,10.619777
10.672,10.623656
10.65,10.590326
10.656,10.555374
10.726,10.581111
10.9,10.688571
11.059,10.920428
11.245,11.056107
11.334,11.259645
11.3,11.283523
11.111,11.188998
10.855,10.923423
10.717,10.648118
10.635,10.592033
10.824,10.532163
10.943,10.883771
10.977,10.923612
11.138,10.911316
11.224,11.160479
11.251,11.177279
11.514,11.178667
11.929,11.59189
12.252,12.055435
12.454,12.296287
12.668,12.443971
12.906,12.679567
13.058,12.922302
13.129,13.022534
13.138,13.06902
13.095,13.058884
13.058,13.001945
13.064,12.981329
13.162,13.01211
13.235,13.15666
13.37,13.198812
13.345,13.378109
13.309,13.244868
13.254,13.244455
13.257,13.1674385
13.275,13.214265
13.306,13.225795
13.303,13.267416
13.275,13.241262
13.312,13.2080765
13.333,13.283357
13.373,13.280262
13.443,13.339037
13.443,13.417568
13.434,13.374423
13.486,13.377084
13.473,13.4592285
13.495,13.398827
13.605,13.459253
13.635,13.603034
13.623,13.574208
13.623,13.561568
13.611,13.569652
13.614,13.549469
13.599,13.565182
13.605,13.536589
13.596,13.560747
13.638,13.536814
13.644,13.61275
13.614,13.584526
13.605,13.547972
13.599,13.553663
13.623,13.544245
13.635,13.586121
13.65,13.583991
13.595,13.605821
13.541,13.509451
13.525,13.47363
13.47,13.472863
13.428,13.391191
13.321,13.367499
13.251,13.2179985
13.177,13.18598
13.101,13.095567
13.025,13.024296
12.955,12.945741
12.927,12.879306
12.973,12.87252
12.97,12.950851
12.909,12.905238
12.89,12.823987
12.894,12.835254
12.89,12.841033
12.851,12.830668
12.839,12.773369
12.814,12.783457
12.829,12.74333
12.802,12.786103
12.686,12.72478
12.604,12.569585
12.524,12.521543
12.39,12.432276
12.195,12.269984
12.005,12.048488
11.862,11.869601
11.773,11.7502775
11.731,11.684688
11.719,11.66133
11.767,11.658705
11.789,11.736071
11.731,11.730227
11.673,11.628368
11.657,11.581215
11.63,11.587498
11.682,11.547385
11.691,11.6497
11.636,11.619116
11.596,11.53507
11.554,11.512557
11.401,11.465269
11.172,11.246503
11.044,10.988766
10.937,10.93108
10.769,10.822147
10.657,10.614061
10.635,10.544447
10.617,10.570584
10.531,10.541784
10.327,10.411045
10.132,10.140129
9.897,9.9629545
9.744,9.701813
9.561,9.603043
9.366,9.395975
9.174,9.190662
8.945,9.003925
8.743,8.74876
8.597,8.564594
8.456,8.458929
8.395,8.316572
8.353,8.306989
8.292,8.279008
8.264,8.195485
8.237,8.190676
8.285,8.167292
8.359,8.263808
8.285,8.355658
8.252,8.166137
8.194,8.162842
8.313,8.105211
8.389,8.342097
8.401,8.387802
8.337,8.333631
8.313,8.225831
8.353,8.238801
8.435,8.329003
8.411,8.432953
8.319,8.325995
8.16,8.185925
8.096,7.992758
8.087,8.001958
8.011,8.03927
7.919,7.9017835
7.837,7.7937326
7.761,7.731604
7.632,7.6607556
7.501,7.488943
7.391,7.3542814
7.33,7.268667
7.4,7.2454705
7.538,7.414308
7.632,7.6035814
7.748,7.6448665
7.846,7.768044
7.879,7.862272
7.901,7.839352
8.072,7.8520737
8.346,8.140832
8.493,8.486465
8.493,8.513932
8.407,8.403036
8.316,8.276824
8.23,8.19424
8.169,8.115752
8.172,8.072064
8.221,8.122626
8.243,8.203831
8.16,8.199142
8.148,8.036904
8.191,8.081218
8.279,8.176022
8.316,8.283073
8.362,8.276432
8.41,8.326794
8.557,8.382478
8.661,8.595684
8.731,8.663818
8.74,8.699366
8.746,8.672925
8.801,8.680824
8.914,8.773482
8.981,8.923061
8.996,8.9502
9.076,8.927833
9.18,9.0595665
9.262,9.178185
9.488,9.235525
9.796,9.557645
10.074,9.907044
10.184,10.141262
10.199,10.140034
10.184,10.111983
10.208,10.090738
10.177,10.14377
10.202,10.075534
10.135,10.143343
9.857,10.015767
9.607,9.610651
9.57,9.400887
9.537,9.508046
9.399,9.458984
9.351,9.241661
9.396,9.265188
9.491,9.372093
9.567,9.484147
9.546,9.538264
9.5,9.452194
9.506,9.397886
9.503,9.444216
9.36,9.430684
9.052,9.192737
8.783,8.786001
8.533,8.558612
8.322,8.328675
8.185,8.137185
7.919,8.052186
7.623,7.690577
7.443,7.360515
7.361,7.281953
7.532,7.2812877
7.995,7.628285
8.481,8.305648
8.49,8.759871
8.505,8.380374
8.853,8.421206
9.143,9.047085
9.271,9.257413
9.366,9.23843
9.109,9.336919
8.844,8.85431
8.966,8.600219
9.213,9.012698
9.069,9.324667
8.914,8.872762
8.697,8.736528
8.218,8.508317
7.946,7.8354936
8.044,7.7103724
8.12,8.112019
7.766,8.144953
7.528,7.4300966
7.605,7.285672
