true_value,predict
5.981,5.973102
6.155,6.0026054
5.908,6.156178
5.7,5.9043245
5.557,5.7749357
5.349,5.669051
5.301,5.4778314
5.276,5.4542174
5.234,5.4098973
5.221,5.353011
5.197,5.332277
5.166,5.297229
5.087,5.2632666
5.115,5.1863046
5.047,5.2253084
5.008,5.1437407
5.057,5.1183405
5.081,5.167576
5.014,5.1722956
4.995,5.101661
4.95,5.0993304
4.947,5.05491
4.87,5.0583973
4.901,4.978764
4.941,5.0239277
4.699,5.047872
4.596,4.798126
4.657,4.754521
4.605,4.820603
4.611,4.7379413
4.678,4.752603
4.712,4.8100886
4.767,4.822721
4.745,4.8702507
4.825,4.839354
4.983,4.929469
5.041,5.066702
5.053,5.094619
4.931,5.1100173
4.669,5.0017147
4.458,4.780469
4.458,4.628238
4.596,4.6576877
4.791,4.7694597
4.837,4.914882
4.794,4.9144006
4.864,4.872416
4.968,4.958264
5.06,5.0454597
5.188,5.1209598
5.209,5.238526
5.249,5.2450066
5.349,5.2959595
5.475,5.3941293
5.563,5.5033937
5.713,5.5754204
5.862,5.716234
5.917,5.841723
5.92,5.885752
5.884,5.904231
5.938,5.8914447
6.106,5.962528
6.225,6.113153
6.35,6.2001395
6.347,6.3102403
6.296,6.3051634
6.296,6.2814045
6.18,6.304288
6.128,6.205039
6.128,6.1828833
6.131,6.184469
6.265,6.178212
6.207,6.2935147
6.115,6.212324
6.097,6.14595
5.996,6.144403
5.862,6.047307
5.758,5.9370112
5.606,5.853464
5.432,5.7120395
5.426,5.55676
5.301,5.5631523
5.185,5.415904
5.081,5.3139668
5.041,5.217207
5.008,5.1797833
4.995,5.136455
4.998,5.1165967
5.038,5.1115556
4.992,5.1413856
4.956,5.0827513
5.041,5.0584674
4.956,5.1459546
4.995,5.039657
5.087,5.101933
5.13,5.177847
5.194,5.199227
5.24,5.258776
5.191,5.2954803
5.246,5.247483
5.42,5.3199
5.404,5.4758387
5.24,5.4301195
5.313,5.2939663
5.374,5.407137
5.365,5.4411426
5.481,5.4225802
5.371,5.541617
5.517,5.414004
5.737,5.58557
5.92,5.7571692
6.1,5.893697
6.237,6.0467277
6.347,6.164459
6.561,6.2713294
6.329,6.474456
6.167,6.265551
5.923,6.1958303
5.59,6.0004883
5.474,5.72001
5.172,5.6490316
4.891,5.335601
4.629,5.0911503
4.278,4.847691
4.119,4.50761
3.851,4.3846436
3.872,4.0986986
3.899,4.145256
3.753,4.127408
3.277,3.9497828
2.859,3.4828289
2.45,3.0522292
1.971,2.5883267
1.293,2.0317473
1.226,1.3048997
1.254,1.322427
1.479,1.3415024
1.324,1.6047845
0.436,1.3769975
1.294,0.75564486
1.736,1.5771489
1.892,1.969423
1.861,2.0644627
1.99,1.9950366
2.307,2.161026
2.682,2.5291505
3.549,2.93175
4.339,3.8180153
4.815,4.438327
5.008,4.764597
5.066,4.911217
4.946,4.993073
4.916,4.9226136
4.925,4.967158
4.824,5.008542
4.831,4.921015
4.531,4.9583187
4.416,4.6527276
4.449,4.6045227
4.589,4.639008
4.431,4.748167
4.217,4.5492506
4.205,4.3757644
4.281,4.4035063
4.379,4.4599514
4.489,4.5293856
4.861,4.616011
4.809,4.9602017
4.571,4.8311987
5.111,4.6404915
4.864,5.234967
4.934,4.865427
5.163,5.0308967
5.017,5.238943
4.971,5.0522285
5.389,5.0634046
5.499,5.4727793
5.624,5.4865007
6.146,5.610729
6.302,6.0862856
6.421,6.153922
6.555,6.28889
6.567,6.437423
6.674,6.4739137
6.872,6.608292
6.826,6.794637
6.897,6.7565384
6.665,6.856023
6.979,6.6545973
7.507,6.9798946
7.626,7.3669996
7.534,7.4329906
7.342,7.401151
7.287,7.2926497
7.196,7.2894053
7.431,7.2200747
8.786,7.426132
10.482,8.437395
11.877,9.576784
12.332,10.802931
12.216,11.743641
12.335,12.232247
12.378,12.543467
12.936,12.60818
13.644,12.930801
14.157,13.47119
14.841,13.972597
14.905,14.497971
15.036,14.717987
15.47,14.85614
15.808,15.074228
15.738,15.279223
15.619,15.355597
15.54,15.368231
15.18,15.357022
14.731,15.240038
14.639,15.030948
14.902,14.885515
15.473,14.892991
15.799,15.085884
15.451,15.271967
14.734,15.254772
14.017,15.018402
12.887,14.628889
11.777,13.894193
13.653,12.839517
13.184,13.366195
12.231,13.225607
11.81,12.58241
11.935,12.048979
11.944,11.958186
11.444,11.940143
9.115,11.55733
9.011,9.558249
8.328,9.179276
8.642,8.485413
8.99,8.706742
8.676,8.960451
8.697,8.707159
9.9,8.729935
10.498,9.62142
10.537,10.1762295
10.721,10.417705
11.102,10.710001
11.633,11.108043
11.608,11.6158285
10.287,11.74688
10.125,10.712493
10.293,10.337969
8.789,10.350939
8.011,9.055019
8.264,8.27329
9.027,8.417285
9.112,8.968677
9.405,9.020832
8.889,9.283734
7.361,8.91291
8.914,7.6047635
10.119,8.904721
9.341,9.715833
8.139,9.271714
8.773,8.319469
8.554,8.844866
9.008,8.595319
10.421,8.952683
10.888,10.013593
11.233,10.569577
10.806,11.067565
10.473,10.972929
10.174,10.720243
10.68,10.392618
11.66,10.691589
12.063,11.461181
12.038,11.991638
11.12,12.184651
11.08,11.544234
10.555,11.298755
11.541,10.754694
10.781,11.376948
10.433,10.946846
10.189,10.6130495
10.003,10.345888
10.348,10.13495
10.61,10.365411
10.504,10.606948
10.861,10.596112
11.221,10.900069
11.318,11.242553
