true_value,predict
10.602,10.801848
10.849,10.640098
11.145,10.905228
11.987,11.241282
12.188,12.138006
11.09,12.316821
10.287,11.023289
10.327,10.114449
10.84,10.285533
11.118,10.947807
10.617,11.238168
10.462,10.609293
10.315,10.42615
10.382,10.312543
10.672,10.413207
10.882,10.752472
11.191,10.972582
11.752,11.285945
12.005,11.878924
11.767,12.118687
12.216,11.808601
12.106,12.275183
11.532,12.170327
11.758,11.505534
11.767,11.767229
11.676,11.820697
11.862,11.70703
12.124,11.909458
11.734,12.199627
11.725,11.756939
11.401,11.730439
10.8,11.397745
10.498,10.729315
10.498,10.432568
10.3,10.501194
9.671,10.305972
9.531,9.596331
9.558,9.486187
9.424,9.586096
9.39,9.44654
9.43,9.409581
9.393,9.469942
9.363,9.43018
9.213,9.39378
9.106,9.229082
8.917,9.119436
8.78,8.926822
8.844,8.793448
8.823,8.889744
8.713,8.875789
8.585,8.746667
8.45,8.611328
8.499,8.479453
8.554,8.552783
8.505,8.6238785
8.334,8.561164
8.179,8.368669
8.148,8.212136
8.264,8.202108
8.289,8.345259
8.228,8.369078
8.273,8.288854
8.337,8.339173
8.398,8.414486
8.74,8.474752
8.942,8.846709
8.99,9.050766
9.07,9.060685
9.277,9.128973
9.381,9.35643
9.323,9.45644
9.1,9.364055
9.094,9.104558
9.195,9.115991
9.405,9.252715
9.604,9.485716
9.653,9.689887
9.732,9.714565
9.79,9.78321
9.805,9.841565
9.872,9.84875
9.979,9.918542
10.068,10.035939
10.141,10.12585
10.281,10.194289
10.41,10.3421
10.532,10.47607
10.666,10.596104
10.745,10.730944
10.843,10.803852
10.934,10.899425
11.005,10.991268
11.173,11.059328
11.285,11.237627
11.404,11.351582
11.551,11.466701
11.581,11.616785
11.661,11.636485
11.731,11.711647
11.725,11.783922
11.746,11.769594
11.832,11.786438
11.884,11.8805065
11.978,11.934819
12.027,12.030008
12.094,12.077802
12.128,12.142764
12.122,12.174699
12.076,12.162708
12.006,12.109584
11.984,12.033524
11.963,12.013229
12.027,11.9959755
12.054,12.068143
11.987,12.09886
11.945,12.021314
11.893,11.973323
11.905,11.921484
11.996,11.938926
11.981,12.042382
11.923,12.024952
11.975,11.954821
12.051,12.012399
12.021,12.099247
11.838,12.0628195
11.871,11.856309
11.908,11.895897
11.954,11.950287
12.0,11.999378
12.103,12.04592
12.173,12.153786
12.241,12.225247
12.079,12.290484
11.969,12.109127
11.96,11.984099
12.082,11.985843
12.219,12.128185
12.363,12.277018
12.454,12.422382
12.393,12.509093
12.393,12.433851
12.317,12.425846
12.247,12.347288
12.06,12.272149
11.868,12.074395
11.829,11.870542
12.109,11.843787
12.091,12.165277
11.838,12.149156
11.465,11.852432
11.258,11.439197
11.209,11.234494
11.063,11.217712
11.169,11.074757
11.038,11.203791
10.904,11.06577
10.73,10.910193
10.684,10.728086
10.412,10.695754
10.15,10.403769
10.08,10.120956
10.175,10.078369
10.101,10.216128
9.903,10.133639
9.796,9.901115
9.946,9.795822
10.257,9.992411
10.461,10.350792
10.525,10.553755
10.534,10.587153
10.751,10.575417
10.76,10.816492
10.434,10.817679
10.263,10.425158
10.107,10.241838
10.174,10.1027155
10.226,10.203664
10.293,10.273879
9.771,10.34134
9.051,9.735856
8.694,8.941895
8.588,8.629559
8.728,8.598963
8.737,8.792219
8.45,8.801779
8.099,8.467461
7.999,8.096981
7.962,8.032915
7.925,8.029956
7.989,7.998796
7.947,8.0714245
8.108,8.026035
8.032,8.198199
7.907,8.111712
8.047,7.964959
7.95,8.129882
7.962,8.030253
8.136,8.034168
8.221,8.232151
8.008,8.317345
7.907,8.06308
7.947,7.9555845
8.172,8.024291
8.438,8.278483
8.929,8.557088
9.201,9.072331
9.314,9.32883
9.628,9.395068
9.79,9.721119
9.839,9.88081
9.906,9.897844
9.863,9.9553385
9.866,9.898885
9.888,9.898098
9.854,9.926871
9.811,9.886727
9.875,9.836743
9.924,9.915152
10.144,9.972318
10.242,10.21475
10.251,10.311122
10.33,10.295784
10.312,10.375877
10.431,10.351561
10.608,10.480811
10.745,10.678469
10.699,10.8159075
10.705,10.740967
10.739,10.736626
10.849,10.77927
10.995,10.902725
11.05,11.0603485
11.163,11.107208
11.307,11.219219
11.429,11.372036
11.563,11.4946995
11.587,11.627846
11.572,11.64059
11.624,11.611681
11.682,11.666614
11.767,11.730872
11.877,11.819434
11.899,11.933758
11.862,11.949468
11.795,11.899473
11.771,11.823459
11.746,11.800455
11.615,11.778605
11.56,11.636236
11.517,11.579485
11.505,11.543469
11.484,11.536623
11.435,11.517326
11.502,11.464476
11.401,11.542154
11.307,11.432209
11.264,11.324111
11.392,11.28616
11.432,11.4395275
11.346,11.4851885
11.224,11.37736
11.374,11.23819
11.352,11.416876
11.368,11.399623
11.42,11.406026
11.264,11.464241
11.191,11.287263
11.319,11.204738
11.157,11.363347
11.078,11.185228
10.95,11.089915
10.837,10.960731
10.745,10.845421
10.751,10.75648
10.742,10.777566
10.931,10.77588
10.989,10.990047
10.947,11.049665
10.953,10.983347
10.901,10.985458
10.76,10.930437
10.715,10.771937
10.69,10.730424
10.812,10.716885
10.825,10.860992
10.739,10.87321
10.727,10.763937
10.666,10.751856
