true_value,predict
1.129,1.4440888
0.43,1.2442855
0.485,0.8052578
0.878,0.6898681
1.263,0.80703926
1.476,1.247982
1.62,1.8048618
1.721,2.0930326
1.815,2.0687482
2.004,1.9453142
2.203,2.0161033
2.407,2.2645798
2.551,2.5596907
2.557,2.7511826
2.389,2.7184114
2.377,2.4319005
2.511,2.2917383
2.648,2.4248402
2.856,2.6702538
3.07,2.9930747
3.271,3.298823
3.353,3.533593
3.414,3.5821466
3.491,3.5596962
3.585,3.5826404
3.732,3.6676614
3.976,3.835854
4.208,4.1323752
4.367,4.4256825
4.464,4.5914664
4.495,4.640349
4.577,4.6094484
4.614,4.6574817
4.574,4.6858974
4.431,4.6171484
4.26,4.4189887
4.098,4.1903024
3.973,3.9959114
3.897,3.8591144
3.842,3.7918568
3.842,3.7597854
3.866,3.7898576
3.903,3.8522744
3.906,3.921689
3.857,3.9390252
3.701,3.8752816
3.625,3.674479
3.549,3.552376
3.622,3.472652
3.701,3.5723157
3.674,3.72049
3.665,3.7266674
3.744,3.6959198
3.82,3.7716234
3.9,3.8779395
3.961,3.9806762
3.912,4.047839
3.817,3.9730737
3.765,3.8201346
3.708,3.7272012
3.704,3.6626835
3.765,3.6667652
3.982,3.7603543
4.238,4.047107
4.449,4.406473
4.605,4.6763
4.791,4.8184304
4.913,4.9745097
5.044,5.0748143
5.133,5.184034
5.233,5.2553926
5.352,5.339337
5.468,5.458585
5.45,5.576632
5.471,5.518127
5.499,5.5095663
5.48,5.535897
5.505,5.5037885
5.612,5.5262513
5.746,5.6627264
5.883,5.8303328
5.99,5.983797
5.978,6.0858335
5.978,6.0308065
6.161,6.0038304
6.42,6.2330303
6.515,6.55081
6.515,6.6153955
6.674,6.555308
6.732,6.7390113
6.781,6.7862577
6.948,6.8133645
6.985,7.005771
7.028,7.017721
7.095,7.050095
7.129,7.1208487
7.122,7.153038
7.156,7.1411552
7.18,7.1786056
7.183,7.203663
7.211,7.204266
7.309,7.233777
7.385,7.3376985
7.376,7.410395
7.379,7.3898115
7.455,7.3922524
7.516,7.4760933
7.562,7.5351567
7.66,7.5754647
7.986,7.673993
8.276,8.062878
8.41,8.356201
8.416,8.439976
8.282,8.401981
8.123,8.226219
7.992,8.0699835
7.928,7.962339
7.876,7.916436
7.834,7.870507
7.58,7.8308206
7.254,7.568362
7.003,7.256115
6.869,7.028415
6.784,6.907814
6.805,6.822178
6.842,6.8411226
6.848,6.8746653
6.823,6.8734107
6.762,6.8420463
6.787,6.7764864
6.884,6.808418
6.988,6.916883
7.009,7.0234766
7.019,7.0339065
7.037,7.038446
7.003,7.0585856
7.031,7.0220532
7.125,7.0547676
7.098,7.157119
7.116,7.119678
7.18,7.136527
7.205,7.2071595
7.29,7.229216
7.373,7.316361
7.394,7.398542
7.483,7.410526
7.476,7.502272
7.458,7.4873385
7.476,7.466735
7.568,7.4902945
7.599,7.5884113
7.504,7.611319
7.388,7.503793
7.4,7.3912153
7.4,7.4201155
7.397,7.422609
7.437,7.416543
7.501,7.4577794
7.461,7.521603
7.458,7.470775
7.702,7.469809
7.934,7.7485576
7.943,7.994586
8.008,7.939185
8.011,8.007301
7.983,7.996893
7.904,7.9593897
7.751,7.882659
7.864,7.7343307
8.001,7.8741255
7.937,8.017983
7.815,7.915952
7.705,7.792198
7.708,7.6958585
7.818,7.7158227
7.882,7.833278
7.84,7.884712
7.785,7.827101
7.733,7.773452
7.525,7.728328
7.367,7.518002
7.388,7.3759966
7.486,7.417444
7.626,7.519771
7.733,7.653338
7.724,7.748671
7.623,7.7195334
7.547,7.61228
7.455,7.547358
7.36,7.4636216
7.296,7.374536
7.229,7.316747
7.199,7.251511
7.064,7.22391
6.896,7.082147
6.698,6.9109826
6.442,6.712369
6.234,6.4499993
6.21,6.2341895
6.234,6.2122817
6.234,6.2423034
6.133,6.2391944
5.999,6.122673
5.853,5.9727407
5.712,5.8167233
5.697,5.666766
5.676,5.654855
5.575,5.6489687
5.416,5.535285
5.236,5.352541
5.029,5.1527796
4.815,4.926977
4.611,4.6919727
4.394,4.468515
4.248,4.241556
4.068,4.09996
3.857,3.9295611
3.714,3.7097976
3.686,3.5576103
3.637,3.555999
3.555,3.5576143
3.463,3.4994361
3.433,3.4043782
3.476,3.3730853
3.567,3.4452193
3.604,3.5908477
3.509,3.6720467
3.427,3.5584118
3.39,3.4130216
3.375,3.3439288
3.305,3.335737
3.244,3.2778203
3.18,3.2078068
3.07,3.1363802
2.981,3.0164282
2.96,2.9082134
3.027,2.8874657
3.161,2.993244
3.296,3.2030632
3.387,3.4166186
3.424,3.5422735
3.531,3.556585
3.665,3.6290698
3.738,3.7722688
3.671,3.85962
3.744,3.7547102
3.735,3.7771378
3.613,3.7698085
3.644,3.617017
3.802,3.61394
3.833,3.8193402
3.711,3.9146504
3.378,3.7615044
3.155,3.3168876
3.177,2.984501
3.122,2.9924061
3.085,3.0176797
3.1,3.0303345
2.957,3.078385
2.737,2.949207
2.585,2.6684551
2.548,2.443809
2.475,2.3886347
3.021,2.3598356
3.741,2.9948885
3.973,4.104188
3.796,4.628681
3.665,4.191514
3.607,3.6996696
3.567,3.516157
3.457,3.4827313
3.363,3.389412
3.225,3.288225
3.045,3.1408865
2.887,2.9369595
3.009,2.7504454
3.473,2.8838818
3.613,3.514165
3.384,3.8930087
3.085,3.6026633
2.878,3.0631716
2.673,2.7039385
2.523,2.4610574
2.523,2.3088279
2.511,2.3394287
2.453,2.4132404
2.423,2.4182627
2.572,2.3987849
