true_value,predict
9.463,9.685771
9.155,9.265154
8.801,8.948497
8.389,8.663243
7.992,8.26411
7.58,7.9101534
7.116,7.5251493
6.665,7.0814686
6.341,6.6276016
6.128,6.3257375
5.926,6.1669497
5.658,5.9861927
5.319,5.6458287
4.986,5.1866374
4.614,4.7794147
4.245,4.375574
4.058,4.00659
3.888,3.8936455
3.805,3.7879393
3.738,3.7595088
3.613,3.6836634
3.555,3.516798
3.689,3.4535825
4.458,3.7211735
4.968,5.002547
4.568,5.680756
4.47,4.7294626
4.528,4.401704
4.483,4.45829
4.974,4.7442174
5.069,5.5237885
4.785,5.4313498
4.779,4.794392
4.861,4.668663
4.937,4.859657
5.203,5.1196036
5.597,5.492344
5.789,5.933876
6.024,6.029254
6.448,6.237711
7.138,6.6844463
7.983,7.555773
8.23,8.61427
8.624,8.600088
9.024,8.947143
9.378,9.17203
9.463,9.589988
9.649,9.568745
9.808,9.7973
9.939,9.8399105
10.007,10.036872
10.177,10.068365
10.516,10.284955
10.788,10.647818
11.004,10.932654
11.151,11.135396
11.194,11.223003
11.206,11.233011
11.114,11.230326
11.044,11.121641
11.154,11.071228
11.301,11.211158
11.496,11.383591
11.63,11.603713
11.7,11.702088
11.844,11.762876
12.097,11.895673
12.262,12.160893
12.411,12.311175
12.46,12.468617
12.463,12.483661
12.466,12.500167
12.402,12.491733
12.305,12.437935
12.14,12.347531
12.427,12.174973
12.564,12.531476
12.585,12.588571
12.512,12.677756
12.408,12.526398
12.36,12.456969
12.299,12.387681
12.408,12.345933
12.567,12.487877
12.686,12.6234
12.57,12.751576
12.268,12.593111
12.378,12.295999
12.616,12.446101
12.744,12.656339
12.729,12.822459
12.753,12.771239
12.808,12.806109
12.781,12.830171
12.762,12.812692
12.735,12.809265
12.631,12.7761755
12.579,12.67342
12.43,12.6313095
12.323,12.4647455
12.253,12.387841
12.124,12.296813
12.152,12.180514
12.198,12.225741
12.25,12.253348
12.387,12.327117
12.503,12.448417
12.591,12.557765
12.768,12.639714
12.915,12.814391
12.97,12.945501
12.961,13.001027
13.028,12.986315
13.202,13.065559
13.293,13.232383
13.159,13.317607
12.833,13.185712
12.485,12.860559
12.231,12.519055
11.862,12.272547
11.52,11.890078
11.358,11.570861
11.127,11.403251
10.818,11.15554
10.644,10.830728
10.544,10.651252
10.467,10.56059
10.428,10.511363
10.498,10.481705
10.464,10.580466
10.461,10.506005
10.376,10.523275
10.22,10.375095
10.071,10.215665
9.964,10.033009
9.915,9.952927
9.921,9.934062
9.878,9.981808
9.765,9.930009
9.64,9.78064
9.521,9.617098
9.381,9.487863
9.497,9.350298
9.888,9.587869
10.3,10.119043
10.531,10.596485
10.592,10.75357
10.577,10.697667
10.449,10.584107
10.48,10.407214
10.504,10.506116
10.589,10.532473
10.663,10.689246
10.724,10.728528
10.638,10.805646
10.617,10.647959
10.599,10.65418
10.629,10.606342
10.592,10.69163
10.519,10.622052
10.516,10.558038
10.431,10.542333
10.361,10.4425745
10.211,10.389192
10.086,10.190859
9.945,10.086141
9.833,9.911796
9.762,9.8377905
9.625,9.770879
9.482,9.627926
9.421,9.4703865
9.405,9.421591
9.323,9.443716
9.118,9.359212
8.893,9.088245
8.716,8.796186
8.685,8.610986
8.697,8.696085
8.752,8.79565
8.825,8.899379
8.957,8.939766
9.118,9.071162
9.179,9.232547
9.241,9.263845
9.231,9.307049
9.179,9.234946
9.115,9.1690855
9.17,9.088157
9.231,9.212922
9.253,9.301466
9.234,9.345405
9.17,9.278655
9.146,9.166391
9.189,9.140708
9.247,9.229981
9.375,9.330339
9.561,9.501352
9.72,9.706072
9.738,9.857508
9.585,9.811
9.378,9.560138
9.195,9.275937
9.002,9.081763
8.825,8.921876
8.584,8.788226
8.368,8.521618
8.346,8.329751
8.392,8.361337
8.529,8.497838
8.682,8.723041
8.838,8.854999
8.951,8.97767
9.018,9.032059
9.073,9.069045
9.189,9.10087
9.344,9.248845
9.497,9.443067
9.628,9.624785
9.75,9.745614
9.823,9.847549
9.909,9.887406
9.988,9.976208
10.037,10.047246
10.058,10.097932
10.016,10.103923
9.955,10.036806
9.897,9.961093
9.829,9.896997
9.744,9.8359785
9.662,9.749703
9.503,9.668719
9.301,9.47479
9.244,9.246392
9.277,9.230594
9.439,9.336122
9.628,9.611903
9.836,9.819871
10.04,10.026954
10.272,10.1825075
10.586,10.4087715
10.843,10.727351
11.026,10.965578
11.084,11.127432
11.029,11.128989
10.989,11.045831
11.056,10.998401
11.16,11.098652
11.264,11.227902
11.484,11.348022
11.67,11.582316
11.966,11.741411
12.25,12.061909
12.427,12.3013
12.573,12.479386
12.689,12.600118
12.759,12.711741
12.494,12.780856
12.317,12.492272
12.463,12.372249
12.628,12.511406
12.5,12.6918
12.234,12.546974
12.186,12.281262
12.366,12.236045
12.366,12.423625
12.237,12.417759
12.094,12.305369
11.88,12.129602
11.386,11.9036255
10.904,11.359567
10.66,10.879012
10.614,10.629452
10.904,10.6630945
11.075,11.084946
11.029,11.224759
10.788,11.134912
10.708,10.756334
10.605,10.703239
10.449,10.570132
10.168,10.475849
9.79,10.119832
9.475,9.69103
9.463,9.337506
9.598,9.472122
9.915,9.759236
10.019,10.21885
10.577,10.2105055
11.334,10.871469
