true_value,predict
10.736,10.780814
10.593,10.403384
10.361,10.414977
9.894,9.968833
9.524,9.5108185
9.079,9.190289
9.222,8.655962
9.46,9.18559
9.338,9.165736
9.32,9.012227
9.366,9.055216
9.21,9.091989
8.951,8.847199
8.774,8.60117
8.584,8.48864
8.392,8.212782
8.298,8.048017
8.087,7.9996533
8.087,7.6933436
8.05,7.8758087
7.971,7.6888127
7.867,7.7170167
8.023,7.5291114
8.008,7.9081655
7.849,7.633775
7.498,7.594174
7.501,7.081244
7.58,7.435118
7.501,7.296326
7.318,7.289026
7.281,7.0055194
7.107,7.124658
7.181,6.7625766
6.976,7.1476045
6.979,6.568743
7.208,6.9764876
7.107,7.027312
7.074,6.863292
7.199,6.934519
7.193,7.0736046
7.132,6.990198
6.97,6.9381604
6.82,6.7362213
6.582,6.6246943
6.347,6.283622
6.146,6.1494117
6.134,5.8881693
5.865,6.030797
5.49,5.474607
5.304,5.2259507
5.063,5.056326
4.907,4.8112893
4.73,4.753101
4.657,4.521638
4.577,4.5582585
4.391,4.3771534
4.342,4.2508893
4.416,4.260122
4.312,4.3196745
4.098,4.1273103
3.97,3.9657748
3.872,3.888224
3.531,3.7729568
2.963,3.343313
2.618,2.8277426
2.172,2.6281443
1.879,1.9307244
1.529,1.700778
1.284,1.151408
1.452,1.0890231
1.586,1.1702528
1.898,1.2835038
2.322,1.885124
2.755,2.6595278
3.237,3.3842497
3.891,4.059396
4.22,4.855804
4.235,4.776564
4.48,4.5723867
4.458,4.8993664
4.266,4.4216866
4.205,4.206304
4.489,4.110177
4.788,4.625958
5.139,4.7832484
5.401,5.3265023
5.404,5.4329224
5.279,5.3424854
5.2,5.1639996
5.203,5.1204453
5.282,5.1194243
5.069,5.222417
4.492,4.7553306
3.882,4.212048
3.497,3.7219837
3.909,3.4554105
5.398,4.121764
6.915,6.22092
7.455,7.478661
7.275,7.4999776
6.869,7.1647854
6.711,6.694611
6.964,6.7066426
8.389,7.0374923
9.491,9.012333
9.488,9.394563
9.549,9.142033
9.842,9.396892
9.884,9.720588
10.19,9.642482
10.522,10.196358
10.919,10.357778
11.224,10.802237
11.374,10.934715
11.651,11.119332
11.798,11.423025
12.091,11.460355
12.216,11.883371
12.167,11.817541
12.158,11.825309
12.042,11.819579
10.632,11.676448
9.402,9.735137
8.465,9.095692
6.976,7.8400936
5.542,6.217013
4.763,5.067616
4.565,4.6173887
4.602,4.4471154
4.769,4.3979225
4.959,4.6342583
4.998,4.773097
4.754,4.8131824
4.678,4.509789
4.995,4.637032
5.511,5.099172
9.219,5.7054043
10.827,11.141019
11.181,10.458077
11.499,11.344217
11.508,11.142922
11.407,11.337116
11.041,11.089851
10.66,10.759006
10.287,10.460516
10.107,9.92874
10.165,9.916649
10.174,9.969782
10.303,9.911153
10.62,10.120574
10.843,10.439687
10.708,10.584143
10.675,10.31851
11.026,10.466528
11.069,10.895653
10.904,10.705481
10.849,10.613543
11.065,10.587475
10.977,10.910943
10.696,10.571752
10.486,10.396847
10.385,10.18464
10.507,10.138317
10.373,10.33189
10.132,10.004956
10.046,9.851079
10.321,9.771319
10.373,10.227416
10.119,10.020733
10.733,9.789204
10.29,10.843268
10.22,9.496696
10.156,10.310229
10.269,9.637845
10.296,10.297997
10.284,9.863296
10.419,10.149695
10.562,10.172313
10.617,10.333225
10.657,10.350294
10.336,10.407724
10.089,9.900871
10.028,9.849365
10.007,9.763711
10.019,9.78845
9.964,9.771921
9.732,9.68175
9.57,9.365784
9.427,9.290689
9.32,9.10843
9.28,9.058088
9.051,9.007285
8.841,8.661196
8.618,8.525529
8.282,8.215568
7.962,7.8826957
7.776,7.5825524
7.525,7.479344
7.452,7.147597
7.361,7.249474
7.284,7.0355754
7.071,7.074736
7.022,6.710143
6.793,6.9102054
6.619,6.4068317
6.381,6.488404
6.192,6.0332627
5.978,6.037524
5.755,5.657375
5.673,5.547291
5.38,5.4844904
5.2,5.0146513
5.606,5.0427036
6.298,5.731561
6.68,6.488727
7.104,6.6410823
7.278,7.2413387
7.058,7.1089606
7.058,6.8548512
7.092,7.026168
7.211,6.946402
7.397,7.152899
7.577,7.2568326
8.313,7.4715495
8.383,8.433547
8.343,7.913384
8.539,8.250054
8.825,8.294241
9.024,8.772885
9.048,8.785864
9.143,8.838729
9.317,8.9590645
9.375,9.112369
9.302,9.13579
9.289,9.024795
9.237,9.068113
8.923,8.940533
8.633,8.5122595
8.343,8.308382
8.175,7.941362
7.986,7.888063
7.953,7.6019835
7.925,7.73912
7.934,7.577452
7.901,7.7033987
7.977,7.5798106
7.861,7.799919
8.139,7.483077
8.706,8.135155
8.999,8.602019
8.682,8.810869
8.74,8.181563
6.512,8.692391
3.445,4.999924
4.653,3.223944
5.166,5.7993765
4.965,4.4100018
5.136,5.0131216
5.368,4.8178134
5.987,5.4501123
6.112,6.095958
6.231,6.02503
6.274,6.41715
6.079,6.0223722
5.957,5.9828763
6.006,5.8019094
5.633,5.9751883
5.703,5.1945314
5.569,5.8122344
5.053,5.1503406
5.175,4.7999573
5.096,5.1958647
4.629,4.757082
4.596,4.3951263
4.742,4.566042
4.586,4.6342955
4.251,4.326527
3.842,4.088551
3.506,3.6926873
3.308,3.412958
3.07,3.2602286
2.703,2.9872153
2.374,2.5931113
2.285,2.2689264
2.371,2.2007763
2.258,2.2790668
2.16,2.022868
1.602,1.9958007
