true_value,predict
4.617,4.6825233
4.306,4.678632
4.406,4.1374187
4.138,4.364107
3.61,4.112476
3.296,3.314653
3.32,3.0812814
3.753,3.3393424
3.848,4.052406
3.506,4.030101
3.399,3.3091087
3.228,3.2415202
3.216,3.2261488
3.125,3.2444112
3.152,3.1328394
3.326,3.1671648
3.424,3.4321392
3.363,3.5394537
3.421,3.3547792
3.524,3.4147713
3.097,3.6171496
2.984,3.0086684
2.899,2.884603
2.877,2.9459274
2.853,2.9595406
2.966,2.9125378
3.17,3.038793
3.295,3.302576
3.781,3.4153886
3.186,4.023998
3.271,3.079141
3.491,3.1214032
3.814,3.678187
3.933,4.111022
4.071,4.045302
4.119,4.107111
3.604,4.1817565
3.485,3.392669
3.518,3.3012927
3.598,3.591176
3.726,3.7211378
4.004,3.8045783
3.573,4.162014
3.738,3.446793
3.823,3.6587112
3.79,3.9909937
3.665,3.8390274
3.54,3.5625424
3.283,3.4490476
2.945,3.202695
2.383,2.8523645
2.31,2.2898257
1.876,2.3196177
1.727,1.9736885
1.44,1.7951792
1.208,1.5576135
0.564,1.3437763
0.39,0.9754805
0.604,0.8253791
1.184,0.79918283
1.507,1.3150783
2.142,1.758648
2.313,2.3895893
2.468,2.5114286
2.661,2.5376656
2.893,2.7523642
3.097,3.043591
3.192,3.2524605
3.289,3.270689
3.555,3.3334122
3.726,3.70672
4.184,3.8973713
4.492,4.435336
4.516,4.754632
4.458,4.560943
4.525,4.3856626
5.011,4.564094
5.539,5.312682
5.926,5.9182224
6.262,6.1445813
6.68,6.391476
6.759,6.8557544
6.866,6.8141475
7.177,6.829976
7.446,7.2461658
8.194,7.521667
8.804,8.317026
9.128,8.974193
9.259,9.156349
9.54,9.205548
9.729,9.53479
9.778,9.737345
9.845,9.742193
9.881,9.808126
10.122,9.855229
10.238,10.138754
10.428,10.248596
10.696,10.428439
10.742,10.704458
10.611,10.715534
10.766,10.543513
11.127,10.732017
11.279,11.118245
11.441,11.2311535
11.444,11.357914
11.444,11.345713
11.398,11.339179
11.371,11.295909
11.374,11.273266
11.511,11.283544
11.383,11.423607
11.42,11.285493
11.478,11.323856
11.478,11.38959
11.673,11.381398
11.624,11.568378
11.328,11.508454
11.008,11.202416
10.632,10.894983
10.87,10.529992
11.255,10.850935
11.349,11.259347
11.343,11.296609
11.197,11.256479
11.212,11.104853
10.809,11.133364
10.559,10.709029
10.614,10.462123
10.745,10.588438
10.986,10.7469225
11.035,10.981214
10.818,10.999612
10.455,10.741075
10.321,10.350691
10.324,10.254201
10.483,10.306386
10.769,10.494143
10.84,10.790156
11.041,10.824668
11.004,11.00861
11.27,10.95024
11.136,11.214619
10.657,11.060999
10.586,10.527252
10.592,10.512427
10.721,10.57346
10.763,10.713243
10.928,10.743422
10.87,10.905676
10.675,10.8271475
10.361,10.601708
10.37,10.2678385
10.373,10.331412
10.373,10.364678
10.339,10.355201
10.373,10.313771
10.275,10.357122
10.147,10.242261
10.153,10.095197
10.0,10.127493
9.903,9.957515
9.894,9.8521
9.848,9.87209
10.013,9.825848
9.817,10.026727
9.93,9.773567
9.933,9.910024
9.698,9.931673
9.796,9.619951
9.729,9.7707615
10.077,9.712917
10.254,10.118295
10.321,10.296981
10.345,10.309401
10.013,10.317812
10.126,9.919837
10.11,10.093109
10.388,10.106336
10.449,10.408565
10.574,10.453796
10.724,10.559235
10.504,10.71325
10.238,10.441405
10.223,10.140395
10.205,10.181804
9.811,10.190643
9.546,9.709258
8.905,9.425173
8.178,8.671451
7.855,7.776067
7.754,7.548696
7.651,7.6103497
7.321,7.5022073
7.059,7.0544305
6.686,6.7930293
6.503,6.430238
6.46,6.3114753
6.695,6.382934
6.82,6.7432103
6.952,6.8507357
7.174,6.9230504
7.187,7.1853933
7.394,7.1431036
7.718,7.3589745
8.102,7.7556167
8.117,8.136883
8.212,8.010435
8.304,8.072949
8.255,8.223434
8.331,8.127444
8.297,8.2225685
8.215,8.187762
8.288,8.06125
8.41,8.191423
8.471,8.372703
8.325,8.412436
8.069,8.170131
8.188,7.825202
8.352,8.084365
8.05,8.354343
7.867,7.8413596
7.892,7.5866766
8.038,7.7588797
8.081,8.001018
8.273,7.9982843
8.554,8.218015
8.755,8.578683
9.323,8.766401
9.778,9.420649
10.538,9.888086
10.678,10.632823
10.803,10.676225
11.139,10.737822
11.133,11.094433
11.426,11.060679
11.316,11.341053
11.85,11.2197275
12.488,11.733546
12.945,12.276177
13.119,12.589057
13.51,12.68746
14.139,12.957813
14.243,13.340433
13.892,13.389999
13.766,13.175311
13.965,13.104447
13.748,13.243921
13.541,13.10261
13.321,12.964741
13.107,12.819279
13.202,12.671462
13.122,12.753513
12.665,12.693449
12.408,12.329493
13.138,12.134522
13.489,12.739465
13.26,12.971091
12.933,12.77654
12.482,12.528719
11.819,12.177555
12.244,11.604053
13.382,12.049148
13.516,12.935631
12.552,12.980746
9.314,12.198182
10.043,8.539496
8.697,9.9404545
7.727,8.5252285
6.534,7.062455
5.31,5.810124
5.252,4.51585
4.351,5.028706
5.023,4.0637717
6.936,5.0839167
6.878,7.830916
7.968,7.1444287
6.778,8.00203
7.01,6.4269743
5.987,6.762447
5.774,5.669118
7.577,5.426733
9.689,8.1515665
10.724,10.489212
7.467,10.90465
6.894,6.275264
4.028,6.0702286
9.463,2.8397806
12.857,9.589677
