true_value,predict
7.721,7.460823
8.008,7.669344
8.197,7.947834
8.142,8.085235
8.16,7.9842257
8.124,8.058483
8.188,7.989749
8.194,8.095788
8.206,8.065209
8.014,8.091744
7.922,7.8423576
7.864,7.8181324
7.925,7.745954
7.989,7.84075
7.849,7.881149
7.821,7.691978
7.931,7.728454
8.041,7.8457093
8.148,7.938577
8.246,8.043132
8.34,8.132225
8.56,8.220048
8.74,8.459358
8.777,8.595939
8.81,8.602006
8.804,8.650307
9.06,8.631413
9.35,8.9418545
9.311,9.16683
9.097,9.047463
9.063,8.854851
9.076,8.892878
9.146,8.890231
9.097,8.97
9.082,8.883899
9.234,8.896418
9.36,9.064131
9.115,9.149409
9.353,8.836526
9.326,9.258664
9.149,9.05701
8.996,8.916228
8.926,8.79579
8.783,8.752746
8.929,8.589196
9.073,8.81477
9.405,8.895298
9.497,9.288295
9.533,9.246082
9.689,9.303467
9.881,9.516746
10.132,9.716788
10.202,10.002973
10.324,10.004754
10.461,10.189982
10.437,10.3342
10.3,10.256507
10.272,10.1060095
10.47,10.145976
10.62,10.426827
10.931,10.535218
11.337,10.917284
11.438,11.327286
11.423,11.311503
11.404,11.296823
11.566,11.297649
11.554,11.531333
11.481,11.453182
11.404,11.395307
11.334,11.337109
11.169,11.27907
11.066,11.083086
11.072,11.016226
11.16,11.052817
11.31,11.15392
11.523,11.30797
11.78,11.523508
11.822,11.772601
11.88,11.734048
11.938,11.818944
12.048,11.8777275
12.03,12.007387
12.118,11.953558
12.109,12.093636
12.314,12.052405
12.182,12.326385
12.057,12.080893
12.179,12.000594
12.533,12.199222
12.756,12.573892
12.909,12.717453
12.631,12.846095
12.451,12.478579
12.598,12.383646
13.046,12.6166525
13.437,13.077193
13.006,13.38284
12.646,12.793205
12.964,12.5460005
13.217,13.033428
13.232,13.186884
13.159,13.139315
13.177,13.0757885
13.241,13.130122
13.287,13.193256
13.373,13.221517
13.354,13.310271
13.29,13.271774
13.077,13.213401
12.906,12.989397
12.781,12.859107
12.71,12.758968
12.442,12.705811
11.523,12.391384
10.101,11.291596
10.342,9.696895
9.772,10.686131
8.826,9.487181
8.899,8.511556
8.365,8.963327
8.383,8.03891
9.616,8.342343
10.333,9.897344
10.123,10.2586565
10.333,9.7474165
10.437,10.241018
10.788,10.22469
10.821,10.712098
11.139,10.604057
11.374,11.101103
11.075,11.290349
10.574,10.8306675
10.855,10.325763
10.266,10.944761
10.745,9.906786
11.072,10.952581
11.868,11.053109
12.366,11.998608
12.527,12.3076725
12.378,12.373792
12.234,12.1785
12.369,12.092838
12.286,12.325992
11.926,12.183826
11.697,11.793811
11.853,11.664659
11.941,11.934514
12.213,11.950504
12.216,12.262772
11.758,12.157844
11.358,11.587124
11.093,11.263697
10.663,11.040848
10.431,10.527829
10.605,10.391924
10.94,10.685329
11.236,11.012692
11.3,11.253042
11.34,11.219755
11.041,11.266843
10.724,10.844336
10.611,10.566369
10.559,10.537859
10.449,10.489649
10.077,10.353061
9.881,9.870189
9.619,9.77021
9.488,9.422025
9.186,9.342703
8.862,8.921842
8.478,8.651165
8.542,8.271511
8.539,8.467653
8.484,8.370005
8.392,8.3299265
8.151,8.230513
7.95,7.966267
7.672,7.8115435
7.635,7.510678
7.507,7.5642085
7.361,7.363444
6.949,7.241136
6.619,6.74213
6.35,6.4798083
6.088,6.189454
5.801,5.9186378
5.481,5.617641
5.291,5.304075
5.121,5.1485615
4.837,4.970515
4.44,4.6801677
4.422,4.2827873
4.779,4.3437467
4.583,4.7198353
4.995,4.4272137
4.828,5.0218887
4.589,4.683584
4.431,4.5399475
4.257,4.372855
4.33,4.1932817
4.477,4.2979774
4.388,4.425002
4.324,4.3062487
4.074,4.2710915
3.933,3.9840348
3.817,3.8842793
3.717,3.7480907
3.61,3.6506627
3.399,3.534453
2.853,3.3065786
2.655,2.7164762
2.395,2.5811753
2.06,2.2706356
2.078,1.9429585
1.858,1.9947513
1.464,1.7543308
1.394,1.3924134
1.181,1.3678237
0.823,1.1701062
0.692,0.85835165
0.869,0.76969194
0.817,0.9538126
0.936,0.9357261
0.967,1.0654621
0.885,1.1099957
0.573,1.0386142
0.524,0.74882686
0.527,0.6963239
0.286,0.7008216
0.643,0.5243826
0.973,0.8046232
0.833,1.1296493
2.069,1.0311719
2.429,2.160217
3.512,2.6044197
2.902,3.7447648
3.173,2.9925191
1.986,3.3888462
1.565,1.8969868
1.91,1.6376361
2.227,1.8946171
2.649,2.1745565
3.296,2.6316397
3.241,3.335028
2.966,3.2678576
3.485,3.0135717
3.204,3.6101174
3.329,3.1744816
3.271,3.4016504
3.045,3.2494936
2.581,3.014846
2.578,2.5040934
2.349,2.5533183
1.403,2.2546542
1.693,1.2675151
1.77,1.6743414
2.166,1.6857291
2.471,2.140746
3.167,2.4758337
3.271,3.2443259
3.65,3.3346004
3.451,3.7886603
3.47,3.49211
3.247,3.5615726
3.256,3.2429667
3.466,3.2813835
4.489,3.4669943
6.066,4.56817
7.415,6.2779884
7.364,7.622355
5.996,7.259954
4.922,5.721019
3.326,4.892056
2.801,3.062707
2.469,2.7786224
3.512,2.229228
4.757,3.3975177
3.906,4.6247797
4.159,3.6144834
5.2,4.2864285
8.422,5.292895
8.334,8.924063
6.943,8.04057
7.129,6.6331873
6.494,7.368251
6.915,6.17498
6.53,7.1320043
6.695,6.2461157
