true_value,predict
9.115,9.536494
8.618,8.692134
8.762,8.224064
8.755,8.740598
9.097,8.699895
9.842,9.130547
10.434,10.180294
10.531,10.657685
10.531,10.419362
10.586,10.414027
10.653,10.528546
10.699,10.577457
10.733,10.606911
10.724,10.641622
10.69,10.61232
10.623,10.565332
10.571,10.484516
10.537,10.440836
10.565,10.4177065
10.617,10.4755335
10.721,10.539216
10.797,10.666007
10.898,10.727222
11.001,10.838212
11.081,10.945862
10.983,11.009982
10.635,10.8205595
10.104,10.350193
9.771,9.737951
9.878,9.506189
10.238,9.846894
10.54,10.333507
10.659,10.573097
10.672,10.590978
10.65,10.566137
10.656,10.534401
10.726,10.55345
10.9,10.656643
11.059,10.882504
11.245,11.027817
11.334,11.222421
11.3,11.264706
11.111,11.167746
10.855,10.912325
10.717,10.631906
10.635,10.560769
10.824,10.503832
10.943,10.821061
10.977,10.901647
11.138,10.871282
11.224,11.118402
11.251,11.161972
11.514,11.14584
11.929,11.547394
12.252,12.026444
12.454,12.268396
12.668,12.417207
12.906,12.655947
13.058,12.903186
13.129,13.008339
13.138,13.055383
13.095,13.051725
13.058,12.995735
13.064,12.973728
13.162,13.004074
13.235,13.142485
13.37,13.190617
13.345,13.357227
13.309,13.246804
13.254,13.226989
13.257,13.16969
13.275,13.202113
13.306,13.2223
13.303,13.2566185
13.275,13.235853
13.312,13.199675
13.333,13.272397
13.373,13.275792
13.443,13.326108
13.443,13.409414
13.434,13.369501
13.486,13.367132
13.473,13.451866
13.495,13.397494
13.605,13.446901
13.635,13.595983
13.623,13.571561
13.623,13.552309
13.611,13.567149
13.614,13.546769
13.599,13.560193
13.605,13.535869
13.596,13.554734
13.638,13.535887
13.644,13.603841
13.614,13.584912
13.605,13.542186
13.599,13.5504055
13.623,13.542128
13.635,13.579864
13.65,13.582022
13.595,13.599534
13.541,13.510861
13.525,13.46819
13.47,13.471691
13.428,13.39116
13.321,13.361768
13.251,13.221772
13.177,13.177577
13.101,13.096839
13.025,13.017169
12.955,12.941378
12.927,12.872027
12.973,12.861988
12.97,12.936997
12.909,12.897249
12.89,12.811657
12.894,12.822518
12.89,12.831197
12.851,12.817998
12.839,12.763645
12.814,12.7694435
12.829,12.734541
12.802,12.769209
12.686,12.717428
12.604,12.560157
12.524,12.507918
12.39,12.425193
12.195,12.259583
12.005,12.0398
11.862,11.856972
11.773,11.734109
11.731,11.663314
11.719,11.63637
11.767,11.632239
11.789,11.705279
11.731,11.707249
11.673,11.606105
11.657,11.556669
11.63,11.564409
11.682,11.525469
11.691,11.617209
11.636,11.60119
11.596,11.510279
11.554,11.487716
11.401,11.444611
11.172,11.230445
11.044,10.968967
10.937,10.900705
10.769,10.798706
10.657,10.585954
10.635,10.505684
10.617,10.533217
10.531,10.506468
10.327,10.379044
10.132,10.116947
9.897,9.929468
9.744,9.6776085
9.561,9.556889
9.366,9.364724
9.174,9.151385
8.945,8.966069
8.743,8.719174
8.597,8.526218
8.456,8.418158
8.395,8.283835
8.353,8.261643
8.292,8.245511
8.264,8.170919
8.237,8.160589
8.285,8.145597
8.359,8.228722
8.285,8.326702
8.252,8.168565
8.194,8.13944
8.313,8.096294
8.389,8.293276
8.401,8.368923
8.337,8.319104
8.313,8.219266
8.353,8.218866
8.435,8.300514
8.411,8.402087
8.319,8.318328
8.16,8.178006
8.096,7.9938226
8.087,7.9762163
8.011,8.012434
7.919,7.895693
7.837,7.784692
7.761,7.723129
7.632,7.6547585
7.501,7.4982524
7.391,7.3624477
7.33,7.2753716
7.4,7.241608
7.538,7.387697
7.632,7.5793843
7.748,7.6461487
7.846,7.75933
7.879,7.8600254
7.901,7.848321
8.072,7.8520374
8.346,8.105908
8.493,8.4502125
8.493,8.511562
8.407,8.404929
8.316,8.280653
8.23,8.1894
8.169,8.103975
8.172,8.052477
8.221,8.092718
8.243,8.173551
8.16,8.180595
8.148,8.036546
8.191,8.056196
8.279,8.150743
8.316,8.253988
8.362,8.261512
8.41,8.305115
8.557,8.363353
8.661,8.558402
8.731,8.645732
8.74,8.678016
8.746,8.658871
8.801,8.660242
8.914,8.743312
8.981,8.888059
8.996,8.926729
9.076,8.90431
9.18,9.02362
9.262,9.148713
9.488,9.20635
9.796,9.507529
10.074,9.871584
10.184,10.11231
10.199,10.123541
10.184,10.092123
10.208,10.0720625
10.177,10.115075
10.202,10.05323
10.135,10.103592
9.857,9.996599
9.607,9.597324
9.57,9.365697
9.537,9.456292
9.399,9.422426
9.351,9.207013
9.396,9.213994
9.491,9.328799
9.567,9.438386
9.546,9.5000105
9.5,9.427494
9.506,9.367621
9.503,9.408893
9.36,9.400633
9.052,9.174576
8.783,8.77665
8.533,8.531348
8.322,8.305786
8.185,8.104326
7.919,8.011503
7.623,7.6945705
7.443,7.366106
7.361,7.265535
7.532,7.26052
7.995,7.559064
8.481,8.210866
8.49,8.724884
8.505,8.427177
8.853,8.406546
9.143,8.99779
9.271,9.252266
9.366,9.2207575
9.109,9.315776
8.844,8.885246
8.966,8.58099
9.213,8.941053
9.069,9.278452
8.914,8.876571
8.697,8.698775
8.218,8.507555
7.946,7.8683853
8.044,7.6701903
8.12,8.020635
7.766,8.109469
7.528,7.4872384
7.605,7.281761
