true_value,predict
5.981,5.9834995
6.155,6.012004
5.908,6.167891
5.7,5.8996577
5.557,5.791926
5.349,5.6910024
5.301,5.5112967
5.276,5.4999433
5.234,5.451996
5.221,5.3980865
5.197,5.3776774
5.166,5.3424897
5.087,5.310852
5.115,5.235658
5.047,5.2797422
5.008,5.193562
5.057,5.1760273
5.081,5.2228703
5.014,5.224467
4.995,5.154346
4.95,5.15601
4.947,5.110142
4.87,5.117891
4.901,5.0363193
4.941,5.0874634
4.699,5.104607
4.596,4.856298
4.657,4.8278565
4.605,4.8869615
4.611,4.8020277
4.678,4.8210936
4.712,4.8720474
4.767,4.8825145
4.745,4.9299
4.825,4.896005
4.983,4.9913177
5.041,5.1222277
5.053,5.145289
4.931,5.161778
4.669,5.052398
4.458,4.842141
4.458,4.7021203
4.596,4.7339935
4.791,4.8394074
4.837,4.977904
4.794,4.9677334
4.864,4.9276314
4.968,5.015381
5.06,5.0990887
5.188,5.1744857
5.209,5.2892194
5.249,5.288555
5.349,5.342104
5.475,5.436497
5.563,5.5418963
5.713,5.60761
5.862,5.745168
5.917,5.8612714
5.92,5.8984413
5.884,5.9157586
5.938,5.9031377
6.106,5.978479
6.225,6.1273794
6.35,6.206324
6.347,6.314434
6.296,6.302536
6.296,6.2827377
6.18,6.311066
6.128,6.2090344
6.128,6.1933317
6.131,6.1932993
6.265,6.1855226
6.207,6.3025928
6.115,6.2096877
6.097,6.14899
5.996,6.150914
5.862,6.0530796
5.758,5.9483266
5.606,5.869336
5.432,5.7316914
5.426,5.5858536
5.301,5.6005883
5.185,5.4506774
5.081,5.3610463
5.041,5.2668424
5.008,5.2355924
4.995,5.192084
4.998,5.174095
5.038,5.167894
4.992,5.196715
4.956,5.1352997
5.041,5.1159353
4.956,5.2028203
4.995,5.0909715
5.087,5.163327
5.13,5.229866
5.194,5.2498803
5.24,5.3078823
5.191,5.3401666
5.246,5.291578
5.42,5.3684077
5.404,5.5187783
5.24,5.4635763
5.313,5.3336253
5.374,5.454549
5.365,5.479075
5.481,5.4627385
5.371,5.5812635
5.517,5.4434733
5.737,5.6282697
5.92,5.783264
6.1,5.913841
6.237,6.0578046
6.347,6.167894
6.561,6.27315
6.329,6.482554
6.167,6.2567296
5.923,6.2047267
5.59,6.0071826
5.474,5.739599
5.172,5.684169
4.891,5.3727126
4.629,5.154266
4.278,4.9201884
4.119,4.594143
3.851,4.475474
3.872,4.169309
3.899,4.2113285
3.753,4.1657224
3.277,3.9804091
2.859,3.485146
2.45,3.1004725
1.971,2.6019273
1.293,2.008069
1.226,1.1146172
1.254,1.240901
1.479,1.3589118
1.324,1.7001085
0.436,1.3786253
1.294,0.4997031
1.736,1.6605184
1.892,2.039991
1.861,2.0595372
1.99,1.9557418
2.307,2.1330214
2.682,2.520853
3.549,2.9179497
4.339,3.831076
4.815,4.4672794
5.008,4.789486
5.066,4.9290347
4.946,5.0132823
4.916,4.949818
4.925,5.0179234
4.824,5.066567
4.831,4.982809
4.531,5.0252957
4.416,4.7137685
4.449,4.685302
4.589,4.7067423
4.431,4.8164034
4.217,4.6067514
4.205,4.443305
4.281,4.4664173
4.379,4.5172596
4.489,4.5870905
4.861,4.671884
4.809,5.0198693
4.571,4.869295
5.111,4.6987343
4.864,5.30551
4.934,4.8928146
5.163,5.1084924
5.017,5.284035
4.971,5.0986056
5.389,5.123564
5.499,5.5281453
5.624,5.5155272
6.146,5.6464596
6.302,6.114862
6.421,6.1490927
6.555,6.290726
6.567,6.439266
6.674,6.4789143
6.872,6.6267095
6.826,6.824394
6.897,6.778526
6.665,6.8912153
6.979,6.673001
7.507,7.032212
7.626,7.447122
7.534,7.515473
7.342,7.48547
7.287,7.375101
7.196,7.382574
7.431,7.303873
8.786,7.5274844
10.482,8.675846
11.877,9.985477
12.332,11.239148
12.216,12.101323
12.335,12.386445
12.378,12.557964
12.936,12.625778
13.644,12.9968405
14.157,13.473149
14.841,13.81367
14.905,14.147811
15.036,14.237897
15.47,14.312551
15.808,14.46114
15.738,14.575079
15.619,14.581807
15.54,14.564877
15.18,14.550876
14.731,14.456128
14.639,14.312964
14.902,14.261183
15.473,14.327042
15.799,14.488817
15.451,14.587027
14.734,14.516057
14.017,14.308447
12.887,14.024523
11.777,13.414133
13.653,12.522904
13.184,13.462421
12.231,13.369894
11.81,12.73115
11.935,12.283638
11.944,12.274244
11.444,12.272194
9.115,11.88458
9.011,9.724859
8.328,9.386001
8.642,8.726404
8.99,8.973232
8.676,9.231296
8.697,8.91875
9.9,8.930592
10.498,9.932557
10.537,10.493717
10.721,10.668303
11.102,10.931043
11.633,11.322641
11.608,11.815341
10.287,11.909533
10.125,10.848345
10.293,10.523228
8.789,10.625165
8.011,9.269247
8.264,8.41898
9.027,8.641579
9.112,9.23825
9.405,9.259707
8.889,9.525969
7.361,9.126642
8.914,7.668182
10.119,9.189244
9.341,10.08223
8.139,9.509543
8.773,8.430729
8.554,9.074066
9.008,8.835977
10.421,9.197045
10.888,10.339962
11.233,10.863619
10.806,11.311361
10.473,11.145902
10.174,10.870934
10.68,10.575327
11.66,10.943739
12.063,11.750933
12.038,12.216429
11.12,12.314524
11.08,11.635345
10.555,11.459004
11.541,10.995843
10.781,11.693375
10.433,11.237717
10.189,10.846466
10.003,10.582481
10.348,10.382024
10.61,10.6346245
10.504,10.877256
10.861,10.831598
11.221,11.120853
11.318,11.463912
