true_value,predict
10.602,10.772358
10.849,10.419636
11.145,11.024528
11.987,11.208543
12.188,12.321458
11.09,12.164766
10.287,10.302226
10.327,10.085347
10.84,10.45924
11.118,11.050719
10.617,11.128906
10.462,10.181737
10.315,10.499588
10.382,10.1517105
10.672,10.429375
10.882,10.806966
11.191,10.880812
11.752,11.30159
12.005,11.966359
11.767,12.007158
12.216,11.538355
12.106,12.444496
11.532,11.9650955
11.758,11.138168
11.767,11.978031
11.676,11.678596
11.862,11.561828
12.124,11.954467
11.734,12.185499
11.725,11.412068
11.401,11.771778
10.8,11.143139
10.498,10.435044
10.498,10.434283
10.3,10.483666
9.671,10.092459
9.531,9.28134
9.558,9.613265
9.424,9.502264
9.39,9.286599
9.43,9.4156275
9.393,9.409026
9.363,9.31497
9.213,9.346621
9.106,9.086822
8.917,9.065359
8.78,8.791049
8.844,8.735871
8.823,8.908412
8.713,8.750469
8.585,8.650732
8.45,8.526768
8.499,8.3807
8.554,8.567256
8.505,8.5501
8.334,8.455028
8.179,8.242694
8.148,8.128388
8.264,8.162785
8.289,8.338139
8.228,8.260096
8.273,8.195367
8.337,8.323642
8.398,8.343868
8.74,8.420488
8.942,8.961059
8.99,8.931264
9.07,8.974077
9.277,9.11237
9.381,9.362162
9.323,9.357817
9.1,9.249292
9.094,8.954259
9.195,9.145482
9.405,9.216728
9.604,9.500592
9.653,9.654367
9.732,9.599298
9.79,9.75864
9.805,9.766596
9.872,9.768665
9.979,9.891613
10.068,9.993011
10.141,10.060768
10.281,10.134621
10.41,10.320419
10.532,10.413034
10.666,10.542008
10.745,10.68418
10.843,10.7170925
10.934,10.848268
11.005,10.923476
11.173,10.983117
11.285,11.220394
11.404,11.267007
11.551,11.409165
11.581,11.571416
11.661,11.5214205
11.731,11.660695
11.725,11.711655
11.746,11.660876
11.832,11.717241
11.884,11.8314
11.978,11.851879
12.027,11.977655
12.094,11.996687
12.128,12.078717
12.122,12.095458
12.076,12.070903
12.006,12.010519
11.984,11.931661
11.963,11.939373
12.027,11.909992
12.054,12.020258
11.987,12.015718
11.945,11.90114
11.893,11.891015
11.905,11.825688
11.996,11.874482
11.981,11.999466
11.923,11.912883
11.975,11.849852
12.051,11.970956
12.021,12.038776
11.838,11.948014
11.871,11.696035
11.908,11.87962
11.954,11.875382
12.0,11.924781
12.103,11.977298
12.173,12.106787
12.241,12.153592
12.079,12.22443
11.969,11.941205
11.96,11.892393
12.082,11.9298315
12.219,12.100655
12.363,12.230651
12.454,12.375865
12.393,12.444394
12.393,12.313876
12.317,12.360701
12.247,12.241538
12.06,12.177746
11.868,11.928112
11.829,11.745844
12.109,11.795652
12.091,12.213732
11.838,11.998607
11.465,11.650537
11.258,11.25037
11.209,11.159621
11.063,11.164717
11.169,10.919963
11.038,11.230254
10.904,10.86238
10.73,10.812069
10.684,10.600284
10.412,10.646553
10.15,10.181225
10.08,10.022311
10.175,10.055398
10.101,10.194514
9.903,9.97323
9.796,9.768677
9.946,9.745671
10.257,10.028754
10.461,10.374811
10.525,10.471625
10.534,10.484631
10.751,10.486771
10.76,10.84979
10.434,10.6512785
10.263,10.182135
10.107,10.223581
10.174,9.971632
10.226,10.228628
10.293,10.18836
9.771,10.284715
9.051,9.350604
8.694,8.739414
8.588,8.636037
8.728,8.54896
8.737,8.838037
8.45,8.671147
8.099,8.264318
7.999,7.9720125
7.962,8.021586
7.925,7.9397745
7.989,7.9232235
7.947,8.049327
8.108,7.889137
8.032,8.2440195
7.907,7.9127483
8.047,7.8795767
7.95,8.176106
7.962,7.813348
8.136,8.037222
8.221,8.2305565
8.008,8.201981
7.907,7.8698053
7.947,7.9305143
8.172,7.974347
8.438,8.299426
8.929,8.542276
9.201,9.192692
9.314,9.202701
9.628,9.321292
9.79,9.807847
9.839,9.746761
9.906,9.818461
9.863,9.921967
9.866,9.764854
9.888,9.862308
9.854,9.864012
9.811,9.785578
9.875,9.766159
9.924,9.897373
10.144,9.891786
10.242,10.255105
10.251,10.194998
10.33,10.202058
10.312,10.351664
10.431,10.222923
10.608,10.490154
10.745,10.644819
10.699,10.741389
10.705,10.595039
10.739,10.688924
10.849,10.707319
10.995,10.865686
11.05,11.017466
11.163,11.001867
11.307,11.182331
11.429,11.322805
11.563,11.42417
11.587,11.57588
11.572,11.528879
11.624,11.514717
11.682,11.613887
11.767,11.65703
11.877,11.759455
11.899,11.880087
11.862,11.847773
11.795,11.7941475
11.771,11.719837
11.746,11.72327
11.615,11.688707
11.56,11.49368
11.517,11.509543
11.505,11.450833
11.484,11.456203
11.435,11.426343
11.502,11.360233
11.401,11.506505
11.307,11.27146
11.264,11.228979
11.392,11.21004
11.432,11.426173
11.346,11.377726
11.224,11.238764
11.374,11.124962
11.352,11.443838
11.368,11.247214
11.42,11.342842
11.264,11.403689
11.191,11.09741
11.319,11.14684
11.157,11.361677
11.078,10.961466
10.95,11.039412
10.837,10.828093
10.745,10.742161
10.751,10.667908
10.742,10.72655
10.931,10.679995
10.989,11.013273
10.947,10.9234915
10.953,10.8653145
10.901,10.929876
10.76,10.808798
10.715,10.636897
10.69,10.683257
10.812,10.626467
10.825,10.853116
10.739,10.748766
10.727,10.638376
10.666,10.703209
