true_value,predict
1.129,1.4442097
0.43,1.1249149
0.485,0.75166553
0.878,0.5764631
1.263,0.7266039
1.476,1.2781465
1.62,1.8098242
1.721,1.981039
1.815,1.9341844
2.004,1.8765712
2.203,2.0230153
2.407,2.3013055
2.551,2.5736773
2.557,2.7291973
2.389,2.6811538
2.377,2.416213
2.511,2.3471763
2.648,2.503938
2.856,2.6957314
3.07,2.9590304
3.271,3.2226093
3.353,3.4491107
3.414,3.5023227
3.491,3.5185544
3.585,3.572293
3.732,3.6587994
3.976,3.8163202
4.208,4.102418
4.367,4.36477
4.464,4.5128794
4.495,4.5763044
4.577,4.561782
4.614,4.633873
4.574,4.642872
4.431,4.556634
4.26,4.3539715
4.098,4.1426244
3.973,3.956888
3.897,3.822952
3.842,3.751867
3.842,3.708455
3.866,3.73653
3.903,3.7924256
3.906,3.8582637
3.857,3.8716166
3.701,3.812414
3.625,3.6183121
3.549,3.5341218
3.622,3.4512665
3.701,3.555103
3.674,3.668193
3.665,3.638732
3.744,3.6316864
3.82,3.7387311
3.9,3.8352873
3.961,3.9267962
3.912,3.987593
3.817,3.9048548
3.765,3.7737105
3.708,3.7075994
3.704,3.637454
3.765,3.6374314
3.982,3.7219522
4.238,4.009075
4.449,4.3404655
4.605,4.5854206
4.791,4.7373705
4.913,4.931014
5.044,5.027708
5.133,5.1448746
5.233,5.2047157
5.352,5.2936354
5.468,5.412632
5.45,5.5252094
5.471,5.4507914
5.499,5.4704056
5.48,5.490753
5.505,5.4468184
5.612,5.48079
5.746,5.620014
5.883,5.777239
5.99,5.9311438
5.978,6.038335
5.978,5.9849625
6.161,5.9844484
6.42,6.2291718
6.515,6.521495
6.515,6.5690393
6.674,6.55155
6.732,6.766098
6.781,6.776903
6.948,6.8374786
6.985,7.0379677
7.028,7.021085
7.095,7.083514
7.129,7.1492414
7.122,7.170121
7.156,7.153452
7.18,7.20236
7.183,7.215004
7.211,7.2139235
7.309,7.250265
7.385,7.3638
7.376,7.42194
7.379,7.3905954
7.455,7.40617
7.516,7.4971685
7.562,7.541706
7.66,7.5853643
7.986,7.6960297
8.276,8.07676
8.41,8.307993
8.416,8.40299
8.282,8.366833
8.123,8.192296
7.992,8.044844
7.928,7.926408
7.876,7.887745
7.834,7.835596
7.58,7.803672
7.254,7.4896307
7.003,7.191656
6.869,6.976857
6.784,6.876833
6.805,6.798498
6.842,6.84816
6.848,6.8783894
6.823,6.878372
6.762,6.849413
6.787,6.781622
6.884,6.835737
6.988,6.944542
7.009,7.0468836
7.019,7.0438385
7.037,7.0602827
7.003,7.078288
7.031,7.027767
7.125,7.0806904
7.098,7.183461
7.116,7.113552
7.18,7.162242
7.205,7.227516
7.29,7.2371044
7.373,7.344881
7.394,7.4143963
7.483,7.417238
7.476,7.531683
7.458,7.4794407
7.476,7.4752207
7.568,7.4981127
7.599,7.6070623
7.504,7.606185
7.388,7.4843435
7.4,7.3791723
7.4,7.4302073
7.397,7.4094763
7.437,7.414562
7.501,7.4654646
7.461,7.530013
7.458,7.4555426
7.702,7.480443
7.934,7.786477
7.943,7.972415
8.008,7.915452
8.011,8.022844
7.983,7.9789553
7.904,7.956436
7.751,7.859454
7.864,7.696644
8.001,7.904149
7.937,7.9994287
7.815,7.882738
7.705,7.7727776
7.708,7.6702747
7.818,7.7112646
7.882,7.838003
7.84,7.8750496
7.785,7.809292
7.733,7.7637672
7.525,7.712085
7.367,7.461858
7.388,7.3523445
7.486,7.4170275
7.626,7.519271
7.733,7.6664715
7.724,7.7545786
7.623,7.712468
7.547,7.5980577
7.455,7.540947
7.36,7.440486
7.296,7.3537617
7.229,7.301956
7.199,7.233611
7.064,7.219452
6.896,7.0511475
6.698,6.894128
6.442,6.6898155
6.234,6.420435
6.21,6.2189713
6.234,6.2199326
6.234,6.23287
6.133,6.223976
5.999,6.0920763
5.853,5.943987
5.712,5.777524
5.697,5.6173506
5.676,5.6283607
5.575,5.6022825
5.416,5.4761457
5.236,5.2910156
5.029,5.0884027
4.815,4.8537874
4.611,4.6194973
4.394,4.4042873
4.248,4.175331
4.068,4.0439034
3.857,3.8610318
3.714,3.6450188
3.686,3.5162117
3.637,3.5237503
3.555,3.4996164
3.463,3.429816
3.433,3.3449357
3.476,3.3352635
3.567,3.4130514
3.604,3.5441701
3.509,3.5972536
3.427,3.4745288
3.39,3.3719287
3.375,3.3317149
3.305,3.3187108
3.244,3.2362072
3.18,3.1655684
3.07,3.0987418
2.981,2.9788883
2.96,2.8820553
3.027,2.8694046
3.161,2.9698489
3.296,3.1581888
3.387,3.342134
3.424,3.4530587
3.531,3.4808428
3.665,3.594653
3.738,3.7455375
3.671,3.808884
3.744,3.6872365
3.735,3.7600882
3.613,3.7358537
3.644,3.5665834
3.802,3.6017058
3.833,3.8061054
3.711,3.8408697
3.378,3.6709268
3.155,3.254428
3.177,2.999406
3.122,3.0398924
3.085,2.9946935
3.1,2.966675
2.957,3.0107386
2.737,2.8694181
2.585,2.6230216
2.548,2.4481823
2.475,2.4131
3.021,2.3544583
3.741,3.0350435
3.973,4.076106
3.796,4.3516836
3.665,3.9268157
3.607,3.6774237
3.567,3.588751
3.457,3.5248282
3.363,3.3685646
3.225,3.2512197
3.045,3.099707
2.887,2.9043396
3.009,2.7338006
3.473,2.896145
3.613,3.519879
3.384,3.7393649
3.085,3.3994257
2.878,3.0035584
2.673,2.7567706
2.523,2.5194585
2.523,2.3434243
2.511,2.3393114
2.453,2.3704705
2.423,2.350224
2.572,2.3449688
