true_value,predict
9.463,9.594722
9.155,9.295107
8.801,9.024076
8.389,8.689301
7.992,8.269471
7.58,7.8757243
7.116,7.4857626
6.665,7.0337086
6.341,6.5884123
6.128,6.2734346
5.926,6.0880046
5.658,5.9080887
5.319,5.6259236
4.986,5.2514796
4.614,4.8877606
4.245,4.5145593
4.058,4.144122
3.888,3.9486296
3.805,3.819318
3.738,3.7544425
3.613,3.7056284
3.555,3.6046343
3.689,3.5382845
4.458,3.6557233
4.968,4.462556
4.568,5.1908035
4.47,4.775778
4.528,4.3692594
4.483,4.390799
4.974,4.4614477
5.069,4.9782906
4.785,5.197494
4.779,4.839646
4.861,4.6665215
4.937,4.78535
5.203,4.944187
5.597,5.2317586
5.789,5.682466
6.024,5.9148016
6.448,6.0895267
7.138,6.512871
7.983,7.313929
8.23,8.2863865
8.624,8.45543
9.024,8.632787
9.378,9.056482
9.463,9.478661
9.649,9.506706
9.808,9.626549
9.939,9.821654
10.007,9.970019
10.177,10.015101
10.516,10.185276
10.788,10.585432
11.004,10.887656
11.151,11.056831
11.194,11.159153
11.206,11.174342
11.114,11.167402
11.044,11.063381
11.154,10.985213
11.301,11.1371975
11.496,11.340324
11.63,11.542695
11.7,11.656965
11.844,11.693757
12.097,11.829704
12.262,12.115266
12.411,12.290688
12.46,12.408553
12.463,12.434129
12.466,12.417364
12.402,12.416675
12.305,12.354273
12.14,12.2472515
12.427,12.071635
12.564,12.404012
12.585,12.613084
12.512,12.585729
12.408,12.455245
12.36,12.334392
12.299,12.298663
12.408,12.256577
12.567,12.386268
12.686,12.579025
12.57,12.695919
12.268,12.535963
12.378,12.165545
12.616,12.291481
12.744,12.640386
12.729,12.784708
12.753,12.708373
12.808,12.696508
12.781,12.766835
12.762,12.746706
12.735,12.714372
12.631,12.688216
12.579,12.580785
12.43,12.521685
12.323,12.375115
12.253,12.259379
12.124,12.202353
12.152,12.079559
12.198,12.113705
12.25,12.19123
12.387,12.246608
12.503,12.382033
12.591,12.504655
12.768,12.580005
12.915,12.751729
12.97,12.908152
12.961,12.947392
13.028,12.912301
13.202,12.976355
13.293,13.176037
13.159,13.279554
12.833,13.113477
12.485,12.732328
12.231,12.351621
11.862,12.116013
11.52,11.76713
11.358,11.409223
11.127,11.275798
10.818,11.083475
10.644,10.744464
10.544,10.558996
10.467,10.508269
10.428,10.459167
10.498,10.418744
10.464,10.504537
10.461,10.474429
10.376,10.442081
10.22,10.342513
10.071,10.161722
9.964,9.998878
9.915,9.910654
9.921,9.892463
9.878,9.922875
9.765,9.878951
9.64,9.732014
9.521,9.580799
9.381,9.465984
9.497,9.334046
9.888,9.491701
10.3,10.001973
10.531,10.480492
10.592,10.638225
10.577,10.583666
10.449,10.514058
10.48,10.375893
10.504,10.430018
10.589,10.506861
10.663,10.607525
10.724,10.680744
10.638,10.730414
10.617,10.612058
10.599,10.566015
10.629,10.571285
10.592,10.62292
10.519,10.583668
10.516,10.484639
10.431,10.48218
10.361,10.407901
10.211,10.32355
10.086,10.160744
9.945,10.026307
9.833,9.892805
9.762,9.789011
9.625,9.733007
9.482,9.595753
9.421,9.430696
9.405,9.378329
9.323,9.398362
9.118,9.317519
8.893,9.063659
8.716,8.796303
8.685,8.63032
8.697,8.652296
8.752,8.716556
8.825,8.781366
8.957,8.848348
9.118,8.984016
9.179,9.160552
9.241,9.207472
9.231,9.23398
9.179,9.210005
9.115,9.14302
9.17,9.071226
9.231,9.152488
9.253,9.25476
9.234,9.270434
9.17,9.219425
9.146,9.133176
9.189,9.10998
9.247,9.18301
9.375,9.267291
9.561,9.406046
9.72,9.611265
9.738,9.774474
9.585,9.74965
9.378,9.523112
9.195,9.269214
9.002,9.098065
8.825,8.934684
8.584,8.767741
8.368,8.519208
8.346,8.288116
8.392,8.300444
8.529,8.416651
8.682,8.583707
8.838,8.739424
8.951,8.883086
9.018,8.976816
9.073,9.020035
9.189,9.061959
9.344,9.192772
9.497,9.379489
9.628,9.54362
9.75,9.661218
9.823,9.7688265
9.909,9.830878
9.988,9.9093485
10.037,9.993706
10.058,10.040561
10.016,10.048854
9.955,9.990153
9.897,9.914453
9.829,9.858283
9.744,9.797787
9.662,9.711212
9.503,9.625791
9.301,9.456401
9.244,9.22937
9.277,9.187308
9.439,9.284625
9.628,9.497002
9.836,9.706387
10.04,9.903724
10.272,10.092292
10.586,10.319712
10.843,10.650963
11.026,10.913751
11.084,11.060906
11.029,11.072934
10.989,10.977775
11.056,10.927043
11.16,11.031481
11.264,11.178687
11.484,11.287435
11.67,11.511183
11.966,11.708779
12.25,12.002747
12.427,12.291574
12.573,12.44358
12.689,12.55395
12.759,12.659669
12.494,12.726363
12.317,12.426613
12.463,12.201046
12.628,12.410168
12.5,12.658472
12.234,12.497798
12.186,12.1400795
12.366,12.087651
12.366,12.35834
12.237,12.391509
12.094,12.196632
11.88,12.011233
11.386,11.795933
10.904,11.262405
10.66,10.72225
10.614,10.526838
10.904,10.598131
11.075,10.994948
11.029,11.195344
10.788,11.046515
10.708,10.690944
10.605,10.60007
10.449,10.562394
10.168,10.411556
9.79,10.087882
9.475,9.663407
9.463,9.343716
9.598,9.416042
9.915,9.671277
10.019,10.045961
10.577,10.114997
11.334,10.6613
