true_value,predict
10.736,10.95442
10.593,10.515822
10.361,10.49836
9.894,10.087058
9.524,9.595445
9.079,9.247543
9.222,8.7387705
9.46,9.222518
9.338,9.320313
9.32,9.132785
9.366,9.128996
9.21,9.224825
8.951,8.979052
8.774,8.711008
8.584,8.588249
8.392,8.333442
8.298,8.152174
8.087,8.09418
8.087,7.8053937
8.05,7.940646
7.971,7.8223696
7.867,7.8088703
8.023,7.6413803
8.008,7.992311
7.849,7.8059916
7.498,7.6882277
7.501,7.2144184
7.58,7.4761543
7.501,7.4409323
7.318,7.3842726
7.281,7.0853024
7.107,7.19702
7.181,6.9061375
6.976,7.159202
6.979,6.739267
7.208,6.951604
7.107,7.1199617
7.074,6.994037
7.199,6.938175
7.193,7.190546
7.132,7.1120667
6.97,7.0011463
6.82,6.847038
6.582,6.705483
6.347,6.392276
6.146,6.190678
6.134,5.9207277
5.865,5.953724
5.49,5.47926
5.304,5.0996895
5.063,5.022211
4.907,4.7283254
4.73,4.493222
4.657,4.4583254
4.577,4.581687
4.391,4.3165455
4.342,4.0844827
4.416,4.101612
4.312,4.2702994
4.098,3.9730775
3.97,3.7794812
3.872,3.7959194
3.531,3.6709344
2.963,3.313911
2.618,3.0561056
2.172,3.0182915
1.879,2.5118825
1.529,1.8574309
1.284,1.0199395
1.452,1.1322535
1.586,1.1513739
1.898,1.0769805
2.322,1.5762547
2.755,2.6946697
3.237,3.2223642
3.891,3.9974418
4.22,5.1781573
4.235,4.2213225
4.48,4.714106
4.458,4.406081
4.266,4.1582937
4.205,4.044035
4.489,4.1121664
4.788,4.621277
5.139,4.784634
5.401,5.4297953
5.404,5.761904
5.279,5.479524
5.2,5.0657735
5.203,5.053677
5.282,5.030979
5.069,5.189137
4.492,4.808794
3.882,3.9944863
3.497,3.5616531
3.909,3.5068421
5.398,4.041472
6.915,5.9367986
7.455,7.9472632
7.275,7.164315
6.869,7.163714
6.711,6.5244913
6.964,6.709113
8.389,7.064031
9.491,9.058266
9.488,9.75344
9.549,9.365647
9.842,9.642814
9.884,9.966451
10.19,9.907886
10.522,10.386728
10.919,10.567891
11.224,10.980187
11.374,11.1451
11.651,11.3129
11.798,11.612528
12.091,11.659829
12.216,12.07044
12.167,12.011644
12.158,11.993275
12.042,11.987998
10.632,11.833284
9.402,9.8158245
8.465,9.082016
6.976,7.856671
5.542,6.2627316
4.763,5.327539
4.565,5.4795895
4.602,4.46384
4.769,3.8552244
4.959,4.0235877
4.998,4.6862144
4.754,4.9061103
4.678,4.414019
4.995,4.546975
5.511,5.1374283
9.219,5.882243
10.827,11.748831
11.181,11.063791
11.499,11.259139
11.508,11.230792
11.407,11.489075
11.041,11.384891
10.66,10.931971
10.287,10.491113
10.107,10.008709
10.165,9.9888735
10.174,10.071304
10.303,10.038065
10.62,10.236283
10.843,10.592465
10.708,10.757588
10.675,10.467545
11.026,10.589649
11.069,11.05421
10.904,10.887223
10.849,10.738745
11.065,10.715441
10.977,11.05599
10.696,10.730577
10.486,10.504445
10.385,10.287622
10.507,10.244513
10.373,10.450302
10.132,10.140114
10.046,9.940736
10.321,9.868661
10.373,10.348033
10.119,10.182563
10.733,9.894379
10.29,10.958081
10.22,9.713695
10.156,10.331484
10.269,9.802632
10.296,10.396065
10.284,10.007304
10.419,10.268205
10.562,10.298617
10.617,10.486139
10.657,10.495199
10.336,10.548109
10.089,10.030941
10.028,9.927171
10.007,9.86712
10.019,9.8999605
9.964,9.881185
9.732,9.798916
9.57,9.470998
9.427,9.3736
9.32,9.213585
9.28,9.151664
9.051,9.10889
8.841,8.778379
8.618,8.604223
8.282,8.331781
7.962,7.975363
7.776,7.663474
7.525,7.55447
7.452,7.246947
7.361,7.287831
7.284,7.131908
7.071,7.1270733
7.022,6.8183937
6.793,6.9424314
6.619,6.5572963
6.381,6.5046334
6.192,6.1389213
5.978,6.0298753
5.755,5.659547
5.673,5.4578376
5.38,5.370966
5.2,4.997466
5.606,4.915875
6.298,5.922677
6.68,6.9468975
7.104,6.7698483
7.278,7.3018594
7.058,7.3935866
7.058,6.772461
7.092,7.001058
7.211,7.065603
7.397,7.2070737
7.577,7.346206
8.313,7.592276
8.383,8.561167
8.343,8.240973
8.539,8.337213
8.825,8.515319
9.024,8.970434
9.048,9.002348
9.143,9.016193
9.317,9.103455
9.375,9.289506
9.302,9.313581
9.289,9.171896
9.237,9.194064
8.923,9.081872
8.633,8.645215
8.343,8.396951
8.175,8.048901
7.986,7.967222
7.953,7.710673
7.925,7.80302
7.934,7.68818
7.901,7.7856946
7.977,7.69666
7.861,7.894939
8.139,7.6426244
8.706,8.20121
8.999,8.803535
8.682,9.032213
8.74,8.370432
6.512,8.787535
3.445,5.169224
4.653,4.732398
5.166,5.638542
4.965,4.277688
5.136,3.8473034
5.368,4.31994
5.987,6.460938
6.112,6.4423156
6.231,6.2279267
6.274,6.3089533
6.079,6.1797013
5.957,5.929812
6.006,5.724102
5.633,5.9815187
5.703,5.2904315
5.569,5.6287866
5.053,5.422657
5.175,4.631137
5.096,5.0984073
4.629,5.169389
4.596,3.9792268
4.742,4.494142
4.586,4.982658
4.251,4.0357156
3.842,3.8331966
3.506,3.650613
3.308,3.3230352
3.07,3.3632677
2.703,3.2979212
2.374,2.894607
2.285,2.10968
2.371,1.946035
2.258,2.1030746
2.16,1.8727194
1.602,1.877988
