true_value,predict
4.617,4.614793
4.306,4.657197
4.406,4.1857967
4.138,4.288605
3.61,4.1127133
3.296,3.4331455
3.32,3.1153464
3.753,3.352615
3.848,4.005999
3.506,4.075205
3.399,3.4411356
3.228,3.2649724
3.216,3.2509298
3.125,3.2979329
3.152,3.2162735
3.326,3.236938
3.424,3.4703293
3.363,3.5877314
3.421,3.4390464
3.524,3.4593582
3.097,3.625073
2.984,3.1218834
2.899,2.9237516
2.877,2.9820921
2.853,3.027973
2.966,3.0005653
3.17,3.1213267
3.295,3.3721614
3.781,3.4862962
3.186,3.9876263
3.271,3.2433605
3.491,3.1374514
3.814,3.6362662
3.933,4.079971
4.071,4.0756254
4.119,4.088578
3.604,4.133502
3.485,3.493128
3.518,3.3165936
3.598,3.569009
3.726,3.7402604
4.004,3.8310413
3.573,4.1219454
3.738,3.562235
3.823,3.6374297
3.79,3.9348042
3.665,3.8707564
3.54,3.6261
3.283,3.4913678
2.945,3.2616498
2.383,2.9176419
2.31,2.3405883
1.876,2.3414192
1.727,2.0942373
1.44,1.9775462
1.208,1.8218794
0.564,1.6844566
0.39,1.2897785
0.604,1.1135633
1.184,1.3811896
1.507,1.8416159
2.142,2.1090577
2.313,2.6624644
2.468,2.7986639
2.661,2.78109
2.893,2.9553192
3.097,3.2138436
3.192,3.3792295
3.289,3.3821638
3.555,3.4116209
3.726,3.704209
4.184,3.8960176
4.492,4.36039
4.516,4.6786714
4.458,4.532849
4.525,4.335021
5.011,4.46318
5.539,5.137654
5.926,5.7889895
6.262,6.049171
6.68,6.270686
6.759,6.7468357
6.866,6.7752104
7.177,6.772923
7.446,7.2084885
8.194,7.5676217
8.804,8.380882
9.128,9.03575
9.259,9.2070465
9.54,9.233689
9.729,9.549357
9.778,9.764081
9.845,9.750259
9.881,9.79329
10.122,9.840343
10.238,10.11003
10.428,10.228623
10.696,10.394158
10.742,10.672945
10.611,10.693956
10.766,10.511125
11.127,10.687155
11.279,11.094047
11.441,11.218223
11.444,11.336746
11.444,11.332721
11.398,11.323489
11.371,11.280381
11.374,11.254456
11.511,11.262082
11.383,11.401622
11.42,11.270248
11.478,11.29424
11.478,11.368941
11.673,11.364075
11.624,11.549059
11.328,11.502614
11.008,11.186064
10.632,10.857967
10.87,10.484248
11.255,10.786712
11.349,11.230038
11.343,11.274256
11.197,11.22311
11.212,11.075952
10.809,11.100672
10.559,10.68495
10.614,10.405508
10.745,10.53121
10.986,10.7070675
11.035,10.938415
10.818,10.964859
10.455,10.703252
10.321,10.3020525
10.324,10.195698
10.483,10.261959
10.769,10.448825
10.84,10.746037
11.041,10.790177
11.004,10.966642
11.27,10.925104
11.136,11.181869
10.657,11.048338
10.586,10.4957
10.592,10.446019
10.721,10.534498
10.763,10.671237
10.928,10.700056
10.87,10.859639
10.675,10.793411
10.361,10.559475
10.37,10.221092
10.373,10.272348
10.373,10.326331
10.339,10.309153
10.373,10.2628765
10.275,10.306471
10.147,10.201351
10.153,10.047696
10.0,10.077415
9.903,9.923518
9.894,9.80399
9.848,9.826361
10.013,9.7909775
9.817,9.978388
9.93,9.750169
9.933,9.852361
9.698,9.903246
9.796,9.5967245
9.729,9.713739
10.077,9.694728
10.254,10.070862
10.321,10.271477
10.345,10.275048
10.013,10.276883
10.126,9.894703
10.11,10.034188
10.388,10.0834
10.449,10.36489
10.574,10.42177
10.724,10.5152855
10.504,10.675993
10.238,10.41471
10.223,10.092747
10.205,10.127853
9.811,10.157099
9.546,9.678811
8.905,9.36531
8.178,8.681251
7.855,7.8225207
7.754,7.591233
7.651,7.7043834
7.321,7.6058164
7.059,7.118581
6.686,6.806795
6.503,6.457996
6.46,6.3091664
6.695,6.3685145
6.82,6.726361
6.952,6.8650713
7.174,6.920775
7.187,7.18708
7.394,7.180693
7.718,7.3828177
8.102,7.81791
8.117,8.233675
8.212,8.128968
8.304,8.146315
8.255,8.304849
8.331,8.230156
8.297,8.286335
8.215,8.2671795
8.288,8.143585
8.41,8.245731
8.471,8.43051
8.325,8.470447
8.069,8.240534
8.188,7.9161863
8.352,8.134255
8.05,8.422696
7.867,7.9640546
7.892,7.654884
8.038,7.842717
8.081,8.09542
8.273,8.0891
8.554,8.264298
8.755,8.619023
9.323,8.811511
9.778,9.415445
10.538,9.901172
10.678,10.622644
10.803,10.686127
11.139,10.721527
11.133,11.082141
11.426,11.066942
11.316,11.324748
11.85,11.218745
12.488,11.7137575
12.945,12.292572
13.119,12.631853
13.51,12.753995
14.139,13.027782
14.243,13.419758
13.892,13.497057
13.766,13.321257
13.965,13.25185
13.748,13.371736
13.541,13.2499
13.321,13.11075
13.107,12.9588375
13.202,12.799899
13.122,12.856676
12.665,12.7977295
12.408,12.427405
13.138,12.199933
13.489,12.779532
13.26,13.036605
12.933,12.873862
12.482,12.630003
11.819,12.267771
12.244,11.662061
13.382,12.052503
13.516,12.95325
12.552,13.043582
9.314,12.294565
10.043,8.830071
8.697,9.683239
7.727,8.648774
6.534,7.081233
5.31,5.817802
5.252,4.6795945
4.351,4.972198
5.023,4.2227974
6.936,4.958884
6.878,7.6698093
7.968,7.2504735
6.778,7.8884583
7.01,6.514976
5.987,6.5960374
5.774,5.7499685
7.577,5.379782
9.689,7.979437
10.724,10.488073
7.467,10.925959
6.894,6.557776
4.028,5.7285895
9.463,3.3665044
12.857,9.431433
