true_value,predict
7.721,7.495798
8.008,7.705589
8.197,8.020495
8.142,8.177163
8.16,8.058687
8.124,8.103152
8.188,8.052224
8.194,8.141419
8.206,8.128779
8.014,8.142841
7.922,7.8985972
7.864,7.838747
7.925,7.7895184
7.989,7.879434
7.849,7.9407597
7.821,7.746495
7.931,7.7554665
8.041,7.900601
8.148,8.004321
8.246,8.10885
8.34,8.204761
8.56,8.298423
8.74,8.557499
8.777,8.726997
8.81,8.72506
8.804,8.761338
9.06,8.745446
9.35,9.0798235
9.311,9.380316
9.097,9.249716
9.063,8.988314
9.076,9.008018
9.146,9.031653
9.097,9.114478
9.082,9.031026
9.234,9.027535
9.36,9.23001
9.115,9.348327
9.353,8.996291
9.326,9.376342
9.149,9.274365
8.996,9.049916
8.926,8.904706
8.783,8.856338
8.929,8.687283
9.073,8.916057
9.405,9.059072
9.497,9.448212
9.533,9.476941
9.689,9.501378
9.881,9.696612
10.132,9.900562
10.202,10.169982
10.324,10.196586
10.461,10.334594
10.437,10.480248
10.3,10.416694
10.272,10.24827
10.47,10.24706
10.62,10.504815
10.931,10.644906
11.337,10.994216
11.438,11.423659
11.423,11.465041
11.404,11.421805
11.566,11.402524
11.554,11.600471
11.481,11.559464
11.404,11.469169
11.334,11.39112
11.169,11.322207
11.066,11.135585
11.072,11.041288
11.16,11.072429
11.31,11.179536
11.523,11.343406
11.78,11.569417
11.822,11.833419
11.88,11.838485
11.938,11.893542
12.048,11.953372
12.03,12.0704775
12.118,12.033966
12.109,12.133675
12.314,12.114049
12.182,12.34327
12.057,12.172244
12.179,12.037607
12.533,12.197743
12.756,12.579591
12.909,12.780402
12.631,12.913764
12.451,12.600514
12.598,12.420026
13.046,12.607251
13.437,13.071441
13.006,13.429343
12.646,12.969137
12.964,12.594452
13.217,12.969247
13.232,13.217397
13.159,13.211045
13.177,13.130197
13.241,13.151439
13.287,13.217081
13.373,13.260205
13.354,13.342703
13.29,13.320645
13.077,13.25557
12.906,13.041476
12.781,12.873946
12.71,12.756875
12.442,12.693994
11.523,12.409562
10.101,11.372478
10.342,9.752776
9.772,10.389712
8.826,9.617022
8.899,8.519669
8.365,8.8885355
8.383,8.166737
9.616,8.328913
10.333,9.909252
10.123,10.468902
10.333,10.038926
10.437,10.36259
10.788,10.455567
10.821,10.860241
11.139,10.823352
11.374,11.202266
11.075,11.42822
10.574,11.014253
10.855,10.444734
10.266,10.911133
10.745,10.118424
11.072,10.838559
11.868,11.1497345
12.366,12.013982
12.527,12.451451
12.378,12.552661
12.234,12.360862
12.369,12.211156
12.286,12.384307
11.926,12.281217
11.697,11.872863
11.853,11.654393
11.941,11.88276
12.213,11.966565
12.216,12.257478
11.758,12.226311
11.358,11.687837
11.093,11.274739
10.663,11.035189
10.431,10.5600195
10.605,10.3613
10.94,10.638959
11.236,11.013806
11.3,11.299998
11.34,11.31684
11.041,11.349513
10.724,10.978757
10.611,10.6419
10.559,10.57512
10.449,10.537868
10.077,10.4095745
9.881,9.963493
9.619,9.804656
9.488,9.520871
9.186,9.41696
8.862,9.060812
8.478,8.7220955
8.542,8.316766
8.539,8.504945
8.484,8.473125
8.392,8.40009
8.151,8.301879
7.95,8.024023
7.672,7.8387322
7.635,7.541903
7.507,7.5713196
7.361,7.414326
6.949,7.266235
6.619,6.792457
6.35,6.496766
6.088,6.247955
5.801,5.988812
5.481,5.7016106
5.291,5.3821425
5.121,5.22746
4.837,5.062569
4.44,4.759626
4.422,4.353509
4.779,4.408027
4.583,4.8304763
4.995,4.5234637
4.828,5.0650125
4.589,4.7791266
4.431,4.533836
4.257,4.3981166
4.33,4.2178965
4.477,4.332026
4.388,4.4881206
4.324,4.357462
4.074,4.3037276
3.933,4.02697
3.817,3.90604
3.717,3.7930918
3.61,3.6935997
3.399,3.5868297
2.853,3.3658423
2.655,2.8022194
2.395,2.6395369
2.06,2.3690016
2.078,2.017243
1.858,1.9919963
1.464,1.7563039
1.394,1.4060296
1.181,1.3436029
0.823,1.1992745
0.692,0.92893153
0.869,0.81825614
0.817,0.9737392
0.936,0.98199093
0.967,1.0890975
0.885,1.1311017
0.573,1.0697621
0.524,0.8072622
0.527,0.7274124
0.286,0.72333676
0.643,0.57466525
0.973,0.79264057
0.833,1.1148877
2.069,1.0574132
2.429,2.1575394
3.512,2.6387587
2.902,3.776235
3.173,3.1011972
1.986,3.293335
1.565,1.9853463
1.91,1.5281408
2.227,1.7843544
2.649,2.0962787
3.296,2.5896785
3.241,3.3679543
2.966,3.3478909
3.485,3.0026867
3.204,3.5508177
3.329,3.1908622
3.271,3.3409648
3.045,3.2630305
2.581,3.0181541
2.578,2.5442681
2.349,2.555602
1.403,2.3004613
1.693,1.3787098
1.77,1.5627358
2.166,1.6591153
2.471,2.0955663
3.167,2.471866
3.271,3.2498128
3.65,3.4050515
3.451,3.7977996
3.47,3.4896533
3.247,3.4914722
3.256,3.2299728
3.466,3.2537365
4.489,3.4836693
6.066,4.6569576
7.415,6.4580145
7.364,7.78901
5.996,7.3326507
4.922,5.6564245
3.326,4.7176924
2.801,3.1386752
2.469,2.7813983
3.512,2.457868
4.757,3.5930607
3.906,4.960777
4.159,3.7722566
5.2,4.2128716
8.422,5.438639
8.334,9.327257
6.943,8.214272
7.129,6.542393
6.494,7.1860385
6.915,6.302942
6.53,6.99256
6.695,6.3743696
