true_value,predict
9.115,9.692116
8.618,9.040773
8.762,8.471498
8.755,8.673142
9.097,8.8692875
9.842,9.309432
10.434,10.05525
10.531,10.632765
10.531,10.659368
10.586,10.518149
10.653,10.47915
10.699,10.631943
10.733,10.833499
10.724,10.893742
10.69,10.804384
10.623,10.709456
10.571,10.63163
10.537,10.581592
10.565,10.555404
10.617,10.598435
10.721,10.666573
10.797,10.778506
10.898,10.853222
11.001,10.944199
11.081,11.043499
10.983,11.128078
10.635,11.01897
10.104,10.612945
9.771,9.992201
9.878,9.623269
10.238,9.8368025
10.54,10.39138
10.659,10.789568
10.672,10.808218
10.65,10.640017
10.656,10.539836
10.726,10.609102
10.9,10.781382
11.059,11.014451
11.245,11.183462
11.334,11.346485
11.3,11.401952
11.111,11.325981
10.855,11.092072
10.717,10.802445
10.635,10.669707
10.824,10.645277
10.943,10.902942
10.977,11.065688
11.138,11.063942
11.224,11.154142
11.251,11.229283
11.514,11.276438
11.929,11.570106
12.252,12.046535
12.454,12.4233265
12.668,12.608543
12.906,12.741268
13.058,12.9401865
13.129,13.133709
13.138,13.232372
13.095,13.207372
13.058,13.1207695
13.064,13.075801
13.162,13.101902
13.235,13.224478
13.37,13.314054
13.345,13.442669
13.309,13.391887
13.254,13.311849
13.257,13.234931
13.275,13.25639
13.306,13.311977
13.303,13.365442
13.275,13.349311
13.312,13.291403
13.333,13.316508
13.373,13.353931
13.443,13.411998
13.443,13.487373
13.434,13.481362
13.486,13.453324
13.473,13.4998455
13.495,13.499465
13.605,13.52727
13.635,13.645922
13.623,13.686174
13.623,13.661587
13.611,13.637942
13.614,13.614728
13.599,13.629526
13.605,13.633371
13.596,13.636743
13.638,13.618804
13.644,13.661867
13.614,13.674704
13.605,13.639429
13.599,13.615783
13.623,13.608059
13.635,13.644621
13.65,13.670963
13.595,13.684457
13.541,13.613241
13.525,13.540406
13.47,13.521905
13.428,13.48228
13.321,13.447274
13.251,13.330869
13.177,13.241593
13.101,13.166392
13.025,13.102901
12.955,13.0299015
12.927,12.955395
12.973,12.92604
12.97,12.987666
12.909,13.00453
12.89,12.931716
12.894,12.884394
12.89,12.887041
12.851,12.908124
12.839,12.883526
12.814,12.858217
12.829,12.821098
12.802,12.843569
12.686,12.828931
12.604,12.70036
12.524,12.589125
12.39,12.505444
12.195,12.385427
12.005,12.187084
11.862,11.972722
11.773,11.818655
11.731,11.755251
11.719,11.74654
11.767,11.744698
11.789,11.787951
11.731,11.808819
11.673,11.741325
11.657,11.661087
11.63,11.641538
11.682,11.639552
11.691,11.720252
11.636,11.741897
11.596,11.66634
11.554,11.595576
11.401,11.547164
11.172,11.398982
11.044,11.154762
10.937,11.004791
10.769,10.913338
10.657,10.776522
10.635,10.66199
10.617,10.62627
10.531,10.620149
10.327,10.548904
10.132,10.316223
9.897,10.068547
9.744,9.824136
9.561,9.7034025
9.366,9.555774
9.174,9.360699
8.945,9.143036
8.743,8.895437
8.597,8.687758
8.456,8.556046
8.395,8.43763
8.353,8.389939
8.292,8.359856
8.264,8.299095
8.237,8.263026
8.285,8.23687
8.359,8.297167
8.285,8.398627
8.252,8.33181
8.194,8.263342
8.313,8.184758
8.389,8.327533
8.401,8.461447
8.337,8.48768
8.313,8.3706665
8.353,8.298785
8.435,8.35223
8.411,8.4904375
8.319,8.491669
8.16,8.355544
8.096,8.137184
8.087,8.058669
8.011,8.097146
7.919,8.066428
7.837,7.958096
7.761,7.833657
7.632,7.7430997
7.501,7.627572
7.391,7.500799
7.33,7.381019
7.4,7.3256087
7.538,7.4266396
7.632,7.606295
7.748,7.715409
7.846,7.8082194
7.879,7.881774
7.901,7.907259
8.072,7.931899
8.346,8.1205
8.493,8.442816
8.493,8.630192
8.407,8.591084
8.316,8.412152
8.23,8.272272
8.169,8.219083
8.172,8.212823
8.221,8.235798
8.243,8.282466
8.16,8.297498
8.148,8.189683
8.191,8.143046
8.279,8.191948
8.316,8.325361
8.362,8.393218
8.41,8.421542
8.557,8.43934
8.661,8.592822
8.731,8.732502
8.74,8.810287
8.746,8.790027
8.801,8.765425
8.914,8.824024
8.981,8.97396
8.996,9.068102
9.076,9.065773
9.18,9.112476
9.262,9.217276
9.488,9.325543
9.796,9.572332
10.074,9.905745
10.184,10.205322
10.199,10.297779
10.184,10.244357
10.208,10.17341
10.177,10.213718
10.202,10.235005
10.135,10.277987
9.857,10.191932
9.607,9.861087
9.57,9.546016
9.537,9.510619
9.399,9.557069
9.351,9.467358
9.396,9.378373
9.491,9.379151
9.567,9.502263
9.546,9.63049
9.5,9.601187
9.506,9.499042
9.503,9.486996
9.36,9.519172
9.052,9.397587
8.783,9.04633
8.533,8.708757
8.322,8.452673
8.185,8.291808
7.919,8.196394
7.623,7.9225707
7.443,7.569205
7.361,7.3561883
7.532,7.3106427
7.995,7.561908
8.481,8.123581
8.49,8.675056
8.505,8.635989
8.853,8.493649
9.143,8.784164
9.271,9.214418
9.366,9.470058
9.109,9.520812
8.844,9.11948
8.966,8.751634
9.213,8.922341
9.069,9.32323
8.914,9.250752
8.697,8.978659
8.218,8.603681
7.946,8.073403
8.044,7.843942
8.12,8.043144
7.766,8.225254
7.528,7.865591
7.605,7.4728236
