true_value,predict
5.981,5.6962013
6.155,5.7561193
5.908,5.921299
5.7,5.75364
5.557,5.594397
5.349,5.43262
5.301,5.2279186
5.276,5.181558
5.234,5.114335
5.221,5.0966377
5.197,5.0470314
5.166,5.0181465
5.087,5.0048165
5.115,4.9283304
5.047,4.9543414
5.008,4.9011984
5.057,4.861452
5.081,4.897615
5.014,4.9102464
4.995,4.8714137
4.95,4.8408837
4.947,4.811712
4.87,4.795678
4.901,4.732483
4.941,4.7527084
4.699,4.7853003
4.596,4.585127
4.657,4.4960146
4.605,4.507236
4.611,4.467523
4.678,4.4687777
4.712,4.5159216
4.767,4.5602574
4.745,4.591307
4.825,4.5857334
4.983,4.672556
5.041,4.794803
5.053,4.861472
4.931,4.900816
4.669,4.8033476
4.458,4.5926313
4.458,4.386422
4.596,4.3464403
4.791,4.44471
4.837,4.5994787
4.794,4.659688
4.864,4.6372514
4.968,4.688187
5.06,4.775902
5.188,4.883904
5.209,5.0105453
5.249,5.051284
5.349,5.088206
5.475,5.1642027
5.563,5.283134
5.713,5.3802385
5.862,5.510639
5.917,5.657495
5.92,5.7175903
5.884,5.7412705
5.938,5.720871
6.106,5.7659597
6.225,5.8958435
6.35,6.010674
6.347,6.136938
6.296,6.1472006
6.296,6.114887
6.18,6.111407
6.128,6.0160575
6.128,5.9781394
6.131,5.954625
6.265,5.952325
6.207,6.054452
6.115,6.0079126
6.097,5.9493737
5.996,5.91443
5.862,5.8240666
5.758,5.7210627
5.606,5.607164
5.432,5.480259
5.426,5.3057966
5.301,5.263757
5.185,5.1564007
5.081,5.045752
5.041,4.939298
5.008,4.8862457
4.995,4.855365
4.998,4.8240795
5.038,4.844372
4.992,4.8624363
4.956,4.8340473
5.041,4.8040876
4.956,4.8725834
4.995,4.808537
5.087,4.842822
5.13,4.9118867
5.194,4.957684
5.24,5.022545
5.191,5.0565524
5.246,5.0490417
5.42,5.0754
5.404,5.2223153
5.24,5.235648
5.313,5.1156816
5.374,5.1570916
5.365,5.199722
5.481,5.1959677
5.371,5.296788
5.517,5.226005
5.737,5.3364086
5.92,5.4978275
6.1,5.686552
6.237,5.8806057
6.347,5.9962964
6.561,6.1418824
6.329,6.307506
6.167,6.174258
5.923,6.0506682
5.59,5.823854
5.474,5.511836
5.172,5.3802056
4.891,5.063356
4.629,4.818196
4.278,4.510883
4.119,4.1785617
3.851,4.0067616
3.872,3.7283282
3.899,3.7332888
3.753,3.7281861
3.277,3.6133432
2.859,3.2514675
2.45,2.8153238
1.971,2.3858898
1.293,1.8581672
1.226,1.0379715
1.254,0.9839415
1.479,1.1455182
1.324,1.9445579
0.436,1.9389329
1.294,0.62204707
1.736,2.6969755
1.892,1.6765583
1.861,1.7508719
1.99,1.720026
2.307,1.607548
2.682,2.2224715
3.549,2.4122632
4.339,3.3395684
4.815,3.9630613
5.008,4.147961
5.066,4.3555884
4.946,4.745894
4.916,4.872201
4.925,4.832037
4.824,4.8647833
4.831,4.7660627
4.531,4.7375026
4.416,4.4589715
4.449,4.3333426
4.589,4.311594
4.431,4.407552
4.217,4.3189907
4.205,4.1159987
4.281,4.1052604
4.379,4.109632
4.489,4.2148733
4.861,4.3180385
4.809,4.645593
4.571,4.629367
5.111,4.458696
4.864,4.8872724
4.934,4.7185245
5.163,4.808898
5.017,4.9736333
4.971,4.8816414
5.389,4.8735
5.499,5.1059957
5.624,5.333951
6.146,5.4028563
6.302,5.855148
6.421,6.0550957
6.555,6.1937375
6.567,6.3158793
6.674,6.390237
6.872,6.482024
6.826,6.622276
6.897,6.658443
6.665,6.6957
6.979,6.5069695
7.507,6.7427845
7.626,7.1745696
7.534,7.3259416
7.342,7.3419957
7.287,7.144213
7.196,7.113823
7.431,6.988275
8.786,7.189897
10.482,8.1720495
11.877,9.416227
12.332,9.990199
12.216,10.216766
12.335,10.620681
12.378,11.804075
12.936,12.035144
13.644,12.578944
14.157,13.171501
14.841,13.547637
14.905,14.085553
15.036,14.122495
15.47,14.5889845
15.808,14.946115
15.738,15.290338
15.619,15.344933
15.54,15.220927
15.18,15.18131
14.731,14.825358
14.639,14.427252
14.902,14.285275
15.473,14.401894
15.799,14.704614
15.451,15.004663
14.734,14.836961
14.017,14.413028
12.887,13.745001
11.777,12.731395
13.653,11.673139
13.184,12.770982
12.231,12.458963
11.81,11.785424
11.935,11.206059
11.944,11.393839
11.444,11.565463
9.115,11.01307
9.011,9.404539
8.328,8.81373
8.642,8.031865
8.99,8.22351
8.676,8.33327
8.697,8.010908
9.9,7.769007
10.498,9.039525
10.537,9.893954
10.721,9.999643
11.102,10.183516
11.633,10.646913
11.608,11.173867
10.287,11.207743
10.125,10.311581
10.293,10.027696
8.789,9.975735
8.011,8.768214
8.264,8.029248
9.027,7.9572654
9.112,8.404608
9.405,8.456293
8.889,8.704653
7.361,7.93028
8.914,7.072838
10.119,8.457999
9.341,9.440299
8.139,9.028436
8.773,7.887508
8.554,8.428096
9.008,8.316041
10.421,8.520654
10.888,9.642384
11.233,9.6955185
10.806,9.835053
10.473,9.790394
10.174,10.321451
10.68,9.982654
11.66,10.3017845
12.063,11.092382
12.038,11.36588
11.12,11.201453
11.08,10.403109
10.555,10.81823
11.541,10.334132
10.781,11.094541
10.433,10.628003
10.189,10.215497
10.003,9.9831
10.348,9.579744
10.61,10.05288
10.504,10.111428
10.861,10.19658
11.221,10.416641
11.318,10.765085
