true_value,predict
10.602,10.714886
10.849,10.701566
11.145,10.889969
11.987,11.161203
12.188,11.846426
11.09,12.209092
10.287,11.536728
10.327,10.6039715
10.84,10.274134
11.118,10.505482
10.617,10.891662
10.462,10.937667
10.315,10.772749
10.382,10.385398
10.672,10.2675495
10.882,10.527323
11.191,10.946604
11.752,11.25432
12.005,11.721472
11.767,12.067495
12.216,11.9242
12.106,12.210018
11.532,12.195774
11.758,11.671873
11.767,11.690458
11.676,11.823284
11.862,11.660955
12.124,11.789706
11.734,12.208494
11.725,11.865591
11.401,11.733747
10.8,11.533072
10.498,10.93684
10.498,10.47661
10.3,10.485685
9.671,10.312383
9.531,9.794439
9.558,9.642422
9.424,9.572233
9.39,9.407648
9.43,9.397924
9.393,9.548618
9.363,9.495323
9.213,9.394526
9.106,9.323349
8.917,9.211695
8.78,9.002417
8.844,8.858803
8.823,8.870707
8.713,8.88627
8.585,8.814964
8.45,8.705383
8.499,8.575895
8.554,8.53404
8.505,8.585562
8.334,8.604818
8.179,8.478849
8.148,8.322063
8.264,8.220373
8.289,8.276413
8.228,8.352444
8.273,8.357115
8.337,8.389086
8.398,8.424987
8.74,8.458779
8.942,8.748335
8.99,9.022455
9.07,9.116661
9.277,9.182056
9.381,9.361538
9.323,9.4346
9.1,9.413802
9.094,9.271234
9.195,9.191538
9.405,9.205514
9.604,9.39121
9.653,9.641137
9.732,9.785221
9.79,9.843626
9.805,9.866491
9.872,9.873339
9.979,9.915026
10.068,10.033846
10.141,10.128996
10.281,10.200378
10.41,10.337413
10.532,10.464002
10.666,10.579145
10.745,10.715022
10.843,10.814856
10.934,10.896448
11.005,10.979537
11.173,11.056696
11.285,11.193731
11.404,11.3236265
11.551,11.4460335
11.581,11.582373
11.661,11.64687
11.731,11.6979885
11.725,11.761864
11.746,11.776828
11.832,11.774204
11.884,11.853478
11.978,11.910384
12.027,11.986072
12.094,12.063077
12.128,12.130773
12.122,12.154417
12.076,12.160194
12.006,12.116984
11.984,12.047241
11.963,12.005511
12.027,11.976074
12.054,12.026651
11.987,12.071177
11.945,12.040792
11.893,11.988277
11.905,11.930796
11.996,11.91139
11.981,11.978247
11.923,12.015757
11.975,11.977628
12.051,11.999603
12.021,12.06023
11.838,12.039551
11.871,11.911091
11.908,11.907234
11.954,11.908501
12.0,11.939447
12.103,12.009514
12.173,12.14462
12.241,12.199785
12.079,12.252602
11.969,12.157957
11.96,12.0322895
12.082,11.968794
12.219,12.047586
12.363,12.182604
12.454,12.376582
12.393,12.506899
12.393,12.464863
12.317,12.425909
12.247,12.34733
12.06,12.267849
11.868,12.09959
11.829,11.927499
12.109,11.833004
12.091,12.028603
11.838,12.098991
11.465,11.9489355
11.258,11.620682
11.209,11.328543
11.063,11.142703
11.169,11.038221
11.038,11.166655
10.904,11.126165
10.73,10.992201
10.684,10.785952
10.412,10.726358
10.15,10.471206
10.08,10.222576
10.175,10.1236725
10.101,10.169119
9.903,10.12632
9.796,10.008055
9.946,9.912727
10.257,9.95654
10.461,10.189877
10.525,10.46767
10.534,10.641371
10.751,10.671208
10.76,10.785257
10.434,10.791841
10.263,10.5618105
10.107,10.371592
10.174,10.190268
10.226,10.141821
10.293,10.198858
9.771,10.362942
9.051,9.986492
8.694,9.293652
8.588,8.776056
8.728,8.544417
8.737,8.613037
8.45,8.768782
8.099,8.68536
7.999,8.3094845
7.962,8.074693
7.925,7.9674997
7.989,7.944766
7.947,8.066289
8.108,8.095634
8.032,8.178568
7.907,8.138164
8.047,8.051947
7.95,8.105875
7.962,8.070377
8.136,8.039064
8.221,8.184599
8.008,8.337284
7.907,8.152549
7.947,8.046495
8.172,8.0488615
8.438,8.1702385
8.929,8.435717
9.201,8.963436
9.314,9.3184185
9.628,9.462682
9.79,9.702591
9.839,9.879947
9.906,9.916557
9.863,9.978879
9.866,9.996279
9.888,9.932194
9.854,9.927938
9.811,9.936163
9.875,9.883598
9.924,9.927638
10.144,9.979316
10.242,10.151537
10.251,10.296849
10.33,10.353218
10.312,10.398961
10.431,10.39599
10.608,10.4543
10.745,10.612802
10.699,10.797019
10.705,10.78928
10.739,10.794106
10.849,10.798279
10.995,10.855305
11.05,10.994217
11.163,11.111916
11.307,11.221268
11.429,11.341808
11.563,11.461608
11.587,11.583963
11.572,11.65168
11.624,11.643617
11.682,11.653663
11.767,11.7024765
11.877,11.7746315
11.899,11.892185
11.862,11.954374
11.795,11.9210415
11.771,11.848856
11.746,11.803009
11.615,11.758832
11.56,11.659916
11.517,11.599222
11.505,11.550373
11.484,11.522893
11.435,11.500004
11.502,11.484516
11.401,11.523476
11.307,11.452625
11.264,11.362477
11.392,11.300003
11.432,11.391315
11.346,11.433329
11.224,11.409561
11.374,11.3196945
11.352,11.383873
11.368,11.363174
11.42,11.383457
11.264,11.461678
11.191,11.373587
11.319,11.22999
11.157,11.303766
11.078,11.228243
10.95,11.115352
10.837,11.0239525
10.745,10.910833
10.751,10.751113
10.742,10.770102
10.931,10.783909
10.989,10.923452
10.947,11.0319
10.953,11.031304
10.901,11.015505
10.76,10.972713
10.715,10.818515
10.69,10.743479
10.812,10.737328
10.825,10.812916
10.739,10.855781
10.727,10.832353
10.666,10.794952
