true_value,predict
1.129,1.476107
0.43,1.1374688
0.485,0.6542524
0.878,0.58663285
1.263,0.79025006
1.476,1.0460302
1.62,1.4888526
1.721,1.6665428
1.815,1.8883779
2.004,1.8955287
2.203,2.1323817
2.407,2.3383477
2.551,2.5396655
2.557,2.690777
2.389,2.687551
2.377,2.5301719
2.511,2.4515042
2.648,2.5526714
2.856,2.642786
3.07,2.8740306
3.271,3.109036
3.353,3.3366892
3.414,3.4436536
3.491,3.5044136
3.585,3.6018288
3.732,3.652583
3.976,3.793817
4.208,4.016117
4.367,4.2680197
4.464,4.43843
4.495,4.5608954
4.577,4.5936317
4.614,4.6530275
4.574,4.6750846
4.431,4.6149573
4.26,4.4789114
4.098,4.262604
3.973,4.0754375
3.897,3.8933592
3.842,3.8050888
3.842,3.7385247
3.866,3.741979
3.903,3.7775583
3.906,3.8280222
3.857,3.8631723
3.701,3.8291137
3.625,3.6967964
3.549,3.5922246
3.622,3.514962
3.701,3.5375183
3.674,3.654695
3.665,3.6204019
3.744,3.6627634
3.82,3.7136374
3.9,3.8061204
3.961,3.884213
3.912,3.974611
3.817,3.9437222
3.765,3.841991
3.708,3.7667308
3.704,3.691205
3.765,3.6639998
3.982,3.719791
4.238,3.9254405
4.449,4.2113676
4.605,4.4449306
4.791,4.6676817
4.913,4.8613257
5.044,5.0073943
5.133,5.115891
5.233,5.2255497
5.352,5.294068
5.468,5.4162245
5.45,5.496989
5.471,5.504421
5.499,5.4929647
5.48,5.5255027
5.505,5.46526
5.612,5.4931197
5.746,5.5742354
5.883,5.717229
5.99,5.8533044
5.978,5.985404
5.978,6.0014796
6.161,5.99184
6.42,6.150208
6.515,6.393439
6.515,6.5182166
6.674,6.5473456
6.732,6.7048306
6.781,6.7516656
6.948,6.765578
6.985,6.956019
7.028,6.986986
7.095,7.029056
7.129,7.084259
7.122,7.1073556
7.156,7.112648
7.18,7.1088614
7.183,7.1526003
7.211,7.130156
7.309,7.1589
7.385,7.246298
7.376,7.332365
7.379,7.3278995
7.455,7.343655
7.516,7.4087906
7.562,7.4608555
7.66,7.50624
7.986,7.614685
8.276,7.9237905
8.41,8.240719
8.416,8.39983
8.282,8.478966
8.123,8.333345
7.992,8.14362
7.928,7.945198
7.876,7.835329
7.834,7.764783
7.58,7.695406
7.254,7.473674
7.003,7.123424
6.869,6.8645425
6.784,6.6608844
6.805,6.5774302
6.842,6.58387
6.848,6.675524
6.823,6.6971045
6.762,6.715321
6.787,6.6703773
6.884,6.705816
6.988,6.797554
7.009,6.9071054
7.019,6.964961
7.037,6.9799933
7.003,7.0104117
7.031,6.9573994
7.125,6.9780617
7.098,7.0669603
7.116,7.048071
7.18,7.0605607
7.205,7.130935
7.29,7.14291
7.373,7.235153
7.394,7.3185534
7.483,7.359629
7.476,7.4431367
7.458,7.4450645
7.476,7.418545
7.568,7.441243
7.599,7.494001
7.504,7.554296
7.388,7.4452434
7.4,7.3528037
7.4,7.3213053
7.397,7.3066773
7.437,7.287625
7.501,7.3548427
7.461,7.4135695
7.458,7.39593
7.702,7.377563
7.934,7.6248684
7.943,7.8599834
8.008,7.908008
8.011,8.004315
7.983,8.025366
7.904,7.9520783
7.751,7.8763165
7.864,7.693395
8.001,7.7864823
7.937,7.8871098
7.815,7.834136
7.705,7.765975
7.708,7.6344047
7.818,7.611725
7.882,7.683117
7.84,7.766645
7.785,7.7753286
7.733,7.7213764
7.525,7.6627655
7.367,7.45011
7.388,7.2649364
7.486,7.2697635
7.626,7.3313017
7.733,7.4859047
7.724,7.6289315
7.623,7.673771
7.547,7.5903716
7.455,7.496134
7.36,7.3955812
7.296,7.2713714
7.229,7.1981325
7.199,7.1160955
7.064,7.0787377
6.896,6.951718
6.698,6.7796545
6.442,6.5956097
6.234,6.3047895
6.21,6.0883336
6.234,6.0199637
6.234,6.0517554
6.133,6.0645275
5.999,6.019438
5.853,5.9018035
5.712,5.768495
5.697,5.5960693
5.676,5.5775313
5.575,5.5579357
5.416,5.467556
5.236,5.3332586
5.029,5.1425805
4.815,4.9325137
4.611,4.689376
4.394,4.4805727
4.248,4.2531133
4.068,4.088818
3.857,3.9144993
3.714,3.7006721
3.686,3.5717049
3.637,3.5269558
3.555,3.5039024
3.463,3.4365132
3.433,3.3861897
3.476,3.353234
3.567,3.4003036
3.604,3.4915826
3.509,3.5727406
3.427,3.5064392
3.39,3.4302003
3.375,3.3778439
3.305,3.3364577
3.244,3.2767088
3.18,3.2086415
3.07,3.156765
2.981,3.0235796
2.96,2.9342487
3.027,2.901816
3.161,2.963555
3.296,3.1022182
3.387,3.261995
3.424,3.394193
3.531,3.4575498
3.665,3.56476
3.738,3.7035403
3.671,3.7759445
3.744,3.7381115
3.735,3.779779
3.613,3.7818422
3.644,3.6114483
3.802,3.65444
3.833,3.768036
3.711,3.8223307
3.378,3.7084386
3.155,3.4180412
3.177,3.1413221
3.122,3.0977345
3.085,3.0017204
3.1,2.9953625
2.957,3.038523
2.737,2.9077346
2.585,2.696958
2.548,2.526183
2.475,2.476365
3.021,2.397499
3.741,2.874829
3.973,3.6900604
3.796,3.9893162
3.665,4.004704
3.607,3.8536785
3.567,3.762978
3.457,3.5929806
3.363,3.4844239
3.225,3.3720443
3.045,3.2156937
2.887,2.9682834
3.009,2.814099
3.473,2.8931034
3.613,3.3560672
3.384,3.562355
3.085,3.427682
2.878,3.195085
2.673,2.9015417
2.523,2.6387136
2.523,2.41853
2.511,2.4370139
2.453,2.4154215
2.423,2.3567643
2.572,2.353152
