true_value,predict
9.463,9.688995
9.155,9.329237
8.801,9.143037
8.389,8.898633
7.992,8.4691515
7.58,8.079927
7.116,7.6683645
6.665,7.2216563
6.341,6.7859807
6.128,6.4717193
5.926,6.2798457
5.658,6.0988994
5.319,5.8112526
4.986,5.4221773
4.614,5.0571313
4.245,4.6993012
4.058,4.3667026
3.888,4.2035246
3.805,4.054545
3.738,3.9810162
3.613,3.8861578
3.555,3.7284224
3.689,3.6434617
4.458,3.7816684
4.968,4.608365
4.568,5.190665
4.47,4.756943
4.528,4.468611
4.483,4.415262
4.974,4.5529094
5.069,5.231872
4.785,5.287647
4.779,4.8949027
4.861,4.781924
4.937,4.8574753
5.203,5.048792
5.597,5.4051404
5.789,5.7649245
6.024,5.917141
6.448,6.148715
7.138,6.54887
7.983,7.2880993
8.23,8.228968
8.624,8.476967
9.024,8.776611
9.378,9.069351
9.463,9.499573
9.649,9.643918
9.808,9.8141775
9.939,9.894384
10.007,10.060954
10.177,10.142741
10.516,10.298268
10.788,10.627506
11.004,10.934969
11.151,11.158039
11.194,11.254529
11.206,11.256425
11.114,11.267697
11.044,11.185709
11.154,11.119504
11.301,11.238432
11.496,11.413879
11.63,11.634612
11.7,11.747236
11.844,11.777439
12.097,11.901987
12.262,12.181495
12.411,12.381924
12.46,12.540176
12.463,12.545935
12.466,12.521598
12.402,12.5236435
12.305,12.474436
12.14,12.3783655
12.427,12.198047
12.564,12.502569
12.585,12.668061
12.512,12.730832
12.408,12.577067
12.36,12.407601
12.299,12.366848
12.408,12.373032
12.567,12.512572
12.686,12.672105
12.57,12.7962675
12.268,12.643936
12.378,12.281755
12.616,12.371859
12.744,12.681109
12.729,12.91938
12.753,12.877007
12.808,12.794015
12.781,12.806216
12.762,12.8427515
12.735,12.858081
12.631,12.807267
12.579,12.684567
12.43,12.635166
12.323,12.479673
12.253,12.373718
12.124,12.305294
12.152,12.191571
12.198,12.227848
12.25,12.278878
12.387,12.340671
12.503,12.471739
12.591,12.581804
12.768,12.668045
12.915,12.850762
12.97,13.000311
12.961,13.062378
13.028,13.038901
13.202,13.087313
13.293,13.276827
13.159,13.40634
12.833,13.260739
12.485,12.859585
12.231,12.450161
11.862,12.216814
11.52,11.923336
11.358,11.623773
11.127,11.455295
10.818,11.234352
10.644,10.93637
10.544,10.737643
10.467,10.623408
10.428,10.577849
10.498,10.550785
10.464,10.599572
10.461,10.543741
10.376,10.535416
10.22,10.419879
10.071,10.257546
9.964,10.104405
9.915,10.0111265
9.921,9.986086
9.878,10.019537
9.765,9.974293
9.64,9.838132
9.521,9.6839485
9.381,9.557851
9.497,9.434849
9.888,9.582798
10.3,10.009822
10.531,10.471267
10.592,10.698574
10.577,10.676917
10.449,10.581772
10.48,10.456816
10.504,10.550726
10.589,10.613476
10.663,10.7240925
10.724,10.776346
10.638,10.8135605
10.617,10.694572
10.599,10.669032
10.629,10.646036
10.592,10.70974
10.519,10.683549
10.516,10.598878
10.431,10.568369
10.361,10.483467
10.211,10.428145
10.086,10.266201
9.945,10.134775
9.833,9.993308
9.762,9.903661
9.625,9.838945
9.482,9.708528
9.421,9.55552
9.405,9.485671
9.323,9.480345
9.118,9.414041
8.893,9.193627
8.716,8.930731
8.685,8.745619
8.697,8.757426
8.752,8.814483
8.825,8.885093
8.957,8.929374
9.118,9.036596
9.179,9.196289
9.241,9.269887
9.231,9.326413
9.179,9.295201
9.115,9.242713
9.17,9.181947
9.231,9.251229
9.253,9.32569
9.234,9.3631935
9.17,9.320554
9.146,9.224424
9.189,9.1939125
9.247,9.260092
9.375,9.344175
9.561,9.484216
9.72,9.66684
9.738,9.823321
9.585,9.829361
9.378,9.6413355
9.195,9.39573
9.002,9.212233
8.825,9.054883
8.584,8.90846
8.368,8.6725
8.346,8.448381
8.392,8.430809
8.529,8.507768
8.682,8.673331
8.838,8.807614
8.951,8.926997
9.018,9.022365
9.073,9.090701
9.189,9.145329
9.344,9.273794
9.497,9.449569
9.628,9.62074
9.75,9.745685
9.823,9.84783
9.909,9.906486
9.988,9.995236
10.037,10.07789
10.058,10.132374
10.016,10.149132
9.955,10.093897
9.897,10.020168
9.829,9.958541
9.744,9.896922
9.662,9.815763
9.503,9.729429
9.301,9.559812
9.244,9.35357
9.277,9.299372
9.439,9.358516
9.628,9.563259
9.836,9.757256
10.04,9.949499
10.272,10.128251
10.586,10.360105
10.843,10.689929
11.026,10.968008
11.084,11.154035
11.029,11.179947
10.989,11.091863
11.056,11.041984
11.16,11.133781
11.264,11.274604
11.484,11.397377
11.67,11.6032505
11.966,11.767311
12.25,12.075233
12.427,12.364244
12.573,12.54333
12.689,12.668042
12.759,12.766326
12.494,12.837427
12.317,12.565055
12.463,12.364311
12.628,12.497316
12.5,12.73831
12.234,12.655192
12.186,12.306995
12.366,12.15186
12.366,12.383646
12.237,12.494576
12.094,12.373561
11.88,12.119751
11.386,11.861287
10.904,11.391329
10.66,10.927662
10.614,10.6906595
10.904,10.7284155
11.075,11.115179
11.029,11.291259
10.788,11.164876
10.708,10.788901
10.605,10.656466
10.449,10.603859
10.168,10.5456295
9.79,10.252596
9.475,9.831738
9.463,9.498458
9.598,9.541477
9.915,9.749174
10.019,10.119258
10.577,10.175078
11.334,10.68215
