true_value,predict
10.736,11.010088
10.593,10.618255
10.361,10.600791
9.894,10.312859
9.524,9.714093
9.079,9.314348
9.222,8.873828
9.46,9.196528
9.338,9.312459
9.32,9.031833
9.366,9.097556
9.21,9.356882
8.951,9.177717
8.774,8.865447
8.584,8.7967615
8.392,8.581486
8.298,8.278711
8.087,8.17914
8.087,7.916626
8.05,7.97591
7.971,7.909155
7.867,7.850793
8.023,7.732875
8.008,8.052619
7.849,7.9625025
7.498,7.7530255
7.501,7.3775797
7.58,7.58875
7.501,7.6088033
7.318,7.3917923
7.281,7.146859
7.107,7.2496505
7.181,7.034544
6.976,7.1643877
6.979,6.8375645
7.208,6.9601145
7.107,7.2184787
7.074,7.0238495
7.199,7.0053673
7.193,7.2520733
7.132,7.261904
6.97,7.0992146
6.82,6.947661
6.582,6.8560867
6.347,6.5176797
6.146,6.262588
6.134,6.0311217
5.865,6.0420265
5.49,5.6136365
5.304,5.2108383
5.063,5.1273866
4.907,4.885078
4.73,4.691466
4.657,4.4705048
4.577,4.475437
4.391,4.353388
4.342,4.155383
4.416,4.189438
4.312,4.3274403
4.098,4.1561875
3.97,3.901811
3.872,3.8735764
3.531,3.8093748
2.963,3.3249161
2.618,2.7105792
2.172,2.4990842
1.879,2.114035
1.529,1.8320644
1.284,1.5329769
1.452,1.4266545
1.586,1.486586
1.898,1.4788823
2.322,1.7914616
2.755,2.2246609
3.237,2.8161526
3.891,3.7554157
4.22,4.857604
4.235,4.39529
4.48,4.3738527
4.458,4.731644
4.266,4.638304
4.205,4.400261
4.489,4.3813887
4.788,4.781787
5.139,4.901413
5.401,5.176834
5.404,5.4733095
5.279,5.493976
5.2,5.3806944
5.203,5.3561163
5.282,5.37434
5.069,5.4001975
4.492,4.992716
3.882,4.2809553
3.497,3.7217443
3.909,3.4403918
5.398,3.9778428
6.915,5.6177034
7.455,6.987176
7.275,7.2867265
6.869,7.237126
6.711,7.0002313
6.964,6.917743
8.389,7.1435304
9.491,8.7720585
9.488,9.57088
9.549,9.319438
9.842,9.564307
9.884,10.039873
10.19,9.891494
10.522,10.194368
10.919,10.587022
11.224,10.989949
11.374,11.166255
11.651,11.341332
11.798,11.655691
12.091,11.756062
12.216,12.093841
12.167,12.1337805
12.158,12.095696
12.042,12.0910425
10.632,11.97889
9.402,10.267136
8.465,9.193911
6.976,8.39504
5.542,7.0874023
4.763,5.6900845
4.565,5.1090455
4.602,4.7583036
4.769,4.1751747
4.959,4.0893183
4.998,4.3901296
4.754,4.5404434
4.678,4.41741
4.995,4.6444826
5.511,5.1863837
9.219,5.697176
10.827,11.034308
11.181,10.652644
11.499,10.978959
11.508,11.433051
11.407,11.855058
11.041,11.302205
10.66,10.925632
10.287,10.753276
10.107,10.272232
10.165,10.118251
10.174,10.118212
10.303,10.002049
10.62,10.154953
10.843,10.597628
10.708,10.815461
10.675,10.578539
11.026,10.653883
11.069,11.110761
10.904,10.999646
10.849,10.785977
11.065,10.8286295
10.977,11.140627
10.696,10.864902
10.486,10.580148
10.385,10.458215
10.507,10.4035845
10.373,10.507588
10.132,10.25678
10.046,10.003389
10.321,10.001086
10.373,10.402743
10.119,10.295377
10.733,9.966649
10.29,10.892435
10.22,10.09334
10.156,10.228801
10.269,10.081451
10.296,10.409485
10.284,10.1630335
10.419,10.2768
10.562,10.432416
10.617,10.553851
10.657,10.568863
10.336,10.615619
10.089,10.240715
10.028,10.068675
10.007,10.037273
10.019,10.017926
9.964,9.966708
9.732,9.866324
9.57,9.619198
9.427,9.5070095
9.32,9.398739
9.28,9.288268
9.051,9.208895
8.841,8.90245
8.618,8.710835
8.282,8.487575
7.962,8.127511
7.776,7.766699
7.525,7.6132746
7.452,7.2992964
7.361,7.2369967
7.284,7.123366
7.071,7.083723
7.022,6.822025
6.793,6.9143043
6.619,6.6310163
6.381,6.490431
6.192,6.2088466
5.978,6.0624223
5.755,5.7817354
5.673,5.546564
5.38,5.503253
5.2,5.116097
5.606,4.992825
6.298,5.5963383
6.68,6.373583
7.104,6.5772614
7.278,7.1484838
7.058,7.3689384
7.058,7.0932317
7.092,7.162848
7.211,7.2276144
7.397,7.332126
7.577,7.4619517
8.313,7.678544
8.383,8.507441
8.343,8.313981
8.539,8.362828
8.825,8.622328
9.024,8.98096
9.048,9.008984
9.143,9.03158
9.317,9.220252
9.375,9.3734
9.302,9.371553
9.289,9.27433
9.237,9.321649
8.923,9.25627
8.633,8.867339
8.343,8.606242
8.175,8.305382
7.986,8.115913
7.953,7.7955117
7.925,7.7957325
7.934,7.7401185
7.901,7.7784076
7.977,7.756609
7.861,7.9446607
8.139,7.7887044
8.706,8.251606
8.999,8.822311
8.682,9.009719
8.74,8.544071
6.512,8.860382
3.445,6.094019
4.653,4.442501
5.166,5.667638
4.965,5.336846
5.136,4.0317636
5.368,4.2381244
5.987,5.379092
6.112,5.9638705
6.231,5.9052496
6.274,6.419303
6.079,6.3866963
5.957,6.1892233
6.006,6.046304
5.633,6.1685953
5.703,5.59212
5.569,5.7121167
5.053,5.4635687
5.175,4.822706
5.096,5.1032577
4.629,4.9967113
4.596,4.3354845
4.742,4.398944
4.586,4.742668
4.251,4.372502
3.842,3.9074333
3.506,3.6644666
3.308,3.4036572
3.07,3.150318
2.703,2.8378394
2.374,2.3996227
2.285,2.1005745
2.371,2.1054144
2.258,2.1868281
2.16,1.9512341
1.602,1.9111722
