true_value,predict
4.617,4.6028223
4.306,4.6607714
4.406,4.285769
4.138,4.393872
3.61,4.1202617
3.296,3.5392926
3.32,3.2223182
3.753,3.322941
3.848,3.911306
3.506,4.0171623
3.399,3.494267
3.228,3.3569796
3.216,3.2402053
3.125,3.2950041
3.152,3.2092912
3.326,3.2027495
3.424,3.4255598
3.363,3.548773
3.421,3.4421706
3.524,3.493396
3.097,3.6162744
2.984,3.1179006
2.899,2.984756
2.877,2.9353669
2.853,2.9503195
2.966,2.955194
3.17,3.0606897
3.295,3.2936008
3.781,3.442905
3.186,3.9687889
3.271,3.219641
3.491,3.2708108
3.814,3.6132333
3.933,3.992297
4.071,4.102133
4.119,4.155752
3.604,4.159178
3.485,3.590608
3.518,3.4534342
3.598,3.5678267
3.726,3.6924088
4.004,3.8437033
3.573,4.113641
3.738,3.5693097
3.823,3.772674
3.79,3.9188676
3.665,3.868741
3.54,3.7156417
3.283,3.5384324
2.945,3.2619853
2.383,2.9465048
2.31,2.326553
1.876,2.3133407
1.727,1.9385939
1.44,1.8178358
1.208,1.5618858
0.564,1.351393
0.39,1.3082883
0.604,1.3082883
1.184,1.3082883
1.507,1.5396318
2.142,1.8717357
2.313,2.4399767
2.468,2.5443182
2.661,2.659268
2.893,2.855727
3.097,3.0853744
3.192,3.2861588
3.289,3.346967
3.555,3.3929975
3.726,3.6991396
4.184,3.8788168
4.492,4.369669
4.516,4.6715612
4.458,4.6079397
4.525,4.488944
5.011,4.5592003
5.539,5.1509132
5.926,5.7572575
6.262,6.087056
6.68,6.356263
6.759,6.767335
6.866,6.810565
7.177,6.8778954
7.446,7.2010803
8.194,7.4832535
8.804,8.316267
9.128,8.941182
9.259,9.159929
9.54,9.203572
9.729,9.464567
9.778,9.670617
9.845,9.694756
9.881,9.704893
10.122,9.717411
10.238,10.00209
10.428,10.131189
10.696,10.2983265
10.742,10.5792465
10.611,10.592293
10.766,10.398951
11.127,10.574305
11.279,11.008417
11.441,11.168607
11.444,11.2825575
11.444,11.220899
11.398,11.206108
11.371,11.176626
11.374,11.138163
11.511,11.139846
11.383,11.30698
11.42,11.144805
11.478,11.174307
11.478,11.254621
11.673,11.254798
11.624,11.48369
11.328,11.404655
11.008,11.021931
10.632,10.672843
10.87,10.283365
11.255,10.651129
11.349,11.162993
11.343,11.2041445
11.197,11.116137
11.212,10.911575
10.809,10.963688
10.559,10.54747
10.614,10.247406
10.745,10.365614
10.986,10.568694
11.035,10.854807
10.818,10.863472
10.455,10.54549
10.321,10.142427
10.324,10.043063
10.483,10.119794
10.769,10.335978
10.84,10.645441
11.041,10.675623
11.004,10.870252
11.27,10.814713
11.136,11.103766
10.657,10.944767
10.586,10.336293
10.592,10.281508
10.721,10.370648
10.763,10.558793
10.928,10.602251
10.87,10.726889
10.675,10.657568
10.361,10.431057
10.37,10.069444
10.373,10.124435
10.373,10.185865
10.339,10.192356
10.373,10.130146
10.275,10.162342
10.147,10.06552
10.153,9.929356
10.0,9.945422
9.903,9.7861805
9.894,9.684893
9.848,9.697544
10.013,9.654148
9.817,9.865293
9.93,9.630107
9.933,9.738869
9.698,9.772466
9.796,9.483732
9.729,9.613268
10.077,9.554765
10.254,9.959187
10.321,10.177174
10.345,10.1685705
10.013,10.165268
10.126,9.765177
10.11,9.915458
10.388,9.9575615
10.449,10.259013
10.574,10.317598
10.724,10.399289
10.504,10.562127
10.238,10.294576
10.223,9.962145
10.205,9.989428
9.811,10.007189
9.546,9.568722
8.905,9.254042
8.178,8.549955
7.855,7.796481
7.754,7.565751
7.651,7.565694
7.321,7.5150433
7.059,7.1455746
6.686,6.8356915
6.503,6.482833
6.46,6.361079
6.695,6.3795815
6.82,6.6782427
6.952,6.8201866
7.174,6.9332504
7.187,7.1603928
7.394,7.156497
7.718,7.3766193
8.102,7.742239
8.117,8.13929
8.212,8.094409
8.304,8.127167
8.255,8.216989
8.331,8.164357
8.297,8.2461815
8.215,8.188804
8.288,8.074219
8.41,8.181981
8.471,8.32695
8.325,8.387961
8.069,8.194455
8.188,7.8728285
8.352,8.0544195
8.05,8.299747
7.867,7.9233017
7.892,7.674325
8.038,7.736845
8.081,7.9699755
8.273,8.039604
8.554,8.2038765
8.755,8.499362
9.323,8.72162
9.778,9.344114
10.538,9.808788
10.678,10.593288
10.803,10.651436
11.139,10.655583
11.133,11.017217
11.426,10.989342
11.316,11.291143
11.85,11.125398
12.488,11.6852455
12.945,12.455986
13.119,12.881612
13.51,12.948691
14.139,13.307226
14.243,14.003952
13.892,14.084095
13.766,13.536648
13.965,13.342821
13.748,13.646015
13.541,13.453715
13.321,13.172424
13.107,12.89463
13.202,12.700029
13.122,12.903947
12.665,12.828795
12.408,12.258576
13.138,11.991902
13.489,12.9336195
13.26,13.391263
12.933,13.004215
12.482,12.503913
11.819,12.003495
12.244,11.376919
13.382,12.006786
13.516,13.378001
12.552,13.429066
9.314,12.093441
10.043,8.238683
8.697,9.418726
7.727,8.438635
6.534,7.3202734
5.31,6.0487595
5.252,4.711589
4.351,5.0216246
5.023,4.3028536
6.936,4.9515514
6.878,7.368309
7.968,7.105979
6.778,8.129782
7.01,6.6004295
5.987,6.774643
5.774,5.874069
7.577,5.578746
9.689,7.8318815
10.724,10.295375
7.467,11.110833
6.894,6.8697996
4.028,6.031928
9.463,3.482288
12.857,10.178994
