true_value,predict
7.721,7.5374703
8.008,7.7614226
8.197,8.035177
8.142,8.236513
8.16,8.203337
8.124,8.226349
8.188,8.151158
8.194,8.1949
8.206,8.205253
8.014,8.227881
7.922,8.0082445
7.864,7.9225574
7.925,7.8387246
7.989,7.904629
7.849,7.972956
7.821,7.8563223
7.931,7.820047
8.041,7.938991
8.148,8.035772
8.246,8.165693
8.34,8.296815
8.56,8.376206
8.74,8.604375
8.777,8.795108
8.81,8.83132
8.804,8.868498
9.06,8.848466
9.35,9.089524
9.311,9.394272
9.097,9.362739
9.063,9.145799
9.076,9.104588
9.146,9.056303
9.097,9.12674
9.082,9.109244
9.234,9.098058
9.36,9.240824
9.115,9.378274
9.353,9.121796
9.326,9.3980255
9.149,9.340488
8.996,9.135113
8.926,9.001502
8.783,8.936078
8.929,8.707467
9.073,8.924097
9.405,9.0703945
9.497,9.427757
9.533,9.54548
9.689,9.609572
9.881,9.745298
10.132,9.943195
10.202,10.174967
10.324,10.280863
10.461,10.396968
10.437,10.5218725
10.3,10.483226
10.272,10.32676
10.47,10.303322
10.62,10.473438
10.931,10.625618
11.337,10.981707
11.438,11.425382
11.423,11.5239725
11.404,11.508454
11.566,11.492194
11.554,11.605109
11.481,11.567926
11.404,11.516059
11.334,11.425164
11.169,11.335157
11.066,11.1382675
11.072,11.054142
11.16,11.049727
11.31,11.141104
11.523,11.311456
11.78,11.561789
11.822,11.835631
11.88,11.885013
11.938,11.949976
12.048,11.997709
12.03,12.088036
12.118,12.056638
12.109,12.165282
12.314,12.13374
12.182,12.347585
12.057,12.200918
12.179,12.085062
12.533,12.193543
12.756,12.560166
12.909,12.7719555
12.631,13.003798
12.451,12.700101
12.598,12.484384
13.046,12.601341
13.437,13.056996
13.006,13.470992
12.646,13.0881
12.964,12.703792
13.217,12.988388
13.232,13.179905
13.159,13.225855
13.177,13.257301
13.241,13.221359
13.287,13.227672
13.373,13.310675
13.354,13.408468
13.29,13.384145
13.077,13.308229
12.906,13.083441
12.781,12.895434
12.71,12.74539
12.442,12.672706
11.523,12.392356
10.101,11.447304
10.342,9.941739
9.772,10.169338
8.826,9.5006275
8.899,8.567902
8.365,8.799406
8.383,8.228499
9.616,8.124682
10.333,9.669668
10.123,10.398303
10.333,10.181774
10.437,10.610748
10.788,10.555424
10.821,10.788212
11.139,10.915176
11.374,11.269203
11.075,11.424906
10.574,11.144144
10.855,10.585041
10.266,10.892997
10.745,10.163674
11.072,10.708106
11.868,11.10453
12.366,11.933972
12.527,12.451898
12.378,12.775218
12.234,12.473762
12.369,12.369979
12.286,12.379402
11.926,12.296848
11.697,11.913099
11.853,11.690298
11.941,11.820024
12.213,11.878623
12.216,12.227324
11.758,12.269324
11.358,11.777928
11.093,11.3404
10.663,11.049141
10.431,10.52998
10.605,10.325327
10.94,10.54219
11.236,10.8808
11.3,11.23857
11.34,11.381399
11.041,11.420502
10.724,11.07514
10.611,10.723322
10.559,10.5807905
10.449,10.507707
10.077,10.38173
9.881,10.04394
9.619,9.834849
9.488,9.540737
9.186,9.406207
8.862,9.106525
8.478,8.797479
8.542,8.376338
8.539,8.466782
8.484,8.449572
8.392,8.442662
8.151,8.377516
7.95,8.142396
7.672,7.891077
7.635,7.6258054
7.507,7.573739
7.361,7.4417353
6.949,7.31292
6.619,6.8888035
6.35,6.559887
6.088,6.245079
5.801,5.984677
5.481,5.688512
5.291,5.393978
5.121,5.1875324
4.837,5.0251718
4.44,4.7451034
4.422,4.3525605
4.779,4.3485456
4.583,4.712231
4.995,4.528692
4.828,5.027775
4.589,4.8716884
4.431,4.5810685
4.257,4.417519
4.33,4.2580776
4.477,4.2294073
4.388,4.4839005
4.324,4.365896
4.074,4.3257093
3.933,4.0744348
3.817,3.890447
3.717,3.7668757
3.61,3.6741836
3.399,3.5535378
2.853,3.3634148
2.655,2.7875583
2.395,2.585088
2.06,2.3239942
2.078,2.0078068
1.858,2.0657933
1.464,1.8873343
1.394,1.4786861
1.181,1.4368675
0.823,1.2165585
0.692,0.773271
0.869,0.79425275
0.817,0.9365198
0.936,0.8701393
0.967,1.0280831
0.885,1.0687549
0.573,0.953263
0.524,0.60065234
0.527,0.45660096
0.286,0.36830857
0.643,0.2795947
0.973,0.71945655
0.833,1.0643188
2.069,0.9116756
2.429,2.1049776
3.512,2.5438666
2.902,3.555679
3.173,3.0724266
1.986,3.3719585
1.565,1.9360263
1.91,1.6113033
2.227,1.7507634
2.649,2.2081263
3.296,2.6004424
3.241,3.4518034
2.966,3.3049097
3.485,3.0423942
3.204,3.6016972
3.329,3.2083611
3.271,3.3195257
3.045,3.3374634
2.581,3.0389981
2.578,2.4872193
2.349,2.5902436
1.403,2.254851
1.693,0.9963702
1.77,1.6904473
2.166,1.7800915
2.471,2.1387064
3.167,2.5315413
3.271,3.3014894
3.65,3.3064919
3.451,3.8125868
3.47,3.537114
3.247,3.5516176
3.256,3.2407558
3.466,3.281707
4.489,3.4221456
6.066,4.5691524
7.415,6.1201534
7.364,7.570244
5.996,7.6300573
4.922,6.268502
3.326,5.0017195
2.801,3.0990796
2.469,1.5273175
3.512,1.2903063
4.757,3.4687314
3.906,4.6873527
4.159,4.0616927
5.2,4.2335486
8.422,5.382603
8.334,8.377945
6.943,8.487817
7.129,7.403547
6.494,7.41544
6.915,6.473081
6.53,6.6335373
6.695,6.651947
