true_value,predict
5.981,5.90264736596905
6.155,6.02025637638119
5.908,6.222390732645876
5.7,5.932078614008209
5.557,5.788382083110219
5.349,5.635727228029386
5.301,5.449452658227796
5.276,5.402432680391963
5.234,5.326195320448815
5.221,5.262087713504141
5.197,5.2383456952622565
5.166,5.226255281152906
5.087,5.209437680619041
5.115,5.128421113944003
5.047,5.190464146536962
5.008,5.09267024219574
5.057,5.073760932975383
5.081,5.122727007095535
5.014,5.137707178985841
4.995,5.054571610192752
4.95,5.050671015415946
4.947,5.005654116470429
4.87,5.012973006135991
4.901,4.909984956089338
4.941,4.977532209195618
4.699,4.995556082791645
4.596,4.705440990472355
4.657,4.660936454301285
4.605,4.72504334236289
4.611,4.6430204385278815
4.678,4.6525460587648455
4.712,4.728841852222048
4.767,4.7649566556716865
4.745,4.800182349035642
4.825,4.763569146170204
4.983,4.894288181301136
5.041,5.037894483268205
5.053,5.072260072633326
4.931,5.088552681056522
4.669,4.952351848630038
4.458,4.70057617597318
4.458,4.502533367346143
4.596,4.530989741149926
4.791,4.664853469787881
4.837,4.840149292466246
4.794,4.847087016962296
4.864,4.810856465808576
4.968,4.906847049101958
5.06,5.009676687526858
5.188,5.1038443316786894
5.209,5.237624932931532
5.249,5.247569799960906
5.349,5.307447283502012
5.475,5.410155895754094
5.563,5.549454586366269
5.713,5.623150000120844
5.862,5.7787357949092995
5.917,5.9200309487607745
5.92,5.968204417317819
5.884,5.98770043845781
5.938,5.975601319897076
6.106,6.061842384520353
6.225,6.221255002990385
6.35,6.30327850840249
6.347,6.403647526215784
6.296,6.379354598288253
6.296,6.366325711125174
6.18,6.398769149802425
6.128,6.291958368364926
6.128,6.246550791704087
6.131,6.206561430935877
6.265,6.188097578408777
6.207,6.306288661125094
6.115,6.218273680975098
6.097,6.152579821552133
5.996,6.144092341764995
5.862,6.064704151909614
5.758,5.946769121681476
5.606,5.829356617047037
5.432,5.658249644015721
5.426,5.479228752884134
5.301,5.484160898775166
5.185,5.326588184197715
5.081,5.2275303041002354
5.041,5.113873626868037
5.008,5.09483103254538
4.995,5.051998705791699
4.998,5.043353766715925
5.038,5.047816246986007
4.992,5.0888109176552705
4.956,5.025540691130614
5.041,5.006859033337119
4.956,5.1126154283478895
4.995,4.988164450556062
5.087,5.071211431479214
5.13,5.144637559760285
5.194,5.189177451709667
5.24,5.243160451937697
5.191,5.285363387394864
5.246,5.242605964300327
5.42,5.319113551924253
5.404,5.504816781391692
5.24,5.449401498675388
5.313,5.2822744248524005
5.374,5.4122118925592355
5.365,5.456149740211116
5.481,5.436993632734716
5.371,5.553921364168567
5.517,5.406688775865999
5.737,5.61822956307027
5.92,5.79383723844368
6.1,5.980734249267329
6.237,6.1233758194163785
6.347,6.253784031835214
6.561,6.402442696493716
6.329,6.641364468588242
6.167,6.411245974312405
5.923,6.322438849639364
5.59,6.043723581532949
5.474,5.721129158978436
5.172,5.584007133170412
4.891,5.203976889089492
4.629,4.916051492482738
4.278,4.632805825622644
4.119,4.285500667550624
3.851,4.152949439772079
3.872,3.840620501909961
3.899,3.932229209778227
3.753,3.907030492937321
3.277,3.7574206708311646
2.859,3.2029971796203087
2.45,2.7913230466155303
1.971,2.294184174957145
1.293,1.7460065417082982
1.226,1.0546523556122347
1.254,1.2202367869362938
1.479,1.293572175987526
1.324,1.6514851192552937
0.436,1.4016916861816489
1.294,0.5343967377415746
1.736,1.644229039347536
1.892,1.7893001722156185
1.861,2.0534707116082243
1.99,1.8984859241619203
2.307,2.0934429274756607
2.682,2.4954791114605404
3.549,2.812209955654597
4.339,3.805798037463169
4.815,4.543723681110006
5.008,4.958004601398942
5.066,4.977859726244073
4.946,4.948661447005196
4.916,4.801569444442552
4.925,4.82526134157158
4.824,4.944179837120629
4.831,4.886260612827028
4.531,4.921451157524847
4.416,4.535693849913689
4.449,4.496319102768628
4.589,4.494523676337024
4.431,4.658124419769428
4.217,4.410166306170175
4.205,4.234941257221382
4.281,4.267243133707299
4.379,4.316930825518537
4.489,4.401267191092977
4.861,4.5191752408688375
4.809,4.973775344932279
4.571,4.7646500162350875
5.111,4.546208169484497
4.864,5.269736384722929
4.934,4.7830074854424085
5.163,5.046684527631268
5.017,5.192025630039725
4.971,5.072682867679611
5.389,5.03051351824671
5.499,5.488350448066112
5.624,5.554912101177444
6.146,5.643808795558841
6.302,6.179395976868622
6.421,6.27399688765584
6.555,6.42508274837222
6.567,6.5690847177655245
6.674,6.689915519473291
6.872,6.839976951063551
6.826,7.006897163627227
6.897,6.939524143375416
6.665,6.9922782277190825
6.979,6.726309220554511
7.507,7.083039760699919
7.626,7.527330919270109
7.534,7.636470045827658
7.342,7.518299019735665
7.287,7.31129629656849
7.196,7.3553980991470995
7.431,7.324453714024735
8.786,7.519622485049015
10.482,8.617759319016635
11.877,9.803697659625767
12.332,10.33004425760047
12.216,10.17720467698122
12.335,9.951888905565024
12.378,10.125711703763876
12.936,10.516315860796675
13.644,11.453649354977738
14.157,12.90696888347243
14.841,13.855146606970056
14.905,14.562814897600962
15.036,14.743377526863156
15.47,14.625977851399867
15.808,14.66121248856922
15.738,14.401888607191236
15.619,14.112724847424222
15.54,13.751545219334478
15.18,13.369602830084894
14.731,12.998539361178034
14.639,12.693593861615017
14.902,12.499271575372305
15.473,12.477674963266185
15.799,12.659116510338057
15.451,13.012614846347423
14.734,13.301158503340927
14.017,13.364989733746969
12.887,13.078591129698257
11.777,12.25624026328814
13.653,11.12163274206938
13.184,11.224481353634214
12.231,11.842014853288859
11.81,11.618219960232723
11.935,12.172816542586267
11.944,11.607184215384994
11.444,11.32943400903795
9.115,11.147757367445264
9.011,9.222661388691094
8.328,8.403653490475826
8.642,7.8153512437818815
8.99,7.598263297316905
8.676,8.614063576404298
8.697,8.298558121099727
9.9,7.8922590758949145
10.498,9.188125441907081
10.537,10.386357151636293
10.721,10.378089098896265
11.102,10.451078180390162
11.633,10.735951218332474
11.608,11.209810378415234
10.287,11.408620834400235
10.125,10.331727769018237
10.293,9.843288346950901
8.789,10.06652936834567
8.011,8.536109024519956
8.264,7.533489368025238
9.027,7.756912501487078
9.112,8.35122218004514
9.405,8.890877209191954
8.889,9.187936096018028
7.361,8.457667276006521
8.914,6.9544659642083495
10.119,8.466334048929568
9.341,9.959280989290043
8.139,9.669892413528693
8.773,7.9486037499787106
8.554,8.127651211943885
9.008,8.287677233684503
10.421,8.985666573750905
10.888,10.318893680168799
11.233,10.718956137037598
10.806,10.44707219380851
10.473,10.184520649872042
10.174,10.028549538426272
10.68,9.83411919296174
11.66,10.3459277022556
12.063,11.690748029451564
12.038,12.177912375849015
11.12,12.021908316795894
11.08,11.08222258701893
10.555,10.71276652634768
11.541,10.297499080901467
10.781,10.911421378729028
10.433,11.101041287107172
10.189,10.181687872496006
10.003,10.220314716514466
10.348,9.663978647858958
10.61,10.1587058651862
10.504,10.656837094915106
10.861,10.608972296314857
11.221,10.691351108662934
11.318,11.203070324461502
