true_value,predict
1.129,1.4543315704792867
0.43,0.9694597519251538
0.485,0.2278618718684804
0.878,0.616719862252598
1.263,1.019675498266043
1.476,1.3837330389864242
1.62,1.5343606722897967
1.721,1.6887852332848219
1.815,1.8287667737698179
2.004,2.07907929004514
2.203,2.4011008483803202
2.407,2.543764418861368
2.551,2.662776889501526
2.557,2.7319611350607893
2.389,2.6746196626984293
2.377,2.4365354739966456
2.511,2.4993595383610305
2.648,2.654356401533061
2.856,2.755930187795318
3.07,2.952414860254141
3.271,3.136907942422315
3.353,3.3614894728711953
3.414,3.4261651558532726
3.491,3.5315371156491757
3.585,3.624437779624177
3.732,3.7275883612089196
3.976,3.878411266771405
4.208,4.1462879152548275
4.367,4.346431310421789
4.464,4.4711249227884515
4.495,4.552916173751083
4.577,4.573661340806968
4.614,4.70651436251908
4.574,4.679242861674062
4.431,4.56944841171558
4.26,4.318750372358711
4.098,4.1338507353721425
3.973,3.967192452640571
3.897,3.856448286452995
3.842,3.7814459483705427
3.842,3.716218107516699
3.866,3.7474535658017523
3.903,3.783062891154202
3.906,3.842114828202366
3.857,3.8294476376689026
3.701,3.7686815026965625
3.625,3.5578929935366084
3.549,3.563918009478794
3.622,3.46764497911796
3.701,3.644850614703568
3.674,3.6631550459596802
3.665,3.5716730374613412
3.744,3.5866723159622858
3.82,3.753180915643899
3.9,3.845394727072307
3.961,3.9262578097259784
3.912,3.9596517756266785
3.817,3.8527917521105515
3.765,3.7526417788025945
3.708,3.733764838483591
3.704,3.6647791034132204
3.765,3.677136392126709
3.982,3.7430767570289554
4.238,4.056855885029254
4.449,4.316850732810902
4.605,4.520111048072604
4.791,4.6735997181006645
4.913,4.937373022542197
5.044,5.041401480198719
5.133,5.1978601051356
5.233,5.2231152164630785
5.352,5.333556172325846
5.468,5.433245703938599
5.45,5.538179225056982
5.471,5.411583584477128
5.499,5.492434815334857
5.48,5.489596985353664
5.505,5.448024779593805
5.612,5.486467675713815
5.746,5.631676307316894
5.883,5.770754666474801
5.99,5.911387013458592
5.978,6.006129495137367
5.978,5.939312317266005
6.161,5.991555300485031
6.42,6.26781100301149
6.515,6.509741210630857
6.515,6.493320567604888
6.674,6.511127639939149
6.732,6.7874174973596
6.781,6.7084203365348145
6.948,6.824408351204573
6.985,7.0233598994596855
7.028,6.951772167501427
7.095,7.083632381562933
7.129,7.126548050302896
7.122,7.145240603088129
7.156,7.128276964402272
7.18,7.200333197197872
7.183,7.187573002193601
7.211,7.1983985854316535
7.309,7.24433050462219
7.385,7.368212945093814
7.376,7.407996014223628
7.379,7.3841189573687736
7.455,7.425335967987883
7.516,7.514177695471124
7.562,7.541753220561747
7.66,7.6098471918843
7.986,7.738287447119237
8.276,8.16539276758762
8.41,8.358225838560946
8.416,8.51065495830693
8.282,8.49462283419344
8.123,8.28571455116911
7.992,8.136496004338463
7.928,7.973217277509361
7.876,7.9167246128882764
7.834,7.841488268506713
7.58,7.8060609720206715
7.254,7.423745347216134
7.003,7.169957676138285
6.869,6.9462123652737375
6.784,6.8347539203901295
6.805,6.723570786887298
6.842,6.799873292682067
6.848,6.798266623578604
6.823,6.8162401719087145
6.762,6.8012266201444875
6.787,6.742300420684464
6.884,6.827430776954313
6.988,6.915718516046394
7.009,7.014562175653698
7.019,6.998113393304596
7.037,7.047771323553004
7.003,7.055716850948704
7.031,6.991264092554081
7.125,7.074989119639451
7.098,7.1636454197712975
7.116,7.057784198689634
7.18,7.173286963763
7.205,7.208626777486552
7.29,7.212994172631635
7.373,7.357674096673919
7.394,7.404901516172093
7.483,7.413146836283881
7.476,7.5664223634332135
7.458,7.460716924674795
7.476,7.505063593029524
7.568,7.512394983966285
7.599,7.634441539689455
7.504,7.605868770539036
7.388,7.4907335690843055
7.4,7.395313101330565
7.4,7.452550094695474
7.397,7.381894539942721
7.437,7.418222634540033
7.501,7.470469329715822
7.461,7.530213937999541
7.458,7.435068660586243
7.702,7.513204217287704
7.934,7.846973255241032
7.943,7.983088613322136
8.008,7.960711885408026
8.011,8.143036219787149
7.983,8.015226775737693
7.904,8.029943217807476
7.751,7.910317449869357
7.864,7.723090678370407
8.001,7.994354115586368
7.937,8.004016375609229
7.815,7.906739894864736
7.705,7.824585227368871
7.708,7.687704235243055
7.818,7.745957205072756
7.882,7.869240566789779
7.84,7.897509252072482
7.785,7.837843634164685
7.733,7.798869853908001
7.525,7.733004318815977
7.367,7.44282279646329
7.388,7.374138739733027
7.486,7.414678436078483
7.626,7.49515900399978
7.733,7.670788934063184
7.724,7.758149297507729
7.623,7.714783263086387
7.547,7.616963943917489
7.455,7.574990008873633
7.36,7.435106644397028
7.296,7.346590251716588
7.229,7.284873508648053
7.199,7.199126899630482
7.064,7.197923275799553
6.896,6.984660576194755
6.698,6.8622399231757125
6.442,6.630285981230592
6.234,6.355795955344295
6.21,6.181481425588943
6.234,6.224975180785557
6.234,6.193389717761237
6.133,6.18569675489386
5.999,6.032380900035967
5.853,5.937358435127514
5.712,5.781880069417166
5.697,5.63707077380994
5.676,5.671803521961278
5.575,5.587135280152985
5.416,5.452345906122785
5.236,5.273373827052028
5.029,5.1070943933262445
4.815,4.880845147142846
4.611,4.651150889193598
4.394,4.431128714131788
4.248,4.198043510727128
4.068,4.106026226800214
3.857,3.8744829090366046
3.714,3.6547439104317654
3.686,3.553544410569657
3.637,3.6068135462671975
3.555,3.5189962433895943
3.463,3.4048309215307917
3.433,3.305033053556908
3.476,3.351087676368042
3.567,3.4498535708942235
3.604,3.5629273247115485
3.509,3.54815970556081
3.427,3.383259698274184
3.39,3.3473445822070538
3.375,3.356996592016788
3.305,3.3627064328193974
3.244,3.226095782345869
3.18,3.156487778262875
3.07,3.0839961018270934
2.981,2.963301140710282
2.96,2.8928827649046234
3.027,2.907103393306354
3.161,3.019190373114025
3.296,3.175136248924982
3.387,3.299072468131751
3.424,3.3769558332478304
3.531,3.4166750215454122
3.665,3.6059983962638817
3.738,3.7665668985511864
3.671,3.8078778884394673
3.744,3.642606192856288
3.735,3.815807224994497
3.613,3.729041065404264
3.644,3.557684508323131
3.802,3.65333735950011
3.833,3.872497566349306
3.711,3.8065311767612435
3.378,3.575377877325028
3.155,3.116586851619598
3.177,3.0383159893963985
3.122,3.2171862194864893
3.085,3.066399237243349
3.1,2.9830341140050187
2.957,2.9851534339719628
2.737,2.7881240223290753
2.585,2.5786473947631414
2.548,2.483024660385926
2.475,2.517663644647346
3.021,2.4044823670161968
3.741,3.2807708483504534
3.973,3.9794529350745798
3.796,3.9828076024101513
3.665,3.706942732962144
3.607,3.7403280661344205
3.567,3.7938791213656877
3.457,3.763579650537391
3.363,3.479166337278233
3.225,3.269256011168107
3.045,3.063069332722943
2.887,2.8950094208971215
3.009,2.754768643290081
3.473,3.052189442531297
3.613,3.677258621257078
3.384,3.5571961777044585
3.085,3.1634450193250565
2.878,2.8940510126433914
2.673,2.8375484892922636
2.523,2.6608140466057897
2.523,2.4966688429183286
2.511,2.4817313250097506
2.453,2.4168732861926223
2.423,2.3470361097656216
2.572,2.337761967648486
