true_value,predict
9.115,9.300334
8.618,8.782616
8.762,8.602681
8.755,8.538465
9.097,9.039118
9.842,9.492667
10.434,10.166208
10.531,10.489103
10.531,10.726553
10.586,10.619648
10.653,10.659044
10.699,10.623282
10.733,10.747681
10.724,10.704232
10.69,10.732264
10.623,10.600506
10.571,10.588839
10.537,10.484249
10.565,10.546366
10.617,10.544099
10.721,10.703619
10.797,10.766606
10.898,10.938751
11.001,10.962214
11.081,11.036649
10.983,10.9219675
10.635,10.718631
10.104,10.286058
9.771,9.950897
9.878,9.767142
10.238,9.959592
10.54,10.291385
10.659,10.621956
10.672,10.713174
10.65,10.701473
10.656,10.649929
10.726,10.709041
10.9,10.827326
11.059,10.999559
11.245,11.153242
11.334,11.250165
11.3,11.2192335
11.111,11.139844
10.855,10.91177
10.717,10.772362
10.635,10.624868
10.824,10.708103
10.943,10.769253
10.977,10.933083
11.138,10.987525
11.224,11.163899
11.251,11.245912
11.514,11.455351
11.929,11.720672
12.252,12.142008
12.454,12.41755
12.668,12.669346
12.906,12.811337
13.058,13.005662
13.129,13.080093
13.138,13.164768
13.095,13.099647
13.058,13.116828
13.064,13.054282
13.162,13.164014
13.235,13.178873
13.37,13.337371
13.345,13.302186
13.309,13.357458
13.254,13.241985
13.257,13.269332
13.275,13.2205715
13.306,13.291671
13.303,13.269551
13.275,13.301906
13.312,13.2757015
13.333,13.317474
13.373,13.335615
13.443,13.40123
13.443,13.412253
13.434,13.443869
13.486,13.439602
13.473,13.468605
13.495,13.490228
13.605,13.551548
13.635,13.585655
13.623,13.626151
13.623,13.610079
13.611,13.598587
13.614,13.586179
13.599,13.585084
13.605,13.585725
13.596,13.586621
13.638,13.596184
13.644,13.607107
13.614,13.600728
13.605,13.597363
13.599,13.576588
13.623,13.597419
13.635,13.59879
13.65,13.618597
13.595,13.588035
13.541,13.553045
13.525,13.502265
13.47,13.453013
13.428,13.408528
13.321,13.327155
13.251,13.248995
13.177,13.155965
13.101,13.08162
13.025,13.011781
12.955,12.948821
12.927,12.9154825
12.973,12.903431
12.97,12.918922
12.909,12.898378
12.89,12.885188
12.894,12.840603
12.89,12.8535185
12.851,12.824744
12.839,12.835162
12.814,12.792541
12.829,12.8027115
12.802,12.758029
12.686,12.717248
12.604,12.607844
12.524,12.504581
12.39,12.358323
12.195,12.213736
12.005,12.018994
11.862,11.87607
11.773,11.74486
11.731,11.712563
11.719,11.684375
11.767,11.726619
11.789,11.721077
11.731,11.733614
11.673,11.668429
11.657,11.646938
11.63,11.601428
11.682,11.6442585
11.691,11.641027
11.636,11.656685
11.596,11.599777
11.554,11.538192
11.401,11.418281
11.172,11.253254
11.044,11.092596
10.937,10.941632
10.769,10.784061
10.657,10.666383
10.635,10.615075
10.617,10.554366
10.531,10.49703
10.327,10.376887
10.132,10.229875
9.897,9.957842
9.744,9.761818
9.561,9.538646
9.366,9.376123
9.174,9.157422
8.945,8.958463
8.743,8.727955
8.597,8.561661
8.456,8.402228
8.395,8.336585
8.353,8.263607
8.292,8.254388
8.264,8.21068
8.237,8.222348
8.285,8.204185
8.359,8.27256
8.285,8.241106
8.252,8.280874
8.194,8.18937
8.313,8.26125
8.389,8.261231
8.401,8.379115
8.337,8.344493
8.313,8.361136
8.353,8.306371
8.435,8.364599
8.411,8.352753
8.319,8.347706
8.16,8.218721
8.096,8.119013
8.087,8.02519
8.011,7.9833155
7.919,7.9323416
7.837,7.840371
7.761,7.7408004
7.632,7.6118183
7.501,7.50421
7.391,7.3809743
7.33,7.3310375
7.4,7.3314734
7.538,7.44465
7.632,7.5596576
7.748,7.7109737
7.846,7.783831
7.879,7.8797383
7.901,7.929543
8.072,8.065018
8.346,8.217029
8.493,8.422344
8.493,8.502389
8.407,8.493395
8.316,8.34942
8.23,8.255152
8.169,8.145239
8.172,8.161795
8.221,8.137927
8.243,8.210117
8.16,8.155885
8.148,8.190339
8.191,8.124793
8.279,8.230098
8.316,8.243432
8.362,8.383955
8.41,8.387151
8.557,8.536514
8.661,8.574427
8.731,8.731277
8.74,8.726331
8.746,8.799318
8.801,8.766948
8.914,8.869404
8.981,8.897338
8.996,9.017738
9.076,9.035361
9.18,9.164493
9.262,9.247028
9.488,9.465227
9.796,9.641701
10.074,9.943373
10.184,10.152788
10.199,10.2786255
10.184,10.217531
10.208,10.249563
10.177,10.183871
10.202,10.210848
10.135,10.106069
9.857,9.998148
9.607,9.709912
9.57,9.539438
9.537,9.421424
9.399,9.394351
9.351,9.351469
9.396,9.355504
9.491,9.386714
9.567,9.465177
9.546,9.498186
9.5,9.510144
9.506,9.477677
9.503,9.440048
9.36,9.345169
9.052,9.160124
8.783,8.928063
8.533,8.606487
8.322,8.332214
8.185,8.107928
7.919,7.88324
7.623,7.639409
7.443,7.4291735
7.361,7.307683
7.532,7.4308043
7.995,7.7199903
8.481,8.176679
8.49,8.490027
8.505,8.712321
8.853,8.805192
9.143,9.008039
9.271,9.167294
9.366,9.3124
9.109,9.210418
8.844,9.09446
8.966,8.974667
9.213,9.022795
9.069,9.043634
8.914,9.012513
8.697,8.765037
8.218,8.397236
7.946,8.087286
8.044,7.881253
8.12,7.865495
7.766,7.798578
7.528,7.688756
7.605,7.501566
