true_value,predict
5.981,5.8173428
6.155,5.8436594
5.908,5.838038
5.7,5.654207
5.557,5.4798236
5.349,5.350409
5.301,5.2543654
5.276,5.2705483
5.234,5.2928276
5.221,5.298482
5.197,5.2776017
5.166,5.2302074
5.087,5.1464033
5.115,5.079027
5.047,5.0732546
5.008,5.060544
5.057,5.0763435
5.081,5.1165147
5.014,5.1097183
4.995,5.061934
4.95,5.0233393
4.947,4.9950385
4.87,4.973363
4.901,4.9258227
4.941,4.8962207
4.699,4.8379884
4.596,4.704337
4.657,4.6861906
4.605,4.729299
4.611,4.734965
4.678,4.7349806
4.712,4.729965
4.767,4.714039
4.745,4.745406
4.825,4.807372
4.983,4.9427443
5.041,5.0393167
5.053,5.009663
4.931,4.8818274
4.669,4.6629586
4.458,4.451937
4.458,4.4069343
4.596,4.54377
4.791,4.7393703
4.837,4.8772535
4.794,4.897224
4.864,4.866474
4.968,4.9082274
5.06,4.981902
5.188,5.0709257
5.209,5.15046
5.249,5.2071905
5.349,5.293129
5.475,5.4408035
5.563,5.622593
5.713,5.780943
5.862,5.886443
5.917,5.9458766
5.92,5.9258714
5.884,5.9109626
5.938,5.946065
6.106,6.0981607
6.225,6.2969255
6.35,6.447019
6.347,6.506993
6.296,6.4487634
6.296,6.334546
6.18,6.243081
6.128,6.156293
6.128,6.174357
6.131,6.2342315
6.265,6.304317
6.207,6.3423676
6.115,6.2501755
6.097,6.1045427
5.996,5.9735436
5.862,5.813594
5.758,5.7133174
5.606,5.608332
5.432,5.4988337
5.426,5.4191833
5.301,5.3511252
5.185,5.191307
5.081,5.0651474
5.041,4.957252
5.008,4.92168
4.995,4.911603
4.998,4.9249525
5.038,4.92732
4.992,4.919491
4.956,4.861286
5.041,4.8330245
4.956,4.844702
4.995,4.8464336
5.087,4.921754
5.13,5.015953
5.194,5.0748215
5.24,5.127611
5.191,5.14028
5.246,5.1450357
5.42,5.2060714
5.404,5.2990255
5.24,5.308119
5.313,5.3185725
5.374,5.4333515
5.365,5.5338616
5.481,5.562261
5.371,5.630806
5.517,5.660173
5.737,5.847903
5.92,6.0798435
6.1,6.2948594
6.237,6.4598823
6.347,6.5538344
6.561,6.5542064
6.329,6.467714
6.167,6.192852
5.923,5.9937434
5.59,5.7920237
5.474,5.6227703
5.172,5.484988
4.891,5.206008
4.629,4.8478627
4.278,4.466901
4.119,4.1096272
3.851,3.941266
3.872,3.8487325
3.899,3.8240566
3.753,3.643604
3.277,3.236992
2.859,2.6524906
2.45,2.0758796
1.971,1.5607755
1.293,1.1680622
1.226,0.90252864
1.254,0.9132527
1.479,0.9241407
1.324,0.96067965
0.436,0.8534566
1.294,0.78964627
1.736,1.4045539
1.892,1.6856544
1.861,1.8162192
1.99,1.8635167
2.307,2.1163259
2.682,2.6589222
3.549,3.5027761
4.339,4.3998938
4.815,4.987623
5.008,5.178362
5.066,5.109281
4.946,4.9871345
4.916,4.861408
4.925,4.868987
4.824,4.894053
4.831,4.9206004
4.531,4.9340124
4.416,4.834901
4.449,4.7681794
4.589,4.716011
4.431,4.609656
4.217,4.4200625
4.205,4.2861843
4.281,4.331692
4.379,4.4816947
4.489,4.6424007
4.861,4.7714148
4.809,4.8898296
4.571,4.7937365
5.111,4.7477107
4.864,4.945215
4.934,4.894408
5.163,5.0320253
5.017,5.193509
4.971,5.2238483
5.389,5.3346915
5.499,5.566393
5.624,5.6706424
6.146,5.84493
6.302,6.162714
6.421,6.3724766
6.555,6.573505
6.567,6.6809154
6.674,6.633153
6.872,6.509012
6.826,6.322818
6.897,6.1712
6.665,6.3161077
6.979,6.6827664
7.507,7.302184
7.626,7.668512
7.534,7.519785
7.342,7.106388
7.287,6.616734
7.196,6.539112
7.431,7.130867
8.786,8.623222
10.482,10.448814
11.877,11.759283
12.332,12.266982
12.216,12.168997
12.335,11.839161
12.378,12.118257
12.936,12.517701
13.644,13.458895
14.157,14.314087
14.841,14.856443
14.905,15.112537
15.036,15.065871
15.47,15.200096
15.808,15.617349
15.738,15.875197
15.619,15.896262
15.54,15.681105
15.18,15.314201
14.731,14.794257
14.639,14.538279
14.902,14.8959465
15.473,15.569698
15.799,15.917538
15.451,15.693152
14.734,14.887632
14.017,13.864295
12.887,12.91
11.777,12.19768
13.653,12.22738
13.184,13.032134
12.231,12.758152
11.81,12.268185
11.935,11.854877
11.944,11.332799
11.444,10.656266
9.115,9.414367
9.011,8.262051
8.328,8.28458
8.642,8.30745
8.99,8.854041
8.676,9.204333
8.697,9.209899
9.9,9.346312
10.498,9.844485
10.537,10.1281595
10.721,10.459972
11.102,10.807756
11.633,11.162036
11.608,11.276825
10.287,10.895403
10.125,10.020617
10.293,9.604786
8.789,9.155416
8.011,8.507614
8.264,8.492887
9.027,8.912944
9.112,9.232293
9.405,9.09178
8.889,8.891695
7.361,8.546243
8.914,8.460533
10.119,9.31263
9.341,9.329656
8.139,8.68552
8.773,8.105025
8.554,8.529362
9.008,9.20095
10.421,10.450044
10.888,11.2297535
11.233,11.223038
10.806,10.868932
10.473,10.274281
10.174,10.180028
10.68,10.515683
11.66,11.431465
12.063,12.043804
12.038,12.076791
11.12,11.639425
11.08,10.970039
10.555,10.760889
11.541,10.659183
10.781,11.009616
10.433,10.684902
10.189,10.520971
10.003,10.378209
10.348,10.261463
10.61,10.404805
10.504,10.526172
10.861,10.663946
11.221,10.970884
11.318,11.168269
