true_value,predict
10.602,10.680927
10.849,11.109441
11.145,11.334017
11.987,11.768747
12.188,11.854588
11.09,11.52636
10.287,11.094558
10.327,10.688933
10.84,10.600595
11.118,10.690619
10.617,10.541323
10.462,10.510158
10.315,10.344641
10.382,10.329485
10.672,10.518217
10.882,10.766498
11.191,11.180981
11.752,11.535163
12.005,11.946181
11.767,11.946287
12.216,12.200006
12.106,12.098805
11.532,11.825484
11.758,11.868816
11.767,11.7232685
11.676,11.797092
11.862,11.794424
12.124,12.0996685
11.734,11.76547
11.725,11.836619
11.401,11.413868
10.8,11.057904
10.498,10.658192
10.498,10.419062
10.3,10.149977
9.671,9.81764
9.531,9.648321
9.558,9.490756
9.424,9.451553
9.39,9.401757
9.43,9.493231
9.393,9.455155
9.363,9.478466
9.213,9.371709
9.106,9.294873
8.917,9.157826
8.78,9.040566
8.844,9.010165
8.823,8.947833
8.713,8.893182
8.585,8.8042
8.45,8.738828
8.499,8.689268
8.554,8.681843
8.505,8.612807
8.334,8.531455
8.179,8.411611
8.148,8.355167
8.264,8.330737
8.289,8.34582
8.228,8.332259
8.273,8.377068
8.337,8.45747
8.398,8.546158
8.74,8.7688875
8.942,8.94287
8.99,9.109459
9.07,9.223611
9.277,9.366944
9.381,9.383795
9.323,9.382837
9.1,9.265151
9.094,9.236949
9.195,9.245364
9.405,9.342462
9.604,9.498755
9.653,9.596718
9.732,9.714665
9.79,9.754265
9.805,9.806067
9.872,9.832378
9.979,9.916236
10.068,9.981139
10.141,10.081879
10.281,10.189413
10.41,10.320456
10.532,10.432425
10.666,10.5655
10.745,10.662543
10.843,10.761009
10.934,10.858562
11.005,10.947436
11.173,11.078989
11.285,11.207381
11.404,11.322107
11.551,11.465562
11.581,11.527027
11.661,11.616378
11.731,11.653233
11.725,11.700014
11.746,11.707851
11.832,11.799765
11.884,11.829233
11.978,11.943842
12.027,11.994175
12.094,12.083012
12.128,12.108825
12.122,12.121472
12.076,12.096751
12.006,12.0461235
11.984,12.027164
11.963,11.994792
12.027,12.0245695
12.054,12.027101
11.987,12.024299
11.945,11.99508
11.893,11.981321
11.905,11.9653
11.996,12.004313
11.981,12.019763
11.923,12.022117
11.975,12.0618515
12.051,12.05075
12.021,12.068723
11.838,11.958051
11.871,11.993947
11.908,11.938427
11.954,12.029744
12.0,12.029071
12.103,12.179989
12.173,12.167128
12.241,12.262947
12.079,12.142232
11.969,12.13328
11.96,12.0597725
12.082,12.141872
12.219,12.233551
12.363,12.364176
12.454,12.497331
12.393,12.490043
12.393,12.531019
12.317,12.398043
12.247,12.355777
12.06,12.144154
11.868,12.100329
11.829,11.965681
12.109,12.091824
12.091,11.998906
11.838,11.914068
11.465,11.691311
11.258,11.4453745
11.209,11.325955
11.063,11.124389
11.169,11.206094
11.038,11.030253
10.904,11.054028
10.73,10.808336
10.684,10.760924
10.412,10.462172
10.15,10.326469
10.08,10.135553
10.175,10.106423
10.101,10.010807
9.903,9.939413
9.796,9.931083
9.946,10.003024
10.257,10.233005
10.461,10.396965
10.525,10.623755
10.534,10.726443
10.751,10.850613
10.76,10.842189
10.434,10.671268
10.263,10.589294
10.107,10.392931
10.174,10.389978
10.226,10.268603
10.293,10.235162
9.771,9.866837
9.051,9.506472
8.694,9.095844
8.588,8.799051
8.728,8.700426
8.737,8.633472
8.45,8.509569
8.099,8.326006
7.999,8.175861
7.962,8.107562
7.925,8.028744
7.989,8.11067
7.947,8.088299
8.108,8.204018
8.032,8.183319
7.907,8.163235
8.047,8.193488
7.95,8.154887
7.962,8.176827
8.136,8.186168
8.221,8.23558
8.008,8.102313
7.907,8.089974
7.947,8.063854
8.172,8.257308
8.438,8.4654455
8.929,8.836092
9.201,9.161659
9.314,9.415938
9.628,9.70758
9.79,9.855369
9.839,9.943794
9.906,9.984287
9.863,9.96701
9.866,9.912959
9.888,9.866801
9.854,9.828306
9.811,9.781538
9.875,9.82756
9.924,9.858747
10.144,9.990762
10.242,10.097134
10.251,10.158633
10.33,10.263358
10.312,10.27295
10.431,10.395597
10.608,10.458878
10.745,10.608883
10.699,10.607604
10.705,10.68622
10.739,10.687124
10.849,10.773497
10.995,10.860492
11.05,10.978684
11.163,11.096942
11.307,11.247397
11.429,11.359902
11.563,11.4828825
11.587,11.548702
11.572,11.587442
11.624,11.633542
11.682,11.686335
11.767,11.751955
11.877,11.836085
11.899,11.879582
11.862,11.876857
11.795,11.850151
11.771,11.782215
11.746,11.739569
11.615,11.628541
11.56,11.584742
11.517,11.520614
11.505,11.490675
11.484,11.482198
11.435,11.443115
11.502,11.474795
11.401,11.398378
11.307,11.3932085
11.264,11.329263
11.392,11.399869
11.432,11.371707
11.346,11.419301
11.224,11.350668
11.374,11.431693
11.352,11.400404
11.368,11.442256
11.42,11.445374
11.264,11.420861
11.191,11.33188
11.319,11.355342
11.157,11.215032
11.078,11.1655855
10.95,11.00947
10.837,10.9307165
10.745,10.796439
10.751,10.815629
10.742,10.795333
10.931,10.924846
10.989,10.977631
10.947,11.029025
10.953,11.01757
10.901,10.988741
10.76,10.874947
10.715,10.838093
10.69,10.780847
10.812,10.817553
10.825,10.819314
10.739,10.806144
10.727,10.785859
10.666,10.753833
