true_value,predict
1.129,1.2776265
0.43,0.79168963
0.485,0.6876394
0.878,0.71946084
1.263,0.923897
1.476,1.4454719
1.62,1.584671
1.721,1.8204185
1.815,1.8826106
2.004,2.0024836
2.203,2.22781
2.407,2.351143
2.551,2.5529284
2.557,2.6116211
2.389,2.5466568
2.377,2.5421717
2.511,2.536321
2.648,2.6388748
2.856,2.8694482
3.07,3.0502362
3.271,3.2597024
3.353,3.4055355
3.414,3.4760485
3.491,3.5838006
3.585,3.641013
3.732,3.789166
3.976,3.988849
4.208,4.180165
4.367,4.3920655
4.464,4.532955
4.495,4.597155
4.577,4.6702666
4.614,4.670786
4.574,4.6602187
4.431,4.583683
4.26,4.4171886
4.098,4.2755933
3.973,4.097055
3.897,4.0046396
3.842,3.9464216
3.842,3.9036307
3.866,3.9475622
3.903,3.9365242
3.906,3.9617598
3.857,3.9411154
3.701,3.8288481
3.625,3.778341
3.549,3.6697507
3.622,3.6626146
3.701,3.7289586
3.674,3.7250419
3.665,3.802208
3.744,3.8118625
3.82,3.8673894
3.9,3.9493372
3.961,3.9990542
3.912,4.007807
3.817,3.9457805
3.765,3.8833792
3.708,3.8055766
3.704,3.7908893
3.765,3.845116
3.982,3.9706657
4.238,4.1941566
4.449,4.4178963
4.605,4.6381497
4.791,4.8130264
4.913,4.9494042
5.044,5.078636
5.133,5.2079697
5.233,5.3110104
5.352,5.42862
5.468,5.5260215
5.45,5.558318
5.471,5.576848
5.499,5.5862393
5.48,5.5749226
5.505,5.61011
5.612,5.6750536
5.746,5.766239
5.883,5.8895383
5.99,6.01387
5.978,6.052729
5.978,6.1237345
6.161,6.202622
6.42,6.344406
6.515,6.530557
6.515,6.5988016
6.674,6.7504125
6.732,6.7819524
6.781,6.8394403
6.948,7.004541
6.985,6.993241
7.028,7.1108174
7.095,7.1596866
7.129,7.1539693
7.122,7.225771
7.156,7.20196
7.18,7.2395453
7.183,7.253518
7.211,7.2693
7.309,7.332889
7.385,7.379302
7.376,7.4106264
7.379,7.452837
7.455,7.469589
7.516,7.5190897
7.562,7.615589
7.66,7.706953
7.986,7.9285755
8.276,8.147656
8.41,8.330974
8.416,8.461201
8.282,8.386684
8.123,8.297771
7.992,8.153005
7.928,8.028639
7.876,7.9478445
7.834,7.8399982
7.58,7.692593
7.254,7.445365
7.003,7.2021813
6.869,6.992045
6.784,6.8534355
6.805,6.836881
6.842,6.8369136
6.848,6.850946
6.823,6.8818026
6.762,6.839619
6.787,6.867277
6.884,6.902388
6.988,6.9618177
7.009,7.0580187
7.019,7.0575914
7.037,7.1031113
7.003,7.0868835
7.031,7.077905
7.125,7.152914
7.098,7.1291385
7.116,7.1767554
7.18,7.2366414
7.205,7.217536
7.29,7.3374877
7.373,7.383728
7.394,7.418822
7.483,7.5275517
7.476,7.5067434
7.458,7.5434504
7.476,7.573762
7.568,7.5536947
7.599,7.628317
7.504,7.5716977
7.388,7.518884
7.4,7.495864
7.4,7.4178915
7.397,7.451227
7.437,7.474758
7.501,7.468766
7.461,7.5573387
7.458,7.53849
7.702,7.682597
7.934,7.857326
7.943,7.9046025
8.008,8.094291
8.011,8.040677
7.983,8.01532
7.904,8.048862
7.751,7.8615932
7.864,7.9499598
8.001,7.9378424
7.937,7.91308
7.815,7.9720716
7.705,7.803753
7.708,7.819705
7.818,7.813784
7.882,7.8392005
7.84,7.908739
7.785,7.8205876
7.733,7.8002977
7.525,7.6422243
7.367,7.521663
7.388,7.4872246
7.486,7.462126
7.626,7.594611
7.733,7.68282
7.724,7.739056
7.623,7.718052
7.547,7.6461577
7.455,7.560835
7.36,7.448013
7.296,7.400108
7.229,7.296418
7.199,7.2480545
7.064,7.148589
6.896,6.9804063
6.698,6.838731
6.442,6.5834465
6.234,6.413842
6.21,6.3044214
6.234,6.228298
6.234,6.2590513
6.133,6.1875453
5.999,6.099811
5.853,5.9911094
5.712,5.8308983
5.697,5.7865734
5.676,5.7047877
5.575,5.639002
5.416,5.5403137
5.236,5.347469
5.029,5.1677833
4.815,4.9717793
4.611,4.7487993
4.394,4.516844
4.248,4.340811
4.068,4.1709747
3.857,3.9758978
3.714,3.843537
3.686,3.7222493
3.637,3.6492882
3.555,3.6107993
3.463,3.5462878
3.433,3.5175502
3.476,3.5092897
3.567,3.5556927
3.604,3.6139665
3.509,3.5959058
3.427,3.56302
3.39,3.483708
3.375,3.4276824
3.305,3.3864894
3.244,3.3181305
3.18,3.258606
3.07,3.1523633
2.981,3.0841537
2.96,3.0360763
3.027,3.0558805
3.161,3.1444898
3.296,3.2784774
3.387,3.4020152
3.424,3.4943066
3.531,3.594187
3.665,3.664859
3.738,3.7672105
3.671,3.7931087
3.744,3.8018253
3.735,3.829864
3.613,3.739185
3.644,3.7964516
3.802,3.8121743
3.833,3.7960854
3.711,3.835078
3.378,3.6072676
3.155,3.398352
3.177,3.2828631
3.122,3.1125433
3.085,3.182048
3.1,3.100984
2.957,3.0020034
2.737,2.8938854
2.585,2.6600676
2.548,2.6633894
2.475,2.6094608
3.021,2.9251173
3.741,3.4769976
3.973,3.7350101
3.796,4.0508857
3.665,3.9021862
3.607,3.762745
3.567,3.6733172
3.457,3.5226164
3.363,3.5019295
3.225,3.3082442
3.045,3.1885152
2.887,3.1128926
3.009,3.0634015
3.473,3.3180547
3.613,3.4510899
3.384,3.5164516
3.085,3.3793433
2.878,3.054889
2.673,2.8304687
2.523,2.63265
2.523,2.5701394
2.511,2.5236137
2.453,2.519021
2.423,2.515169
2.572,2.5388308
