true_value,predict
9.463,9.356033
9.155,9.251776
8.801,8.7598095
8.389,8.49152
7.992,8.102936
7.58,7.6363554
7.116,7.322495
6.665,6.8010087
6.341,6.5202956
6.128,6.225086
5.926,5.863662
5.658,5.6992707
5.319,5.2760916
4.986,5.0393267
4.614,4.7332506
4.245,4.3026185
4.058,4.2218227
3.888,3.8818269
3.805,3.7652485
3.738,3.773229
3.613,3.512714
3.555,3.730346
3.689,3.6905673
4.458,4.008327
4.968,4.580188
4.568,4.2718987
4.47,4.5374413
4.528,4.672681
4.483,4.4035387
4.974,4.927115
5.069,4.828488
4.785,4.7437267
4.779,4.9350533
4.861,4.8243227
4.937,4.9629874
5.203,5.136884
5.597,5.387796
5.789,5.64927
6.024,5.95816
6.448,6.417384
7.138,6.957649
7.983,7.6651797
8.23,8.018178
8.624,8.391901
9.024,8.932024
9.378,9.158386
9.463,9.40602
9.649,9.598833
9.808,9.738032
9.939,9.894888
10.007,10.012988
10.177,10.162329
10.516,10.469635
10.788,10.672634
11.004,10.892152
11.151,11.092238
11.194,11.10621
11.206,11.198315
11.114,11.152089
11.044,11.095123
11.154,11.217282
11.301,11.241841
11.496,11.409425
11.63,11.573068
11.7,11.627841
11.844,11.862205
12.097,12.020502
12.262,12.188569
12.411,12.364099
12.46,12.400555
12.463,12.491992
12.466,12.448052
12.402,12.417392
12.305,12.387232
12.14,12.247717
12.427,12.441548
12.564,12.478995
12.585,12.475424
12.512,12.5291195
12.408,12.394913
12.36,12.427255
12.299,12.351213
12.408,12.419085
12.567,12.50324
12.686,12.519112
12.57,12.549826
12.268,12.354915
12.378,12.451551
12.616,12.564014
12.744,12.590985
12.729,12.71964
12.753,12.695444
12.808,12.80221
12.781,12.768003
12.762,12.737413
12.735,12.770607
12.631,12.598057
12.579,12.603925
12.43,12.467107
12.323,12.298058
12.253,12.304834
12.124,12.100538
12.152,12.1362915
12.198,12.181352
12.25,12.13031
12.387,12.339387
12.503,12.390231
12.591,12.503115
12.768,12.703642
12.915,12.77464
12.97,12.914486
12.961,12.972835
13.028,13.024338
13.202,13.187475
13.293,13.178803
13.159,13.119177
12.833,12.90533
12.485,12.561037
12.231,12.321996
11.862,11.94987
11.52,11.615196
11.358,11.402828
11.127,11.083797
10.818,10.842062
10.644,10.654886
10.544,10.5270605
10.467,10.442656
10.428,10.38399
10.498,10.425193
10.464,10.388388
10.461,10.357831
10.376,10.3248
10.22,10.176153
10.071,10.085637
9.964,9.981468
9.915,9.905197
9.921,9.872152
9.878,9.802451
9.765,9.690239
9.64,9.591237
9.521,9.498229
9.381,9.431599
9.497,9.533964
9.888,9.792488
10.3,10.09303
10.531,10.297365
10.592,10.425275
10.577,10.506887
10.449,10.455023
10.48,10.47903
10.504,10.520951
10.589,10.51797
10.663,10.623435
10.724,10.627349
10.638,10.608798
10.617,10.618064
10.599,10.575034
10.629,10.601247
10.592,10.563789
10.519,10.501136
10.516,10.504383
10.431,10.402556
10.361,10.335
10.211,10.221757
10.086,10.073136
9.945,9.982864
9.833,9.825313
9.762,9.751004
9.625,9.631048
9.482,9.495118
9.421,9.441972
9.405,9.35749
9.323,9.2478075
9.118,9.094123
8.893,8.903816
8.716,8.767682
8.685,8.687836
8.697,8.661018
8.752,8.693082
8.825,8.74759
8.957,8.859959
9.118,8.992291
9.179,9.059356
9.241,9.130285
9.231,9.146882
9.179,9.1309395
9.115,9.113757
9.17,9.127594
9.231,9.165973
9.253,9.146424
9.234,9.155925
9.17,9.118858
9.146,9.096419
9.189,9.161438
9.247,9.189145
9.375,9.317555
9.561,9.466281
9.72,9.556958
9.738,9.624768
9.585,9.526233
9.378,9.389413
9.195,9.23896
9.002,9.007935
8.825,8.839646
8.584,8.616064
8.368,8.417944
8.346,8.388483
8.392,8.362127
8.529,8.447177
8.682,8.573558
8.838,8.674135
8.951,8.825893
9.018,8.9024315
9.073,8.997009
9.189,9.117624
9.344,9.242598
9.497,9.387308
9.628,9.510719
9.75,9.638999
9.823,9.746163
9.909,9.822915
9.988,9.922801
10.037,9.96191
10.058,9.995139
10.016,9.990917
9.955,9.937517
9.897,9.89768
9.829,9.831462
9.744,9.722971
9.662,9.644045
9.503,9.49187
9.301,9.344379
9.244,9.294293
9.277,9.283244
9.439,9.382443
9.628,9.538932
9.836,9.699616
10.04,9.95138
10.272,10.168877
10.586,10.444402
10.843,10.695806
11.026,10.849473
11.084,10.978824
11.029,11.005379
10.989,10.990595
11.056,11.074627
11.16,11.110706
11.264,11.211797
11.484,11.415588
11.67,11.568225
11.966,11.856171
12.25,12.110969
12.427,12.306077
12.573,12.512735
12.689,12.586117
12.759,12.67587
12.494,12.563531
12.317,12.429469
12.463,12.510943
12.628,12.489159
12.5,12.437897
12.234,12.324394
12.186,12.254918
12.366,12.335653
12.366,12.290699
12.237,12.195163
12.094,12.057459
11.88,11.822315
11.386,11.440665
10.904,11.05971
10.66,10.801835
10.614,10.697986
10.904,10.789681
11.075,10.879834
11.029,10.864628
10.788,10.775693
10.708,10.698593
10.605,10.583402
10.449,10.356334
10.168,10.1466465
9.79,9.792968
9.475,9.570596
9.463,9.509814
9.598,9.5479965
9.915,9.8188925
10.019,10.013632
10.577,10.4042425
11.334,10.95005
