true_value,predict
10.736,10.773815
10.593,10.432894
10.361,10.26659
9.894,9.920304
9.524,9.563235
9.079,9.323125
9.222,9.150346
9.46,9.382143
9.338,9.40447
9.32,9.332743
9.366,9.370434
9.21,9.281418
8.951,9.046646
8.774,8.8303385
8.584,8.634702
8.392,8.42201
8.298,8.253379
8.087,8.13217
8.087,7.988328
8.05,8.0157995
7.971,7.943574
7.867,7.9092703
8.023,7.8937387
8.008,7.9632015
7.849,7.8369026
7.498,7.6837635
7.501,7.502777
7.58,7.5556726
7.501,7.48862
7.318,7.3731456
7.281,7.2655406
7.107,7.214057
7.181,7.10086
6.976,7.133858
6.979,6.983964
7.208,7.1271114
7.107,7.190765
7.074,7.10466
7.199,7.1738925
7.193,7.1953735
7.132,7.109619
6.97,7.0130525
6.82,6.8340344
6.582,6.663842
6.347,6.416859
6.146,6.215823
6.134,6.0438433
5.865,5.910506
5.49,5.568186
5.304,5.322595
5.063,5.1308184
4.907,4.900915
4.73,4.763187
4.657,4.615133
4.577,4.54868
4.391,4.43491
4.342,4.303936
4.416,4.2823186
4.312,4.231086
4.098,4.0663
3.97,3.8836591
3.872,3.719669
3.531,3.4565096
2.963,3.022372
2.618,2.5539746
2.172,2.21415
1.879,1.7944449
1.529,1.5722976
1.284,1.3332158
1.452,1.3610522
1.586,1.5923351
1.898,1.826682
2.322,2.2731745
2.755,2.731237
3.237,3.1945095
3.891,3.650481
4.22,4.074197
4.235,4.2031283
4.48,4.2619553
4.458,4.374361
4.266,4.233349
4.205,4.181615
4.489,4.3066635
4.788,4.5895834
5.139,4.846798
5.401,5.144939
5.404,5.2917576
5.279,5.294179
5.2,5.2448263
5.203,5.185404
5.282,5.0893936
5.069,4.9194093
4.492,4.510646
3.882,4.0951467
3.497,3.8956995
3.909,4.116496
5.398,5.013028
6.915,6.273235
7.455,7.0187893
7.275,7.226677
6.869,7.1564255
6.711,7.090611
6.964,7.260934
8.389,7.9196663
9.491,8.999566
9.488,9.439932
9.549,9.485429
9.842,9.783567
9.884,9.900876
10.19,10.012053
10.522,10.366223
10.919,10.667996
11.224,11.003656
11.374,11.243397
11.651,11.414179
11.798,11.643862
12.091,11.79754
12.216,11.989523
12.167,11.961764
12.158,11.816912
12.042,11.544334
10.632,10.791131
9.402,9.392307
8.465,8.373434
6.976,7.156237
5.542,5.7869053
4.763,4.9256086
4.565,4.351465
4.602,4.3296623
4.769,4.4755936
4.959,4.683273
4.998,4.843767
4.754,4.855176
4.678,4.9131145
4.995,5.364398
5.511,6.1889315
9.219,7.7185116
10.827,10.120003
11.181,10.569349
11.499,11.217682
11.508,11.357637
11.407,11.161087
11.041,10.8476715
10.66,10.427683
10.287,10.078714
10.107,9.881718
10.165,9.8938055
10.174,10.051025
10.303,10.196595
10.62,10.47487
10.843,10.742431
10.708,10.856917
10.675,10.822994
11.026,10.973313
11.069,11.139693
10.904,11.025663
10.849,10.9215
11.065,10.908121
10.977,10.905242
10.696,10.682343
10.486,10.463576
10.385,10.33186
10.507,10.269363
10.373,10.277412
10.132,10.101613
10.046,10.037311
10.321,10.113105
10.373,10.287013
10.119,10.208092
10.733,10.250465
10.29,10.520599
10.22,10.067168
10.156,10.210572
10.269,10.128911
10.296,10.222106
10.284,10.237594
10.419,10.292009
10.562,10.43548
10.617,10.470139
10.657,10.4608
10.336,10.357066
10.089,10.08521
10.028,9.984378
10.007,9.922882
10.019,9.86718
9.964,9.831044
9.732,9.70245
9.57,9.52498
9.427,9.411083
9.32,9.267899
9.28,9.159444
9.051,9.018997
8.841,8.753733
8.618,8.538374
8.282,8.2483425
7.962,7.933824
7.776,7.6935062
7.525,7.5080786
7.452,7.3237653
7.361,7.2728004
7.284,7.153735
7.071,7.044629
7.022,6.8780446
6.793,6.7780385
6.619,6.5358124
6.381,6.362078
6.192,6.112443
5.978,5.9123464
5.755,5.680421
5.673,5.5221834
5.38,5.439242
5.2,5.322499
5.606,5.531254
6.298,6.0621853
6.68,6.535634
7.104,6.8313084
7.278,7.1380224
7.058,7.148093
7.058,7.0481563
7.092,7.1290584
7.211,7.1584797
7.397,7.3488016
7.577,7.556679
8.313,7.8949394
8.383,8.362988
8.343,8.322075
8.539,8.518596
8.825,8.7696085
9.024,8.972964
9.048,9.104518
9.143,9.167541
9.317,9.306156
9.375,9.396957
9.302,9.381363
9.289,9.320782
9.237,9.258251
8.923,9.058057
8.633,8.742515
8.343,8.496281
8.175,8.25449
7.986,8.100958
7.953,7.97579
7.925,7.9697237
7.934,7.9566193
7.901,7.9905806
7.977,8.038861
7.861,8.113711
8.139,8.202604
8.706,8.5588875
8.999,8.764622
8.682,8.537597
8.74,8.002145
6.512,7.173397
3.445,4.953914
4.653,4.1070094
5.166,5.1399207
4.965,4.721123
5.136,5.095834
5.368,5.3955426
5.987,5.784362
6.112,6.221645
6.231,6.2105913
6.274,6.3313723
6.079,6.226075
5.957,6.0152774
6.006,5.9136753
5.633,5.746026
5.703,5.459334
5.569,5.4786043
5.053,5.13931
5.175,4.9069557
5.096,5.0126247
4.629,4.72163
4.596,4.5339556
4.742,4.58595
4.586,4.4845448
4.251,4.2250724
3.842,3.9203148
3.506,3.5707173
3.308,3.2882128
3.07,3.0376942
2.703,2.7510004
2.374,2.4646542
2.285,2.2894247
2.371,2.2402444
2.258,2.1928706
2.16,2.0499778
1.602,1.9188062
