true_value,predict
4.617,4.644633
4.306,4.5359774
4.406,4.264422
4.138,4.163031
3.61,3.711649
3.296,3.3493228
3.32,3.2730918
3.753,3.4562824
3.848,3.725432
3.506,3.5996792
3.399,3.3182404
3.228,3.1995642
3.216,3.045649
3.125,3.002477
3.152,2.9464526
3.326,3.0456572
3.424,3.1919932
3.363,3.228385
3.421,3.1885092
3.524,3.2046914
3.097,3.0688143
2.984,2.694388
2.899,2.6605773
2.877,2.6104734
2.853,2.6158812
2.966,2.6701365
3.17,2.8212337
3.295,2.968956
3.781,3.0776167
3.186,3.13374
3.271,2.6986394
3.491,2.9255316
3.814,3.125212
3.933,3.3504443
4.071,3.4145825
4.119,3.4573038
3.604,3.2821455
3.485,2.9601626
3.518,2.9834316
3.598,3.0484824
3.726,3.15216
4.004,3.2833302
3.573,3.3126957
3.738,3.0343735
3.823,3.2083814
3.79,3.1116226
3.665,2.9630864
3.54,2.7605002
3.283,2.5728102
2.945,2.225565
2.383,1.8795261
2.31,1.5414298
1.876,1.4601624
1.727,1.1303253
1.44,0.98037195
1.208,0.7019973
0.564,0.37960997
0.39,0.009217143
0.604,0.16041648
1.184,0.5806036
1.507,1.1410811
2.142,1.5315348
2.313,2.0318558
2.468,2.1023443
2.661,2.239137
2.893,2.4017677
3.097,2.6012151
3.192,2.77324
3.289,2.9547768
3.555,3.2217107
3.726,3.5764322
4.184,3.8846138
4.492,4.3006425
4.516,4.4450808
4.458,4.452673
4.525,4.5421996
5.011,4.847282
5.539,5.3839417
5.926,5.8506784
6.262,6.2112327
6.68,6.530574
6.759,6.7868557
6.866,6.8412175
7.177,7.0561175
7.446,7.4307404
8.194,7.882265
8.804,8.622007
9.128,9.075258
9.259,9.324941
9.54,9.458109
9.729,9.667877
9.778,9.731796
9.845,9.761504
9.881,9.860798
10.122,10.004076
10.238,10.236563
10.428,10.37885
10.696,10.596856
10.742,10.751607
10.611,10.720247
10.766,10.728538
11.127,10.987779
11.279,11.2459955
11.441,11.332601
11.444,11.415622
11.444,11.359274
11.398,11.323326
11.371,11.260439
11.374,11.257954
11.511,11.307853
11.383,11.387214
11.42,11.335981
11.478,11.464325
11.478,11.515569
11.673,11.548963
11.624,11.571616
11.328,11.307613
11.008,10.976721
10.632,10.742368
10.87,10.676809
11.255,11.041931
11.349,11.266744
11.343,11.290121
11.197,11.195247
11.212,11.01786
10.809,10.848758
10.559,10.496555
10.614,10.464199
10.745,10.627864
10.986,10.809323
11.035,10.959949
10.818,10.837145
10.455,10.531829
10.321,10.308708
10.324,10.286299
10.483,10.383155
10.769,10.612926
10.84,10.847095
11.041,10.956491
11.004,11.100231
11.27,11.067549
11.136,11.114589
10.657,10.766938
10.586,10.474174
10.592,10.548236
10.721,10.622119
10.763,10.759786
10.928,10.837791
10.87,10.917562
10.675,10.746821
10.361,10.507604
10.37,10.305383
10.373,10.341461
10.373,10.313892
10.339,10.308739
10.373,10.292109
10.275,10.286879
10.147,10.163201
10.153,10.081671
10.0,10.038338
9.903,9.89883
9.894,9.86479
9.848,9.871496
10.013,9.87837
9.817,9.944526
9.93,9.795148
9.933,9.879157
9.698,9.776629
9.796,9.691831
9.729,9.836569
10.077,9.938391
10.254,10.2761545
10.321,10.345758
10.345,10.352871
10.013,10.241801
10.126,10.087306
10.11,10.2417345
10.388,10.283801
10.449,10.505832
10.574,10.527032
10.724,10.642644
10.504,10.599198
10.238,10.331681
10.223,10.147674
10.205,10.087242
9.811,9.832854
9.546,9.337902
8.905,8.918128
8.178,8.306835
7.855,7.840141
7.754,7.703309
7.651,7.6019683
7.321,7.417139
7.059,7.0929995
6.686,6.83078
6.503,6.5651946
6.46,6.489631
6.695,6.547957
6.82,6.7396812
6.952,6.8283157
7.174,6.994633
7.187,7.1630416
7.394,7.266545
7.718,7.5687933
8.102,7.904613
8.117,8.139671
8.212,8.138746
8.304,8.233934
8.255,8.256532
8.331,8.208039
8.297,8.249287
8.215,8.198892
8.288,8.185333
8.41,8.282342
8.471,8.355149
8.325,8.320303
8.069,8.164681
8.188,8.074518
8.352,8.220189
8.05,8.177929
7.867,7.8958025
7.892,7.8614573
8.038,7.958919
8.081,8.051796
8.273,8.135967
8.554,8.397356
8.755,8.712222
9.323,9.100204
9.778,9.732192
10.538,10.253821
10.678,10.786613
10.803,10.857439
11.139,11.003929
11.133,11.172833
11.426,11.259822
11.316,11.507078
11.85,11.6753235
12.488,12.362177
12.945,12.886466
13.119,13.261738
13.51,13.524738
14.139,13.910769
14.243,14.135041
13.892,13.929289
13.766,13.606613
13.965,13.555163
13.748,13.571043
13.541,13.350192
13.321,13.289678
13.107,13.191226
13.202,13.191055
13.122,13.28136
12.665,13.157879
12.408,12.937123
13.138,13.076849
13.489,13.500868
13.26,13.267651
12.933,12.800683
12.482,12.329526
11.819,11.903061
12.244,11.806345
13.382,12.523861
13.516,13.128994
12.552,12.546665
9.314,10.829539
10.043,8.965019
8.697,9.229746
7.727,7.75356
6.534,6.7267447
5.31,5.8081098
5.252,5.17723
4.351,5.2293544
5.023,5.106393
6.936,6.7158546
6.878,7.580242
7.968,7.5826254
6.778,7.442132
7.01,6.455559
5.987,6.370912
5.774,5.953163
7.577,6.781633
9.689,8.7192545
10.724,9.688075
7.467,8.952434
6.894,6.8783927
4.028,6.7175245
9.463,7.2492933
12.857,12.317846
