true_value,predict
7.721,7.6330886
8.008,7.8328285
8.197,8.038567
8.142,8.14258
8.16,8.143704
8.124,8.151602
8.188,8.116388
8.194,8.100457
8.206,8.036688
8.014,7.951731
7.922,7.819339
7.864,7.770789
7.925,7.753327
7.989,7.790871
7.849,7.781904
7.821,7.737881
7.931,7.7900977
8.041,7.8935122
8.148,7.992877
8.246,8.094373
8.34,8.183712
8.56,8.3152075
8.74,8.488557
8.777,8.621161
8.81,8.70208
8.804,8.78377
9.06,8.875627
9.35,9.047322
9.311,9.097495
9.097,8.977874
9.063,8.835723
9.076,8.790886
9.146,8.777355
9.097,8.809301
9.082,8.828307
9.234,8.9229
9.36,9.056139
9.115,9.083174
9.353,9.026052
9.326,9.055722
9.149,8.876898
8.996,8.678569
8.926,8.515345
8.783,8.39932
8.929,8.38367
9.073,8.52728
9.405,8.722112
9.497,8.990511
9.533,9.163931
9.689,9.385166
9.881,9.62983
10.132,9.861569
10.202,10.019266
10.324,10.059554
10.461,10.096576
10.437,10.085523
10.3,10.009535
10.272,9.975549
10.47,10.090685
10.62,10.342715
10.931,10.621801
11.337,10.987716
11.438,11.272443
11.423,11.412343
11.404,11.467965
11.566,11.495895
11.554,11.501556
11.481,11.38593
11.404,11.228329
11.334,11.073635
11.169,10.93295
11.066,10.837984
11.072,10.843579
11.16,10.955932
11.31,11.132176
11.523,11.34973
11.78,11.572165
11.822,11.754409
11.88,11.820757
11.938,11.8734
12.048,11.898047
12.03,11.907312
12.118,11.886695
12.109,11.912204
12.314,11.982017
12.182,12.105625
12.057,12.125571
12.179,12.22563
12.533,12.450967
12.756,12.70753
12.909,12.864653
12.631,12.904959
12.451,12.802176
12.598,12.860488
13.046,13.080364
13.437,13.346899
13.006,13.4312935
12.646,13.244104
12.964,13.276529
13.217,13.520995
13.232,13.614132
13.159,13.597015
13.177,13.506513
13.241,13.473501
13.287,13.436714
13.373,13.41058
13.354,13.398588
13.29,13.36581
13.077,13.2911825
12.906,13.145777
12.781,13.088933
12.71,12.89019
12.442,12.538937
11.523,11.930575
10.101,10.878266
10.342,9.962493
9.772,9.537032
8.826,8.894837
8.899,8.430015
8.365,8.369573
8.383,8.3372555
9.616,8.92926
10.333,9.675271
10.123,10.128446
10.333,10.324857
10.437,10.571141
10.788,10.741347
10.821,10.897251
11.139,10.888299
11.374,10.900698
11.075,10.740975
10.574,10.48721
10.855,10.387612
10.266,10.547346
10.745,10.661112
11.072,11.321244
11.868,11.8432455
12.366,12.549128
12.527,12.809197
12.378,12.833503
12.234,12.590412
12.369,12.3643675
12.286,12.207517
11.926,11.983713
11.697,11.820921
11.853,11.894286
11.941,12.147564
12.213,12.287339
12.216,12.373797
11.758,12.161777
11.358,11.70516
11.093,11.293254
10.663,10.927134
10.431,10.660936
10.605,10.629477
10.94,10.854454
11.236,11.138152
11.3,11.314647
11.34,11.368703
11.041,11.302382
10.724,11.034789
10.611,10.78669
10.559,10.604804
10.449,10.415184
10.077,10.150687
9.881,9.807023
9.619,9.562747
9.488,9.331692
9.186,9.164133
8.862,8.94377
8.478,8.73213
8.542,8.590789
8.539,8.6018715
8.484,8.5284
8.392,8.4192295
8.151,8.247558
7.95,8.019064
7.672,7.8186035
7.635,7.616916
7.507,7.50274
7.361,7.3079996
6.949,7.070518
6.619,6.7358546
6.35,6.463164
6.088,6.1822853
5.801,5.879691
5.481,5.545483
5.291,5.23481
5.121,5.0159345
4.837,4.8251863
4.44,4.633802
4.422,4.537132
4.779,4.673305
4.583,4.8250566
4.995,4.826025
4.828,4.966628
4.589,4.7696075
4.431,4.6198473
4.257,4.474983
4.33,4.373835
4.477,4.396558
4.388,4.381897
4.324,4.3009567
4.074,4.210036
3.933,4.05128
3.817,3.9594512
3.717,3.8129997
3.61,3.6710439
3.399,3.4586847
2.853,3.1394074
2.655,2.746804
2.395,2.5118382
2.06,2.1803133
2.078,1.8922721
1.858,1.6669711
1.464,1.3314109
1.394,1.0330553
1.181,0.91454196
0.823,0.75156224
0.692,0.6685545
0.869,0.73895586
0.817,0.89274883
0.936,0.92771673
0.967,0.953752
0.885,0.8117975
0.573,0.5354951
0.524,0.18635106
0.527,0.06500983
0.286,0.024451911
0.643,0.13381886
0.973,0.7003678
0.833,1.2983959
2.069,1.9630786
2.429,2.8254466
3.512,3.2623613
2.902,3.4890218
3.173,3.061916
1.986,2.5975103
1.565,1.9619637
1.91,1.7268567
2.227,1.9311756
2.649,2.2786603
3.296,2.8440819
3.241,3.3287978
2.966,3.4924479
3.485,3.710589
3.204,3.888684
3.329,3.6809855
3.271,3.4408545
3.045,3.0217576
2.581,2.489509
2.578,2.0524685
2.349,1.8205509
1.403,1.5452703
1.693,1.3829718
1.77,1.8996916
2.166,2.3333206
2.471,2.9293594
3.167,3.2776687
3.271,3.549486
3.65,3.398925
3.451,3.1098828
3.47,2.8126347
3.247,2.704392
3.256,2.844946
3.466,3.3485334
4.489,4.4891763
6.066,5.9086146
7.415,6.829704
7.364,7.4393425
5.996,7.0566473
4.922,5.7433214
3.326,4.2352185
2.801,2.9973903
2.469,2.2956374
3.512,2.3501296
4.757,3.0137281
3.906,4.0365467
4.159,4.7599564
5.2,6.112452
8.422,7.4445558
8.334,8.842526
6.943,8.832197
7.129,7.8498974
6.494,7.3101325
6.915,6.7413483
6.53,6.309144
6.695,5.9398956
