datetime,wind speed at 100m (m/s)
2012-10-01 00:00:00,2.325
2012-10-01 00:10:00,2.575
2012-10-01 00:20:00,2.908
2012-10-01 00:30:00,3.082
2012-10-01 00:40:00,3.088
2012-10-01 00:50:00,3.103
2012-10-01 01:00:00,3.21
2012-10-01 01:10:00,3.326
2012-10-01 01:20:00,3.302
2012-10-01 01:30:00,3.216
2012-10-01 01:40:00,3.088
2012-10-01 01:50:00,2.911
2012-10-01 02:00:00,2.7
2012-10-01 02:10:00,2.682
2012-10-01 02:20:00,2.639
2012-10-01 02:30:00,2.38
2012-10-01 02:40:00,2.203
2012-10-01 02:50:00,2.099
2012-10-01 03:00:00,1.861
2012-10-01 03:10:00,1.715
2012-10-01 03:20:00,1.458
2012-10-01 03:30:00,1.321
2012-10-01 03:40:00,1.196
2012-10-01 03:50:00,1.236
2012-10-01 04:00:00,1.26
2012-10-01 04:10:00,1.214
2012-10-01 04:20:00,1.281
2012-10-01 04:30:00,1.336
2012-10-01 04:40:00,1.431
2012-10-01 04:50:00,1.568
2012-10-01 05:00:00,1.644
2012-10-01 05:10:00,1.77
2012-10-01 05:20:00,1.959
2012-10-01 05:30:00,2.191
2012-10-01 05:40:00,2.505
2012-10-01 05:50:00,2.71
2012-10-01 06:00:00,3.045
2012-10-01 06:10:00,3.543
2012-10-01 06:20:00,4.08
2012-10-01 06:30:00,4.461
2012-10-01 06:40:00,4.855
2012-10-01 06:50:00,5.392
2012-10-01 07:00:00,5.865
2012-10-01 07:10:00,5.929
2012-10-01 07:20:00,5.948
2012-10-01 07:30:00,6.192
2012-10-01 07:40:00,6.854
2012-10-01 07:50:00,7.873
2012-10-01 08:00:00,9.012
2012-10-01 08:10:00,9.787
2012-10-01 08:20:00,10.379
2012-10-01 08:30:00,10.632
2012-10-01 08:40:00,10.858
2012-10-01 08:50:00,11.001
2012-10-01 09:00:00,11.096
2012-10-01 09:10:00,11.187
2012-10-01 09:20:00,11.334
2012-10-01 09:30:00,11.328
2012-10-01 09:40:00,11.264
2012-10-01 09:50:00,11.337
2012-10-01 10:00:00,11.328
2012-10-01 10:10:00,11.358
2012-10-01 10:20:00,11.386
2012-10-01 10:30:00,11.49
2012-10-01 10:40:00,11.523
2012-10-01 10:50:00,11.523
2012-10-01 11:00:00,11.508
2012-10-01 11:10:00,11.633
2012-10-01 11:20:00,11.557
2012-10-01 11:30:00,11.648
2012-10-01 11:40:00,11.746
2012-10-01 11:50:00,11.712
2012-10-01 12:00:00,11.633
2012-10-01 12:10:00,11.669
2012-10-01 12:20:00,11.621
2012-10-01 12:30:00,11.59
2012-10-01 12:40:00,11.648
2012-10-01 12:50:00,11.66
2012-10-01 13:00:00,11.746
2012-10-01 13:10:00,11.715
2012-10-01 13:20:00,11.694
2012-10-01 13:30:00,11.688
2012-10-01 13:40:00,11.813
2012-10-01 13:50:00,11.947
2012-10-01 14:00:00,12.133
2012-10-01 14:10:00,12.295
2012-10-01 14:20:00,12.344
2012-10-01 14:30:00,12.49
2012-10-01 14:40:00,12.622
2012-10-01 14:50:00,12.695
2012-10-01 15:00:00,12.774
2012-10-01 15:10:00,12.97
2012-10-01 15:20:00,13.034
2012-10-01 15:30:00,13.04
2012-10-01 15:40:00,13.006
2012-10-01 15:50:00,12.936
2012-10-01 16:00:00,12.966
2012-10-01 16:10:00,13.003
2012-10-01 16:20:00,13.098
2012-10-01 16:30:00,13.198
2012-10-01 16:40:00,13.357
2012-10-01 16:50:00,13.476
2012-10-01 17:00:00,13.375
2012-10-01 17:10:00,13.375
2012-10-01 17:20:00,13.391
2012-10-01 17:30:00,13.189
2012-10-01 17:40:00,13.287
2012-10-01 17:50:00,13.656
2012-10-01 18:00:00,13.686
2012-10-01 18:10:00,13.278
2012-10-01 18:20:00,12.933
2012-10-01 18:30:00,12.789
2012-10-01 18:40:00,12.817
2012-10-01 18:50:00,13.244
2012-10-01 19:00:00,13.967
2012-10-01 19:10:00,14.602
2012-10-01 19:20:00,15.017
2012-10-01 19:30:00,15.45
2012-10-01 19:40:00,15.92
2012-10-01 19:50:00,16.409
2012-10-01 20:00:00,16.799
2012-10-01 20:10:00,16.885
2012-10-01 20:20:00,16.461
2012-10-01 20:30:00,15.774
2012-10-01 20:40:00,15.133
2012-10-01 20:50:00,14.489
2012-10-01 21:00:00,14.401
2012-10-01 21:10:00,14.642
2012-10-01 21:20:00,14.679
2012-10-01 21:30:00,15.133
2012-10-01 21:40:00,15.396
2012-10-01 21:50:00,15.79
2012-10-01 22:00:00,16.293
2012-10-01 22:10:00,16.476
2012-10-01 22:20:00,17.023
2012-10-01 22:30:00,16.605
2012-10-01 22:40:00,17.105
2012-10-01 22:50:00,17.838
2012-10-01 23:00:00,18.125
2012-10-01 23:10:00,18.369
2012-10-01 23:20:00,18.353
2012-10-01 23:30:00,18.097
2012-10-01 23:40:00,18.366
2012-10-01 23:50:00,18.799
2012-10-02 00:00:00,18.964
2012-10-02 00:10:00,18.998
2012-10-02 00:20:00,18.937
2012-10-02 00:30:00,18.308
2012-10-02 00:40:00,18.314
2012-10-02 00:50:00,17.737
2012-10-02 01:00:00,17.2
2012-10-02 01:10:00,17.402
2012-10-02 01:20:00,17.243
2012-10-02 01:30:00,17.548
2012-10-02 01:40:00,18.247
2012-10-02 01:50:00,18.817
2012-10-02 02:00:00,18.503
2012-10-02 02:10:00,17.694
2012-10-02 02:20:00,16.752
2012-10-02 02:30:00,16.074
2012-10-02 02:40:00,15.616
2012-10-02 02:50:00,15.924
2012-10-02 03:00:00,17.462
2012-10-02 03:10:00,18.612
2012-10-02 03:20:00,18.997
2012-10-02 03:30:00,19.015
2012-10-02 03:40:00,18.811
2012-10-02 03:50:00,18.414
2012-10-02 04:00:00,17.798
2012-10-02 04:10:00,17.227
2012-10-02 04:20:00,16.949
2012-10-02 04:30:00,17.068
2012-10-02 04:40:00,17.621
2012-10-02 04:50:00,18.072
2012-10-02 05:00:00,18.747
2012-10-02 05:10:00,19.293
2012-10-02 05:20:00,18.921
2012-10-02 05:30:00,18.262
2012-10-02 05:40:00,16.91
2012-10-02 05:50:00,16.419
2012-10-02 06:00:00,16.733
2012-10-02 06:10:00,16.394
2012-10-02 06:20:00,15.5
2012-10-02 06:30:00,17.258
2012-10-02 06:40:00,17.706
2012-10-02 06:50:00,17.679
2012-10-02 07:00:00,17.035
2012-10-02 07:10:00,15.759
2012-10-02 07:20:00,14.575
2012-10-02 07:30:00,14.526
2012-10-02 07:40:00,14.899
2012-10-02 07:50:00,14.526
2012-10-02 08:00:00,14.462
2012-10-02 08:10:00,14.194
2012-10-02 08:20:00,14.31
2012-10-02 08:30:00,14.691
2012-10-02 08:40:00,14.902
2012-10-02 08:50:00,15.375
2012-10-02 09:00:00,16.778
2012-10-02 09:10:00,16.839
2012-10-02 09:20:00,15.817
2012-10-02 09:30:00,16.464
2012-10-02 09:40:00,16.317
2012-10-02 09:50:00,15.252
2012-10-02 10:00:00,14.828
