datetime,wind speed at 100m (m/s)
2012-07-01 00:00:00,4.58
2012-07-01 00:10:00,4.55
2012-07-01 00:20:00,4.281
2012-07-01 00:30:00,4.147
2012-07-01 00:40:00,4.211
2012-07-01 00:50:00,4.425
2012-07-01 01:00:00,4.568
2012-07-01 01:10:00,4.657
2012-07-01 01:20:00,5.084
2012-07-01 01:30:00,5.157
2012-07-01 01:40:00,5.224
2012-07-01 01:50:00,5.429
2012-07-01 02:00:00,5.563
2012-07-01 02:10:00,5.597
2012-07-01 02:20:00,5.539
2012-07-01 02:30:00,5.752
2012-07-01 02:40:00,5.795
2012-07-01 02:50:00,5.804
2012-07-01 03:00:00,5.932
2012-07-01 03:10:00,6.036
2012-07-01 03:20:00,6.06
2012-07-01 03:30:00,5.951
2012-07-01 03:40:00,6.057
2012-07-01 03:50:00,6.616
2012-07-01 04:00:00,6.61
2012-07-01 04:10:00,6.582
2012-07-01 04:20:00,6.683
2012-07-01 04:30:00,6.662
2012-07-01 04:40:00,6.579
2012-07-01 04:50:00,6.524
2012-07-01 05:00:00,6.457
2012-07-01 05:10:00,6.54
2012-07-01 05:20:00,6.82
2012-07-01 05:30:00,6.869
2012-07-01 05:40:00,6.704
2012-07-01 05:50:00,6.646
2012-07-01 06:00:00,7.086
2012-07-01 06:10:00,7.696
2012-07-01 06:20:00,7.986
2012-07-01 06:30:00,8.044
2012-07-01 06:40:00,8.004
2012-07-01 06:50:00,7.94
2012-07-01 07:00:00,7.861
2012-07-01 07:10:00,7.989
2012-07-01 07:20:00,8.084
2012-07-01 07:30:00,8.233
2012-07-01 07:40:00,8.261
2012-07-01 07:50:00,8.23
2012-07-01 08:00:00,8.258
2012-07-01 08:10:00,8.169
2012-07-01 08:20:00,8.093
2012-07-01 08:30:00,8.041
2012-07-01 08:40:00,8.059
2012-07-01 08:50:00,8.038
2012-07-01 09:00:00,8.127
2012-07-01 09:10:00,8.279
2012-07-01 09:20:00,8.477
2012-07-01 09:30:00,8.926
2012-07-01 09:40:00,9.234
2012-07-01 09:50:00,9.286
2012-07-01 10:00:00,9.219
2012-07-01 10:10:00,9.332
2012-07-01 10:20:00,9.231
2012-07-01 10:30:00,8.996
2012-07-01 10:40:00,9.03
2012-07-01 10:50:00,9.357
2012-07-01 11:00:00,9.613
2012-07-01 11:10:00,9.842
2012-07-01 11:20:00,10.052
2012-07-01 11:30:00,10.489
2012-07-01 11:40:00,11.111
2012-07-01 11:50:00,11.758
2012-07-01 12:00:00,12.094
2012-07-01 12:10:00,12.177
2012-07-01 12:20:00,12.311
2012-07-01 12:30:00,12.335
2012-07-01 12:40:00,12.152
2012-07-01 12:50:00,11.853
2012-07-01 13:00:00,11.578
2012-07-01 13:10:00,11.408
2012-07-01 13:20:00,11.31
2012-07-01 13:30:00,11.334
2012-07-01 13:40:00,11.288
2012-07-01 13:50:00,11.127
2012-07-01 14:00:00,11.136
2012-07-01 14:10:00,11.108
2012-07-01 14:20:00,11.127
2012-07-01 14:30:00,11.267
2012-07-01 14:40:00,11.31
2012-07-01 14:50:00,11.392
2012-07-01 15:00:00,11.475
2012-07-01 15:10:00,11.514
2012-07-01 15:20:00,11.502
2012-07-01 15:30:00,11.334
2012-07-01 15:40:00,11.273
2012-07-01 15:50:00,11.24
2012-07-01 16:00:00,11.258
2012-07-01 16:10:00,11.325
2012-07-01 16:20:00,11.234
2012-07-01 16:30:00,11.252
2012-07-01 16:40:00,11.362
2012-07-01 16:50:00,11.337
2012-07-01 17:00:00,11.371
2012-07-01 17:10:00,11.469
2012-07-01 17:20:00,11.481
2012-07-01 17:30:00,11.478
2012-07-01 17:40:00,11.566
2012-07-01 17:50:00,11.673
2012-07-01 18:00:00,11.731
2012-07-01 18:10:00,11.768
2012-07-01 18:20:00,11.865
2012-07-01 18:30:00,11.746
2012-07-01 18:40:00,11.578
2012-07-01 18:50:00,11.572
2012-07-01 19:00:00,11.688
2012-07-01 19:10:00,11.758
2012-07-01 19:20:00,11.942
2012-07-01 19:30:00,11.777
2012-07-01 19:40:00,11.642
2012-07-01 19:50:00,11.533
2012-07-01 20:00:00,11.447
2012-07-01 20:10:00,11.533
2012-07-01 20:20:00,11.704
2012-07-01 20:30:00,11.737
2012-07-01 20:40:00,11.774
2012-07-01 20:50:00,11.764
2012-07-01 21:00:00,11.652
2012-07-01 21:10:00,11.279
2012-07-01 21:20:00,11.2
2012-07-01 21:30:00,10.861
2012-07-01 21:40:00,10.706
2012-07-01 21:50:00,10.565
2012-07-01 22:00:00,10.529
2012-07-01 22:10:00,10.406
2012-07-01 22:20:00,10.4
2012-07-01 22:30:00,10.391
2012-07-01 22:40:00,10.345
2012-07-01 22:50:00,10.254
2012-07-01 23:00:00,10.092
2012-07-01 23:10:00,10.028
2012-07-01 23:20:00,10.126
2012-07-01 23:30:00,10.168
2012-07-01 23:40:00,10.135
2012-07-01 23:50:00,10.205
2012-07-02 00:00:00,10.403
2012-07-02 00:10:00,10.397
2012-07-02 00:20:00,10.287
2012-07-02 00:30:00,10.248
2012-07-02 00:40:00,10.309
2012-07-02 00:50:00,10.495
2012-07-02 01:00:00,10.617
2012-07-02 01:10:00,10.803
2012-07-02 01:20:00,10.904
2012-07-02 01:30:00,10.843
2012-07-02 01:40:00,10.699
2012-07-02 01:50:00,10.608
2012-07-02 02:00:00,10.644
2012-07-02 02:10:00,10.681
2012-07-02 02:20:00,10.83
2012-07-02 02:30:00,10.962
2012-07-02 02:40:00,11.023
2012-07-02 02:50:00,10.995
2012-07-02 03:00:00,11.047
2012-07-02 03:10:00,11.166
2012-07-02 03:20:00,11.224
2012-07-02 03:30:00,11.291
2012-07-02 03:40:00,11.456
2012-07-02 03:50:00,11.423
2012-07-02 04:00:00,11.429
2012-07-02 04:10:00,11.545
2012-07-02 04:20:00,11.615
2012-07-02 04:30:00,11.542
2012-07-02 04:40:00,11.554
2012-07-02 04:50:00,11.74
2012-07-02 05:00:00,11.865
2012-07-02 05:10:00,11.816
2012-07-02 05:20:00,12.295
2012-07-02 05:30:00,12.829
2012-07-02 05:40:00,13.034
2012-07-02 05:50:00,12.768
2012-07-02 06:00:00,12.433
2012-07-02 06:10:00,12.253
2012-07-02 06:20:00,12.18
2012-07-02 06:30:00,12.024
2012-07-02 06:40:00,11.966
2012-07-02 06:50:00,11.88
2012-07-02 07:00:00,11.883
2012-07-02 07:10:00,12.283
2012-07-02 07:20:00,12.25
2012-07-02 07:30:00,12.057
2012-07-02 07:40:00,12.408
2012-07-02 07:50:00,12.961
2012-07-02 08:00:00,13.004
2012-07-02 08:10:00,12.692
2012-07-02 08:20:00,12.616
2012-07-02 08:30:00,12.469
2012-07-02 08:40:00,12.182
2012-07-02 08:50:00,12.042
2012-07-02 09:00:00,11.88
2012-07-02 09:10:00,11.56
2012-07-02 09:20:00,11.511
2012-07-02 09:30:00,11.697
2012-07-02 09:40:00,12.054
2012-07-02 09:50:00,12.228
2012-07-02 10:00:00,12.183
2012-07-02 10:10:00,12.14
2012-07-02 10:20:00,12.076
2012-07-02 10:30:00,12.115
2012-07-02 10:40:00,12.201
2012-07-02 10:50:00,12.381
2012-07-02 11:00:00,12.399
2012-07-02 11:10:00,12.274
2012-07-02 11:20:00,12.314
2012-07-02 11:30:00,12.424
2012-07-02 11:40:00,12.369
2012-07-02 11:50:00,12.244
2012-07-02 12:00:00,12.179
2012-07-02 12:10:00,12.271
2012-07-02 12:20:00,12.454
2012-07-02 12:30:00,12.442
2012-07-02 12:40:00,12.347
2012-07-02 12:50:00,12.302
2012-07-02 13:00:00,12.411
2012-07-02 13:10:00,12.479
2012-07-02 13:20:00,12.54
2012-07-02 13:30:00,12.582
2012-07-02 13:40:00,12.591
2012-07-02 13:50:00,12.524
2012-07-02 14:00:00,12.442
2012-07-02 14:10:00,12.457
2012-07-02 14:20:00,12.5
2012-07-02 14:30:00,12.433
2012-07-02 14:40:00,12.512
2012-07-02 14:50:00,12.601
2012-07-02 15:00:00,12.524
2012-07-02 15:10:00,12.558
2012-07-02 15:20:00,12.57
2012-07-02 15:30:00,12.54
2012-07-02 15:40:00,12.537
2012-07-02 15:50:00,12.292
2012-07-02 16:00:00,12.344
2012-07-02 16:10:00,12.405
2012-07-02 16:20:00,12.433
2012-07-02 16:30:00,12.469
2012-07-02 16:40:00,12.613
2012-07-02 16:50:00,12.485
2012-07-02 17:00:00,12.418
2012-07-02 17:10:00,12.518
2012-07-02 17:20:00,12.503
2012-07-02 17:30:00,12.451
2012-07-02 17:40:00,12.289
2012-07-02 17:50:00,12.497
2012-07-02 18:00:00,12.756
2012-07-02 18:10:00,12.796
2012-07-02 18:20:00,12.68
2012-07-02 18:30:00,12.616
2012-07-02 18:40:00,12.54
2012-07-02 18:50:00,12.521
2012-07-02 19:00:00,12.619
2012-07-02 19:10:00,12.683
2012-07-02 19:20:00,13.092
2012-07-02 19:30:00,12.948
2012-07-02 19:40:00,12.93
2012-07-02 19:50:00,13.296
2012-07-02 20:00:00,13.464
2012-07-02 20:10:00,13.18
2012-07-02 20:20:00,13.095
2012-07-02 20:30:00,13.055
2012-07-02 20:40:00,12.933
2012-07-02 20:50:00,12.646
2012-07-02 21:00:00,12.457
2012-07-02 21:10:00,12.591
2012-07-02 21:20:00,12.707
2012-07-02 21:30:00,13.486
2012-07-02 21:40:00,13.843
2012-07-02 21:50:00,13.431
2012-07-02 22:00:00,13.046
2012-07-02 22:10:00,12.823
2012-07-02 22:20:00,13.4
2012-07-02 22:30:00,13.672
2012-07-02 22:40:00,14.554
2012-07-02 22:50:00,13.94
2012-07-02 23:00:00,14.062
2012-07-02 23:10:00,13.437
2012-07-02 23:20:00,14.404
2012-07-02 23:30:00,13.364
2012-07-02 23:40:00,14.047
2012-07-02 23:50:00,13.48
2012-07-03 00:00:00,13.568
2012-07-03 00:10:00,13.724
2012-07-03 00:20:00,13.953
2012-07-03 00:30:00,14.41
2012-07-03 00:40:00,14.856
2012-07-03 00:50:00,14.188
2012-07-03 01:00:00,13.91
2012-07-03 01:10:00,14.013
2012-07-03 01:20:00,15.094
2012-07-03 01:30:00,14.624
2012-07-03 01:40:00,15.784
2012-07-03 01:50:00,15.442
2012-07-03 02:00:00,15.576
2012-07-03 02:10:00,15.411
2012-07-03 02:20:00,15.161
2012-07-03 02:30:00,14.288
2012-07-03 02:40:00,13.922
2012-07-03 02:50:00,13.544
2012-07-03 03:00:00,13.022
2012-07-03 03:10:00,12.5
2012-07-03 03:20:00,12.61
2012-07-03 03:30:00,12.576
2012-07-03 03:40:00,12.561
2012-07-03 03:50:00,12.408
2012-07-03 04:00:00,12.25
2012-07-03 04:10:00,12.143
2012-07-03 04:20:00,12.308
2012-07-03 04:30:00,12.451
2012-07-03 04:40:00,12.39
2012-07-03 04:50:00,12.152
2012-07-03 05:00:00,12.003
2012-07-03 05:10:00,12.076
2012-07-03 05:20:00,11.993
2012-07-03 05:30:00,11.926
2012-07-03 05:40:00,11.945
2012-07-03 05:50:00,11.957
2012-07-03 06:00:00,11.935
2012-07-03 06:10:00,11.832
2012-07-03 06:20:00,11.636
2012-07-03 06:30:00,11.548
2012-07-03 06:40:00,11.569
2012-07-03 06:50:00,11.563
2012-07-03 07:00:00,11.597
2012-07-03 07:10:00,11.768
2012-07-03 07:20:00,11.868
2012-07-03 07:30:00,11.987
2012-07-03 07:40:00,12.045
2012-07-03 07:50:00,12.286
2012-07-03 08:00:00,12.634
2012-07-03 08:10:00,13.037
2012-07-03 08:20:00,13.382
2012-07-03 08:30:00,13.522
2012-07-03 08:40:00,13.473
2012-07-03 08:50:00,13.748
2012-07-03 09:00:00,13.864
2012-07-03 09:10:00,13.995
2012-07-03 09:20:00,13.864
2012-07-03 09:30:00,14.09
2012-07-03 09:40:00,14.261
2012-07-03 09:50:00,14.38
2012-07-03 10:00:00,14.453
2012-07-03 10:10:00,14.56
2012-07-03 10:20:00,14.655
2012-07-03 10:30:00,14.63
2012-07-03 10:40:00,14.758
2012-07-03 10:50:00,14.77
2012-07-03 11:00:00,14.639
2012-07-03 11:10:00,14.642
2012-07-03 11:20:00,14.499
2012-07-03 11:30:00,14.407
2012-07-03 11:40:00,14.392
2012-07-03 11:50:00,14.331
2012-07-03 12:00:00,14.447
2012-07-03 12:10:00,14.618
2012-07-03 12:20:00,14.642
2012-07-03 12:30:00,14.502
2012-07-03 12:40:00,14.383
2012-07-03 12:50:00,14.307
2012-07-03 13:00:00,14.273
2012-07-03 13:10:00,14.304
2012-07-03 13:20:00,14.459
2012-07-03 13:30:00,14.496
2012-07-03 13:40:00,14.453
2012-07-03 13:50:00,14.441
2012-07-03 14:00:00,14.414
2012-07-03 14:10:00,14.392
2012-07-03 14:20:00,14.206
2012-07-03 14:30:00,13.989
2012-07-03 14:40:00,13.974
2012-07-03 14:50:00,13.876
2012-07-03 15:00:00,13.733
2012-07-03 15:10:00,13.678
2012-07-03 15:20:00,13.709
2012-07-03 15:30:00,13.751
2012-07-03 15:40:00,13.718
2012-07-03 15:50:00,13.645
2012-07-03 16:00:00,13.574
2012-07-03 16:10:00,13.449
2012-07-03 16:20:00,13.266
2012-07-03 16:30:00,13.223
2012-07-03 16:40:00,13.217
2012-07-03 16:50:00,13.227
2012-07-03 17:00:00,13.376
2012-07-03 17:10:00,13.596
2012-07-03 17:20:00,13.764
2012-07-03 17:30:00,13.773
2012-07-03 17:40:00,13.816
2012-07-03 17:50:00,13.947
2012-07-03 18:00:00,13.834
2012-07-03 18:10:00,13.703
2012-07-03 18:20:00,13.495
2012-07-03 18:30:00,13.297
2012-07-03 18:40:00,13.434
2012-07-03 18:50:00,13.434
2012-07-03 19:00:00,13.239
2012-07-03 19:10:00,12.976
2012-07-03 19:20:00,12.769
2012-07-03 19:30:00,12.625
2012-07-03 19:40:00,12.518
2012-07-03 19:50:00,12.338
2012-07-03 20:00:00,12.357
2012-07-03 20:10:00,12.274
2012-07-03 20:20:00,12.216
2012-07-03 20:30:00,12.244
2012-07-03 20:40:00,12.189
2012-07-03 20:50:00,12.186
2012-07-03 21:00:00,12.228
2012-07-03 21:10:00,12.332
2012-07-03 21:20:00,12.399
2012-07-03 21:30:00,12.363
2012-07-03 21:40:00,12.354
2012-07-03 21:50:00,12.463
2012-07-03 22:00:00,12.54
2012-07-03 22:10:00,12.497
2012-07-03 22:20:00,12.473
2012-07-03 22:30:00,12.476
2012-07-03 22:40:00,12.488
2012-07-03 22:50:00,12.372
2012-07-03 23:00:00,12.21
2012-07-03 23:10:00,12.064
2012-07-03 23:20:00,12.024
2012-07-03 23:30:00,11.932
2012-07-03 23:40:00,11.902
2012-07-03 23:50:00,11.926
2012-07-04 00:00:00,11.948
2012-07-04 00:10:00,12.088
2012-07-04 00:20:00,12.192
2012-07-04 00:30:00,12.298
2012-07-04 00:40:00,12.216
2012-07-04 00:50:00,12.192
2012-07-04 01:00:00,12.1
2012-07-04 01:10:00,11.935
2012-07-04 01:20:00,11.859
2012-07-04 01:30:00,11.865
2012-07-04 01:40:00,11.786
2012-07-04 01:50:00,11.676
2012-07-04 02:00:00,11.554
2012-07-04 02:10:00,11.401
2012-07-04 02:20:00,11.337
2012-07-04 02:30:00,11.426
2012-07-04 02:40:00,11.383
2012-07-04 02:50:00,11.459
2012-07-04 03:00:00,11.56
2012-07-04 03:10:00,11.609
2012-07-04 03:20:00,11.596
2012-07-04 03:30:00,11.74
2012-07-04 03:40:00,11.841
2012-07-04 03:50:00,11.896
2012-07-04 04:00:00,11.911
2012-07-04 04:10:00,11.844
2012-07-04 04:20:00,11.844
2012-07-04 04:30:00,11.847
2012-07-04 04:40:00,11.801
2012-07-04 04:50:00,11.798
2012-07-04 05:00:00,11.731
2012-07-04 05:10:00,11.783
2012-07-04 05:20:00,11.871
2012-07-04 05:30:00,11.902
2012-07-04 05:40:00,11.893
2012-07-04 05:50:00,11.963
2012-07-04 06:00:00,11.944
2012-07-04 06:10:00,12.036
2012-07-04 06:20:00,12.054
2012-07-04 06:30:00,11.984
2012-07-04 06:40:00,12.015
2012-07-04 06:50:00,11.993
2012-07-04 07:00:00,11.926
2012-07-04 07:10:00,11.92
2012-07-04 07:20:00,11.972
2012-07-04 07:30:00,12.128
2012-07-04 07:40:00,12.182
2012-07-04 07:50:00,12.146
2012-07-04 08:00:00,12.207
2012-07-04 08:10:00,12.35
2012-07-04 08:20:00,12.341
2012-07-04 08:30:00,12.201
2012-07-04 08:40:00,12.118
2012-07-04 08:50:00,12.018
2012-07-04 09:00:00,11.911
2012-07-04 09:10:00,11.816
2012-07-04 09:20:00,11.777
2012-07-04 09:30:00,11.767
2012-07-04 09:40:00,11.886
2012-07-04 09:50:00,12.015
2012-07-04 10:00:00,12.07
2012-07-04 10:10:00,12.06
2012-07-04 10:20:00,11.966
2012-07-04 10:30:00,11.948
2012-07-04 10:40:00,11.969
2012-07-04 10:50:00,12.006
2012-07-04 11:00:00,11.954
2012-07-04 11:10:00,11.865
2012-07-04 11:20:00,11.676
2012-07-04 11:30:00,11.575
2012-07-04 11:40:00,11.667
2012-07-04 11:50:00,11.667
2012-07-04 12:00:00,11.667
2012-07-04 12:10:00,11.682
2012-07-04 12:20:00,11.706
2012-07-04 12:30:00,11.67
2012-07-04 12:40:00,11.795
2012-07-04 12:50:00,11.813
2012-07-04 13:00:00,11.664
2012-07-04 13:10:00,11.56
2012-07-04 13:20:00,11.539
2012-07-04 13:30:00,11.609
2012-07-04 13:40:00,11.584
2012-07-04 13:50:00,11.426
2012-07-04 14:00:00,11.426
2012-07-04 14:10:00,11.505
2012-07-04 14:20:00,11.471
2012-07-04 14:30:00,11.371
2012-07-04 14:40:00,11.313
2012-07-04 14:50:00,11.328
2012-07-04 15:00:00,11.334
2012-07-04 15:10:00,11.334
2012-07-04 15:20:00,11.386
2012-07-04 15:30:00,11.429
2012-07-04 15:40:00,11.426
2012-07-04 15:50:00,11.359
2012-07-04 16:00:00,11.292
2012-07-04 16:10:00,11.316
2012-07-04 16:20:00,11.292
2012-07-04 16:30:00,11.374
2012-07-04 16:40:00,11.505
2012-07-04 16:50:00,11.588
2012-07-04 17:00:00,11.563
2012-07-04 17:10:00,11.539
2012-07-04 17:20:00,11.658
2012-07-04 17:30:00,11.661
2012-07-04 17:40:00,11.707
2012-07-04 17:50:00,11.765
2012-07-04 18:00:00,11.594
2012-07-04 18:10:00,11.566
2012-07-04 18:20:00,11.627
2012-07-04 18:30:00,11.704
2012-07-04 18:40:00,11.722
2012-07-04 18:50:00,11.768
2012-07-04 19:00:00,11.716
2012-07-04 19:10:00,11.612
2012-07-04 19:20:00,11.404
2012-07-04 19:30:00,11.279
2012-07-04 19:40:00,11.353
2012-07-04 19:50:00,11.383
2012-07-04 20:00:00,11.42
2012-07-04 20:10:00,11.496
2012-07-04 20:20:00,11.484
2012-07-04 20:30:00,11.435
2012-07-04 20:40:00,11.368
2012-07-04 20:50:00,11.295
2012-07-04 21:00:00,11.307
2012-07-04 21:10:00,11.316
2012-07-04 21:20:00,11.331
2012-07-04 21:30:00,11.319
2012-07-04 21:40:00,11.23
2012-07-04 21:50:00,11.151
2012-07-04 22:00:00,11.142
2012-07-04 22:10:00,11.221
2012-07-04 22:20:00,11.258
2012-07-04 22:30:00,11.237
2012-07-04 22:40:00,11.13
2012-07-04 22:50:00,11.059
2012-07-04 23:00:00,11.026
2012-07-04 23:10:00,11.017
2012-07-04 23:20:00,10.962
