datetime,wind speed at 100m (m/s)
2012-01-01 00:00:00,5.245
2012-01-01 00:10:00,5.157
2012-01-01 00:20:00,5.01
2012-01-01 00:30:00,4.775
2012-01-01 00:40:00,4.644
2012-01-01 00:50:00,4.51
2012-01-01 01:00:00,4.501
2012-01-01 01:10:00,4.598
2012-01-01 01:20:00,4.595
2012-01-01 01:30:00,4.547
2012-01-01 01:40:00,4.519
2012-01-01 01:50:00,4.479
2012-01-01 02:00:00,4.397
2012-01-01 02:10:00,4.354
2012-01-01 02:20:00,4.336
2012-01-01 02:30:00,4.196
2012-01-01 02:40:00,3.93
2012-01-01 02:50:00,3.79
2012-01-01 03:00:00,3.72
2012-01-01 03:10:00,3.555
2012-01-01 03:20:00,3.515
2012-01-01 03:30:00,3.488
2012-01-01 03:40:00,3.414
2012-01-01 03:50:00,3.256
2012-01-01 04:00:00,3.143
2012-01-01 04:10:00,3.018
2012-01-01 04:20:00,2.899
2012-01-01 04:30:00,2.777
2012-01-01 04:40:00,2.722
2012-01-01 04:50:00,2.716
2012-01-01 05:00:00,2.563
2012-01-01 05:10:00,2.374
2012-01-01 05:20:00,2.304
2012-01-01 05:30:00,2.188
2012-01-01 05:40:00,2.053
2012-01-01 05:50:00,2.035
2012-01-01 06:00:00,1.983
2012-01-01 06:10:00,1.895
2012-01-01 06:20:00,1.831
2012-01-01 06:30:00,1.821
2012-01-01 06:40:00,1.797
2012-01-01 06:50:00,1.794
2012-01-01 07:00:00,1.828
2012-01-01 07:10:00,1.815
2012-01-01 07:20:00,1.8
2012-01-01 07:30:00,1.773
2012-01-01 07:40:00,1.766
2012-01-01 07:50:00,1.712
2012-01-01 08:00:00,1.62
2012-01-01 08:10:00,1.519
2012-01-01 08:20:00,1.443
2012-01-01 08:30:00,1.449
2012-01-01 08:40:00,1.397
2012-01-01 08:50:00,1.29
2012-01-01 09:00:00,1.266
2012-01-01 09:10:00,1.223
2012-01-01 09:20:00,1.214
2012-01-01 09:30:00,1.245
2012-01-01 09:40:00,1.333
2012-01-01 09:50:00,1.391
2012-01-01 10:00:00,1.309
2012-01-01 10:10:00,1.354
2012-01-01 10:20:00,1.367
2012-01-01 10:30:00,1.428
2012-01-01 10:40:00,1.501
2012-01-01 10:50:00,1.525
2012-01-01 11:00:00,1.589
2012-01-01 11:10:00,1.568
2012-01-01 11:20:00,1.593
2012-01-01 11:30:00,1.586
2012-01-01 11:40:00,1.608
2012-01-01 11:50:00,1.681
2012-01-01 12:00:00,1.754
2012-01-01 12:10:00,1.901
2012-01-01 12:20:00,2.12
2012-01-01 12:30:00,2.325
2012-01-01 12:40:00,2.459
2012-01-01 12:50:00,2.56
2012-01-01 13:00:00,2.67
2012-01-01 13:10:00,2.847
2012-01-01 13:20:00,3.018
2012-01-01 13:30:00,3.228
2012-01-01 13:40:00,3.411
2012-01-01 13:50:00,3.558
2012-01-01 14:00:00,3.601
2012-01-01 14:10:00,3.689
2012-01-01 14:20:00,3.738
2012-01-01 14:30:00,3.869
2012-01-01 14:40:00,4.052
2012-01-01 14:50:00,4.165
2012-01-01 15:00:00,4.293
2012-01-01 15:10:00,4.477
2012-01-01 15:20:00,4.611
2012-01-01 15:30:00,4.742
2012-01-01 15:40:00,4.885
2012-01-01 15:50:00,4.998
2012-01-01 16:00:00,5.157
2012-01-01 16:10:00,5.319
2012-01-01 16:20:00,5.493
2012-01-01 16:30:00,5.655
2012-01-01 16:40:00,5.838
2012-01-01 16:50:00,5.987
2012-01-01 17:00:00,6.094
2012-01-01 17:10:00,6.219
2012-01-01 17:20:00,6.359
2012-01-01 17:30:00,6.488
2012-01-01 17:40:00,6.591
2012-01-01 17:50:00,6.753
2012-01-01 18:00:00,6.973
2012-01-01 18:10:00,7.138
2012-01-01 18:20:00,7.199
2012-01-01 18:30:00,7.196
2012-01-01 18:40:00,7.119
2012-01-01 18:50:00,7.11
2012-01-01 19:00:00,7.134
2012-01-01 19:10:00,7.205
2012-01-01 19:20:00,7.217
2012-01-01 19:30:00,7.156
2012-01-01 19:40:00,7.043
2012-01-01 19:50:00,6.988
2012-01-01 20:00:00,7.067
2012-01-01 20:10:00,7.199
2012-01-01 20:20:00,7.284
2012-01-01 20:30:00,7.327
2012-01-01 20:40:00,7.366
2012-01-01 20:50:00,7.348
2012-01-01 21:00:00,7.284
2012-01-01 21:10:00,7.25
2012-01-01 21:20:00,7.189
2012-01-01 21:30:00,7.153
2012-01-01 21:40:00,7.202
2012-01-01 21:50:00,7.247
2012-01-01 22:00:00,7.26
2012-01-01 22:10:00,7.232
2012-01-01 22:20:00,7.214
2012-01-01 22:30:00,7.229
2012-01-01 22:40:00,7.443
2012-01-01 22:50:00,7.879
2012-01-01 23:00:00,8.383
2012-01-01 23:10:00,8.721
2012-01-01 23:20:00,8.807
2012-01-01 23:30:00,8.767
2012-01-01 23:40:00,8.795
2012-01-01 23:50:00,8.795
2012-01-02 00:00:00,8.767
2012-01-02 00:10:00,8.865
2012-01-02 00:20:00,9.027
2012-01-02 00:30:00,9.262
2012-01-02 00:40:00,9.481
2012-01-02 00:50:00,9.793
2012-01-02 01:00:00,10.29
2012-01-02 01:10:00,10.745
2012-01-02 01:20:00,10.901
2012-01-02 01:30:00,10.913
2012-01-02 01:40:00,10.855
2012-01-02 01:50:00,10.772
2012-01-02 02:00:00,10.681
2012-01-02 02:10:00,10.672
2012-01-02 02:20:00,10.65
2012-01-02 02:30:00,10.641
2012-01-02 02:40:00,10.577
2012-01-02 02:50:00,10.485
2012-01-02 03:00:00,10.58
2012-01-02 03:10:00,10.736
2012-01-02 03:20:00,10.812
2012-01-02 03:30:00,10.87
2012-01-02 03:40:00,10.955
2012-01-02 03:50:00,11.065
2012-01-02 04:00:00,11.215
2012-01-02 04:10:00,11.322
2012-01-02 04:20:00,11.392
2012-01-02 04:30:00,11.404
2012-01-02 04:40:00,11.462
2012-01-02 04:50:00,11.548
2012-01-02 05:00:00,11.633
2012-01-02 05:10:00,11.664
2012-01-02 05:20:00,11.676
2012-01-02 05:30:00,11.667
2012-01-02 05:40:00,11.673
2012-01-02 05:50:00,11.7
2012-01-02 06:00:00,11.709
2012-01-02 06:10:00,11.722
2012-01-02 06:20:00,11.679
2012-01-02 06:30:00,11.715
2012-01-02 06:40:00,11.865
2012-01-02 06:50:00,11.96
2012-01-02 07:00:00,11.99
2012-01-02 07:10:00,12.042
2012-01-02 07:20:00,12.048
2012-01-02 07:30:00,12.094
2012-01-02 07:40:00,12.137
2012-01-02 07:50:00,12.137
2012-01-02 08:00:00,12.131
2012-01-02 08:10:00,12.033
2012-01-02 08:20:00,12.03
2012-01-02 08:30:00,12.048
2012-01-02 08:40:00,12.112
2012-01-02 08:50:00,12.179
2012-01-02 09:00:00,12.204
2012-01-02 09:10:00,12.216
2012-01-02 09:20:00,12.228
2012-01-02 09:30:00,12.225
2012-01-02 09:40:00,12.146
2012-01-02 09:50:00,12.17
2012-01-02 10:00:00,12.283
2012-01-02 10:10:00,12.231
2012-01-02 10:20:00,12.167
2012-01-02 10:30:00,12.124
