datetime,wind speed at 100m (m/s)
2012-10-01 00:00:00,9.875
2012-10-01 00:10:00,10.058
2012-10-01 00:20:00,10.284
2012-10-01 00:30:00,10.284
2012-10-01 00:40:00,10.293
2012-10-01 00:50:00,10.324
2012-10-01 01:00:00,10.248
2012-10-01 01:10:00,10.266
2012-10-01 01:20:00,10.48
2012-10-01 01:30:00,10.574
2012-10-01 01:40:00,10.528
2012-10-01 01:50:00,10.473
2012-10-01 02:00:00,10.342
2012-10-01 02:10:00,10.217
2012-10-01 02:20:00,10.098
2012-10-01 02:30:00,9.979
2012-10-01 02:40:00,9.881
2012-10-01 02:50:00,9.787
2012-10-01 03:00:00,9.765
2012-10-01 03:10:00,9.772
2012-10-01 03:20:00,9.701
2012-10-01 03:30:00,9.503
2012-10-01 03:40:00,9.292
2012-10-01 03:50:00,9.024
2012-10-01 04:00:00,8.694
2012-10-01 04:10:00,8.664
2012-10-01 04:20:00,8.743
2012-10-01 04:30:00,8.703
2012-10-01 04:40:00,8.539
2012-10-01 04:50:00,8.343
2012-10-01 05:00:00,8.194
2012-10-01 05:10:00,8.029
2012-10-01 05:20:00,8.001
2012-10-01 05:30:00,7.678
2012-10-01 05:40:00,7.315
2012-10-01 05:50:00,6.973
2012-10-01 06:00:00,6.808
2012-10-01 06:10:00,6.503
2012-10-01 06:20:00,6.195
2012-10-01 06:30:00,5.999
2012-10-01 06:40:00,5.761
2012-10-01 06:50:00,5.572
2012-10-01 07:00:00,5.337
2012-10-01 07:10:00,4.956
2012-10-01 07:20:00,4.638
2012-10-01 07:30:00,4.544
2012-10-01 07:40:00,4.574
2012-10-01 07:50:00,4.614
2012-10-01 08:00:00,4.464
2012-10-01 08:10:00,4.312
2012-10-01 08:20:00,4.251
2012-10-01 08:30:00,4.129
2012-10-01 08:40:00,3.952
2012-10-01 08:50:00,3.756
2012-10-01 09:00:00,3.601
2012-10-01 09:10:00,3.53
2012-10-01 09:20:00,3.463
2012-10-01 09:30:00,3.161
2012-10-01 09:40:00,3.07
2012-10-01 09:50:00,3.076
2012-10-01 10:00:00,3.082
2012-10-01 10:10:00,3.082
2012-10-01 10:20:00,3.088
2012-10-01 10:30:00,3.155
2012-10-01 10:40:00,3.268
2012-10-01 10:50:00,3.186
2012-10-01 11:00:00,3.296
2012-10-01 11:10:00,3.405
2012-10-01 11:20:00,3.439
2012-10-01 11:30:00,3.527
2012-10-01 11:40:00,3.643
2012-10-01 11:50:00,3.613
2012-10-01 12:00:00,3.707
2012-10-01 12:10:00,3.833
2012-10-01 12:20:00,4.116
2012-10-01 12:30:00,4.199
2012-10-01 12:40:00,4.354
2012-10-01 12:50:00,4.324
2012-10-01 13:00:00,4.394
2012-10-01 13:10:00,4.559
2012-10-01 13:20:00,4.846
2012-10-01 13:30:00,5.072
2012-10-01 13:40:00,5.346
2012-10-01 13:50:00,5.569
2012-10-01 14:00:00,5.914
2012-10-01 14:10:00,6.289
2012-10-01 14:20:00,6.765
2012-10-01 14:30:00,7.065
2012-10-01 14:40:00,7.388
2012-10-01 14:50:00,7.263
2012-10-01 15:00:00,7.095
2012-10-01 15:10:00,8.05
2012-10-01 15:20:00,8.179
2012-10-01 15:30:00,8.746
2012-10-01 15:40:00,8.825
2012-10-01 15:50:00,9.28
2012-10-01 16:00:00,9.433
2012-10-01 16:10:00,9.726
2012-10-01 16:20:00,9.741
2012-10-01 16:30:00,9.738
2012-10-01 16:40:00,9.591
2012-10-01 16:50:00,9.735
2012-10-01 17:00:00,10.794
2012-10-01 17:10:00,10.379
2012-10-01 17:20:00,10.928
2012-10-01 17:30:00,10.916
2012-10-01 17:40:00,10.742
2012-10-01 17:50:00,11.285
2012-10-01 18:00:00,11.517
2012-10-01 18:10:00,11.188
2012-10-01 18:20:00,11.429
2012-10-01 18:30:00,11.291
2012-10-01 18:40:00,11.2
2012-10-01 18:50:00,10.837
2012-10-01 19:00:00,10.312
2012-10-01 19:10:00,10.174
2012-10-01 19:20:00,10.721
2012-10-01 19:30:00,11.203
2012-10-01 19:40:00,11.563
2012-10-01 19:50:00,11.6
2012-10-01 20:00:00,12.207
2012-10-01 20:10:00,12.109
2012-10-01 20:20:00,12.204
2012-10-01 20:30:00,12.124
2012-10-01 20:40:00,12.009
2012-10-01 20:50:00,11.929
2012-10-01 21:00:00,11.944
2012-10-01 21:10:00,11.972
2012-10-01 21:20:00,12.097
2012-10-01 21:30:00,11.929
2012-10-01 21:40:00,11.563
2012-10-01 21:50:00,11.319
2012-10-01 22:00:00,11.908
2012-10-01 22:10:00,12.161
2012-10-01 22:20:00,8.261
2012-10-01 22:30:00,7.284
2012-10-01 22:40:00,7.971
2012-10-01 22:50:00,7.952
2012-10-01 23:00:00,10.589
2012-10-01 23:10:00,14.465
2012-10-01 23:20:00,15.121
2012-10-01 23:30:00,16.592
2012-10-01 23:40:00,16.229
2012-10-01 23:50:00,14.249
2012-10-02 00:00:00,14.243
2012-10-02 00:10:00,14.09
2012-10-02 00:20:00,13.989
2012-10-02 00:30:00,13.769
2012-10-02 00:40:00,13.513
2012-10-02 00:50:00,13.33
2012-10-02 01:00:00,12.955
2012-10-02 01:10:00,12.738
2012-10-02 01:20:00,12.851
2012-10-02 01:30:00,13.028
2012-10-02 01:40:00,13.531
2012-10-02 01:50:00,13.827
2012-10-02 02:00:00,13.708
2012-10-02 02:10:00,13.76
2012-10-02 02:20:00,14.017
2012-10-02 02:30:00,14.056
2012-10-02 02:40:00,13.855
2012-10-02 02:50:00,14.774
2012-10-02 03:00:00,15.03
2012-10-02 03:10:00,13.089
2012-10-02 03:20:00,12.958
2012-10-02 03:30:00,13.287
2012-10-02 03:40:00,13.425
2012-10-02 03:50:00,13.986
2012-10-02 04:00:00,13.721
2012-10-02 04:10:00,13.824
2012-10-02 04:20:00,14.032
2012-10-02 04:30:00,13.98
2012-10-02 04:40:00,13.65
2012-10-02 04:50:00,13.718
2012-10-02 05:00:00,13.415
2012-10-02 05:10:00,13.043
2012-10-02 05:20:00,12.802
2012-10-02 05:30:00,13.412
2012-10-02 05:40:00,13.861
2012-10-02 05:50:00,13.632
2012-10-02 06:00:00,13.977
2012-10-02 06:10:00,14.554
2012-10-02 06:20:00,14.548
2012-10-02 06:30:00,14.444
2012-10-02 06:40:00,14.206
2012-10-02 06:50:00,14.038
2012-10-02 07:00:00,14.365
2012-10-02 07:10:00,14.255
2012-10-02 07:20:00,14.258
2012-10-02 07:30:00,14.42
2012-10-02 07:40:00,14.438
2012-10-02 07:50:00,14.163
2012-10-02 08:00:00,13.544
2012-10-02 08:10:00,12.894
2012-10-02 08:20:00,12.735
2012-10-02 08:30:00,12.381
2012-10-02 08:40:00,11.911
2012-10-02 08:50:00,12.179
