datetime,wind speed at 100m (m/s)
2012-04-01 00:00:00,5.435
2012-04-01 00:10:00,5.49
2012-04-01 00:20:00,5.294
2012-04-01 00:30:00,5.124
2012-04-01 00:40:00,5.166
2012-04-01 00:50:00,5.215
2012-04-01 01:00:00,5.203
2012-04-01 01:10:00,5.047
2012-04-01 01:20:00,4.913
2012-04-01 01:30:00,4.944
2012-04-01 01:40:00,5.056
2012-04-01 01:50:00,5.029
2012-04-01 02:00:00,4.98
2012-04-01 02:10:00,4.855
2012-04-01 02:20:00,4.715
2012-04-01 02:30:00,4.705
2012-04-01 02:40:00,4.8
2012-04-01 02:50:00,4.849
2012-04-01 03:00:00,4.934
2012-04-01 03:10:00,4.873
2012-04-01 03:20:00,4.886
2012-04-01 03:30:00,4.925
2012-04-01 03:40:00,4.95
2012-04-01 03:50:00,4.687
2012-04-01 04:00:00,4.538
2012-04-01 04:10:00,4.531
2012-04-01 04:20:00,4.477
2012-04-01 04:30:00,4.531
2012-04-01 04:40:00,4.556
2012-04-01 04:50:00,4.675
2012-04-01 05:00:00,4.58
2012-04-01 05:10:00,4.635
2012-04-01 05:20:00,4.638
2012-04-01 05:30:00,4.59
2012-04-01 05:40:00,4.327
2012-04-01 05:50:00,4.242
2012-04-01 06:00:00,4.132
2012-04-01 06:10:00,4.095
2012-04-01 06:20:00,3.991
2012-04-01 06:30:00,3.878
2012-04-01 06:40:00,3.717
2012-04-01 06:50:00,3.567
2012-04-01 07:00:00,3.384
2012-04-01 07:10:00,3.189
2012-04-01 07:20:00,3.009
2012-04-01 07:30:00,2.905
2012-04-01 07:40:00,2.829
2012-04-01 07:50:00,2.725
2012-04-01 08:00:00,2.609
2012-04-01 08:10:00,2.676
2012-04-01 08:20:00,2.542
2012-04-01 08:30:00,2.435
2012-04-01 08:40:00,2.304
2012-04-01 08:50:00,2.114
2012-04-01 09:00:00,1.922
2012-04-01 09:10:00,1.596
2012-04-01 09:20:00,1.44
2012-04-01 09:30:00,1.367
