datetime,wind speed at 100m (m/s)
2012-07-01 00:00:00,12.054
2012-07-01 00:10:00,11.951
2012-07-01 00:20:00,11.758
2012-07-01 00:30:00,11.581
2012-07-01 00:40:00,11.224
2012-07-01 00:50:00,10.681
2012-07-01 01:00:00,10.66
2012-07-01 01:10:00,10.403
2012-07-01 01:20:00,9.915
2012-07-01 01:30:00,9.628
2012-07-01 01:40:00,9.506
2012-07-01 01:50:00,9.237
2012-07-01 02:00:00,8.81
2012-07-01 02:10:00,8.78
2012-07-01 02:20:00,8.197
2012-07-01 02:30:00,7.834
2012-07-01 02:40:00,7.919
2012-07-01 02:50:00,7.412
2012-07-01 03:00:00,6.442
2012-07-01 03:10:00,6.07
2012-07-01 03:20:00,5.59
2012-07-01 03:30:00,5.594
2012-07-01 03:40:00,5.459
2012-07-01 03:50:00,5.591
2012-07-01 04:00:00,5.374
2012-07-01 04:10:00,5.264
2012-07-01 04:20:00,4.998
2012-07-01 04:30:00,4.883
2012-07-01 04:40:00,4.882
2012-07-01 04:50:00,4.916
2012-07-01 05:00:00,5.066
2012-07-01 05:10:00,4.94
2012-07-01 05:20:00,5.038
2012-07-01 05:30:00,4.828
2012-07-01 05:40:00,4.681
2012-07-01 05:50:00,4.76
2012-07-01 06:00:00,4.715
2012-07-01 06:10:00,4.803
2012-07-01 06:20:00,4.675
2012-07-01 06:30:00,4.815
2012-07-01 06:40:00,4.812
2012-07-01 06:50:00,4.721
2012-07-01 07:00:00,5.041
2012-07-01 07:10:00,5.014
2012-07-01 07:20:00,4.821
2012-07-01 07:30:00,4.95
2012-07-01 07:40:00,4.907
2012-07-01 07:50:00,4.776
2012-07-01 08:00:00,4.672
2012-07-01 08:10:00,4.898
2012-07-01 08:20:00,4.934
2012-07-01 08:30:00,5.032
2012-07-01 08:40:00,4.922
2012-07-01 08:50:00,4.931
2012-07-01 09:00:00,4.675
2012-07-01 09:10:00,4.733
2012-07-01 09:20:00,4.727
2012-07-01 09:30:00,4.889
2012-07-01 09:40:00,4.959
2012-07-01 09:50:00,4.834
2012-07-01 10:00:00,4.791
2012-07-01 10:10:00,4.666
2012-07-01 10:20:00,4.589
2012-07-01 10:30:00,4.605
2012-07-01 10:40:00,4.968
2012-07-01 10:50:00,5.536
2012-07-01 11:00:00,6.164
2012-07-01 11:10:00,6.683
2012-07-01 11:20:00,7.51
2012-07-01 11:30:00,8.304
2012-07-01 11:40:00,8.786
2012-07-01 11:50:00,8.798
2012-07-01 12:00:00,9.149
2012-07-01 12:10:00,9.131
2012-07-01 12:20:00,9.253
2012-07-01 12:30:00,9.598
2012-07-01 12:40:00,9.537
2012-07-01 12:50:00,9.671
2012-07-01 13:00:00,9.643
2012-07-01 13:10:00,9.884
2012-07-01 13:20:00,9.82
2012-07-01 13:30:00,9.714
2012-07-01 13:40:00,9.756
2012-07-01 13:50:00,9.445
2012-07-01 14:00:00,9.265
2012-07-01 14:10:00,9.088
2012-07-01 14:20:00,8.764
2012-07-01 14:30:00,8.023
2012-07-01 14:40:00,7.657
2012-07-01 14:50:00,7.51
2012-07-01 15:00:00,7.37
2012-07-01 15:10:00,7.962
2012-07-01 15:20:00,7.791
2012-07-01 15:30:00,7.867
2012-07-01 15:40:00,7.91
2012-07-01 15:50:00,7.889
2012-07-01 16:00:00,8.89
2012-07-01 16:10:00,9.176
2012-07-01 16:20:00,10.162
2012-07-01 16:30:00,10.95
2012-07-01 16:40:00,12.363
2012-07-01 16:50:00,12.372
2012-07-01 17:00:00,12.414
2012-07-01 17:10:00,11.929
2012-07-01 17:20:00,11.89
2012-07-01 17:30:00,11.841
2012-07-01 17:40:00,12.747
2012-07-01 17:50:00,12.158
2012-07-01 18:00:00,11.728
2012-07-01 18:10:00,14.282
2012-07-01 18:20:00,12.878
2012-07-01 18:30:00,11.535
2012-07-01 18:40:00,10.864
2012-07-01 18:50:00,11.45
2012-07-01 19:00:00,12.634
2012-07-01 19:10:00,12.86
2012-07-01 19:20:00,13.025
2012-07-01 19:30:00,12.768
2012-07-01 19:40:00,12.93
2012-07-01 19:50:00,13.049
2012-07-01 20:00:00,13.821
2012-07-01 20:10:00,14.178
2012-07-01 20:20:00,13.69
2012-07-01 20:30:00,13.446
2012-07-01 20:40:00,12.286
2012-07-01 20:50:00,10.959
2012-07-01 21:00:00,10.883
2012-07-01 21:10:00,11.78
2012-07-01 21:20:00,13.083
2012-07-01 21:30:00,12.988
2012-07-01 21:40:00,12.64
2012-07-01 21:50:00,12.32
2012-07-01 22:00:00,11.923
2012-07-01 22:10:00,11.429
2012-07-01 22:20:00,11.087
2012-07-01 22:30:00,10.742
2012-07-01 22:40:00,9.598
2012-07-01 22:50:00,9.796
2012-07-01 23:00:00,9.863
2012-07-01 23:10:00,9.863
2012-07-01 23:20:00,9.707
2012-07-01 23:30:00,9.067
2012-07-01 23:40:00,8.465
2012-07-01 23:50:00,8.236
2012-07-02 00:00:00,9.112
2012-07-02 00:10:00,9.445
2012-07-02 00:20:00,8.948
2012-07-02 00:30:00,9.048
2012-07-02 00:40:00,8.755
2012-07-02 00:50:00,8.45
2012-07-02 01:00:00,8.215
2012-07-02 01:10:00,8.008
2012-07-02 01:20:00,7.245
2012-07-02 01:30:00,6.872
2012-07-02 01:40:00,6.402
2012-07-02 01:50:00,6.109
2012-07-02 02:00:00,5.859
2012-07-02 02:10:00,5.883
2012-07-02 02:20:00,6.561
2012-07-02 02:30:00,7.397
2012-07-02 02:40:00,6.692
2012-07-02 02:50:00,6.012
2012-07-02 03:00:00,6.537
2012-07-02 03:10:00,7.37
2012-07-02 03:20:00,7.818
2012-07-02 03:30:00,8.502
2012-07-02 03:40:00,8.276
2012-07-02 03:50:00,7.718
2012-07-02 04:00:00,7.318
2012-07-02 04:10:00,7.138
2012-07-02 04:20:00,7.382
2012-07-02 04:30:00,7.629
2012-07-02 04:40:00,7.141
2012-07-02 04:50:00,7.44
2012-07-02 05:00:00,7.693
2012-07-02 05:10:00,7.654
2012-07-02 05:20:00,7.507
2012-07-02 05:30:00,6.704
2012-07-02 05:40:00,6.747
2012-07-02 05:50:00,6.579
2012-07-02 06:00:00,6.607
2012-07-02 06:10:00,6.543
2012-07-02 06:20:00,6.775
2012-07-02 06:30:00,6.622
2012-07-02 06:40:00,6.295
2012-07-02 06:50:00,5.923
2012-07-02 07:00:00,5.838
2012-07-02 07:10:00,5.771
2012-07-02 07:20:00,5.517
2012-07-02 07:30:00,5.084
2012-07-02 07:40:00,4.782
2012-07-02 07:50:00,4.907
2012-07-02 08:00:00,4.492
2012-07-02 08:10:00,4.412
2012-07-02 08:20:00,4.516
2012-07-02 08:30:00,4.257
2012-07-02 08:40:00,4.058
2012-07-02 08:50:00,4.342
2012-07-02 09:00:00,4.425
2012-07-02 09:10:00,4.379
2012-07-02 09:20:00,3.787
2012-07-02 09:30:00,3.256
2012-07-02 09:40:00,2.758
2012-07-02 09:50:00,2.673
2012-07-02 10:00:00,2.868
2012-07-02 10:10:00,3.158
2012-07-02 10:20:00,3.833
2012-07-02 10:30:00,4.583
2012-07-02 10:40:00,5.239
2012-07-02 10:50:00,5.49
2012-07-02 11:00:00,5.606
2012-07-02 11:10:00,5.804
2012-07-02 11:20:00,5.929
2012-07-02 11:30:00,6.393
2012-07-02 11:40:00,6.814
2012-07-02 11:50:00,7.214
2012-07-02 12:00:00,7.431
2012-07-02 12:10:00,7.711
2012-07-02 12:20:00,8.062
2012-07-02 12:30:00,8.102
2012-07-02 12:40:00,8.124
2012-07-02 12:50:00,8.343
2012-07-02 13:00:00,8.624
2012-07-02 13:10:00,8.886
2012-07-02 13:20:00,8.679
2012-07-02 13:30:00,8.618
2012-07-02 13:40:00,8.932
2012-07-02 13:50:00,9.741
2012-07-02 14:00:00,8.401
2012-07-02 14:10:00,8.712
2012-07-02 14:20:00,8.807
2012-07-02 14:30:00,10.086
2012-07-02 14:40:00,7.458
2012-07-02 14:50:00,6.799
2012-07-02 15:00:00,4.437
2012-07-02 15:10:00,2.838
2012-07-02 15:20:00,2.285
2012-07-02 15:30:00,2.029
2012-07-02 15:40:00,2.136
2012-07-02 15:50:00,2.542
2012-07-02 16:00:00,3.091
2012-07-02 16:10:00,2.697
2012-07-02 16:20:00,2.975
2012-07-02 16:30:00,3.457
2012-07-02 16:40:00,3.802
2012-07-02 16:50:00,4.644
2012-07-02 17:00:00,6.103
2012-07-02 17:10:00,7.278
2012-07-02 17:20:00,8.783
2012-07-02 17:30:00,6.363
2012-07-02 17:40:00,5.758
2012-07-02 17:50:00,2.545
2012-07-02 18:00:00,1.553
2012-07-02 18:10:00,1.855
2012-07-02 18:20:00,2.285
2012-07-02 18:30:00,2.838
2012-07-02 18:40:00,3.402
2012-07-02 18:50:00,3.949
2012-07-02 19:00:00,4.489
2012-07-02 19:10:00,4.898
2012-07-02 19:20:00,5.407
2012-07-02 19:30:00,5.774
2012-07-02 19:40:00,5.792
2012-07-02 19:50:00,6.015
2012-07-02 20:00:00,5.972
2012-07-02 20:10:00,6.222
2012-07-02 20:20:00,6.659
